# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.348
metadata : {}


# id : NWRW1800000029.348.1.1
野단일화 했는데 민주는 안 도와줘 순천에 무슨 일이…

野단일화	野/SH+단일/NNG+화/XSN
18대	18/SN+대/NNB
총선	총선/NNG
때	때/NNG
무소속으로	무/XPN+소속/NNG+으로/JKB
당선돼	당선/NNG+되/XSV+어/EC
복당했다.	복당/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.348.7.1
박 원내대표는 최근 기자들과 만나 “무소속으로 당선됐다가 복당해 당의 요직을 맡는 건 민주당만의 특징이 아니다.

박	박/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
최근	최근/MAG
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
“무소속으로	“/SS+무/XPN+소속/NNG+으로/JKB
당선됐다가	당선/NNG+되/XSV+었/EP+다가/EC
복당해	복당/NNG+하/XSV+아/EC
당의	당/NNG+의/JKG
요직을	요직/NNG+을/JKO
맡는	맡/VV+는/ETM
건	거/NNB+ㄴ/JX
민주당만의	민주당/NNP+만/JX+의/JKG
특징이	특징/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000029.348.7.2
한나라당 김무성 원내대표를 보라”고 말하기도 했다.

한나라당	한나라당/NNP
김무성	김무성/NNP
원내대표를	원내/NNG+대표/NNG+를/JKO
보라”고	보/VV+라/EF+”/SS+고/JKQ
말하기도	말/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.348.7.3
김 원내대표 역시 18대 총선 때 공천을 받지 못해 무소속으로 출마해 당선됐다는 점을 상기시킨 것이다.

김	김/NNP
원내대표	원내/NNG+대표/NNG
역시	역시/MAG
18대	18/SN+대/NNB
총선	총선/NNG
때	때/NNG
공천을	공천/NNG+을/JKO
받지	받/VV+지/EC
못해	못하/VX+아/EC
무소속으로	무/XPN+소속/NNG+으로/JKB
출마해	출마/NNG+하/XSV+아/EC
당선됐다는	당선/NNG+되/XSV+었/EP+다는/ETM
점을	점/NNG+을/JKO
상기시킨	상기/NNG+시키/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.348.8.1
한편 각종 여론조사에선 민노당 김 후보가 근소하게 앞서고 있는 가운데 조순용 구희승 허상만 후보가 무소속 3강 구도를 형성하고 있다.

한편	한편/MAG
각종	각종/NNG
여론조사에선	여론/NNG+조사/NNG+에서/JKB+ㄴ/JX
민노당	민노당/NNP
김	김/NNP
후보가	후보/NNG+가/JKS
근소하게	근소하/VA+게/EC
앞서고	앞서/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
조순용	조순용/NNP
구희승	구희승/NNP
허상만	허상만/NNP
무소속	무/XPN+소속/NNG
3강	3/SN+강/NNB
구도를	구도/NNG+를/JKO
형성하고	형성/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.348.8.2
원내의석순으로 정해지는 기호 배정 원칙 때문에 이들 무소속은 모두 후순위 기호를 받았다.

원내의석순으로	원내/NNG+의석/NNG+순/NNB+으로/JKB
정해지는	정하/VV+아/EC+지/VX+는/ETM
기호	기호/NNG
배정	배정/NNG
원칙	원칙/NNG
때문에	때문/NNB+에/JKB
이들	이/NP+들/XSN
무소속은	무/XPN+소속/NNG+은/JX
모두	모두/MAG
후순위	후순위/NNG
기호를	기호/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.348.8.3
이 중 순천고 동문인 구, 허 후보 측이 단일화를 추진 중이어서 주목된다.

이	이/MMD
중	중/NNB
순천고	순천고/NNP
동문인	동문/NNG+이/VCP+ㄴ/ETM
구,	구/NNP+,/SP
허	허/NNP
후보	후보/NNG
측이	측/NNB+이/JKS
단일화를	단일/NNG+화/XSN+를/JKO
추진	추진/NNG
중이어서	중/NNB+이/VCP+어서/EC
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


