# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.344
metadata : {}


# id : NWRW1800000022.344.1.1
[책, 함께읽자] 서울, 파리, 워싱턴에서… 한글이 활짝 웃었다;세종문화회관 앞 낭독회 "말이 오르면 나라도 오르고…"세종대왕 새 동상 옆에서 우리말·우리글 소중함 새겨

[책,	[/SS+책/NNG+,/SP
12시30분부터	12/SN+시/NNB+30/SN+분/NNB+부터/JX
1시간	1/SN+시간/NNB
여	여/XSN
동안	동안/NNG
열린	열리/VV+ㄴ/ETM
이날	이날/NNG
낭독회에는	낭독회/NNG+에/JKB+는/JX
시민·학생	시민/NNG+·/SP+학생/NNG
200여명이	200/SN+여/XSN+명/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.344.3.1
포어스트만 현악 4중주단의 아름다운 클래식음악 선율이 은은히 울려퍼지는 가운데 시작된 낭독회는 먼저 연극배우 전무송씨가 '주시경 선생의 말씀비' 중 일부를 낭독했다.

포어스트만	포어스트만/NNP
현악	현악/NNG
4중주단의	4/SN+중주단/NNG+의/JKG
아름다운	아름답/VA+ㄴ/ETM
클래식음악	클래식/NNG+음악/NNG
선율이	선율/NNG+이/JKS
은은히	은은히/MAG
울려퍼지는	울리/VV+어/EC+퍼지/VV+는/ETM
가운데	가운데/NNG
시작된	시작/NNG+되/XSV+ㄴ/ETM
낭독회는	낭독회/NNG+는/JX
먼저	먼저/MAG
연극배우	연극배우/NNG
전무송씨가	전무송/NNP+씨/NNB+가/JKS
'주시경	'/SS+주시경/NNP
선생의	선생/NNG+의/JKG
말씀비'	말씀/NNG+비/NNG+'/SS
중	중/NNB
일부를	일부/NNG+를/JKO
낭독했다.	낭독/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.344.4.1
"말이 오르면 나라도 오르고, 말이 내리면 나라도 내리나니라.

"말이	"/SS+말/NNG+이/JKS
오르면	오르/VV+면/EC
나라도	나라/NNG+도/JX
오르고,	오르/VV+고/EC+,/SP
말이	말/NNG+이/JKS
내리면	내리/VV+면/EC
내리나니라.	내리/VV+나니라/EF+./SF


# id : NWRW1800000022.344.4.2
글은 말을 담는 그릇이니 이지러짐이 없고 자리를 반듯하게 잡아 굳게 선 뒤에야 그 말을 잘 지키나니라…."

글은	글/NNG+은/JX
말을	말/NNG+을/JKO
담는	담/VV+는/ETM
그릇이니	그릇/NNG+이/VCP+니/EC
이지러짐이	이지러짐/NNG+이/JKS
없고	없/VA+고/EC
자리를	자리/NNG+를/JKO
반듯하게	반듯하/VA+게/EC
잡아	잡/VV+아/EC
굳게	굳/VA+게/EC
선	서/VV+ㄴ/ETM
뒤에야	뒤/NNG+에/JKB+야/JX
그	그/MMD
잘	잘/MAG
지키나니라…."	지키/VV+나니라/EF+…/SE+./SF+"/SS


# id : NWRW1800000022.344.5.1
권재일 국립국어원장은 "올해 한글날은 서울 한복판에 세종대왕 동상을 새로 세운다는 특별한 의미가 있기 때문에 오늘 낭독회는 뜻 깊은 자리"라고 말했다.

권재일	권재일/NNP
국립국어원장은	국립/NNG+국어원장/NNG+은/JX
"올해	"/SS+올해/NNG
한글날은	한글날/NNG+은/JX
서울	서울/NNP
한복판에	한/XPN+복판/NNG+에/JKB
세종대왕	세종/NNP+대왕/NNG
동상을	동상/NNG+을/JKO
새로	새로/MAG
세운다는	세우/VV+ㄴ다는/ETM
특별한	특별/NNG+하/XSA+ㄴ/ETM
의미가	의미/NNG+가/JKS
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
오늘	오늘/NNG
낭독회는	낭독회/NNG+는/JX
뜻	뜻/NNG
깊은	깊/VA+은/ETM
자리"라고	자리/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.344.5.2
뮤지컬배우 김지우씨는 최현배 선생의 '우리말본'과 '우리말 존중의 근본뜻' 중 일부를 낭독했다.

뮤지컬배우	뮤지컬/NNG+배우/NNG
김지우씨는	김지우/NNP+씨/NNB+는/JX
최현배	최현배/NNP
선생의	선생/NNG+의/JKG
'우리말본'과	'/SS+우리말본/NNP+'/SS+과/JC
'우리말	'/SS+우리말/NNG
존중의	존중/NNG+의/JKG
근본뜻'	근본/NNG+뜻/NNG+'/SS
중	중/NNB
일부를	일부/NNG+를/JKO
낭독했다.	낭독/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.344.5.3
"내 고향, 내 나라는 사랑의 텃밭이오.

"내	"/SS+나/NP+의/JKG
고향,	고향/NNG+,/SP
내	나/NP+의/JKG
나라는	나라/NNG+는/JX
사랑의	사랑/NNG+의/JKG
텃밭이오.	텃밭/NNG+이/VCP+오/EF+./SF


# id : NWRW1800000022.344.5.4
내 말 내 글은 새 문화의 씨앗이다.

내	나/NP+의/JKG
말	말/NNG
글은	글/NNG+은/JX
새	새/MMA
문화의	문화/NNG+의/JKG
씨앗이다.	씨앗/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.344.5.5
사람은 제 사랑의 텃밭에 제 문화의 씨앗을 심어 이를 가꾸고 이를 북돋우어, 아름다운 꽃을 피우고 충실한 열매를 맺게 할 것이니…"

사람은	사람/NNG+은/JX
제	저/NP+의/JKG
사랑의	사랑/NNG+의/JKG
텃밭에	텃밭/NNG+에/JKB
문화의	문화/NNG+의/JKG
씨앗을	씨앗/NNG+을/JKO
심어	심/VV+어/EC
이를	이/NP+를/JKO
가꾸고	가꾸/VV+고/EC
북돋우어,	북돋우/VV+어/EC+,/SP
아름다운	아름답/VA+ㄴ/ETM
꽃을	꽃/NNG+을/JKO
피우고	피우/VV+고/EC
충실한	충실/NNG+하/XSA+ㄴ/ETM
열매를	열매/NNG+를/JKO
맺게	맺/VV+게/EC
할	하/VX+ㄹ/ETM
것이니…"	것/NNB+이/VCP+니/EC+…/SE+"/SS


# id : NWRW1800000022.344.6.1
이어 낭독회는 시인 신현림씨의 동시집 《초코파이 자전거》, 대동여지도의 김정호를 다룬 박범신씨의 소설 《고산자》, 훈민정음 창제 직후 연쇄 살인사건을 상상한 김다은씨의 소설 《훈민정음의 비밀》을 배우와 저자들이 번갈아 읽는 순서로 진행됐다.

이어	이어/MAG
낭독회는	낭독회/NNG+는/JX
시인	시인/NNG
신현림씨의	신현림/NNP+씨/NNB+의/JKG
동시집	동시집/NNG
《초코파이	《/SS+초코파이/NNP
자전거》,	자전거/NNG+》/SS+,/SP
대동여지도의	대동여지도/NNP+의/JKG
김정호를	김정호/NNP+를/JKO
다룬	다루/VV+ㄴ/ETM
박범신씨의	박범신/NNP+씨/NNB+의/JKG
소설	소설/NNG
《고산자》,	《/SS+고산자/NNP+》/SS+,/SP
훈민정음	훈민정음/NNG
창제	창제/NNG
직후	직후/NNG
연쇄	연쇄/NNG
살인사건을	살인/NNG+사건/NNG+을/JKO
상상한	상상/NNG+하/XSV+ㄴ/ETM
김다은씨의	김다은/NNP+씨/NNB+의/JKG
《훈민정음의	《/SS+훈민정음/NNG+의/JKG
비밀》을	비밀/NNG+》/SS+을/JKO
배우와	배우/NNG+와/JC
저자들이	저자/NNG+들/XSN+이/JKS
번갈아	번갈/VV+아/EC
읽는	읽/VV+는/ETM
순서로	순서/NNG+로/JKB
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.344.7.1
무대 앞 자리를 차지한 서울 덕수초등학교 1학년 학생들은 신현림 시인이 '아빠 방귀 우르르 꽝 천둥 방귀/ 엄마 방귀 가르르릉 꽝 고양이 방귀/ 내 방귀 삘리리리 피리 방귀'라는 동시 〈방귀〉를 낭독하자 까르르르 웃음보를 터뜨렸다.

무대	무대/NNG
앞	앞/NNG
자리를	자리/NNG+를/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
서울	서울/NNP
덕수초등학교	덕수초등학교/NNP
1학년	1/SN+학년/NNG
학생들은	학생/NNG+들/XSN+은/JX
신현림	신현림/NNP
시인이	시인/NNG+이/JKS
'아빠	'/SS+아빠/NNG
방귀	방귀/NNG
우르르	우르르/MAG
꽝	꽝/MAG
천둥	천둥/NNG
방귀/	방귀/NNG+//SP
엄마	엄마/NNG
가르르릉	가르르릉/MAG
고양이	고양이/NNG
내	나/NP+의/JKG
삘리리리	삘리리리/MAG
피리	피리/NNG
방귀'라는	방귀/NNG+'/SS+이/VCP+라는/ETM
동시	동시/NNG
〈방귀〉를	〈/SS+방귀/NNG+〉/SS+를/JKO
낭독하자	낭독/NNG+하/XSV+자/EC
까르르르	까르르르/MAG
웃음보를	웃음보/NNG+를/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.344.7.2
프랑스 유학 중 한글의 우수성을 절감했다는 소설가 김다은씨는 청중을 향해 "한글은 'ㄱ, ㄴ, ㅁ, ㅅ, ㅇ' 다섯자에 한 획씩 덧붙여서 ㅋ, ㄷ, ㅂ 등등으로 늘어나는 아주 간단한 체계를 지니고 있다"면서 "그런데 우리 국민 스스로 한글이 정말 과학적인지 잘 알지 못하고 있다"고 안타까워했다.

프랑스	프랑스/NNP
유학	유학/NNG
중	중/NNB
한글의	한글/NNG+의/JKG
우수성을	우수/NNG+성/XSN+을/JKO
절감했다는	절감/NNG+하/XSV+았/EP+다는/ETM
소설가	소설가/NNG
김다은씨는	김다은/NNP+씨/NNB+는/JX
청중을	청중/NNG+을/JKO
향해	향하/VV+아/EC
"한글은	"/SS+한글/NNG+은/JX
'ㄱ,	'/SS+ㄱ/NNG+,/SP
ㄴ,	ㄴ/NNG+,/SP
ㅁ,	ㅁ/NNG+,/SP
ㅅ,	ㅅ/NNG+,/SP
ㅇ'	ㅇ/NNG+'/SS
다섯자에	다섯/NR+자/NNG+에/JKB
한	한/MMN
획씩	획/NNG+씩/XSN
덧붙여서	덧붙이/VV+어서/EC
ㅋ,	ㅋ/NNG+,/SP
ㄷ,	ㄷ/NNG+,/SP
ㅂ	ㅂ/NNG
등등으로	등등/NNB+으로/JKB
늘어나는	늘어나/VV+는/ETM
아주	아주/MAG
간단한	간단하/VA+ㄴ/ETM
체계를	체계/NNG+를/JKO
지니고	지니/VV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"그런데	"/SS+그런데/MAJ
우리	우리/NP
국민	국민/NNG
스스로	스스로/MAG
한글이	한글/NNG+이/JKS
정말	정말/MAG
과학적인지	과학/NNG+적/XSN+이/VCP+ㄴ지/EF
잘	잘/MAG
알지	알/VV+지/EC
못하고	못하/VX+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
안타까워했다.	안타까워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.344.8.1
백성의 편리를 생각한 세종대왕과 마찬가지로 백성에게 유용한 지도를 만든 김정호의 삶을 형상화한 소설 《고산자》의 작가 박범신씨는 "김정호의 호 고산자(古山子)는 '옛 산의 아들'이란 뜻"이라며 "권력이 갖고 있던 지도를 백성에게 나눠주려 했던 높은[高] 꿈을 가졌던 김정호는 권력과 충돌했으므로 평생 외롭게[孤] 살았다"고 풀이했다.

백성의	백성/NNG+의/JKG
편리를	편리/NNG+를/JKO
생각한	생각/NNG+하/XSV+ㄴ/ETM
세종대왕과	세종/NNP+대왕/NNG+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
백성에게	백성/NNG+에게/JKB
유용한	유용/NNG+하/XSA+ㄴ/ETM
지도를	지도/NNG+를/JKO
만든	만들/VV+ㄴ/ETM
김정호의	김정호/NNP+의/JKG
삶을	삶/NNG+을/JKO
형상화한	형상/NNG+화/XSN+하/XSV+ㄴ/ETM
소설	소설/NNG
《고산자》의	《/SS+고산자/NNP+》/SS+의/JKG
작가	작가/NNG
박범신씨는	박범신/NNP+씨/NNB+는/JX
"김정호의	"/SS+김정호/NNP+의/JKG
호	호/NNG
고산자(古山子)는	고산자/NNP+(/SS+古山子/SH+)/SS+는/JX
'옛	'/SS+옛/MMA
산의	산/NNG+의/JKG
아들'이란	아들/NNG+'/SS+이/VCP+란/ETM
뜻"이라며	뜻/NNG+"/SS+이/VCP+라며/EC
"권력이	"/SS+권력/NNG+이/JKS
갖고	갖/VV+고/EC
있던	있/VX+던/ETM
나눠주려	나누/VV+어/EC+주/VX+려/EC
했던	하/VX+았/EP+던/ETM
높은[高]	높/VA+은/ETM+[/SS+高/SH+]/SS
꿈을	꿈/NNG+을/JKO
가졌던	가지/VV+었/EP+던/ETM
김정호는	김정호/NNP+는/JX
권력과	권력/NNG+과/JKB
충돌했으므로	충돌/NNG+하/XSV+았/EP+으므로/EC
평생	평생/NNG
외롭게[孤]	외롭/VA+게/EC+[/SS+孤/SH+]/SS
살았다"고	살/VV+았/EP+다/EF+"/SS+고/JKQ
풀이했다.	풀이/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.344.9.1
진행을 맡은 유정아 아나운서는 최근 펴낸 자신의 책 《유정아의 서울대 말하기 강의》 중 일부를 직접 낭독하면서 발화(發話)와 경청(傾聽)의 조화를 강조했다.

진행을	진행/NNG+을/JKO
맡은	맡/VV+은/ETM
유정아	유정아/NNP
아나운서는	아나운서/NNG+는/JX
최근	최근/MAG
펴낸	펴내/VV+ㄴ/ETM
자신의	자신/NNG+의/JKG
책	책/NNG
《유정아의	《/SS+유정아/NNP+의/JKG
서울대	서울대/NNP
말하기	말하기/NNG
강의》	강의/NNG+》/SS
중	중/NNB
일부를	일부/NNG+를/JKO
직접	직접/MAG
낭독하면서	낭독/NNG+하/XSV+면서/EC
발화(發話)와	발화/NNG+(/SS+發話/SH+)/SS+와/JC
경청(傾聽)의	경청/NNG+(/SS+傾聽/SH+)/SS+의/JKG
조화를	조화/NNG+를/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.344.9.2
"침묵과 듣기라는, 수동적인 것처럼 보이는 활동은 실은 그림의 여백과 같은 필수요소이다.

"침묵과	"/SS+침묵/NNG+과/JC
듣기라는,	듣기/NNG+이/VCP+라는/ETM+,/SP
수동적인	수동/NNG+적/XSN+이/VCP+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
보이는	보이/VV+는/ETM
활동은	활동/NNG+은/JX
실은	실은/MAG
그림의	그림/NNG+의/JKG
여백과	여백/NNG+과/JKB
같은	같/VA+은/ETM
필수요소이다.	필수/NNG+요소/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.344.9.3
말하기는 듣기의 상대적 개념이 아니라 듣기를 포함한 폭넓은 개념으로 재정립되어야 한다.

말하기는	말하기/NNG+는/JX
듣기의	듣기/NNG+의/JKG
상대적	상대/NNG+적/XSN
개념이	개념/NNG+이/JKS
아니라	아니/VCN+라/EC
듣기를	듣기/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
폭넓은	폭넓/VA+은/ETM
개념으로	개념/NNG+으로/JKB
재정립되어야	재/XPN+정립/NNG+되/XSV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.344.9.4
말하기는 듣기의 완성이다."

말하기는	말하기/NNG+는/JX
듣기의	듣기/NNG+의/JKG
완성이다."	완성/NNG+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000022.344.10.1
낭독회를 끝까지 지켜본 이혜정씨는 "세종대왕 동상 옆에서 우리 시와 소설을 직접 듣고서 새삼 한글이 아름다운 글임을 알게 됐다"면서 "한글날을 꼭 공휴일로 지정하지 않더라도 사람들에게 더 기억되는 날이 됐으면 좋겠다"고 말했다.

낭독회를	낭독회/NNG+를/JKO
끝까지	끝/NNG+까지/JX
지켜본	지켜보/VV+ㄴ/ETM
이혜정씨는	이혜정/NNP+씨/NNB+는/JX
"세종대왕	"/SS+세종/NNP+대왕/NNG
동상	동상/NNG
옆에서	옆/NNG+에서/JKB
우리	우리/NP
시와	시/NNG+와/JC
소설을	소설/NNG+을/JKO
직접	직접/MAG
듣고서	듣/VV+고서/EC
새삼	새삼/MAG
한글이	한글/NNG+이/JKS
아름다운	아름답/VA+ㄴ/ETM
글임을	글/NNG+이/VCP+ㅁ/ETN+을/JKO
알게	알/VV+게/EC
됐다"면서	되/VV+었/EP+다/EF+"/SS+면서/EC
"한글날을	"/SS+한글날/NNG+을/JKO
꼭	꼭/MAG
공휴일로	공휴일/NNG+로/JKB
지정하지	지정/NNG+하/XSV+지/EC
않더라도	않/VX+더라도/EC
사람들에게	사람/NNG+들/XSN+에게/JKB
더	더/MAG
기억되는	기억/NNG+되/XSV+는/ETM
날이	날/NNG+이/JKC
됐으면	되/VV+었/EP+으면/EC
좋겠다"고	좋/VA+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


