# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.343
metadata : {}


# id : NWRW1800000040.343.1.1
[한겨레 프리즘] 언론과 공사판의 공통점 / 한귀영

[한겨레	[/SS+한겨레/NNP
현장식당을	현장/NNG+식당/NNG+을/JKO
의미하는	의미/NNG+하/XSV+는/ETM
함바와	함바/NNG+와/JKB
같이	같이/MAG
익숙한	익숙하/VA+ㄴ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.343.3.3
언론판에서 자주 사용되는 일본어로는 사쓰마와리(경찰서 순회), 야마(요지), 미다시(제목), 우라까이(베끼기) 등이 있는데, 일반인들은 도통 뜻을 짐작하기조차 어렵다.

언론판에서	언론/NNG+판/NNG+에서/JKB
자주	자주/MAG
사용되는	사용/NNG+되/XSV+는/ETM
일본어로는	일본어/NNP+로/JKB+는/JX
사쓰마와리(경찰서	사쓰마와리/NNG+(/SS+경찰서/NNG
순회),	순회/NNG+)/SS+,/SP
야마(요지),	야마/NNG+(/SS+요지/NNG+)/SS+,/SP
미다시(제목),	미다시/NNG+(/SS+제목/NNG+)/SS+,/SP
우라까이(베끼기)	우라까이/NNG+(/SS+베끼/VV+기/ETN+)/SS
등이	등/NNB+이/JKS
있는데,	있/VA+는데/EC+,/SP
일반인들은	일반인/NNG+들/XSN+은/JX
도통	도통/MAG
뜻을	뜻/NNG+을/JKO
짐작하기조차	짐작/NNG+하/XSV+기/ETN+조차/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000040.343.3.4
건설 현장도 문제지만, 명색이 언중의 말글살이에 지대한 책임을 지고 있는 언론계에서 일본어 단어들이 공공연하게 사용되고 있다는 사실은 부조리하다.

건설	건설/NNG
현장도	현장/NNG+도/JX
문제지만,	문제/NNG+이/VCP+지만/EC+,/SP
명색이	명색/NNG+이/JKS
언중의	언중/NNG+의/JKG
말글살이에	말글살이/NNG+에/JKB
지대한	지대하/VA+ㄴ/ETM
책임을	책임/NNG+을/JKO
지고	지/VV+고/EC
있는	있/VX+는/ETM
언론계에서	언론/NNG+계/XSN+에서/JKB
일본어	일본어/NNP
단어들이	단어/NNG+들/XSN+이/JKS
공공연하게	공공연하/VA+게/EC
사용되고	사용/NNG+되/XSV+고/EC
있다는	있/VX+다는/ETM
사실은	사실/NNG+은/JX
부조리하다.	부/XPN+조리/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000040.343.4.1
사실 공사판과 언론판 사이에는 큰 공통점이 있다.

사실	사실/MAG
공사판과	공사판/NNG+과/JC
언론판	언론/NNG+판/NNG
사이에는	사이/NNG+에/JKB+는/JX
큰	크/VA+ㄴ/ETM
공통점이	공통점/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.343.4.2
대체로 수직적 위계, 상하 복종관계가 강한 권위주의적 내부문화를 갖고 있다.

대체로	대체로/MAG
수직적	수직/NNG+적/XSN
위계,	위계/NNG+,/SP
상하	상하/NNG
복종관계가	복종/NNG+관계/NNG+가/JKS
강한	강하/VA+ㄴ/ETM
권위주의적	권위주의/NNG+적/XSN
내부문화를	내부/NNG+문화/NNG+를/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.343.4.3
건설노동자들은 발주처-원청-하청-재하청-십장-일용노동자로 이어지는 거친 위계구조에서 살아남기 위해 상명하복의 수직적 주종관계를 익힐 수밖에 없다.

건설노동자들은	건설/NNG+노동자/NNG+들/XSN+은/JX
발주처-원청-하청-재하청-십장-일용노동자로	발주처/NNG+-/SO+원청/NNG+-/SO+하청/NNG+-/SO+재/XPN+하청/NNG+-/SO+십장/NNG+-/SO+일용/NNG+노동자/NNG+로/JKB
이어지는	이어지/VV+는/ETM
거친	거칠/VA+ㄴ/ETM
위계구조에서	위계/NNG+구조/NNG+에서/JKB
살아남기	살아남/VV+기/ETN
위해	위하/VV+아/EC
상명하복의	상명하복/NNG+의/JKG
수직적	수직/NNG+적/XSN
주종관계를	주종/NNG+관계/NNG+를/JKO
익힐	익히/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000040.343.5.1
언론판은 어떤가?

언론판은	언론/NNG+판/NNG+은/JX
어떤가?	어떻/VA+ㄴ가/EF+?/SF


# id : NWRW1800000040.343.5.2
입사연도로 선후배 간 위계를 엄격히 따지는 기수문화는 소속 언론사를 넘어 다른 언론사들로까지 확대되어 있다.

입사연도로	입사/NNG+연도/NNG+로/JKB
선후배	선후배/NNG
간	간/NNB
위계를	위계/NNG+를/JKO
엄격히	엄격히/MAG
따지는	따지/VV+는/ETM
기수문화는	기수/NNG+문화/NNG+는/JX
소속	소속/NNG
언론사를	언론사/NNG+를/JKO
넘어	넘/VV+어/EC
다른	다른/MMD
언론사들로까지	언론사/NNG+들/XSN+로/JKB+까지/JX
확대되어	확대/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.343.5.3
기자들이라면 소속사에 관계없이 선후배의 수직적 위계 속에 위치하는 셈이다.

기자들이라면	기자/NNG+들/XSN+이/VCP+라면/EC
소속사에	소속사/NNG+에/JKB
관계없이	관계없이/MAG
선후배의	선후배/NNG+의/JKG
수직적	수직/NNG+적/XSN
위계	위계/NNG
속에	속/NNG+에/JKB
위치하는	위치/NNG+하/XSV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.343.5.4
오늘날과 같이 언론사 간 갈등이 극심한 시기, 기수문화는 내부로는 엄격한 위계를 바탕으로 직업적 유대를 강화하고 외부와는 단단한 경계 긋기의 기능을 수행하곤 한다.

오늘날과	오늘날/NNG+과/JKB
같이	같이/MAG
언론사	언론사/NNG
간	간/NNB
갈등이	갈등/NNG+이/JKS
극심한	극심하/VA+ㄴ/ETM
시기,	시기/NNG+,/SP
기수문화는	기수/NNG+문화/NNG+는/JX
내부로는	내부/NNG+로/JKB+는/JX
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
위계를	위계/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
직업적	직업/NNG+적/XSN
유대를	유대/NNG+를/JKO
강화하고	강화/NNG+하/XSV+고/EC
외부와는	외부/NNG+와/JKB+는/JX
단단한	단단하/VA+ㄴ/ETM
경계	경계/NNG
긋기의	긋/VV+기/ETN+의/JKG
기능을	기능/NNG+을/JKO
수행하곤	수행/NNG+하/XSV+곤/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.343.6.1
물론 공사판과 언론판 사이에는 사회적 지위 면에서 시쳇말로 ‘넘사벽’(넘을 수 없는 사차원의 벽)의 차이가 있는 것도 사실이다.

물론	물론/MAG
공사판과	공사판/NNG+과/JC
언론판	언론/NNG+판/NNG
사이에는	사이/NNG+에/JKB+는/JX
사회적	사회/NNG+적/XSN
지위	지위/NNG
면에서	면/NNG+에서/JKB
시쳇말로	시쳇말/NNG+로/JKB
‘넘사벽’(넘을	‘/SS+넘사벽/NNG+’/SS+(/SS+넘/VV+을/ETM
수	수/NNB
없는	없/VA+는/ETM
사차원의	사차원/NNG+의/JKG
벽)의	벽/NNG+)/SS+의/JKG
차이가	차이/NNG+가/JKS
있는	있/VA+는/ETM
것도	것/NNB+도/JX
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.343.6.2
그래서일까.

그래서일까.	그렇/VA+어서/EC+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000040.343.6.3
공사판 일용건설직들의 일본어 사용에서 거칠면서도 짠한 주변부 하위문화의 느낌을 받는다면, 언론판의 일본어 남용에서는 시대착오적이면서도 오만한 중심부 폐쇄문화의 느낌을 받게 된다.

공사판	공사판/NNG
일용건설직들의	일용/NNG+건설직/NNG+들/XSN+의/JKG
일본어	일본어/NNP
사용에서	사용/NNG+에서/JKB
거칠면서도	거칠/VA+면서/EC+도/JX
짠한	짠하/VA+ㄴ/ETM
주변부	주변부/NNG
하위문화의	하위문화/NNG+의/JKG
느낌을	느낌/NNG+을/JKO
받는다면,	받/VV+는다면/EC+,/SP
언론판의	언론/NNG+판/NNG+의/JKG
남용에서는	남용/NNG+에서/JKB+는/JX
시대착오적이면서도	시대착오/NNG+적/XSN+이/VCP+면서/EC+도/JX
오만한	오만/NNG+하/XSA+ㄴ/ETM
중심부	중심부/NNG
폐쇄문화의	폐쇄/NNG+문화/NNG+의/JKG
받게	받/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.343.7.1
언론계가 엘리트인지, 중심부인지 여부는 별개로 하자.

언론계가	언론/NNG+계/XSN+가/JKS
엘리트인지,	엘리트/NNG+이/VCP+ㄴ지/EC+,/SP
중심부인지	중심부/NNG+이/VCP+ㄴ지/EC
여부는	여부/NNG+는/JX
별개로	별개/NNG+로/JKB
하자.	하/VV+자/EF+./SF


# id : NWRW1800000040.343.7.2
아무튼 오늘날 한국 사회에서 일본어 업계용어의 남발은 민족주의적 분노의 대상이라기보다는 연민이나 조롱의 대상에 가깝다.

아무튼	아무튼/MAG
오늘날	오늘날/NNG
한국	한국/NNP
사회에서	사회/NNG+에서/JKB
일본어	일본어/NNP
업계용어의	업계/NNG+용어/NNG+의/JKG
남발은	남발/NNG+은/JX
민족주의적	민족주의/NNG+적/XSN
분노의	분노/NNG+의/JKG
대상이라기보다는	대상/NNG+이/VCP+라기/ETN+보다/JKB+는/JX
연민이나	연민/NNG+이나/JC
조롱의	조롱/NNG+의/JKG
대상에	대상/NNG+에/JKB
가깝다.	가깝/VA+다/EF+./SF


# id : NWRW1800000040.343.7.3
일본 관련 업무가 아닌 한 현대 한국에서 일본어 혼용은 후진적이거나 오타쿠적(이상한 것에 열중하는 행위)이라는 인상을 주는 것이 사실이다.

일본	일본/NNP
관련	관련/NNG
업무가	업무/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
한	한/NNG
현대	현대/NNG
한국에서	한국/NNP+에서/JKB
일본어	일본어/NNP
혼용은	혼용/NNG+은/JX
후진적이거나	후진/NNG+적/XSN+이/VCP+거나/EC
오타쿠적(이상한	오타쿠/NNG+적/XSN+(/SS+이상/NNG+하/XSA+ㄴ/ETM
것에	것/NNB+에/JKB
열중하는	열중/NNG+하/XSV+는/ETM
행위)이라는	행위/NNG+)/SS+이/VCP+라는/ETM
인상을	인상/NNG+을/JKO
주는	주/VV+는/ETM
것이	것/NNB+이/JKS
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.343.8.1
채동욱 검찰총장에 대한 <조선일보>의 보도는 후진성 또는 오타쿠성의 단적인 사례다.

채동욱	채동욱/NNP
검찰총장에	검찰/NNG+총장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
<조선일보>의	</SS+조선일보/NNP+>/SS+의/JKG
보도는	보도/NNG+는/JX
후진성	후진/NNG+성/XSN
또는	또는/MAG
오타쿠성의	오타쿠/NNG+성/XSN+의/JKG
단적인	단적/NNG+이/VCP+ㄴ/ETM
사례다.	사례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.343.8.2
공직자의 혼외자식 문제가 공익, 국민의 알 권리와 얼마나 큰 관련이 있는가라는 질문은 논외로 하자.

공직자의	공직자/NNG+의/JKG
혼외자식	혼외/NNG+자식/NNG
문제가	문제/NNG+가/JKS
공익,	공익/NNG+,/SP
국민의	국민/NNG+의/JKG
알	알/VV+ㄹ/ETM
권리와	권리/NNG+와/JKB
얼마나	얼마나/MAG
큰	크/VA+ㄴ/ETM
관련이	관련/NNG+이/JKS
있는가라는	있/VA+는가/EF+이/VCP+라는/ETM
질문은	질문/NNG+은/JX
논외로	논외/NNG+로/JKB
하자.	하/VV+자/EF+./SF


# id : NWRW1800000040.343.8.3
개인정보를 불법적으로 획득한 것도 모자라 의혹에 불과한 것을 사실로 호도하는 작태, 권력을 견제해야 할 언론이 권언유착을 넘어 권력의 대리전을 치르는 듯한 모습은 퇴행과 후진성 그 자체다.

개인정보를	개인/NNG+정보/NNG+를/JKO
불법적으로	불법/NNG+적/XSN+으로/JKB
획득한	획득/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
모자라	모자라/VV+아/EC
의혹에	의혹/NNG+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
것을	것/NNB+을/JKO
사실로	사실/NNG+로/JKB
호도하는	호도/NNG+하/XSV+는/ETM
작태,	작태/NNG+,/SP
권력을	권력/NNG+을/JKO
견제해야	견제/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
언론이	언론/NNG+이/JKS
권언유착을	권언유착/NNG+을/JKO
넘어	넘/VV+어/EC
권력의	권력/NNG+의/JKG
대리전을	대리전/NNG+을/JKO
치르는	치르/VV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
모습은	모습/NNG+은/JX
퇴행과	퇴행/NNG+과/JC
후진성	후진/NNG+성/XSN
그	그/MMD
자체다.	자체/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.343.9.1
연예인 성상납 등 파렴치한 사안에 사주 일가가 연루되었다는 의혹이 일었을 때는 사력을 다해 은폐하고자 하던 언론사가, 권력의 심기를 불편하게 한 검찰총장의 혼외아들 의혹은 국가존망의 중대사라도 되는 양 대서특필한다.

연예인	연예인/NNG
성상납	성/NNG+상납/NNG
등	등/NNB
파렴치한	파렴치/NNG+하/XSA+ㄴ/ETM
사안에	사안/NNG+에/JKB
사주	사주/NNG
일가가	일가/NNG+가/JKS
연루되었다는	연루/NNG+되/XSV+었/EP+다는/ETM
의혹이	의혹/NNG+이/JKS
일었을	일/VV+었/EP+을/ETM
때는	때/NNG+는/JX
사력을	사력/NNG+을/JKO
다해	다/MAG+하/XSV+아/EC
은폐하고자	은폐/NNG+하/XSV+고자/EC
하던	하/VX+던/ETM
언론사가,	언론사/NNG+가/JKS+,/SP
권력의	권력/NNG+의/JKG
심기를	심기/NNG+를/JKO
불편하게	불편/NNG+하/XSA+게/EC
한	하/VX+ㄴ/ETM
검찰총장의	검찰/NNG+총장/NNG+의/JKG
혼외아들	혼외/NNG+아들/NNG
의혹은	의혹/NNG+은/JX
국가존망의	국가/NNG+존망/NNG+의/JKG
중대사라도	중대사/NNG+이/VCP+라도/EC
되는	되/VV+는/ETM
양	양/NNB
대서특필한다.	대서특필/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.343.9.2
오타쿠의 특징은 보고 싶은 것만 본다는 것이다.

오타쿠의	오타쿠/NNG+의/JKG
특징은	특징/NNG+은/JX
보고	보/VV+고/EC
싶은	싶/VX+은/ETM
것만	것/NNB+만/JX
본다는	보/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.343.9.3
오타쿠에게 결여된 것은 균형감각이다.

오타쿠에게	오타쿠/NNG+에게/JKB
결여된	결여/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
균형감각이다.	균형/NNG+감각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.343.9.4
개인, 오타쿠라면 그래도 된다.

개인,	개인/NNG+,/SP
오타쿠라면	오타쿠/NNG+이/VCP+라면/EC
그래도	그러/VV+어도/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.343.9.5
하지만 언론이 오타쿠짓을 하면 나라가 불행해진다.

하지만	하지만/MAJ
언론이	언론/NNG+이/JKS
오타쿠짓을	오타쿠/NNG+짓/NNG+을/JKO
하면	하/VV+면/EC
나라가	나라/NNG+가/JKS
불행해진다.	불행/NNG+하/XSA+아/EC+지/VX+ㄴ다/EF+./SF


