# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.331
metadata : {}


# id : NWRW1800000038.331.1.1
北 핵실험… 가능한 군사적 조치는?

北	北/SH
한·미·일은 북한이 핵실험을 하면 일차적으로 유엔 안보리 차원에서 지난달 23일부터 효력을 발휘 중인 2087호보다 더 강력한 수준의 대북 제재 결의안을 추진할 방침이다.

한·미·일은	한·미·일/NNP+은/JX
북한이	북한/NNP+이/JKS
핵실험을	핵/NNG+실험/NNG+을/JKO
하면	하/VV+면/EC
일차적으로	일차/NNG+적/XSN+으로/JKB
유엔	유엔/NNP
안보리	안보리/NNG
차원에서	차원/NNG+에서/JKB
지난달	지난달/NNG
23일부터	23/SN+일/NNB+부터/JX
효력을	효력/NNG+을/JKO
발휘	발휘/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
2087호보다	2087/SN+호/NNB+보다/JKB
더	더/MAG
강력한	강력/NNG+하/XSA+ㄴ/ETM
수준의	수준/NNG+의/JKG
대북	대북/NNG
제재	제재/NNG
결의안을	결의안/NNG+을/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.331.4.2
특히 이번 안보리 결의안에는 경제·군사적 조치를 규정한 유엔 헌장 7장을 원용, 가장 강도 높은 제재를 추진한다는 것이 1일부터 유엔안보리 순회의장국을 맡은 우리 정부의 입장이다.

특히	특히/MAG
이번	이번/NNG
안보리	안보리/NNG
결의안에는	결의안/NNG+에/JKB+는/JX
경제·군사적	경제/NNG+·/SP+군사/NNG+적/XSN
조치를	조치/NNG+를/JKO
규정한	규정/NNG+하/XSV+ㄴ/ETM
유엔	유엔/NNP
헌장	헌장/NNG
7장을	7/SN+장/NNG+을/JKO
원용,	원용/NNG+,/SP
가장	가장/MAG
강도	강도/NNG
높은	높/VA+은/ETM
제재를	제재/NNG+를/JKO
추진한다는	추진/NNG+하/XSV+ㄴ다는/ETM
것이	것/NNB+이/JKS
1일부터	1/SN+일/NNB+부터/JX
유엔안보리	유엔/NNP+안보리/NNG
순회의장국을	순회/NNG+의장국/NNG+을/JKO
맡은	맡/VV+은/ETM
우리	우리/NP
정부의	정부/NNG+의/JKG
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.331.5.1
유엔 헌장 7장은 '평화에 대한 위협, 평화의 파괴 및 침략 행위에 관한 조치'를 규정하고 있으며 안보리가 국제 평화와 안전을 유지 또는 회복하기 위해 제41조(경제 제재) 및 제42조(군사적 제재)에 따라 해당 조치를 결정하도록 돼 있다.

유엔	유엔/NNP
헌장	헌장/NNG
7장은	7/SN+장/NNG+은/JX
'평화에	'/SS+평화/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
위협,	위협/NNG+,/SP
평화의	평화/NNG+의/JKG
파괴	파괴/NNG
및	및/MAG
침략	침략/NNG
행위에	행위/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
조치'를	조치/NNG+'/SS+를/JKO
규정하고	규정/NNG+하/XSV+고/EC
있으며	있/VX+으며/EC
안보리가	안보리/NNG+가/JKS
국제	국제/NNG
평화와	평화/NNG+와/JC
안전을	안전/NNG+을/JKO
유지	유지/NNG
또는	또는/MAG
회복하기	회복/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
제41조(경제	제/XPN+41/SN+조/NNB+(/SS+경제/NNG
제재)	제재/NNG+)/SS
제42조(군사적	제/XPN+42/SN+조/NNB+(/SS+군사/NNG+적/XSN
제재)에	제재/NNG+)/SS+에/JKB
따라	따르/VV+아/EC
해당	해당/NNG
조치를	조치/NNG+를/JKO
결정하도록	결정/NNG+하/XSV+도록/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.331.6.1
대북 군사적 조치로는 한·미 연합 키 리졸브·독수리 연습 강화 등 대규모 한·미 연합 훈련의 조기 실시, 괌과 오키나와 등에 배치돼 있는 B-2 스텔스 폭격기, F-22 스텔스 전투기의 한반도 출동 등 무력시위, 대북 확성기 방송 재개를 비롯한 심리전 강화 등이 우선 거론되고 있는 것으로 전해졌다.

대북	대북/NNG
군사적	군사/NNG+적/XSN
조치로는	조치/NNG+로/JKB+는/JX
한·미	한·미/NNP
연합	연합/NNG
키	키/NNG
리졸브·독수리	리졸브/NNG+·/SP+독수리/NNG
연습	연습/NNG
강화	강화/NNG
등	등/NNB
대규모	대/XPN+규모/NNG
훈련의	훈련/NNG+의/JKG
조기	조기/NNG
실시,	실시/NNG+,/SP
괌과	괌/NNP+과/JC
오키나와	오키나와/NNP
등에	등/NNB+에/JKB
배치돼	배치/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
B-2	B/SL+-/SO+2/SN
스텔스	스텔스/NNG
폭격기,	폭격기/NNG+,/SP
F-22	F/SL+-/SO+22/SN
전투기의	전투기/NNG+의/JKG
한반도	한반도/NNP
출동	출동/NNG
무력시위,	무력시위/NNG+,/SP
확성기	확성기/NNG
방송	방송/NNG
재개를	재개/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
심리전	심리전/NNG
등이	등/NNB+이/JKS
우선	우선/MAG
거론되고	거론/NNG+되/XSV+고/EC
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.331.7.1
한·미가 북한 내 핵시설에 대한 정밀폭격 등 북한의 무력 보복을 가져올 군사적 조치에 나설 가능성은 거의 없다는 것이 지배적 관측이다.

한·미가	한·미/NNP+가/JKS
북한	북한/NNP
내	내/NNB
핵시설에	핵/NNG+시설/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정밀폭격	정밀/NNG+폭격/NNG
등	등/NNB
북한의	북한/NNP+의/JKG
무력	무력/NNG
보복을	보복/NNG+을/JKO
가져올	가져오/VV+ㄹ/ETM
군사적	군사/NNG+적/XSN
조치에	조치/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
거의	거의/MAG
없다는	없/VA+다는/ETM
것이	것/NNB+이/JKS
지배적	지배/NNG+적/XSN
관측이다.	관측/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.331.7.2
일각에서는 한·미·일이 유엔헌장 7장 42조에 규정돼 있는 '해상봉쇄'를 추진할 가능성이 거론된다.

일각에서는	일각/NNG+에서/JKB+는/JX
한·미·일이	한·미·일/NNP+이/JKS
유엔헌장	유엔/NNP+헌장/NNG
7장	7/SN+장/NNG
42조에	42/SN+조/NNB+에/JKB
규정돼	규정/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
'해상봉쇄'를	'/SS+해상/NNG+봉쇄/NNG+'/SS+를/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.331.7.3
무기 거래가 의심되는 선박의 북한 출입을 막는 것으로 유엔 결의에 이 조치가 담기려면 중국의 동의가 필요하다.

무기	무기/NNG
거래가	거래/NNG+가/JKS
의심되는	의심/NNG+되/XSV+는/ETM
선박의	선박/NNG+의/JKG
북한	북한/NNP
출입을	출입/NNG+을/JKO
막는	막/VV+는/ETM
것으로	것/NNB+으로/JKB
유엔	유엔/NNP
결의에	결의/NNG+에/JKB
이	이/MMD
조치가	조치/NNG+가/JKS
담기려면	담기/VV+려면/EC
중국의	중국/NNP+의/JKG
동의가	동의/NNG+가/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000038.331.8.1
정부는 중국의 반대로 유엔 안보리 대북 제재의 강도가 충분치 않을 경우에 대비해 독자적인 대북 제재도 동맹국들과 검토하고 있다.

정부는	정부/NNG+는/JX
중국의	중국/NNP+의/JKG
반대로	반대/NNG+로/JKB
유엔	유엔/NNP
안보리	안보리/NNG
대북	대북/NNG
제재의	제재/NNG+의/JKG
강도가	강도/NNG+가/JKS
충분치	충분하/VA+지/EC
않을	않/VX+을/ETM
경우에	경우/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
독자적인	독자/NNG+적/XSN+이/VCP+ㄴ/ETM
제재도	제재/NNG+도/JX
동맹국들과	동맹국/NNG+들/XSN+과/JKB
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.331.8.2
추가 제재에는 △북한 기업·기관에 대한 금융 제재 대상 확대 △금융기관에 예치된 북한 자금을 동결시키는 '방코델타아시아(BDA)'식 제재 △북한과 거래한 금융기관의 달러화 취급을 금지하는 '이란식 제재' △북한에 기항했던 선박의 항구 입항을 사실상 막는 해운 제재 등이 검토되는 것으로 알려졌다.

추가	추가/NNG
제재에는	제재/NNG+에/JKB+는/JX
△북한	△/SW+북한/NNP
기업·기관에	기업/NNG+·/SP+기관/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
금융	금융/NNG
제재	제재/NNG
대상	대상/NNG
확대	확대/NNG
△금융기관에	△/SW+금융/NNG+기관/NNG+에/JKB
예치된	예치/NNG+되/XSV+ㄴ/ETM
북한	북한/NNP
자금을	자금/NNG+을/JKO
동결시키는	동결/NNG+시키/XSV+는/ETM
'방코델타아시아(BDA)'식	'/SS+방코델타아시아/NNP+(/SS+BDA/SL+)/SS+'/SS+식/NA
△북한과	△/SW+북한/NNP+과/JKB
거래한	거래/NNG+하/XSV+ㄴ/ETM
금융기관의	금융/NNG+기관/NNG+의/JKG
달러화	달러화/NNG
취급을	취급/NNG+을/JKO
금지하는	금지/NNG+하/XSV+는/ETM
'이란식	'/SS+이란식/NNG
제재'	제재/NNG+'/SS
△북한에	△/SW+북한/NNP+에/JKB
기항했던	기항/NNG+하/XSV+았/EP+던/ETM
선박의	선박/NNG+의/JKG
항구	항구/NNG
입항을	입항/NNG+을/JKO
사실상	사실상/MAG
막는	막/VV+는/ETM
해운	해운/NNG
등이	등/NNB+이/JKS
검토되는	검토/NNG+되/XSV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


