# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.237
metadata : {}


# id : NWRW1800000046.237.1.1
U-17 월드컵 대표팀 칠레 입성

U-17	U/SL+-/SO+17/SN
대표팀은	대표/NNG+팀/NNG+은/JX
이날	이날/NNG
컨디션	컨디션/NNG
조절과	조절/NNG+과/JKB
함께	함께/MAG
마무리	마무리/NNG
전술	전술/NNG
훈련을	훈련/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.237.4.5
최진철 감독이 이끄는 대표팀은 한국 시각으로 18일 오전 7시 코킴보의 프란시스코 산체스 루모로소 경기장에서 강력한 우승 후보 브라질과 조별 리그 1차전을 벌인다.

최진철	최진철/NNP
감독이	감독/NNG+이/JKS
이끄는	이끌/VV+는/ETM
대표팀은	대표/NNG+팀/NNG+은/JX
한국	한국/NNP
시각으로	시각/NNG+으로/JKB
18일	18/SN+일/NNB
오전	오전/NNG
7시	7/SN+시/NNB
코킴보의	코킴보/NNP+의/JKG
프란시스코	프란시스코/NNP
산체스	산체스/NNP
루모로소	루모로소/NNP
경기장에서	경기장/NNG+에서/JKB
강력한	강력/NNG+하/XSA+ㄴ/ETM
우승	우승/NNG
후보	후보/NNG
브라질과	브라질/NNP+과/JC
조별	조별/NNG
리그	리그/NNG
1차전을	1/SN+차전/NNB+을/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.237.4.6
한국은 브라질·기니·잉글랜드와 B조에 속해 있다.

한국은	한국/NNP+은/JX
브라질·기니·잉글랜드와	브라질/NNP+·/SP+기니/NNP+·/SP+잉글랜드/NNP+와/JC
B조에	B/SL+조/NNG+에/JKB
속해	속하/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.237.4.7
이 대회엔 총 24국이 참가한다.

이	이/MMD
대회엔	대회/NNG+에/JKB+ㄴ/JX
총	총/MMA
24국이	24/SN+국/NNG+이/JKS
참가한다.	참가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.237.4.8
대표팀의 주축 공격수인 이승우(바르셀로나)는 "후회를 남기지 않도록 열심히 뛰겠다"고 말했다.

대표팀의	대표/NNG+팀/NNG+의/JKG
주축	주축/NNG
공격수인	공격수/NNG+이/VCP+ㄴ/ETM
이승우(바르셀로나)는	이승우/NNP+(/SS+바르셀로나/NNP+)/SS+는/JX
"후회를	"/SS+후회/NNG+를/JKO
남기지	남기/VV+지/EC
않도록	않/VX+도록/EC
열심히	열심히/MAG
뛰겠다"고	뛰/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


