# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.27
metadata : {}


# id : NWRW1800000022.27.1.1
검찰, '전철연' 의장 체포나서

검찰,	검찰/NNG+,/SP
가운데	가운데/NNG
경찰의	경찰/NNG+의/JKG
'강경진압'을	'/SS+강경/NNG+진압/NNG+'/SS+을/JKO
규탄하며	규탄/NNG+하/XSV+며/EC
밤	밤/NNG
늦게까지	늦/VA+게/EC+까지/JX
서울역에서	서울역/NNP+에서/JKB
신촌까지	신촌/NNP+까지/JX
도로를	도로/NNG+를/JKO
무단	무단/NNG
점거하고	점거/NNG+하/XSV+고/EC
시위를	시위/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.27.6.2
이로 인해 근처를 지나던 차량들이 극심한 교통 정체를 빚었다.

이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
근처를	근처/NNG+를/JKO
지나던	지나/VV+던/ETM
차량들이	차량/NNG+들/XSN+이/JKS
극심한	극심하/VA+ㄴ/ETM
교통	교통/NNG
정체를	정체/NNG+를/JKO
빚었다.	빚/VV+었/EP+다/EF+./SF


