# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.43
metadata : {}


# id : NWRW1800000022.43.1.1
경제위기에… 푸틴만을 위한 '짝퉁 아바' 콘서트;호주의 모방 그룹 4000만원에 초청

경제위기에…	경제/NNG+위기/NNG+에/JKB+…/SE
연발하며	연발/NNG+하/XSV+며/EC
즐거워했다.	즐거워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.43.6.2
옆 사람과 함께 손뼉을 치고, '맘마 미아'가 연주되자 손을 번쩍 들었다.

옆	옆/NNG
사람과	사람/NNG+과/JKB
함께	함께/MAG
손뼉을	손뼉/NNG+을/JKO
치고,	치/VV+고/EC+,/SP
'맘마	'/SS+맘마/NNP
미아'가	미아/NNP+'/SS+가/JKS
연주되자	연주/NNG+되/XSV+자/EC
손을	손/NNG+을/JKO
번쩍	번쩍/MAG
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.43.6.3
멤버들이 '수퍼 트루퍼'를 부를 땐 급기야 자리에 앉은 채 춤을 추기 시작했다.

멤버들이	멤버/NNG+들/XSN+이/JKS
'수퍼	'/SS+수퍼/NNP
트루퍼'를	트루퍼/NNP+'/SS+를/JKO
부를	부르/VV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
급기야	급기야/MAG
자리에	자리/NNG+에/JKB
앉은	앉/VV+은/ETM
채	채/NNB
춤을	춤/NNG+을/JKO
추기	추/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.43.6.4
비욘 어게인은 이날 1시간 동안 '댄싱 퀸', '허니 허니', '워터루' 등 아바의 대표곡 15곡을 불렀다.

비욘	비욘/NNP
어게인은	어게인/NNP+은/JX
이날	이날/NNG
1시간	1/SN+시간/NNB
동안	동안/NNG
'댄싱	'/SS+댄싱/NNP
퀸',	퀸/NNP+'/SS+,/SP
'허니	'/SS+허니/NNP
허니',	허니/NNP+'/SS+,/SP
'워터루'	'/SS+워터루/NNP+'/SS
등	등/NNB
아바의	아바/NNP+의/JKG
대표곡	대표곡/NNG
15곡을	15/SN+곡/NNG+을/JKO
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.43.7.1
영국 일간 타임스는 "푸틴 총리가 아바의 팬이라는 것은 알려진 사실이지만, 지금까지 푸틴의 품위 있는 취향을 볼 때 이번 이벤트는 괴상하다"며 "경제 위기 등으로 나라가 힘든 상황에서 러시아 정부는 그런 콘서트를 준비할 시간이 있었나 보다"고 비꼬았다.

영국	영국/NNP
일간	일간/NNG
타임스는	타임스/NNP+는/JX
"푸틴	"/SS+푸틴/NNP
총리가	총리/NNG+가/JKS
아바의	아바/NNP+의/JKG
팬이라는	팬/NNG+이/VCP+라는/ETM
것은	것/NNB+은/JX
알려진	알려지/VV+ㄴ/ETM
사실이지만,	사실/NNG+이/VCP+지만/EC+,/SP
지금까지	지금/NNG+까지/JX
푸틴의	푸틴/NNP+의/JKG
품위	품위/NNG
있는	있/VA+는/ETM
취향을	취향/NNG+을/JKO
볼	보/VV+ㄹ/ETM
때	때/NNG
이번	이번/NNG
이벤트는	이벤트/NNG+는/JX
괴상하다"며	괴상/NNG+하/XSA+다/EF+"/SS+며/EC
"경제	"/SS+경제/NNG
위기	위기/NNG
등으로	등/NNB+으로/JKB
나라가	나라/NNG+가/JKS
힘든	힘들/VA+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
러시아	러시아/NNP
정부는	정부/NNG+는/JX
그런	그런/MMD
콘서트를	콘서트/NNG+를/JKO
준비할	준비/NNG+하/XSV+ㄹ/ETM
시간이	시간/NNG+이/JKS
있었나	있/VA+었/EP+나/EF
보다"고	보/VX+다/EF+"/SS+고/JKQ
비꼬았다.	비꼬/VV+았/EP+다/EF+./SF


