# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.31
metadata : {}


# id : NWRW1800000033.31.1.1
“LED 신제품 1개에 인증테스트 27개”

“LED	“/SS+LED/SL
다르다는	다르/VA+다는/ETM
이유로	이유/NNG+로/JKB
두	두/MMN
번씩	번/NNB+씩/XSN
받아야	받/VV+아야/EC
했다”고	하/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.31.4.2
테스트를 모두 받는 데 4개월이 걸렸고, 비용도 284만 원이나 들었다.

테스트를	테스트/NNG+를/JKO
모두	모두/MAG
받는	받/VV+는/ETM
데	데/NNB
4개월이	4/SN+개월/NNB+이/JKS
걸렸고,	걸리/VV+었/EP+고/EC+,/SP
비용도	비용/NNG+도/JX
284만	284/SN+만/NR
원이나	원/NNB+이나/JX
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.31.5.1
지경부 기술표준원은 일부 국가표준과 인증제도가 오히려 기업의 생산력을 해친다고 판단하고 13일 이명박 대통령 주재로 열린 제29차 국가경쟁력강화위원회에 ‘국가표준·인증제도 선진화 방안’을 보고했다.

지경부	지경부/NNG
기술표준원은	기술/NNG+표준원/NNG+은/JX
일부	일부/NNG
국가표준과	국가/NNG+표준/NNG+과/JC
인증제도가	인증/NNG+제도/NNG+가/JKS
오히려	오히려/MAG
기업의	기업/NNG+의/JKG
생산력을	생산력/NNG+을/JKO
해친다고	해치/VV+ㄴ다고/EC
판단하고	판단/NNG+하/XSV+고/EC
13일	13/SN+일/NNB
이명박	이명박/NNP
대통령	대통령/NNG
주재로	주재/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
제29차	제/XPN+29/SN+차/NNB
국가경쟁력강화위원회에	국가경쟁력강화위원회/NNP+에/JKB
‘국가표준·인증제도	‘/SS+국가/NNG+표준/NNG+·/SP+인증/NNG+제도/NNG
선진화	선진/NNG+화/XSN
방안’을	방안/NNG+’/SS+을/JKO
보고했다.	보고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.31.6.1
앞으로 LED 램프 등 134개 제품은 한 번 받은 제품 시험결과를 다른 인증에서도 인정받을 수 있게 된다.

앞으로	앞/NNG+으로/JKB
LED	LED/SL
램프	램프/NNG
등	등/NNB
134개	134/SN+개/NNB
제품은	제품/NNG+은/JX
한	한/MMN
번	번/NNB
받은	받/VV+은/ETM
제품	제품/NNG
시험결과를	시험/NNG+결과/NNG+를/JKO
다른	다른/MMD
인증에서도	인증/NNG+에서/JKB+도/JX
인정받을	인정/NNG+받/XSV+을/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.31.6.2
시험기간은 100일로, 비용은 절반 이하인 114만 원으로 줄어들 것으로 보인다.

시험기간은	시험/NNG+기간/NNG+은/JX
100일로,	100/SN+일/NNB+로/JKB+,/SP
비용은	비용/NNG+은/JX
절반	절반/NNG
이하인	이하/NNG+이/VCP+ㄴ/ETM
114만	114/SN+만/NR
원으로	원/NNB+으로/JKB
줄어들	줄어들/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.31.7.1
국가경쟁력강화위와 중소기업옴부즈만, 조달청, 기술표준원 등 12개 부처는 부처별 인증제도를 분석해 중복되거나 불합리하다고 판단되는 규제 168건을 통폐합하는 등 개선하기로 했다.

국가경쟁력강화위와	국가경쟁력강화위/NNP+와/JC
중소기업옴부즈만,	중소기업/NNG+옴부즈만/NNG+,/SP
조달청,	조달청/NNG+,/SP
기술표준원	기술/NNG+표준원/NNG
등	등/NNB
12개	12/SN+개/NNB
부처는	부처/NNG+는/JX
부처별	부처/NNG+별/XSN
인증제도를	인증/NNG+제도/NNG+를/JKO
분석해	분석/NNG+하/XSV+아/EC
중복되거나	중복/NNG+되/XSV+거나/EC
불합리하다고	불/XPN+합리/NNG+하/XSA+다고/EC
판단되는	판단/NNG+되/XSV+는/ETM
규제	규제/NNG
168건을	168/SN+건/NNB+을/JKO
통폐합하는	통폐합/NNG+하/XSV+는/ETM
개선하기로	개선/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.31.7.2
이는 기업이 인증을 받는 데 연간 4조 원을 쓰고, 중소기업 한 곳이 평균적으로 보유하고 있는 14.9개의 인증을 취득 및 유지하는 데 연간 3230만 원이 들어간다는 지적에 따른 것이다.

이는	이/NP+는/JX
기업이	기업/NNG+이/JKS
인증을	인증/NNG+을/JKO
받는	받/VV+는/ETM
데	데/NNB
연간	연간/NNG
4조	4/SN+조/NR
원을	원/NNB+을/JKO
쓰고,	쓰/VV+고/EC+,/SP
중소기업	중소기업/NNG
한	한/MMN
곳이	곳/NNG+이/JKS
평균적으로	평균/NNG+적/XSN+으로/JKB
보유하고	보유/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
14.9개의	14/SN+./SP+9/SN+개/NNB+의/JKG
취득	취득/NNG
및	및/MAG
유지하는	유지/NNG+하/XSV+는/ETM
3230만	3230/SN+만/NR
원이	원/NNB+이/JKS
들어간다는	들어가/VV+ㄴ다는/ETM
지적에	지적/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


