# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.37
metadata : {}


# id : NWRW1800000028.37.1.1
‘바지사장’ 내세우고 ‘천원숍’으로 위장 /법망 피하는 ‘변종 기업형슈퍼’ 논란

‘바지사장’	‘/SS+바지/NNG+사장/NNG+’/SS
출점’	출점/NNG+’/SS
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.37.3.1
25일 전국 중소상인 모임인 ‘사업조정 신청지역 전국연석회의’ 등은 서울 세종로 정부중앙청사 앞에서 기자회견을 열어 “기업형슈퍼 가맹점 전환은 유통 대기업이 내세운 ‘바지 사장’ 격인 가맹업주 한 명만 대기업 이익 일부를 나눠 가질 뿐, 골목상권 피해는 달라질 게 없다”며 “기업형슈퍼의 편법·위장 출점들도 사업조정 대상에 포함시켜 현재 중소상인들의 유일한 법적 방어수단인 사업조정제도가 무력화되는 것을 막아야 한다”고 주장했다.

25일	25/SN+일/NNB
전국	전국/NNG
중소상인	중소/NNG+상인/NNG
모임인	모임/NNG+이/VCP+ㄴ/ETM
‘사업조정	‘/SS+사업/NNG+조정/NNG
신청지역	신청/NNG+지역/NNG
전국연석회의’	전국/NNG+연석회의/NNG+’/SS
등은	등/NNB+은/JX
서울	서울/NNP
세종로	세종로/NNP
정부중앙청사	정부중앙청사/NNP
앞에서	앞/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“기업형슈퍼	“/SS+기업/NNG+형/XSN+슈퍼/NNG
가맹점	가맹점/NNG
전환은	전환/NNG+은/JX
유통	유통/NNG
대기업이	대/XPN+기업/NNG+이/JKS
내세운	내세우/VV+ㄴ/ETM
‘바지	‘/SS+바지/NNG
사장’	사장/NNG+’/SS
격인	격/NNB+이/VCP+ㄴ/ETM
가맹업주	가맹업주/NNG
한	한/MMN
명만	명/NNB+만/JX
대기업	대/XPN+기업/NNG
이익	이익/NNG
일부를	일부/NNG+를/JKO
나눠	나누/VV+어/EC
가질	가지/VV+ㄹ/ETM
뿐,	뿐/NNB+,/SP
골목상권	골목/NNG+상권/NNG
피해는	피해/NNG+는/JX
달라질	달라지/VV+ㄹ/ETM
게	거/NNB+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“기업형슈퍼의	“/SS+기업/NNG+형/XSN+슈퍼/NNG+의/JKG
편법·위장	편법/NNG+·/SP+위장/NNG
출점들도	출점/NNG+들/XSN+도/JX
사업조정	사업/NNG+조정/NNG
대상에	대상/NNG+에/JKB
포함시켜	포함/NNG+시키/XSV+어/EC
현재	현재/MAG
중소상인들의	중소/NNG+상인/NNG+들/XSN+의/JKG
유일한	유일/NNG+하/XSA+ㄴ/ETM
법적	법/NNG+적/XSN
방어수단인	방어/NNG+수단/NNG+이/VCP+ㄴ/ETM
사업조정제도가	사업/NNG+조정/NNG+제도/NNG+가/JKS
무력화되는	무력/NNG+화/XSN+되/XSV+는/ETM
것을	것/NNB+을/JKO
막아야	막/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.37.4.1
실제 중소기업청은 기업형슈퍼 가맹점에 대한 사업조정 적용에 고개를 젓는다.

실제	실제/NNG
중소기업청은	중소기업청/NNG+은/JX
기업형슈퍼	기업/NNG+형/XSN+슈퍼/NNG
가맹점에	가맹점/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사업조정	사업/NNG+조정/NNG
적용에	적용/NNG+에/JKB
고개를	고개/NNG+를/JKO
젓는다.	젓/VV+는다/EF+./SF


# id : NWRW1800000028.37.4.2
중기청 관계자는 “가맹점은 개인사업자가 운영해 현행법상 규제 근거가 없다”며 “인천시 소상공인들이 가맹점에 대해 사업조정 신청을 했기에 법률 검토를 다시 했는데 역시 사업조정 대상이 아닌 것으로 결론 났다”고 말했다.

중기청	중기청/NNG
관계자는	관계자/NNG+는/JX
“가맹점은	“/SS+가맹점/NNG+은/JX
개인사업자가	개인/NNG+사업자/NNG+가/JKS
운영해	운영/NNG+하/XSV+아/EC
현행법상	현행법/NNG+상/XSN
규제	규제/NNG
근거가	근거/NNG+가/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“인천시	“/SS+인천시/NNP
소상공인들이	소/XPN+상공인/NNG+들/XSN+이/JKS
가맹점에	가맹점/NNG+에/JKB
대해	대하/VV+아/EC
사업조정	사업/NNG+조정/NNG
신청을	신청/NNG+을/JKO
했기에	하/VV+았/EP+기에/EC
법률	법률/NNG
검토를	검토/NNG+를/JKO
다시	다시/MAG
했는데	하/VV+았/EP+는데/EC
역시	역시/MAG
대상이	대상/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
것으로	것/NNB+으로/JKB
결론	결론/NNG
났다”고	나/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.37.5.1
하지만 민주사회를 위한 변호사 모임(민변)은 ‘현행법상 대기업의 실질적 지배를 받는 중소기업도 사업조정 대상이 될 수 있는 것처럼 기업형슈퍼 가맹점도 이에 해당된다’는 법률 검토 의견을 최근 밝힌 바 있다.

하지만	하지만/MAJ
민주사회를	민주/NNG+사회/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
변호사	변호사/NNG
모임(민변)은	모임/NNG+(/SS+민변/NNP+)/SS+은/JX
‘현행법상	‘/SS+현행법/NNG+상/XSN
대기업의	대/XPN+기업/NNG+의/JKG
실질적	실질/NNG+적/XSN
지배를	지배/NNG+를/JKO
받는	받/VV+는/ETM
중소기업도	중소기업/NNG+도/JX
사업조정	사업/NNG+조정/NNG
대상이	대상/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것처럼	것/NNB+처럼/JKB
기업형슈퍼	기업/NNG+형/XSN+슈퍼/NNG
가맹점도	가맹점/NNG+도/JX
이에	이/NP+에/JKB
해당된다’는	해당/NNG+되/XSV+ㄴ다/EF+’/SS+는/ETM
법률	법률/NNG
검토	검토/NNG
의견을	의견/NNG+을/JKO
최근	최근/MAG
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.37.5.2
이에 대해서도 중기청 쪽은 “대기업 제조업체가 위장계열사 등으로 중소기업 영역에 뛰어드는 것을 막으려는 조항이며 유통 개인사업자를 규제할 근거는 되지 않는다”고 반박했다.

이에	이/NP+에/JKB
대해서도	대하/VV+아서/EC+도/JX
중기청	중기청/NNG
쪽은	쪽/NNB+은/JX
“대기업	“/SS+대/XPN+기업/NNG
제조업체가	제조업체/NNG+가/JKS
위장계열사	위장/NNG+계열사/NNG
등으로	등/NNB+으로/JKB
중소기업	중소기업/NNG
영역에	영역/NNG+에/JKB
뛰어드는	뛰어들/VV+는/ETM
것을	것/NNB+을/JKO
막으려는	막/VV+으려는/ETM
조항이며	조항/NNG+이/VCP+며/EC
유통	유통/NNG
개인사업자를	개인/NNG+사업자/NNG+를/JKO
규제할	규제/NNG+하/XSV+ㄹ/ETM
근거는	근거/NNG+는/JX
되지	되/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.37.5.3
정부의 이런 유권해석은 사업조정 법제화 취지를 스스로 무력화한다는 비판을 받고 있다.

정부의	정부/NNG+의/JKG
이런	이런/MMD
유권해석은	유권/NNG+해석/NNG+은/JX
사업조정	사업/NNG+조정/NNG
법제화	법제/NNG+화/XSN
취지를	취지/NNG+를/JKO
스스로	스스로/MAG
무력화한다는	무력/NNG+화/XSN+하/XSV+ㄴ다는/ETM
비판을	비판/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.37.5.4
이날 상인 대표 40여명은 이에 항의해 서울 여의도 중소기업중앙회에서 무기한 농성에 들어갔다.

이날	이날/NNG
상인	상인/NNG
대표	대표/NNG
40여명은	40/SN+여/XSN+명/NNB+은/JX
이에	이/NP+에/JKB
항의해	항의/NNG+하/XSV+아/EC
서울	서울/NNP
여의도	여의도/NNP
중소기업중앙회에서	중소기업/NNG+중앙회/NNG+에서/JKB
무기한	무/XPN+기한/NNG
농성에	농성/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.37.6.1
이런 가운데 유통 대기업들은 사업조정을 피할 수 있는 다양한 업태로 동네상권 진입을 가속화하고 있다.

이런	이렇/VA+ㄴ/ETM
가운데	가운데/NNG
유통	유통/NNG
대기업들은	대/XPN+기업/NNG+들/XSN+은/JX
사업조정을	사업/NNG+조정/NNG+을/JKO
피할	피하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
업태로	업태/NNG+로/JKB
동네상권	동네/NNG+상권/NNG
진입을	진입/NNG+을/JKO
가속화하고	가속/NNG+화/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.37.6.2
삼성테스코 홈플러스에 이어 지에스(GS)리테일은 ‘지에스수퍼’ 가맹사업 확대로 업계 1위에 올라서겠다는 새해 전략을 발표했다.

삼성테스코	삼성테스코/NNP
홈플러스에	홈플러스/NNP+에/JKB
이어	잇/VV+어/EC
지에스(GS)리테일은	지에스/NNP+(/SS+GS/SL+)/SS+리테일/NNG+은/JX
‘지에스수퍼’	‘/SS+지에스수퍼/NNP+’/SS
가맹사업	가맹/NNG+사업/NNG
확대로	확대/NNG+로/JKB
업계	업계/NNG
1위에	1/SN+위/NNB+에/JKB
올라서겠다는	올라서/VV+겠/EP+다는/ETM
새해	새해/NNG
전략을	전략/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.37.6.3
또 채소 등 신선식품 판매를 강화한 슈퍼형 편의점도 급속히 늘려갈 계획인데, 슈퍼형 편의점은 이미 300곳 이상 출점해 있다.

또	또/MAG
채소	채소/NNG
등	등/NNB
신선식품	신선식품/NNG
판매를	판매/NNG+를/JKO
강화한	강화/NNG+하/XSV+ㄴ/ETM
슈퍼형	슈퍼/NNG+형/XSN
편의점도	편의점/NNG+도/JX
급속히	급속히/MAG
늘려갈	늘리/VV+어/EC+가/VX+ㄹ/ETM
계획인데,	계획/NNG+이/VCP+ㄴ데/EC+,/SP
편의점은	편의점/NNG+은/JX
이미	이미/MAG
300곳	300/SN+곳/NNG
이상	이상/NNG
출점해	출점/NNG+하/XSV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.37.6.4
롯데쇼핑 ‘마켓999’는 소용량 신선식품·축산물·잡화를 990원 균일가 등으로 파는데, 대형마트 자체상표(PB) 상품을 파는데다 개점 뒤 롯데슈퍼로 간판을 바꿔 단 전력도 있어 위장출점 논란을 불렀다.

롯데쇼핑	롯데쇼핑/NNP
‘마켓999’는	‘/SS+마켓999/NNP+’/SS+는/JX
소용량	소/XPN+용량/NNG
신선식품·축산물·잡화를	신선식품/NNG+·/SP+축산물/NNG+·/SP+잡화/NNG+를/JKO
990원	990/SN+원/NNB
균일가	균일/NNG+가/XSN
등으로	등/NNB+으로/JKB
파는데,	팔/VV+는데/EC+,/SP
대형마트	대형/NNG+마트/NNG
자체상표(PB)	자체/NNG+상표/NNG+(/SS+PB/SL+)/SS
상품을	상품/NNG+을/JKO
파는데다	팔/VV+는/ETM+데/NNB+다/JX
개점	개점/NNG
뒤	뒤/NNG
롯데슈퍼로	롯데슈퍼/NNP+로/JKB
간판을	간판/NNG+을/JKO
바꿔	바꾸/VV+어/EC
단	달/VV+ㄴ/ETM
전력도	전력/NNG+도/JX
있어	있/VA+어/EC
위장출점	위장/NNG+출점/NNG
논란을	논란/NNG+을/JKO
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.37.6.5
하지만 중기청 쪽은 이에 대해서도 “현재로선 99~132㎡의 작은 규모로 주변 파급력이 적어 사업조정 대상이 되긴 힘들다”고 말했다.

하지만	하지만/MAJ
중기청	중기청/NNG
쪽은	쪽/NNB+은/JX
이에	이/NP+에/JKB
대해서도	대하/VV+아서/EC+도/JX
“현재로선	“/SS+현재/NNG+로서/JKB+ㄴ/JX
99~132㎡의	99/SN+~/SO+132/SN+㎡/SW+의/JKG
작은	작/VA+은/ETM
규모로	규모/NNG+로/JKB
주변	주변/NNG
파급력이	파급력/NNG+이/JKS
적어	적/VV+어/EC
사업조정	사업/NNG+조정/NNG
대상이	대상/NNG+이/JKC
되긴	되/VV+기/ETN+ㄴ/JX
힘들다”고	힘들/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.37.7.1
안진걸 참여연대 민생희망팀장은 “정부가 변종 출점에 대응하지 않아 사업조정 의미가 퇴색되고 있다”고 말했다.

안진걸	안진걸/NNP
참여연대	참여연대/NNP
민생희망팀장은	민생/NNG+희망/NNG+팀장/NNG+은/JX
“정부가	“/SS+정부/NNG+가/JKS
변종	변종/NNG
출점에	출점/NNG+에/JKB
대응하지	대응/NNG+하/XSV+지/EC
않아	않/VX+아/EC
사업조정	사업/NNG+조정/NNG
의미가	의미/NNG+가/JKS
퇴색되고	퇴색/NNG+되/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.37.8.1
한편 지식경제부와 중기청은 이번주 안에 중소상인 단체 대표들을 만나 의견 수렴을 할 예정이다.

한편	한편/MAG
지식경제부와	지식/NNG+경제부/NNG+와/JC
중기청은	중기청/NNG+은/JX
이번주	이번/NNG+주/NNG
안에	안/NNG+에/JKB
중소상인	중소/NNG+상인/NNG
단체	단체/NNG
대표들을	대표/NNG+들/XSN+을/JKO
만나	만나/VV+아/EC
의견	의견/NNG
수렴을	수렴/NNG+을/JKO
할	하/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


