# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.354
metadata : {}


# id : NWRW1800000038.354.1.1
정부, 개성공단 인질사태 대비 '비밀 계획' 논의

정부,	정부/NNG+,/SP
회의에 참석했던 류길재 통일부 장관은 이날 기자들과 만나 "(국민이 보기에) 개성공단 주재원, 근로자들의 안전 위협 상황에 대해 정부가 뭔가 대책을 강구해야 하지 않겠느냐"며 "(오늘 회의는) 과거 북한의 위협 때 마련된 대응 지침과 대응책이 있는데, 다시 한 번 상기하고 지금 상황에서 할 수 있는 게 뭔지 다시 짚어보자는 취지였다"고 말했다.

회의에	회의/NNG+에/JKB
참석했던	참석/NNG+하/XSV+았/EP+던/ETM
류길재	류길재/NNP
통일부	통일부/NNG
장관은	장관/NNG+은/JX
이날	이날/NNG
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
"(국민이	"/SS+(/SS+국민/NNG+이/JKS
보기에)	보/VV+기에/EC+)/SS
개성공단	개성공단/NNP
주재원,	주재원/NNG+,/SP
근로자들의	근로자/NNG+들/XSN+의/JKG
안전	안전/NNG
위협	위협/NNG
상황에	상황/NNG+에/JKB
대해	대하/VV+아/EC
정부가	정부/NNG+가/JKS
뭔가	뭐/NP+이/VCP+ㄴ가/EF
대책을	대책/NNG+을/JKO
강구해야	강구/NNG+하/XSV+아야/EC
하지	하/VX+지/EC
않겠느냐"며	않/VX+겠/EP+느냐/EF+"/SS+며/EC
"(오늘	"/SS+(/SS+오늘/NNG
회의는)	회의/NNG+는/JX+)/SS
과거	과거/NNG
북한의	북한/NNP+의/JKG
때	때/NNG
마련된	마련/NNG+되/XSV+ㄴ/ETM
대응	대응/NNG
지침과	지침/NNG+과/JC
대응책이	대응책/NNG+이/JKS
있는데,	있/VA+는데/EC+,/SP
다시	다시/MAG
한	한/MMN
번	번/NNB
상기하고	상기/NNG+하/XSV+고/EC
지금	지금/MAG
상황에서	상황/NNG+에서/JKB
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
게	거/NNB+이/JKS
뭔지	뭐/NP+이/VCP+ㄴ지/EC
짚어보자는	짚/VV+어/EC+보/VX+자는/ETM
취지였다"고	취지/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.354.7.2
정부는 개성공단에서 인질사태가 발생할 경우 중국을 통해 외교적으로 푸는 방안을 집중 논의했으며 국방부는 '비밀 계획'에 대해서도 보고한 것으로 알려졌다.

정부는	정부/NNG+는/JX
개성공단에서	개성공단/NNP+에서/JKB
인질사태가	인질/NNG+사태/NNG+가/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
중국을	중국/NNP+을/JKO
통해	통하/VV+아/EC
외교적으로	외교/NNG+적/XSN+으로/JKB
푸는	풀/VV+는/ETM
방안을	방안/NNG+을/JKO
집중	집중/NNG
논의했으며	논의/NNG+하/XSV+았/EP+으며/EC
국방부는	국방부/NNG+는/JX
'비밀	'/SS+비밀/NNG
계획'에	계획/NNG+'/SS+에/JKB
대해서도	대하/VV+아서/EC+도/JX
보고한	보고/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.354.7.3
군은 유사시에 대비, 한·미 연합으로 인질 구출 훈련도 실시한 바 있다.

군은	군/NNG+은/JX
유사시에	유사시/NNG+에/JKB
대비,	대비/NNG+,/SP
한·미	한·미/NNP
연합으로	연합/NNG+으로/JKB
인질	인질/NNG
구출	구출/NNG
훈련도	훈련/NNG+도/JX
실시한	실시/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.354.8.1
북한은 2008년 12월 우리 민간단체들의 대북 전단 살포를 문제 삼아 공단 출입 횟수를 하루 21회에서 6회로 제한했다.

북한은	북한/NNP+은/JX
2008년	2008/SN+년/NNB
12월	12/SN+월/NNB
우리	우리/NP
민간단체들의	민간단체/NNG+들/XSN+의/JKG
대북	대북/NNG
전단	전단/NNG
살포를	살포/NNG+를/JKO
문제	문제/NNG
삼아	삼/VV+아/EC
공단	공단/NNG
출입	출입/NNG
횟수를	횟수/NNG+를/JKO
하루	하루/NNG
21회에서	21/SN+회/NNB+에서/JKB
6회로	6/SN+회/NNB+로/JKB
제한했다.	제한/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.354.8.2
공단 체류 인원도 1700여명에서 880명으로 반 토막 냈다.

공단	공단/NNG
체류	체류/NNG
인원도	인원/NNG+도/JX
1700여명에서	1700/SN+여/XSN+명/NNB+에서/JKB
880명으로	880/SN+명/NNB+으로/JKB
반	반/NNG
토막	토막/NNG
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.354.8.3
이듬해 3월에는 한·미 연합 키 리졸브 훈련에 반발해 군 통신선을 끊고 세 차례에 걸쳐 육로 통행을 전면 차단했다.

이듬해	이듬해/NNG
3월에는	3/SN+월/NNB+에/JKB+는/JX
한·미	한·미/NNP
연합	연합/NNG
키	키/NNG
리졸브	리졸브/NNG
훈련에	훈련/NNG+에/JKB
반발해	반발/NNG+하/XSV+아/EC
군	군/NNG
통신선을	통신선/NNG+을/JKO
끊고	끊/VV+고/EC
세	세/MMN
차례에	차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
육로	육로/NNG
통행을	통행/NNG+을/JKO
전면	전면/NNG
차단했다.	차단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.354.8.4
개성공단의 현대아산 직원 유성진씨를 "공화국을 비난했다"는 이유로 136일간 억류하기도 했다.

개성공단의	개성공단/NNP+의/JKG
현대아산	현대아산/NNP
직원	직원/NNG
유성진씨를	유성진/NNP+씨/NNB+를/JKO
"공화국을	"/SS+공화국/NNG+을/JKO
비난했다"는	비난/NNG+하/XSV+았/EP+다/EF+"/SS+는/ETM
이유로	이유/NNG+로/JKB
136일간	136/SN+일/NNB+간/XSN
억류하기도	억류/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.354.9.1
일각에선 '선제적 공단 철수론'도 제기되지만 실행하기 쉽지 않다.

일각에선	일각/NNG+에서/JKB+ㄴ/JX
'선제적	'/SS+선제/NNG+적/XSN
공단	공단/NNG
철수론'도	철수/NNG+론/XSN+'/SS+도/JX
제기되지만	제기/NNG+되/XSV+지만/EC
실행하기	실행/NNG+하/XSV+기/ETN
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000038.354.9.2
정부 소식통은 "폐쇄를 하려면 우리 국민 수백 명을 먼저 소개(疏開)해야 하는데 북이 그걸 수수방관하진 않을 것"이라며 "인민군 5개 사단이 에워싼 개성공단에서 우리 국민을 어떻게 구출하느냐가 개성공단 철수 작전의 최대 고민"이라고 했다.

정부	정부/NNG
소식통은	소식통/NNG+은/JX
"폐쇄를	"/SS+폐쇄/NNG+를/JKO
하려면	하/VV+려면/EC
우리	우리/NP
국민	국민/NNG
수백	수백/NR
명을	명/NNB+을/JKO
먼저	먼저/MAG
소개(疏開)해야	소개/NNG+(/SS+疏開/SH+)/SS+하/XSV+아야/EC
하는데	하/VX+는데/EC
북이	북/NNP+이/JKS
그걸	그거/NP+ㄹ/JKO
수수방관하진	수수방관/NNG+하/XSV+지/EC+ㄴ/JX
않을	않/VX+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"인민군	"/SS+인민군/NNG
5개	5/SN+개/NNB
사단이	사단/NNG+이/JKS
에워싼	에워싸/VV+ㄴ/ETM
개성공단에서	개성공단/NNP+에서/JKB
국민을	국민/NNG+을/JKO
어떻게	어떻/VA+게/EC
구출하느냐가	구출/NNG+하/XSV+느냐/EF+가/JKS
개성공단	개성공단/NNP
철수	철수/NNG
작전의	작전/NNG+의/JKG
최대	최대/NNG
고민"이라고	고민/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.354.10.1
한편 박 대통령은 이날 회의에서 "북한 도발 시 강력하게 응징하는 것이 필수지만 그보다는 강력한 외교적·군사적 억지력으로 북한이 감히 도발할 생각을 갖지 못하도록 하는 것이 중요하다"며 "외교·안보 부서들은 현 상황에 대한 냉철한 인식을 토대로 만반의 대응 체제를 갖춰달라"고 주문했다.

한편	한편/MAG
박	박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
회의에서	회의/NNG+에서/JKB
"북한	"/SS+북한/NNP
도발	도발/NNG
시	시/NNB
강력하게	강력/NNG+하/XSA+게/EC
응징하는	응징/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
필수지만	필수/NNG+이/VCP+지만/EC
그보다는	그/NP+보다/JKB+는/JX
강력한	강력/NNG+하/XSA+ㄴ/ETM
외교적·군사적	외교/NNG+적/XSN+·/SP+군사/NNG+적/XSN
억지력으로	억지력/NNG+으로/JKB
북한이	북한/NNP+이/JKS
감히	감히/MAG
도발할	도발/NNG+하/XSV+ㄹ/ETM
생각을	생각/NNG+을/JKO
갖지	갖/VV+지/EC
못하도록	못하/VX+도록/EC
하는	하/VX+는/ETM
중요하다"며	중요/NNG+하/XSA+다/EF+"/SS+며/EC
"외교·안보	"/SS+외교/NNG+·/SP+안보/NNG
부서들은	부서/NNG+들/XSN+은/JX
현	현/MMD
상황에	상황/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
냉철한	냉철하/VA+ㄴ/ETM
인식을	인식/NNG+을/JKO
토대로	토대/NNG+로/JKB
만반의	만반/NNG+의/JKG
대응	대응/NNG
체제를	체제/NNG+를/JKO
갖춰달라"고	갖추/VV+어/EC+달/VX+라/EF+"/SS+고/JKQ
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


