# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.72
metadata : {}


# id : NWRW1800000041.72.1.1
[CEO&]㈜도스코, 35년 외길… 고품질 특수강·열처리 ‘메카’

[CEO&]㈜도스코,	[/SS+CEO/SL+&/SW+]/SS+㈜/SW+도스코/NNP+,/SP
지금은	지금/NNG+은/JX
㈜도스코	㈜/SW+도스코/NNP
제품을	제품/NNG+을/JKO
수입하고	수입/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.72.2.7
또 미국과 남미, 유럽 등 전 세계 20여 개국에 수출되며 품질경쟁력을 인정받고 있다.

또	또/MAG
미국과	미국/NNP+과/JC
남미,	남미/NNP+,/SP
유럽	유럽/NNP
등	등/NNB
전	전/MMN
세계	세계/NNG
20여	20/SN+여/XSN
개국에	개국/NNB+에/JKB
수출되며	수출/NNG+되/XSV+며/EC
품질경쟁력을	품질/NNG+경쟁력/NNG+을/JKO
인정받고	인정/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.72.3.1
주력 생산 품목은 특수마대강을 전기로에서 연속공정으로 열처리해 여러 가지 기계적 성질을 향상시킨 탄소공구강, 탄소강, 합금공구강, 스테인리스 스틸 등이다.

주력	주력/NNG
생산	생산/NNG
품목은	품목/NNG+은/JX
특수마대강을	특수/NNG+마대강/NNG+을/JKO
전기로에서	전기로/NNG+에서/JKB
연속공정으로	연속/NNG+공정/NNG+으로/JKB
열처리해	열처리/NNG+하/XSV+아/EC
여러	여러/MMN
가지	가지/NNB
기계적	기계/NNG+적/XSN
성질을	성질/NNG+을/JKO
향상시킨	향상/NNG+시키/XSV+ㄴ/ETM
탄소공구강,	탄소/NNG+공구강/NNG+,/SP
탄소강,	탄소강/NNG+,/SP
합금공구강,	합금/NNG+공구강/NNG+,/SP
스테인리스	스테인리스/NNG
스틸	스틸/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.72.3.2
특히 30년 전부터 일본 수입에 의존하던 대형 톱 자재를 자체 기술로 국산화하며 수입대체 효과를 내는 성과를 올렸다.

특히	특히/MAG
30년	30/SN+년/NNB
전부터	전/NNG+부터/JX
일본	일본/NNP
수입에	수입/NNG+에/JKB
의존하던	의존/NNG+하/XSV+던/ETM
대형	대형/NNG
톱	톱/NNG
자재를	자재/NNG+를/JKO
자체	자체/NNG
기술로	기술/NNG+로/JKB
국산화하며	국산/NNG+화/XSN+하/XSV+며/EC
수입대체	수입/NNG+대체/NNG
효과를	효과/NNG+를/JKO
내는	내/VV+는/ETM
성과를	성과/NNG+를/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.72.3.3
톱 재료는 지금도 연간 500∼600t이 동남아 시장에 수출되고 있다.

톱	톱/NNG
재료는	재료/NNG+는/JX
지금도	지금/NNG+도/JX
연간	연간/NNG
500∼600t이	500/SN+∼/SO+600/SN+t/SW+이/JKS
동남아	동남아/NNP
시장에	시장/NNG+에/JKB
수출되고	수출/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.72.4.1
조 대표가 성공의 원동력으로 강조하는 것은 세 가지다.

조	조/NNP
대표가	대표/NNG+가/JKS
성공의	성공/NNG+의/JKG
원동력으로	원동력/NNG+으로/JKB
강조하는	강조/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
세	세/MMN
가지다.	가지/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.72.4.2
35년간 현장에서 갈고닦아 온 숙련기술, 전폭적인 신뢰를 보내는 고객사, 그리고 사람 중심의 경영이다.

35년간	35/SN+년/NNB+간/XSN
현장에서	현장/NNG+에서/JKB
갈고닦아	갈고닦/VV+아/EC
온	오/VX+ㄴ/ETM
숙련기술,	숙련/NNG+기술/NNG+,/SP
전폭적인	전폭/NNG+적/XSN+이/VCP+ㄴ/ETM
신뢰를	신뢰/NNG+를/JKO
보내는	보내/VV+는/ETM
고객사,	고객사/NNG+,/SP
그리고	그리고/MAJ
사람	사람/NNG
중심의	중심/NNG+의/JKG
경영이다.	경영/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.72.4.3
조 대표는 “평균 근속연수가 25년이 넘는 숙련된 인력들이 회사의 성장엔진”이라며 “직원들이 정년 걱정 없이 일할 수 있는 행복한 일터를 만들고, 세금을 많이 내는 건강한 기업을 일구는 게 도스코가 지향하는 목표”라고 밝혔다.

조	조/NNP
대표는	대표/NNG+는/JX
“평균	“/SS+평균/NNG
근속연수가	근속/NNG+연수/NNG+가/JKS
25년이	25/SN+년/NNB+이/JKS
넘는	넘/VV+는/ETM
숙련된	숙련/NNG+되/XSV+ㄴ/ETM
인력들이	인력/NNG+들/XSN+이/JKS
회사의	회사/NNG+의/JKG
성장엔진”이라며	성장/NNG+엔진/NNG+”/SS+이/VCP+라며/EC
“직원들이	“/SS+직원/NNG+들/XSN+이/JKS
정년	정년/NNG
걱정	걱정/NNG
없이	없이/MAG
일할	일/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
행복한	행복/NNG+하/XSA+ㄴ/ETM
일터를	일터/NNG+를/JKO
만들고,	만들/VV+고/EC+,/SP
세금을	세금/NNG+을/JKO
많이	많이/MAG
내는	내/VV+는/ETM
건강한	건강/NNG+하/XSA+ㄴ/ETM
기업을	기업/NNG+을/JKO
일구는	일구/VV+는/ETM
게	거/NNB+이/JKS
도스코가	도스코/NNP+가/JKS
지향하는	지향/NNG+하/XSV+는/ETM
목표”라고	목표/NNG+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.72.5.1
한편, ㈜도스코는 최근 변신의 옷을 입고 있다.

한편,	한편/MAG+,/SP
㈜도스코는	㈜/SW+도스코/NNP+는/JX
최근	최근/MAG
변신의	변신/NNG+의/JKG
옷을	옷/NNG+을/JKO
입고	입/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.72.5.2
사업다각화 차원에서 올해 엔터테인먼트 문화 사업에 진출할 계획이다.

사업다각화	사업/NNG+다각/NNG+화/XSN
차원에서	차원/NNG+에서/JKB
올해	올해/NNG
엔터테인먼트	엔터테인먼트/NNG
문화	문화/NNG
사업에	사업/NNG+에/JKB
진출할	진출/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.72.5.3
조 대표의 아들인 조형래 씨가 선두에 섰다.

조	조/NNP
대표의	대표/NNG+의/JKG
아들인	아들/NNG+이/VCP+ㄴ/ETM
조형래	조형래/NNP
씨가	씨/NNB+가/JKS
선두에	선두/NNG+에/JKB
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.72.5.4
젊고 빠른 조직문화를 이식해 다시 한 번 도약하겠다는 각오다.

젊고	젊/VA+고/EC
빠른	빠르/VA+ㄴ/ETM
조직문화를	조직/NNG+문화/NNG+를/JKO
이식해	이식/NNG+하/XSV+아/EC
다시	다시/MAG
한	한/MMN
번	번/NNB
도약하겠다는	도약/NNG+하/XSV+겠/EP+다는/ETM
각오다.	각오/NNG+이/VCP+다/EF+./SF


