# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.222
metadata : {}


# id : NWRW1800000021.222.1.1
[Weekend/서영수 전문기자의 사진 이야기]포토샵, 양심까지 ‘뽀샵’해서야

[Weekend/서영수	[/SS+Weekend/SL+//SP+서영수/NNP
150여	150/SN+여/XSN
년이	년/NNB+이/JKS
흐른	흐르/VV+ㄴ/ETM
지금,	지금/MAG+,/SP
사진은	사진/NNG+은/JX
다시	다시/MAG
회화의	회화/NNG+의/JKG
뒤를	뒤/NNG+를/JKO
쫓아	쫓/VV+아/EC
관념의	관념/NNG+의/JKG
세계를	세계/NNG+를/JKO
넘보고	넘보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.222.3.1
사진은 사물을 있는 그대로 묘사하지만 추상적 관념까지 찍지는 못한다.

사진은	사진/NNG+은/JX
사물을	사물/NNG+을/JKO
있는	있/VA+는/ETM
그대로	그대로/MAG
묘사하지만	묘사/NNG+하/XSV+지만/EC
추상적	추상/NNG+적/XSN
관념까지	관념/NNG+까지/JX
찍지는	찍/VV+지/EC+는/JX
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.222.3.2
카메라는 찍을 수 없는 것, 찍는 것만으로 표현할 수 없는 것이 너무나 많다.

카메라는	카메라/NNG+는/JX
찍을	찍/VV+을/ETM
수	수/NNB
없는	없/VA+는/ETM
것,	것/NNB+,/SP
찍는	찍/VV+는/ETM
것만으로	것/NNB+만/JX+으로/JKB
표현할	표현/NNG+하/XSV+ㄹ/ETM
것이	것/NNB+이/JKS
너무나	너무나/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000021.222.3.3
사랑과 우정, 시기와 질투 같은 추상적 개념들을 ‘빛의 반사’만으로 표현하기는 어렵다.

사랑과	사랑/NNG+과/JC
우정,	우정/NNG+,/SP
시기와	시기/NNG+와/JC
질투	질투/NNG
같은	같/VA+은/ETM
추상적	추상/NNG+적/XSN
개념들을	개념/NNG+들/XSN+을/JKO
‘빛의	‘/SS+빛/NNG+의/JKG
반사’만으로	반사/NNG+’/SS+만/JX+으로/JKB
표현하기는	표현/NNG+하/XSV+기/ETN+는/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000021.222.3.4
이런 추상적 개념을 좋은 피사체를 통해 간접적으로 잘 표현해낸다면 그 사진은 훌륭하다는 평가를 받을 수밖에 없다.

이런	이런/MMD
추상적	추상/NNG+적/XSN
개념을	개념/NNG+을/JKO
좋은	좋/VA+은/ETM
피사체를	피사체/NNG+를/JKO
통해	통하/VV+아/EC
간접적으로	간접/NNG+적/XSN+으로/JKB
잘	잘/MAG
표현해낸다면	표현/NNG+하/XSV+아/EC+내/VX+ㄴ다면/EC
그	그/MMD
사진은	사진/NNG+은/JX
훌륭하다는	훌륭하/VA+다는/ETM
평가를	평가/NNG+를/JKO
받을	받/VV+을/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000021.222.4.1
○ 포토샵, 그 딜레마

○	○/SW
포토샵,	포토샵/NNG+,/SP
그	그/MMD
딜레마	딜레마/NNG


# id : NWRW1800000021.222.5.1
디지털카메라와 함께 등장한 포토샵은 사진을 쉽사리 변형, 조작할 수 있게 만들었는데 사진가들에게는 이전에는 꿈도 못 꾸었던 추상적 개념도 실현할 수 있게 하여 ‘표현의 자유’라는 날개를 달아주었다.

디지털카메라와	디지털카메라/NNG+와/JKB
함께	함께/MAG
등장한	등장/NNG+하/XSV+ㄴ/ETM
포토샵은	포토샵/NNG+은/JX
사진을	사진/NNG+을/JKO
쉽사리	쉽사리/MAG
변형,	변형/NNG+,/SP
조작할	조작/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
만들었는데	만들/VV+었/EP+는데/EC
사진가들에게는	사진가/NNG+들/XSN+에게/JKB+는/JX
이전에는	이전/NNG+에/JKB+는/JX
꿈도	꿈/NNG+도/JX
못	못/MAG
꾸었던	꾸/VV+었/EP+던/ETM
추상적	추상/NNG+적/XSN
개념도	개념/NNG+도/JX
실현할	실현/NNG+하/XSV+ㄹ/ETM
하여	하/VX+아/EC
‘표현의	‘/SS+표현/NNG+의/JKG
자유’라는	자유/NNG+’/SS+이/VCP+라는/ETM
날개를	날개/NNG+를/JKO
달아주었다.	달/VV+아/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.222.5.2
사진을 찍는(take) 것이 아니라 자기가 만들고(make) 싶은 대로 혹은 그림처럼 그리도록 만들면서 사진의 개념과 영역도 확장시켰다.

사진을	사진/NNG+을/JKO
찍는(take)	찍/VV+는/ETM+(/SS+take/SL+)/SS
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
자기가	자기/NNG+가/JKS
만들고(make)	만들/VV+고/EC+(/SS+make/SL+)/SS
싶은	싶/VX+은/ETM
대로	대로/NNB
혹은	혹은/MAG
그림처럼	그림/NNG+처럼/JKB
그리도록	그리/VV+도록/EC
만들면서	만들/VV+면서/EC
사진의	사진/NNG+의/JKG
개념과	개념/NNG+과/JC
영역도	영역/NNG+도/JX
확장시켰다.	확장/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.222.5.3
아날로그시대에도 암실작업을 통해 이런 개념을 실현했지만 포토샵의 능력과는 비교가 되지 않는다.

아날로그시대에도	아날로그/NNG+시대/NNG+에/JKB+도/JX
암실작업을	암실/NNG+작업/NNG+을/JKO
통해	통하/VV+아/EC
이런	이런/MMD
개념을	개념/NNG+을/JKO
실현했지만	실현/NNG+하/XSV+았/EP+지만/EC
포토샵의	포토샵/NNG+의/JKG
능력과는	능력/NNG+과/JKB+는/JX
비교가	비교/NNG+가/JKC
되지	되/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000021.222.5.4
포토샵을 이용해 사진을 만드는 작업은 연출사진(making photo) 개념에 속하는 것으로 전통적 사진영역을 넘어 현대사진의 한 장르이자 미술의 한 범주를 차지하고 있다.

포토샵을	포토샵/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
사진을	사진/NNG+을/JKO
만드는	만들/VV+는/ETM
작업은	작업/NNG+은/JX
연출사진(making	연출/NNG+사진/NNG+(/SS+making/SL
photo)	photo/SL+)/SS
개념에	개념/NNG+에/JKB
속하는	속하/VV+는/ETM
것으로	것/NNB+으로/JKB
전통적	전통/NNG+적/XSN
사진영역을	사진/NNG+영역/NNG+을/JKO
넘어	넘/VV+어/EC
현대사진의	현대/NNG+사진/NNG+의/JKG
한	한/MMN
장르이자	장르/NNG+이/VCP+자/EC
미술의	미술/NNG+의/JKG
범주를	범주/NNG+를/JKO
차지하고	차지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.222.5.5
최근 어떤 사진가는 자신을 사진가라고 부르지 말고 아티스트라 불러달라고 말한다.

최근	최근/NNG
어떤	어떤/MMD
사진가는	사진가/NNG+는/JX
자신을	자신/NNG+을/JKO
사진가라고	사진가/NNG+이/VCP+라고/EC
부르지	부르/VV+지/EC
말고	말/VX+고/EC
아티스트라	아티스트/NNG+이/VCP+라/EC
불러달라고	부르/VV+어/EC+달/VX+라고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.222.5.6
‘사진’에 대한 전통적인 제약에서 자유롭고 싶다는 심중을 드러낸 말이다.

‘사진’에	‘/SS+사진/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
전통적인	전통/NNG+적/XSN+이/VCP+ㄴ/ETM
제약에서	제약/NNG+에서/JKB
자유롭고	자유/NNG+롭/XSA+고/EC
싶다는	싶/VX+다는/ETM
심중을	심중/NNG+을/JKO
드러낸	드러내/VV+ㄴ/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.222.6.1
○ 사진에서 포토샵은 축복인가?

○	○/SW
사진에서	사진/NNG+에서/JKB
포토샵은	포토샵/NNG+은/JX
축복인가?	축복/NNG+이/VCP+ㄴ가/EF+?/SF


# id : NWRW1800000021.222.7.1
최근 포토샵이 가져다주는 사진의 무한한 표현력 확대라는 이런 순기능이 의외의 문제점을 야기하고 있다.

최근	최근/NNG
포토샵이	포토샵/NNG+이/JKS
가져다주는	가져다주/VV+는/ETM
사진의	사진/NNG+의/JKG
무한한	무한/NNG+하/XSA+ㄴ/ETM
표현력	표현력/NNG
확대라는	확대/NNG+이/VCP+라는/ETM
이런	이런/MMD
순기능이	순기능/NNG+이/JKS
의외의	의외/NNG+의/JKG
문제점을	문제점/NNG+을/JKO
야기하고	야기/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.222.7.2
포토샵으로 변형한 사진을 어디까지 ‘사진’으로 볼 것인지에 대한 혼란과 포토샵의 오·남용으로 인한 사회적 폐해가 그것이다.

포토샵으로	포토샵/NNG+으로/JKB
변형한	변형/NNG+하/XSV+ㄴ/ETM
사진을	사진/NNG+을/JKO
어디까지	어디/NP+까지/JX
‘사진’으로	‘/SS+사진/NNG+’/SS+으로/JKB
볼	보/VV+ㄹ/ETM
것인지에	것/NNB+이/VCP+ㄴ지/EC+에/JKB
대한	대하/VV+ㄴ/ETM
혼란과	혼란/NNG+과/JC
포토샵의	포토샵/NNG+의/JKG
오·남용으로	오·남용/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
사회적	사회/NNG+적/XSN
폐해가	폐해/NNG+가/JKS
그것이다.	그것/NP+이/VCP+다/EF+./SF


# id : NWRW1800000021.222.8.1
20세기 이전까지 사진의 가장 중요한 존재이유는 ‘기록성’에 있었다.

20세기	20/SN+세기/NNG
이전까지	이전/NNG+까지/JX
사진의	사진/NNG+의/JKG
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
존재이유는	존재/NNG+이유/NNG+는/JX
‘기록성’에	‘/SS+기록/NNG+성/XSN+’/SS+에/JKB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.222.8.2
사진만큼 현실을 그대로 재현해줄 매체는 없었고, 그것은 지금도 크게 다르지 않다.

사진만큼	사진/NNG+만큼/JKB
현실을	현실/NNG+을/JKO
그대로	그대로/MAG
재현해줄	재현/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
매체는	매체/NNG+는/JX
없었고,	없/VA+었/EP+고/EC+,/SP
그것은	그것/NP+은/JX
지금도	지금/NNG+도/JX
크게	크/VA+게/EC
다르지	다르/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000021.222.8.3
따라서 보도사진이라든지 다큐멘터리 분야 등에서 지금도 기록성은 여전히 유효한 덕목이다.

따라서	따라서/MAJ
보도사진이라든지	보도/NNG+사진/NNG+이/VCP+라든지/EC
다큐멘터리	다큐멘터리/NNG
분야	분야/NNG
등에서	등/NNB+에서/JKB
지금도	지금/NNG+도/JX
기록성은	기록/NNG+성/XSN+은/JX
여전히	여전히/MAG
유효한	유효/NNG+하/XSA+ㄴ/ETM
덕목이다.	덕목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.222.9.1
하지만 예술로서 사진은 크게 요동치고 있다.

하지만	하지만/MAJ
예술로서	예술/NNG+로서/JKB
사진은	사진/NNG+은/JX
크게	크/VA+게/EC
요동치고	요동치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.222.9.2
사진으로 그림을 그리는 장르 파괴가 그것이다.

사진으로	사진/NNG+으로/JKB
그림을	그림/NNG+을/JKO
그리는	그리/VV+는/ETM
장르	장르/NNG
파괴가	파괴/NNG+가/JKS
그것이다.	그것/NP+이/VCP+다/EF+./SF


# id : NWRW1800000021.222.9.3
포토샵으로 사진을 가공, 재가공하면 전혀 사진 같지 않은 사진이 만들어지는 것이다.

포토샵으로	포토샵/NNG+으로/JKB
사진을	사진/NNG+을/JKO
가공,	가공/NNG+,/SP
재가공하면	재/XPN+가공/NNG+하/XSV+면/EC
전혀	전혀/MAG
사진	사진/NNG
같지	같/VA+지/EC
않은	않/VX+은/ETM
사진이	사진/NNG+이/JKS
만들어지는	만들/VV+어/EC+지/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.222.9.4
이런 시도가 한때의 유행으로 끝날지 정착할지는 현재로선 아무도 모른다.

이런	이런/MMD
시도가	시도/NNG+가/JKS
한때의	한때/NNG+의/JKG
유행으로	유행/NNG+으로/JKB
끝날지	끝나/VV+ㄹ지/EC
정착할지는	정착/NNG+하/XSV+ㄹ지/EC+는/JX
현재로선	현재/NNG+로서/JKB+ㄴ/JX
아무도	아무/NP+도/JX
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.222.9.5
이를 두고 사진의 전통적 사실성에 익숙한 사진계가 별다른 대안 없이 새로운 형태의 예술사진을 애써 무시하는 것은 소극적인 영역 지키기나 다름 없다.

이를	이/NP+를/JKO
두고	두/VV+고/EC
사진의	사진/NNG+의/JKG
전통적	전통/NNG+적/XSN
사실성에	사실/NNG+성/XSN+에/JKB
익숙한	익숙하/VA+ㄴ/ETM
사진계가	사진/NNG+계/XSN+가/JKS
별다른	별다르/VA+ㄴ/ETM
대안	대안/NNG
없이	없이/MAG
새로운	새롭/VA+ㄴ/ETM
형태의	형태/NNG+의/JKG
예술사진을	예술/NNG+사진/NNG+을/JKO
애써	애쓰/VV+어/EC
무시하는	무시/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
소극적인	소극/NNG+적/XSN+이/VCP+ㄴ/ETM
영역	영역/NNG
지키기나	지키/VV+기/ETN+나/JX
다름	다르/VA+ㅁ/ETN
없다.	없/VA+다/EF+./SF


# id : NWRW1800000021.222.10.1
왜냐하면 미술을 전공한 작가들이 사진을 오브제로 이용하거나 포토샵을 이용한 사진 작업으로 그림과 사진의 경계를 자유롭게 넘나들며 다양한 작품세계를 선보이는 데 비해 사진계만 포토샵을 이용한 사진을 문제시한다면 사진의 다양성을 인정하지 않는 처사이기 때문이다.

왜냐하면	왜냐하면/MAG
미술을	미술/NNG+을/JKO
전공한	전공/NNG+하/XSV+ㄴ/ETM
작가들이	작가/NNG+들/XSN+이/JKS
사진을	사진/NNG+을/JKO
오브제로	오브제/NNG+로/JKB
이용하거나	이용/NNG+하/XSV+거나/EC
포토샵을	포토샵/NNG+을/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
사진	사진/NNG
작업으로	작업/NNG+으로/JKB
그림과	그림/NNG+과/JC
사진의	사진/NNG+의/JKG
경계를	경계/NNG+를/JKO
자유롭게	자유/NNG+롭/XSA+게/EC
넘나들며	넘나들/VV+며/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
작품세계를	작품/NNG+세계/NNG+를/JKO
선보이는	선보이/VV+는/ETM
데	데/NNB
비해	비/NNG+하/XSV+아/EC
사진계만	사진/NNG+계/XSN+만/JX
문제시한다면	문제/NNG+시/XSN+하/XSV+ㄴ다면/EC
다양성을	다양/NNG+성/XSN+을/JKO
인정하지	인정/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
처사이기	처사/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.222.10.2
사진의 장르로 인정하고 다양한 사진실험을 해본 뒤 논란거리를 제기해도 늦지 않다는 생각이다.

사진의	사진/NNG+의/JKG
장르로	장르/NNG+로/JKB
인정하고	인정/NNG+하/XSV+고/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
사진실험을	사진/NNG+실험/NNG+을/JKO
해본	하/VV+아/EC+보/VX+ㄴ/ETM
뒤	뒤/NNG
논란거리를	논란거리/NNG+를/JKO
제기해도	제기/NNG+하/XSV+아도/EC
늦지	늦/VA+지/EC
않다는	않/VX+다는/ETM
생각이다.	생각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.222.10.3
비옷보다 우산을 찾는 사람이 많은데 비옷만 만들고 있다면 이는 고지식한 행위일 것이다.

비옷보다	비옷/NNG+보다/JKB
우산을	우산/NNG+을/JKO
찾는	찾/VV+는/ETM
사람이	사람/NNG+이/JKS
많은데	많/VA+은데/EC
비옷만	비옷/NNG+만/JX
만들고	만들/VV+고/EC
있다면	있/VX+다면/EC
이는	이/NP+는/JX
고지식한	고지식하/VA+ㄴ/ETM
행위일	행위/NNG+이/VCP+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.222.11.1
포토샵의 문제점 중에는 오·남용 부분이 가장 크다.

포토샵의	포토샵/NNG+의/JKG
문제점	문제점/NNG
중에는	중/NNB+에/JKB+는/JX
오·남용	오·남용/NNG
부분이	부분/NNG+이/JKS
가장	가장/MAG
크다.	크/VA+다/EF+./SF


# id : NWRW1800000021.222.11.2
이것은 사진가들만의 문제가 아니라 일반인도 포함된 사회 전반의 문제이기 때문이다.

이것은	이것/NP+은/JX
사진가들만의	사진가/NNG+들/XSN+만/JX+의/JKG
문제가	문제/NNG+가/JKC
아니라	아니/VCN+라/EC
일반인도	일반인/NNG+도/JX
포함된	포함/NNG+되/XSV+ㄴ/ETM
사회	사회/NNG
전반의	전반/NNG+의/JKG
문제이기	문제/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.222.11.3
일반인의 경우 얼굴의 점을 없애고 턱선을 깎아 만든 사진으로 여권을 만들어 해외를 방문했다 거절당한 일이 있는가 하면 수능시험에서 수험표 사진과 본인이 달라 시험을 보지 못할 뻔한 일도 있었다.

일반인의	일반인/NNG+의/JKG
경우	경우/NNG
얼굴의	얼굴/NNG+의/JKG
점을	점/NNG+을/JKO
없애고	없애/VV+고/EC
턱선을	턱선/NNG+을/JKO
깎아	깎/VV+아/EC
만든	만들/VV+ㄴ/ETM
사진으로	사진/NNG+으로/JKB
여권을	여권/NNG+을/JKO
만들어	만들/VV+어/EC
해외를	해외/NNG+를/JKO
방문했다	방문/NNG+하/XSV+았/EP+다/EC
거절당한	거절/NNG+당하/XSV+ㄴ/ETM
일이	일/NNG+이/JKS
있는가	있/VA+는가/EF
하면	하/VV+면/EC
수능시험에서	수능/NNG+시험/NNG+에서/JKB
수험표	수험표/NNG
사진과	사진/NNG+과/JKB
본인이	본인/NNG+이/JKS
달라	다르/VA+아/EC
시험을	시험/NNG+을/JKO
보지	보/VV+지/EC
못할	못하/VX+ㄹ/ETM
뻔한	뻔/NNB+하/XSA+ㄴ/ETM
일도	일/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.222.11.4
누드 사진에 여자 연예인의 얼굴을 따다 붙여 인터넷에 올리는 행위도 대표적인 포토샵 오·남용 사례다.

누드	누드/NNG
사진에	사진/NNG+에/JKB
여자	여자/NNG
연예인의	연예인/NNG+의/JKG
얼굴을	얼굴/NNG+을/JKO
따다	따/VV+아다/EC
붙여	붙이/VV+어/EC
인터넷에	인터넷/NNG+에/JKB
올리는	올리/VV+는/ETM
행위도	행위/NNG+도/JX
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
포토샵	포토샵/NNG
오·남용	오·남용/NNG
사례다.	사례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.222.11.5
이처럼 만들어진이 인터넷 등 다양한 경로를 통해 하루에도 수없이 유통되는데 상당수 사진이 진위 여부를 알기 힘들다는 데 그 위험성이 도사리고 있다.

이처럼	이/NP+처럼/JKB
만들어진이	만들/VV+어/EC+지/VX+ㄴ/ETM+이/NA
인터넷	인터넷/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
경로를	경로/NNG+를/JKO
통해	통하/VV+아/EC
하루에도	하루/NNG+에/JKB+도/JX
수없이	수없이/MAG
유통되는데	유통/NNG+되/XSV+는데/EC
상당수	상당수/NNG
사진이	사진/NNG+이/JKS
진위	진위/NNG
여부를	여부/NNG+를/JKO
알기	알/VV+기/ETN
힘들다는	힘들/VA+다는/ETM
데	데/NNB
그	그/MMD
위험성이	위험/NNG+성/XSN+이/JKS
도사리고	도사리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.222.12.1
사진계의 부작용도 심각하다.

사진계의	사진/NNG+계/XSN+의/JKG
부작용도	부작용/NNG+도/JX
심각하다.	심각하/VA+다/EF+./SF


# id : NWRW1800000021.222.12.2
한국사진작가협회에 따르면 2005년 기준으로 전국에는 대략 198개 정도의 사진 공모전이 있고 기타 신문이나 인터넷을 통해 공모하는 사진전을 포함하면 200개가 훨씬 넘는다.

한국사진작가협회에	한국사진작가협회/NNP+에/JKB
따르면	따르/VV+면/EC
2005년	2005/SN+년/NNB
기준으로	기준/NNG+으로/JKB
전국에는	전국/NNG+에/JKB+는/JX
대략	대략/MAG
198개	198/SN+개/NNB
정도의	정도/NNG+의/JKG
사진	사진/NNG
공모전이	공모전/NNG+이/JKS
있고	있/VA+고/EC
기타	기타/NNG
신문이나	신문/NNG+이나/JC
인터넷을	인터넷/NNG+을/JKO
통해	통하/VV+아/EC
공모하는	공모/NNG+하/XSV+는/ETM
사진전을	사진전/NNG+을/JKO
포함하면	포함/NNG+하/XSV+면/EC
200개가	200/SN+개/NNB+가/JKS
훨씬	훨씬/MAG
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000021.222.12.3
이곳에 출품되는 사진 중 상당수는 포토샵으로 수정 작업을 거치는 것으로 전문가들은 보고 있다.

이곳에	이곳/NP+에/JKB
출품되는	출품/NNG+되/XSV+는/ETM
사진	사진/NNG
중	중/NNB
상당수는	상당수/NNG+는/JX
포토샵으로	포토샵/NNG+으로/JKB
수정	수정/NNG
작업을	작업/NNG+을/JKO
거치는	거치/VV+는/ETM
것으로	것/NNB+으로/JKB
전문가들은	전문가/NNG+들/XSN+은/JX
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.222.12.4
정도의 차이는 있지만 화상에 나타난 간단한 먼지 제거에서부터 색의 변환을 통한 효과 극대화, 없는 상황을 만들어 붙이는 재창조에 이르기까지 다양하다.

정도의	정도/NNG+의/JKG
차이는	차이/NNG+는/JX
있지만	있/VA+지만/EC
화상에	화상/NNG+에/JKB
나타난	나타나/VV+ㄴ/ETM
간단한	간단하/VA+ㄴ/ETM
먼지	먼지/NNG
제거에서부터	제거/NNG+에서부터/JKB
색의	색/NNG+의/JKG
변환을	변환/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
효과	효과/NNG
극대화,	극대/NNG+화/XSN+,/SP
없는	없/VA+는/ETM
상황을	상황/NNG+을/JKO
만들어	만들/VV+어/EC
붙이는	붙이/VV+는/ETM
재창조에	재/XPN+창조/NNG+에/JKB
이르기까지	이르/VV+기/ETN+까지/JX
다양하다.	다양/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000021.222.12.5
급기야 올해 대한민국사진대전에서는 포토샵을 이용한 사진조작이 적발되어 대상 수상이 취소되는 사건까지 벌어졌다.

급기야	급기야/MAG
올해	올해/NNG
대한민국사진대전에서는	대한민국/NNP+사진/NNG+대전/NNG+에서/JKB+는/JX
포토샵을	포토샵/NNG+을/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
사진조작이	사진/NNG+조작/NNG+이/JKS
적발되어	적발/NNG+되/XSV+어/EC
대상	대상/NNG
수상이	수상/NNG+이/JKS
취소되는	취소/NNG+되/XSV+는/ETM
사건까지	사건/NNG+까지/JX
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.222.12.6
이와 유사한 사건은 이미 2005, 2006년에도 있었다.

이와	이/NP+와/JKB
유사한	유사/NNG+하/XSA+ㄴ/ETM
사건은	사건/NNG+은/JX
이미	이미/MAG
2005,	2005/SN+,/SP
2006년에도	2006/SN+년/NNB+에/JKB+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.222.13.1
○ 포토샵이 유죄인가?

○	○/SW
포토샵이	포토샵/NNG+이/JKS
유죄인가?	유죄/NNG+이/VCP+ㄴ가/EF+?/SF


# id : NWRW1800000021.222.14.1
사진이 사실 유무를 알릴 때 수정이나 조작이 있다면 진실은 왜곡되고, 객관적인 증거자료로서의 존재가치를 상실한다.

사진이	사진/NNG+이/JKS
사실	사실/NNG
유무를	유무/NNG+를/JKO
알릴	알리/VV+ㄹ/ETM
때	때/NNG
수정이나	수정/NNG+이나/JC
조작이	조작/NNG+이/JKS
있다면	있/VA+다면/EC
진실은	진실/NNG+은/JX
왜곡되고,	왜곡/NNG+되/XSV+고/EC+,/SP
객관적인	객관/NNG+적/XSN+이/VCP+ㄴ/ETM
증거자료로서의	증거/NNG+자료/NNG+로서/JKB+의/JKG
존재가치를	존재/NNG+가치/NNG+를/JKO
상실한다.	상실/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.222.14.2
보도사진이나 다큐멘터리의 이미지를 미화하거나 조작하는 순간 그 사진은 기본가치를 상실할 뿐 아니라 범죄가 될 수도 있다.

보도사진이나	보도/NNG+사진/NNG+이나/JC
다큐멘터리의	다큐멘터리/NNG+의/JKG
이미지를	이미지/NNG+를/JKO
미화하거나	미화/NNG+하/XSV+거나/EC
조작하는	조작/NNG+하/XSV+는/ETM
순간	순간/NNG
그	그/MMD
사진은	사진/NNG+은/JX
기본가치를	기본/NNG+가치/NNG+를/JKO
상실할	상실/NNG+하/XSV+ㄹ/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
범죄가	범죄/NNG+가/JKC
될	되/VV+ㄹ/ETM
