# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.46
metadata : {}


# id : NWRW1800000049.46.1.1
아이오와의 ‘끔찍한 밤’… 발목 잡힌 힐러리-트럼프

아이오와의	아이오와/NNP+의/JKG
여성인	여성/NNG+이/VCP+ㄴ/ETM
바로	바로/MAG
나’라는	나/NP+’/SS+이/VCP+라는/ETM
클린턴의	클린턴/NNP+의/JKG
호소가	호소/NNG+가/JKS
진보	진보/NNG
성향의	성향/NNG+의/JKG
여성	여성/NNG
유권자들에게	유권자/NNG+들/XSN+에게/JKB
호응을	호응/NNG+을/JKO
못	못/MAG
얻었다”고	얻/VV+었/EP+다/EF+”/SS+고/JKQ
진단했다.	진단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.46.6.1
20, 30대 젊은 여성이나 진보색이 짙은 중장년 여성들 중심으로 “힐러리가 여자라는 이유만으로 대통령이 돼야 한다면 그 또한 성차별 아니냐”는 논리가 팽배하다.

20,	20/SN+,/SP
30대	30/SN+대/NNB
젊은	젊/VA+은/ETM
여성이나	여성/NNG+이나/JC
진보색이	진보색/NNG+이/JKS
짙은	짙/VA+은/ETM
중장년	중장년/NNG
여성들	여성/NNG+들/XSN
중심으로	중심/NNG+으로/JKB
“힐러리가	“/SS+힐러리/NNP+가/JKS
여자라는	여자/NNG+이/VCP+라는/ETM
이유만으로	이유/NNG+만/JX+으로/JKB
대통령이	대통령/NNG+이/JKC
돼야	되/VV+어야/EC
한다면	하/VX+ㄴ다면/EC
그	그/MMD
또한	또한/MAG
성차별	성차별/NNG
아니냐”는	아니/VCN+냐/EF+”/SS+는/ETM
논리가	논리/NNG+가/JKS
팽배하다.	팽배/NNG+하/XSV+다/EF+./SF


# id : NWRW1800000049.46.6.2
클린턴은 2008년 경선에서도 기대한 만큼 여성 표를 얻지 못했다.

클린턴은	클린턴/NNP+은/JX
2008년	2008/SN+년/NNB
경선에서도	경선/NNG+에서/JKB+도/JX
기대한	기대/NNG+하/XSV+ㄴ/ETM
만큼	만큼/NNB
여성	여성/NNG
표를	표/NNG+를/JKO
얻지	얻/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.46.6.3
그것이 뼈아픈 패배의 요인이었다.

그것이	그것/NP+이/JKS
뼈아픈	뼈아프/VA+ㄴ/ETM
패배의	패배/NNG+의/JKG
요인이었다.	요인/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.46.6.4
당시 18∼29세 젊은 백인 여성층에선 오바마 대통령에게 12%포인트(42% 대 54%), 흑인 여성층에선 무려 67%포인트(14% 대 81%)나 뒤졌다.

당시	당시/NNG
18∼29세	18/SN+∼/SO+29/SN+세/NNB
젊은	젊/VA+은/ETM
백인	백인/NNG
여성층에선	여성/NNG+층/XSN+에서/JKB+ㄴ/JX
오바마	오바마/NNP
대통령에게	대통령/NNG+에게/JKB
12%포인트(42%	12/SN+%/SW+포인트/NNG+(/SS+42/SN+%/SW
대	대/NNB
54%),	54/SN+%/SW+)/SS+,/SP
흑인	흑인/NNG
무려	무려/MAG
67%포인트(14%	67/SN+%포인트/NNG+(/SS+14/SN+%/SW
81%)나	81/SN+%/SW+)/SS+나/JX
뒤졌다.	뒤지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.46.6.5
NYT는 “개인 e메일 스캔들 등이 명료하게 해명되지 않으면서 ‘힐러리가 정직하지 못하다.

NYT는	NYT/SL+는/JX
“개인	“/SS+개인/NNG
e메일	e/SL+메일/NNG
스캔들	스캔들/NNG
등이	등/NNB+이/JKS
명료하게	명료하/VA+게/EC
해명되지	해명/NNG+되/XSV+지/EC
않으면서	않/VX+으면서/EC
‘힐러리가	‘/SS+힐러리/NNP+가/JKS
정직하지	정직/NNG+하/XSA+지/EC
못하다.	못하/VX+다/EF+./SF


# id : NWRW1800000049.46.6.6
신뢰하기 어렵다’는 인상을 준다”고 분석했다.

신뢰하기	신뢰/NNG+하/XSV+기/ETN
어렵다’는	어렵/VA+다/EF+’/SS+는/ETM
인상을	인상/NNG+을/JKO
준다”고	주/VV+ㄴ다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.46.7.1
클린턴이 경쟁자의 선전으로 고전한 반면 트럼프의 2위 추락은 과유불급(過猶不及·지나침은 모자람만 못하다)의 자책골에 가깝다.

클린턴이	클린턴/NNP+이/JKS
경쟁자의	경쟁자/NNG+의/JKG
선전으로	선전/NNG+으로/JKB
고전한	고전/NNG+하/XSV+ㄴ/ETM
반면	반면/NNG
트럼프의	트럼프/NNP+의/JKG
2위	2/SN+위/NNB
추락은	추락/NNG+은/JX
과유불급(過猶不及·지나침은	과유불급/NNG+(/SS+過猶不及/SH+·/SP+지나치/VA+ㅁ/ETN+은/JX
모자람만	모자람/NNG+만/JX
못하다)의	못/MAG+하/XSA+다/EF+)/SS+의/JKG
자책골에	자책골/NNG+에/JKB
가깝다.	가깝/VA+다/EF+./SF


# id : NWRW1800000049.46.7.2
트럼프는 2등으로 떨어진 뒤에도 “지난해 6월 출마 선언을 했을 때 ‘트럼프는 아이오와까지 가지도 못할 것’이란 얘기를 듣지 않았느냐”며 큰소리를 쳤다.

트럼프는	트럼프/NNP+는/JX
2등으로	2/SN+등/NNB+으로/JKB
떨어진	떨어지/VV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
“지난해	“/SS+지난해/NNG
6월	6/SN+월/NNB
출마	출마/NNG
선언을	선언/NNG+을/JKO
했을	하/VV+았/EP+을/ETM
때	때/NNG
‘트럼프는	‘/SS+트럼프/NNP+는/JX
아이오와까지	아이오와/NNP+까지/JX
가지도	가/VV+지/EC+도/JX
못할	못하/VX+ㄹ/ETM
것’이란	것/NNB+’/SS+이/VCP+란/ETM
얘기를	얘기/NNG+를/JKO
듣지	듣/VV+지/EC
않았느냐”며	않/VX+았/EP+느냐/EF+”/SS+며/EC
큰소리를	큰소리/NNG+를/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.46.7.3
전날 유세에서도 “아이오와 1등이 대통령이 되지 못한 경우가 적지 않았다.

전날	전날/NNG
유세에서도	유세/NNG+에서/JKB+도/JX
“아이오와	“/SS+아이오와/NNP
1등이	1/SN+등/NNB+이/JKS
대통령이	대통령/NNG+이/JKC
되지	되/VV+지/EC
못한	못하/VX+ㄴ/ETM
경우가	경우/NNG+가/JKS
적지	적/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.46.7.4
나는 공화당 후보가 되고, 결국 대통령이 될 것이다”고 말했다.

나는	나/NP+는/JX
공화당	공화당/NNP
후보가	후보/NNG+가/JKC
되고,	되/VV+고/EC+,/SP
결국	결국/MAG
대통령이	대통령/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이다”고	것/NNB+이/VCP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.46.7.5
이어 “아이오와에서 1등을 못하면 화가 많이 날 것 같다.

이어	이어/MAG
“아이오와에서	“/SS+아이오와/NNP+에서/JKB
1등을	1/SN+등/NNB+을/JKO
못하면	못/MAG+하/VV+면/EC
화가	화/NNG+가/JKS
많이	많이/MAG
날	나/VV+ㄹ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000049.46.7.6
그러나 딱 하루만 화내겠다.

그러나	그러나/MAJ
딱	딱/MAG
하루만	하루/NNG+만/JX
화내겠다.	화내/VV+겠/EP+다/EF+./SF


# id : NWRW1800000049.46.7.7
(1등을 못해도) 아이오와를 사랑할 것”이라고 했다.

(1등을	(/SS+1/SN+등/NNB+을/JKO
못해도)	못/MAG+하/VV+아도/EC+)/SS
아이오와를	아이오와/NNP+를/JKO
사랑할	사랑/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.46.8.1
보수 성향의 정치 칼럼니스트 찰스 크라우트해머는 “트럼프가 폭스뉴스 주최 마지막 TV 토론에 불참한 것이 패착이었다.

보수	보수/NNG
성향의	성향/NNG+의/JKG
정치	정치/NNG
칼럼니스트	칼럼니스트/NNG
찰스	찰스/NNP
크라우트해머는	크라우트해머/NNP+는/JX
“트럼프가	“/SS+트럼프/NNP+가/JKS
폭스뉴스	폭스뉴스/NNP
주최	주최/NNG
마지막	마지막/NNG
TV	TV/SL
토론에	토론/NNG+에/JKB
불참한	불참/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
패착이었다.	패착/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.46.8.2
마코 루비오 상원의원의 존재감이 분명히 드러나면서 트럼프의 표를 깎아먹었다”고 분석했다.

마코	마코/NNP
루비오	루비오/NNP
상원의원의	상원/NNG+의원/NNG+의/JKG
존재감이	존재감/NNG+이/JKS
분명히	분명히/MAG
드러나면서	드러나/VV+면서/EC
트럼프의	트럼프/NNP+의/JKG
표를	표/NNG+를/JKO
깎아먹었다”고	깎/VV+아/EC+먹/VX+었/EP+다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.46.8.3
트럼프가 지나친 자신감으로 TV 토론을 거부한 것이 전략적 실수였다는 것이다.

트럼프가	트럼프/NNP+가/JKS
지나친	지나치/VA+ㄴ/ETM
자신감으로	자신감/NNG+으로/JKB
TV	TV/SL
토론을	토론/NNG+을/JKO
거부한	거부/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
전략적	전략/NNG+적/XSN
실수였다는	실수/NNG+이/VCP+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.46.8.4
루비오 의원은 23.1%를 얻었는데 그동안 평균 지지율(15%)보다 8%포인트가량 높은 것이다.

루비오	루비오/NNP
의원은	의원/NNG+은/JX
23.1%를	23/SN+./SP+1/SN+%/SW+를/JKO
얻었는데	얻/VV+었/EP+는데/EC
그동안	그동안/NNG
평균	평균/NNG
지지율(15%)보다	지지/NNG+율/XSN+(/SS+15/SN+%/SW+)/SS+보다/JKB
8%포인트가량	8/SN+%포인트/NNG+가량/XSN
높은	높/VA+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.46.9.1
미 언론들은 “아이오와의 최대 승자는 루비오 상원의원”이라고 평가했다.

미	미/NNP
언론들은	언론/NNG+들/XSN+은/JX
“아이오와의	“/SS+아이오와/NNP+의/JKG
최대	최대/NNG
승자는	승자/NNG+는/JX
루비오	루비오/NNP
상원의원”이라고	상원/NNG+의원/NNG+”/SS+이라고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.46.9.2
24.3%를 얻은 트럼프는 테드 크루즈 상원의원에게 역전당하면서 1위 자리를 내줬을 뿐 아니라 자칫하면 루비오에게도 밀려 3위로 추락할 수도 있다는 경고 메시지를 이번에 받았다.

24.3%를	24/SN+./SP+3/SN+%/SW+를/JKO
얻은	얻/VV+은/ETM
트럼프는	트럼프/NNP+는/JX
테드	테드/NNP
크루즈	크루즈/NNP
상원의원에게	상원/NNG+의원/NNG+에게/JKB
역전당하면서	역전/NNG+당하/XSV+면서/EC
1위	1/SN+위/NNB
자리를	자리/NNG+를/JKO
내줬을	내주/VV+었/EP+을/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
자칫하면	자칫/MAG+하/XSV+면/EC
루비오에게도	루비오/NNP+에게/JKB+도/JX
밀려	밀리/VV+어/EC
3위로	3/SN+위/NNB+로/JKB
추락할	추락/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다는	있/VA+다는/ETM
경고	경고/NNG
메시지를	메시지/NNG+를/JKO
이번에	이번/NNG+에/JKB
받았다.	받/VV+았/EP+다/EF+./SF


