# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.229
metadata : {}


# id : NWRW1800000033.229.1.1
금지약물로 키운 돼지 때문에… 섭취한 선수 잇단 도핑 적발

금지약물로	금지/NNG+약물/NNG+로/JKB
관영 신화통신에 따르면 중국 수영 대표 선수들은 최근 40일 동안 돼지고기를 먹지 않고 생선과 단백질 분말로 영양을 보충했다.

관영	관영/NNG
신화통신에	신화통신/NNP+에/JKB
따르면	따르/VV+면/EC
중국	중국/NNP
수영	수영/NNG
대표	대표/NNG
선수들은	선수/NNG+들/XSN+은/JX
최근	최근/MAG
40일	40/SN+일/NNB
동안	동안/NNG
돼지고기를	돼지고기/NNG+를/JKO
먹지	먹/VV+지/EC
않고	않/VX+고/EC
생선과	생선/NNG+과/JC
단백질	단백질/NNG
분말로	분말/NNG+로/JKB
영양을	영양/NNG+을/JKO
보충했다.	보충/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.229.5.1
이는 중국 국가체육총국의 지시에 따른 것이다.

이는	이/NP+는/JX
중국	중국/NNP
국가체육총국의	국가/NNG+체육/NNG+총국/NNG+의/JKG
지시에	지시/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.229.5.2
중국 체육 당국이 이 같은 지시를 한 것은 중국 선수들에게서 세계반도핑기구(WADA)가 금지 약물로 지정한 클렌부테롤이 검출되는 것을 우려해서다.

중국	중국/NNP
체육	체육/NNG
당국이	당국/NNG+이/JKS
이	이/NP
같은	같/VA+은/ETM
지시를	지시/NNG+를/JKO
한	하/VV+ㄴ/ETM
것은	것/NNB+은/JX
선수들에게서	선수/NNG+들/XSN+에게서/JKB
세계반도핑기구(WADA)가	세계반도핑기구/NNP+(/SS+WADA/SL+)/SS+가/JKS
금지	금지/NNG
약물로	약물/NNG+로/JKB
지정한	지정/NNG+하/XSV+ㄴ/ETM
클렌부테롤이	클렌부테롤/NNG+이/JKS
검출되는	검출/NNG+되/XSV+는/ETM
것을	것/NNB+을/JKO
우려해서다.	우려/NNG+하/XSV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000033.229.5.3
클렌부테롤은 천식 치료에 쓰이는 의약품이지만 지방을 태우고 근육량을 늘리는 효과가 있어 체육계에서는 사용이 금지돼 있다.

클렌부테롤은	클렌부테롤/NNG+은/JX
천식	천식/NNG
치료에	치료/NNG+에/JKB
쓰이는	쓰이/VV+는/ETM
의약품이지만	의약품/NNG+이/VCP+지만/EC
지방을	지방/NNG+을/JKO
태우고	태우/VV+고/EC
근육량을	근육량/NNG+을/JKO
늘리는	늘리/VV+는/ETM
효과가	효과/NNG+가/JKS
있어	있/VA+어/EC
체육계에서는	체육/NNG+계/XSN+에서/JKB+는/JX
사용이	사용/NNG+이/JKS
금지돼	금지/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.229.6.1
지난해 중국에서는 살코기를 많이 얻기 위해 클렌부테롤을 먹인 돼지가 대규모로 유통돼 논란이 됐다.

지난해	지난해/NNG
중국에서는	중국/NNP+에서/JKB+는/JX
살코기를	살코기/NNG+를/JKO
많이	많이/MAG
얻기	얻/VV+기/ETN
위해	위하/VV+아/EC
클렌부테롤을	클렌부테롤/NNG+을/JKO
먹인	먹이/VV+ㄴ/ETM
돼지가	돼지/NNG+가/JKS
대규모로	대/XPN+규모/NNG+로/JKB
유통돼	유통/NNG+되/XSV+어/EC
논란이	논란/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.229.6.2
실제로 이 돼지고기를 섭취했다가 도핑검사에 적발된 중국 선수들이 있었다.

실제로	실제로/MAG
이	이/MMD
돼지고기를	돼지고기/NNG+를/JKO
섭취했다가	섭취/NNG+하/XSV+았/EP+다가/EC
도핑검사에	도핑/NNG+검사/NNG+에/JKB
적발된	적발/NNG+되/XSV+ㄴ/ETM
중국	중국/NNP
선수들이	선수/NNG+들/XSN+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.229.7.1
2008년 베이징 올림픽 여자 유도 금메달리스트 퉁원은 2010년 도쿄 세계선수권대회에서 클렌부테롤 양성판정을 받아 2년 동안 출전자격이 정지됐다.

2008년	2008/SN+년/NNB
베이징	베이징/NNP
올림픽	올림픽/NNG
여자	여자/NNG
유도	유도/NNG
금메달리스트	금메달리스트/NNG
퉁원은	퉁원/NNP+은/JX
2010년	2010/SN+년/NNB
도쿄	도쿄/NNP
세계선수권대회에서	세계/NNG+선수/NNG+권/XSN+대회/NNG+에서/JKB
클렌부테롤	클렌부테롤/NNG
양성판정을	양성/NNG+판정/NNG+을/JKO
받아	받/VV+아/EC
2년	2/SN+년/NNB
동안	동안/NNG
출전자격이	출전/NNG+자격/NNG+이/JKS
정지됐다.	정지/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.229.7.2
수영 대표였던 어우양쿤펑도 베이징 올림픽을 앞두고 도핑테스트에서 클렌부테롤이 검출돼 영구제명 됐다.

수영	수영/NNG
대표였던	대표/NNG+이/VCP+었/EP+던/ETM
어우양쿤펑도	어우양쿤펑/NNP+도/JX
베이징	베이징/NNP
올림픽을	올림픽/NNG+을/JKO
앞두고	앞두/VV+고/EC
도핑테스트에서	도핑/NNG+테스트/NNG+에서/JKB
클렌부테롤이	클렌부테롤/NNG+이/JKS
검출돼	검출/NNG+되/XSV+어/EC
영구제명	영구/NNG+제명/NNG
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.229.8.1
단백질 주 공급원인 돼지고기 섭취가 제한되자 선수단의 불만도 커지고 있다.

단백질	단백질/NNG
주	주/MMA
공급원인	공급원/NNG+이/VCP+ㄴ/ETM
돼지고기	돼지고기/NNG
섭취가	섭취/NNG+가/JKS
제한되자	제한/NNG+되/XSV+자/EC
선수단의	선수단/NNG+의/JKG
불만도	불만/NNG+도/JX
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.229.8.2
위줴민 중국 여자배구 대표팀 감독은 최근 월드그랑프리 토너먼트에서 4연패를 당하자 “선수들이 돼지고기를 먹지 못해 힘이 떨어졌다”고 말해 논란을 빚었다.

위줴민	위줴민/NNP
중국	중국/NNP
여자배구	여자/NNG+배구/NNG
대표팀	대표/NNG+팀/NNG
감독은	감독/NNG+은/JX
최근	최근/MAG
월드그랑프리	월드/NNG+그랑프리/NNG
토너먼트에서	토너먼트/NNG+에서/JKB
4연패를	4/SN+연패/NNG+를/JKO
당하자	당하/VV+자/EC
“선수들이	“/SS+선수/NNG+들/XSN+이/JKS
돼지고기를	돼지고기/NNG+를/JKO
먹지	먹/VV+지/EC
못해	못하/VX+아/EC
힘이	힘/NNG+이/JKS
떨어졌다”고	떨어지/VV+었/EP+다/EF+”/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
논란을	논란/NNG+을/JKO
빚었다.	빚/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.229.9.1
최근 중국에서 염색 만두, 튀김용 기름 재활용 등 불량식품 문제가 불거지고 식품 안전에 대한 불신이 커지자 중국 국가체육총국은 선수들에게 자신이 먹은 식단을 상부에 보고하도록 했다.

최근	최근/MAG
중국에서	중국/NNP+에서/JKB
염색	염색/NNG
만두,	만두/NNG+,/SP
튀김용	튀김/NNG+용/XSN
기름	기름/NNG
재활용	재/XPN+활용/NNG
등	등/NNB
불량식품	불량/NNG+식품/NNG
문제가	문제/NNG+가/JKS
불거지고	불거지/VV+고/EC
식품	식품/NNG
안전에	안전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불신이	불신/NNG+이/JKS
커지자	커지/VV+자/EC
중국	중국/NNP
국가체육총국은	국가/NNG+체육/NNG+총국/NNG+은/JX
선수들에게	선수/NNG+들/XSN+에게/JKB
자신이	자신/NNG+이/JKS
먹은	먹/VV+은/ETM
식단을	식단/NNG+을/JKO
상부에	상부/NNG+에/JKB
보고하도록	보고/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.229.9.2
또 일부 선수단의 경우 지방에서 전지훈련을 할 때 안전한 육류를 섭취하기 위해 선수단이 직접 닭과 돼지를 기르기도 한다.

또	또/MAG
일부	일부/NNG
선수단의	선수단/NNG+의/JKG
경우	경우/NNG
지방에서	지방/NNG+에서/JKB
전지훈련을	전지훈련/NNG+을/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
안전한	안전/NNG+하/XSA+ㄴ/ETM
육류를	육류/NNG+를/JKO
섭취하기	섭취/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
선수단이	선수단/NNG+이/JKS
직접	직접/MAG
닭과	닭/NNG+과/JC
돼지를	돼지/NNG+를/JKO
기르기도	기르/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


