# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.342
metadata : {}


# id : NWRW1800000029.342.1.1
[아덴만 여명 작전]“헬기-보트 접근 3일간 기만작전 실제 작전 시작하자 해적들 당황”

[아덴만	[/SS+아덴만/NNP
확인했다”고	확인/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.342.6.1
조 대령은 당시 작전 상황에 대해 “해적이 군사작전을 인지한다면 선원들을 살해할 수 있는 상황이었다”고 말했다.

조	조/NNP
대령은	대령/NNG+은/JX
당시	당시/NNG
작전	작전/NNG
상황에	상황/NNG+에/JKB
대해	대하/VV+아/EC
“해적이	“/SS+해적/NNG+이/JKS
군사작전을	군사/NNG+작전/NNG+을/JKO
인지한다면	인지/NNG+하/XSV+ㄴ다면/EC
선원들을	선원/NNG+들/XSN+을/JKO
살해할	살해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
상황이었다”고	상황/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.342.6.2
그만큼 해적을 속이는 게 무엇보다 중요했다는 얘기다.

그만큼	그만큼/MAG
해적을	해적/NNG+을/JKO
속이는	속이/VV+는/ETM
게	거/NNB+이/JKS
무엇보다	무엇/NP+보다/JKB
중요했다는	중요/NNG+하/XSA+았/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.342.6.3
그는 “3일 전부터 (해적을 기만하기 위해) 최영함과 링스헬기, 고속단정이 삼호주얼리호에 근접하는 걸 반복했다”며 “(이 때문에) 실제 진입 때 해적이 즉각 대응하지 못했다”고 밝혔다.

그는	그/NP+는/JX
“3일	“/SS+3/SN+일/NNB
전부터	전/NNG+부터/JX
(해적을	(/SS+해적/NNG+을/JKO
기만하기	기만/NNG+하/XSV+기/ETN
위해)	위하/VV+아/EC+)/SS
최영함과	최영함/NNP+과/JC
링스헬기,	링스헬기/NNP+,/SP
고속단정이	고속/NNG+단정/NNG+이/JKS
삼호주얼리호에	삼호주얼리호/NNP+에/JKB
근접하는	근접/NNG+하/XSV+는/ETM
걸	거/NNB+ㄹ/JKO
반복했다”며	반복/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“(이	“/SS+(/SS+이/NP
때문에)	때문/NNB+에/JKB+)/SS
실제	실제/NNG
진입	진입/NNG
때	때/NNG
해적이	해적/NNG+이/JKS
즉각	즉각/MAG
대응하지	대응/NNG+하/XSV+지/EC
못했다”고	못하/VX+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.342.6.4
반복적인 군사기만 작전으로 해적이 방심한 틈을 이용했다는 설명이었다.

반복적인	반복/NNG+적/XSN+이/VCP+ㄴ/ETM
군사기만	군사/NNG+기만/NNG
작전으로	작전/NNG+으로/JKB
해적이	해적/NNG+이/JKS
방심한	방심/NNG+하/XSV+ㄴ/ETM
틈을	틈/NNG+을/JKO
이용했다는	이용/NNG+하/XSV+았/EP+다는/ETM
설명이었다.	설명/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.342.7.1
조 대령은 이번 작전이 성공하는 데 연합 전력이 큰힘이 됐다고 전했다.

조	조/NNP
대령은	대령/NNG+은/JX
이번	이번/NNG
작전이	작전/NNG+이/JKS
성공하는	성공/NNG+하/XSV+는/ETM
데	데/NNB
연합	연합/NNG
전력이	전력/NNG+이/JKS
큰힘이	크/VA+ㄴ/ETM+힘/NNG+이/JKC
됐다고	되/VV+었/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.342.7.2
그는 “(2009년 4월) 덴마크 국적인 레오파드호 구출작전에 우리 대원이 즉각 투입됐다.

그는	그/NP+는/JX
“(2009년	“/SS+(/SS+2009/SN+년/NNB
4월)	4/SN+월/NNB+)/SS
덴마크	덴마크/NNP
국적인	국적/NNG+이/VCP+ㄴ/ETM
레오파드호	레오파드호/NNP
구출작전에	구출/NNG+작전/NNG+에/JKB
우리	우리/NP
대원이	대원/NNG+이/JKS
즉각	즉각/MAG
투입됐다.	투입/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.342.7.3
이에 감동한 연합 전력이 정보 제공은 물론이고 PC-3 초계기 정찰 지원, 환자 이송 등을 적극 지원해 좋은 결과가 나왔다”고 말했다.

이에	이/NP+에/JKB
감동한	감동/NNG+하/XSV+ㄴ/ETM
연합	연합/NNG
전력이	전력/NNG+이/JKS
정보	정보/NNG
제공은	제공/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
PC-3	PC/SL+-/SO+3/SN
초계기	초계기/NNG
정찰	정찰/NNG
지원,	지원/NNG+,/SP
환자	환자/NNG
이송	이송/NNG
등을	등/NNB+을/JKO
적극	적극/NNG
지원해	지원/NNG+하/XSV+아/EC
좋은	좋/VA+은/ETM
결과가	결과/NNG+가/JKS
나왔다”고	나오/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.342.8.1
최영함이 현지에서 전력을 다해 싸우는 데 ‘내조의 힘’도 컸다.

최영함이	최영함/NNP+이/JKS
현지에서	현지/NNG+에서/JKB
전력을	전력/NNG+을/JKO
다해	다/MAG+하/XSV+아/EC
싸우는	싸우/VV+는/ETM
데	데/NNB
‘내조의	‘/SS+내조/NNG+의/JKG
힘’도	힘/NNG+’/SS+도/JX
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.342.8.2
최영함 승조원과 가족들의 인터넷 카페인 ‘푸른가족’(cafe.daum.net/ddh-981)에선 조 대령의 부인인 황모 씨를 비롯해 승조원 가족들이 서로를 위로하며 불안감을 떨쳐냈다.

최영함	최영함/NNP
승조원과	승조원/NNG+과/JC
가족들의	가족/NNG+들/XSN+의/JKG
인터넷	인터넷/NNG
카페인	카페/NNG+이/VCP+ㄴ/ETM
‘푸른가족’(cafe.daum.net/ddh-981)에선	‘/SS+푸른가족/NNP+’/SS+(/SS+cafe/SL+./SP+daum/SL+./SP+net/SL+//SP+ddh/SL+-/SO+981/SN+)/SS+에서/JKB+ㄴ/JX
조	조/NNP
대령의	대령/NNG+의/JKG
부인인	부인/NNG+이/VCP+ㄴ/ETM
황모	황/NNP+모/NP
씨를	씨/NNB+를/JKO
비롯해	비롯하/VV+아/EC
승조원	승조원/NNG
가족들이	가족/NNG+들/XSN+이/JKS
서로를	서로/NNG+를/JKO
위로하며	위로/NNG+하/XSV+며/EC
불안감을	불안감/NNG+을/JKO
떨쳐냈다.	떨치/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.342.8.3
전 해군사관학교 교장의 딸이기도 한 황 씨는 1차 작전 뒤 일부 언론과 인터넷을 통해 부상 소식이 전해지자 “유언비어에 흔들리지 말자”며 가족들의 결속을 다진 것으로 알려졌다.

전	전/MMD
해군사관학교	해군사관학교/NNP
교장의	교장/NNG+의/JKG
딸이기도	딸/NNG+이/VCP+기/ETN+도/JX
한	하/VX+ㄴ/ETM
황	황/NNP
씨는	씨/NNB+는/JX
1차	1/SN+차/NNB
작전	작전/NNG
뒤	뒤/NNG
일부	일부/NNG
언론과	언론/NNG+과/JC
인터넷을	인터넷/NNG+을/JKO
통해	통하/VV+아/EC
부상	부상/NNG
소식이	소식/NNG+이/JKS
전해지자	전하/VV+아/EC+지/VX+자/EC
“유언비어에	“/SS+유언비어/NNG+에/JKB
흔들리지	흔들리/VV+지/EC
말자”며	말/VX+자/EF+”/SS+며/EC
가족들의	가족/NNG+들/XSN+의/JKG
결속을	결속/NNG+을/JKO
다진	다지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.342.8.4
23일 이 카페에는 2000여 명이 방문해 격려와 감사의 댓글을 남겼다.

23일	23/SN+일/NNB
이	이/MMD
카페에는	카페/NNG+에/JKB+는/JX
2000여	2000/SN+여/XSN
명이	명/NNB+이/JKS
방문해	방문/NNG+하/XSV+아/EC
격려와	격려/NNG+와/JC
감사의	감사/NNG+의/JKG
댓글을	댓글/NNG+을/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


