# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.152
metadata : {}


# id : NWRW1800000054.152.1.1
홍완선(前 국민연금 본부장), 삼성합병 당일 위원 1명씩 불러 찬성 종용

홍완선(前	홍완선/NNP+(/SS+前/SH
3시부터	3/SN+시/NNB+부터/JX
홍	홍/NNP
전	전/MMD
본부장	본부장/NNG
주재로	주재/NNG+로/JKB
삼성	삼성/NNP
합병	합병/NNG
찬반	찬반/NNG
여부를	여부/NNG+를/JKO
결정하는	결정/NNG+하/XSV+는/ETM
투자위원회를	투자/NNG+위원회/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.152.4.2
특검팀에 따르면 홍 전 본부장은 회의가 한창 진행 중이던 오후 5시 20분쯤 '잠시 쉬었다 하자'며 20분간 정회(停會)를 제안한 뒤 조모씨 등 위원 일부를 한 사람씩 본부장실로 불러 '합병에 찬성하라'고 요구했다는 것이다.

특검팀에	특검/NNG+팀/NNG+에/JKB
따르면	따르/VV+면/EC
홍	홍/NNP
전	전/MMD
본부장은	본부장/NNG+은/JX
회의가	회의/NNG+가/JKS
한창	한창/MAG
진행	진행/NNG
중이던	중/NNB+이/VCP+던/ETM
오후	오후/NNG
5시	5/SN+시/NNB
20분쯤	20/SN+분/NNB+쯤/XSN
'잠시	'/SS+잠시/MAG
쉬었다	쉬/VV+었/EP+다/EF
하자'며	하/VV+자/EF+'/SS+며/EC
20분간	20/SN+분/NNB+간/XSN
정회(停會)를	정회/NNG+(/SS+停會/SH+)/SS+를/JKO
제안한	제안/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
조모씨	조/NNP+모/NP+씨/NNB
등	등/NNB
위원	위원/NNG
일부를	일부/NNG+를/JKO
한	하/VV+ㄴ/ETM
사람씩	사람/NNG+씩/XSN
본부장실로	본부장실/NNG+로/JKB
불러	부르/VV+어/EC
'합병에	'/SS+합병/NNG+에/JKB
찬성하라'고	찬성/NNG+하/XSV+라/EF+'/SS+고/JKQ
요구했다는	요구/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.152.5.1
당시 투자위 회의록에 따르면 조씨는 정회 직전 "합병에 따른 시너지 효과가 높다는 전망을 근거로 합병 효과를 긍정적으로만 평가하는 것은 한계가 있다"며 합병에 부정적인 의견을 내비쳤다.

당시	당시/NNG
투자위	투자위/NNG
회의록에	회의록/NNG+에/JKB
따르면	따르/VV+면/EC
조씨는	조/NNP+씨/NNB+는/JX
정회	정회/NNG
직전	직전/NNG
"합병에	"/SS+합병/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
시너지	시너지/NNG
효과가	효과/NNG+가/JKS
높다는	높/VA+다는/ETM
전망을	전망/NNG+을/JKO
근거로	근거/NNG+로/JKB
합병	합병/NNG
효과를	효과/NNG+를/JKO
긍정적으로만	긍정/NNG+적/XSN+으로/JKB+만/JX
평가하는	평가/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
한계가	한계/NNG+가/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
합병에	합병/NNG+에/JKB
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
의견을	의견/NNG+을/JKO
내비쳤다.	내비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.152.5.2
회의에 참석했던 관계자는 최근 특검팀에서 조사를 받으면서 "당시 홍 전 본부장이 휴식 시간에 위원들을 개별적으로 불러서 얘기하면 오해받을 수 있다는 말이 투자위원들 사이에서 오갔다"고 진술했다고 한다.

회의에	회의/NNG+에/JKB
참석했던	참석/NNG+하/XSV+았/EP+던/ETM
관계자는	관계자/NNG+는/JX
최근	최근/MAG
특검팀에서	특검/NNG+팀/NNG+에서/JKB
조사를	조사/NNG+를/JKO
받으면서	받/VV+으면서/EC
"당시	"/SS+당시/NNG
홍	홍/NNP
전	전/MMD
본부장이	본부장/NNG+이/JKS
휴식	휴식/NNG
시간에	시간/NNG+에/JKB
위원들을	위원/NNG+들/XSN+을/JKO
개별적으로	개별/NNG+적/XSN+으로/JKB
불러서	부르/VV+어서/EC
얘기하면	얘기/NNG+하/XSV+면/EC
오해받을	오해/NNG+받/XSV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
말이	말/NNG+이/JKS
투자위원들	투자/NNG+위원/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
오갔다"고	오가/VV+았/EP+다/EF+"/SS+고/JKQ
진술했다고	진술/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.152.6.1
회의가 속개된 뒤 홍 전 본부장은 합병 찬반을 표결에 부쳤다.

회의가	회의/NNG+가/JKS
속개된	속개/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
홍	홍/NNP
전	전/MMD
본부장은	본부장/NNG+은/JX
합병	합병/NNG
찬반을	찬반/NNG+을/JKO
표결에	표결/NNG+에/JKB
부쳤다.	부치/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.152.6.2
그 결과 투자위원 12명 가운데 찬성 8명, 중립 1명, 기권 3명으로 '합병 찬성'이 결정됐다.

그	그/MMD
결과	결과/NNG
투자위원	투자/NNG+위원/NNG
12명	12/SN+명/NNB
가운데	가운데/NNG
찬성	찬성/NNG
8명,	8/SN+명/NNB+,/SP
중립	중립/NNG
1명,	1/SN+명/NNB+,/SP
기권	기권/NNG
3명으로	3/SN+명/NNB+으로/JKB
'합병	'/SS+합병/NNG
찬성'이	찬성/NNG+'/SS+이/JKS
결정됐다.	결정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.152.6.3
삼성물산·제일모직 합병 건(件)은 대주주인 국민연금의 찬성 등에 힘입어 일주일 뒤인 2015년 7월 17일 삼성물산 주주총회에서 통과됐다.

삼성물산·제일모직	삼성물산/NNP+·/SP+제일모직/NNP
합병	합병/NNG
건(件)은	건/NNG+(/SS+件/SH+)/SS+은/JX
대주주인	대/XPN+주주/NNG+이/VCP+ㄴ/ETM
국민연금의	국민연금/NNG+의/JKG
찬성	찬성/NNG
등에	등/NNB+에/JKB
힘입어	힘입/VV+어/EC
일주일	일주일/NNG
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
2015년	2015/SN+년/NNB
7월	7/SN+월/NNB
17일	17/SN+일/NNB
삼성물산	삼성물산/NNP
주주총회에서	주주/NNG+총회/NNG+에서/JKB
통과됐다.	통과/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.152.7.1
특검팀 조사 결과 홍 전 본부장은 '합병 찬성' 결론을 낸 투자위원회의 회의 결과를 청와대와 보건복지부에 보고한 것으로 드러났다.

특검팀	특검/NNG+팀/NNG
조사	조사/NNG
결과	결과/NNG
홍	홍/NNP
전	전/MMD
본부장은	본부장/NNG+은/JX
'합병	'/SS+합병/NNG
찬성'	찬성/NNG+'/SS
결론을	결론/NNG+을/JKO
낸	내/VV+ㄴ/ETM
투자위원회의	투자/NNG+위원회/NNG+의/JKG
회의	회의/NNG
결과를	결과/NNG+를/JKO
청와대와	청와대/NNP+와/JC
보건복지부에	보건/NNG+복지부/NNG+에/JKB
보고한	보고/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.152.7.2
특검팀은 홍 전 본부장에 대해 배임 혐의로 구속영장을 청구하는 방안을 적극 검토 중이다.

특검팀은	특검/NNG+팀/NNG+은/JX
홍	홍/NNP
전	전/MMD
본부장에	본부장/NNG+에/JKB
대해	대하/VV+아/EC
배임	배임/NNG
혐의로	혐의/NNG+로/JKB
구속영장을	구속/NNG+영장/NNG+을/JKO
청구하는	청구/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
적극	적극/NNG
검토	검토/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


