# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.358
metadata : {}


# id : NWRW1800000044.358.1.1
재원 마련이 숙제…교통복지 실현에 ‘전환점’

재원	재원/NNG
자초한	자초/NNG+하/XSV+ㄴ/ETM
면도	면/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.358.14.2
그렇다고 무조건 ‘터무니없다, 안 된다’는 일방의 비판 역시 설득력도 없고 정략적”이라고 비판했다.

그렇다고	그렇/VA+다고/EC
무조건	무/XPN+조건/NNG
‘터무니없다,	‘/SS+터무니없/VA+다/EF+,/SP
안	안/MAG
된다’는	되/VV+ㄴ다/EF+’/SS+는/ETM
일방의	일방/NNG+의/JKG
비판	비판/NNG
역시	역시/MAG
설득력도	설득력/NNG+도/JX
없고	없/VA+고/EC
정략적”이라고	정략/NNG+적/XSN+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.358.14.3
무상버스가 가져올 교통복지의 구현 말고도 우리 사회 주류인 승용차에서 버스로 주된 교통수단이 옮겨갈 경우 온실가스 감축과 교통혼잡비용의 축소가 가져올 미래 효과에 대한 진지한 사회적 논의의 기회를 놓쳤다는 것이다.

무상버스가	무상/NNG+버스/NNG+가/JKS
가져올	가져오/VV+ㄹ/ETM
교통복지의	교통/NNG+복지/NNG+의/JKG
구현	구현/NNG
말고도	말/VV+고/EC+도/JX
우리	우리/NP
사회	사회/NNG
주류인	주류/NNG+이/VCP+ㄴ/ETM
승용차에서	승용차/NNG+에서/JKB
버스로	버스/NNG+로/JKB
주된	주/NNG+되/XSV+ㄴ/ETM
교통수단이	교통수단/NNG+이/JKS
옮겨갈	옮기/VV+어/EC+가/VX+ㄹ/ETM
경우	경우/NNG
온실가스	온실가스/NNG
감축과	감축/NNG+과/JC
교통혼잡비용의	교통/NNG+혼잡/NNG+비용/NNG+의/JKG
축소가	축소/NNG+가/JKS
미래	미래/NNG
효과에	효과/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
진지한	진지하/VA+ㄴ/ETM
사회적	사회/NNG+적/XSN
논의의	논의/NNG+의/JKG
기회를	기회/NNG+를/JKO
놓쳤다는	놓치/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.358.14.4
승용차 중심의 교통체계 탓에 수도권은 연간 17조원의 교통혼잡비를 물고 있고, 2020년까지 2억t의 국가 온실가스 감축 목표 중 교통부문이 3420만t을 맡아야 할 상황이다.

승용차	승용차/NNG
중심의	중심/NNG+의/JKG
교통체계	교통/NNG+체계/NNG
탓에	탓/NNG+에/JKB
수도권은	수도/NNG+권/XSN+은/JX
연간	연간/NNG
17조원의	17/SN+조/NR+원/NNB+의/JKG
교통혼잡비를	교통/NNG+혼잡비/NNG+를/JKO
물고	물/VV+고/EC
있고,	있/VX+고/EC+,/SP
2020년까지	2020/SN+년/NNB+까지/JX
2억t의	2/SN+억/NR+t/SW+의/JKG
국가	국가/NNG
온실가스	온실가스/NNG
감축	감축/NNG
목표	목표/NNG
중	중/NNB
교통부문이	교통/NNG+부문/NNG+이/JKS
3420만t을	3420/SN+만/NR+t/SW+을/JKO
맡아야	맡/VV+아야/EC
할	하/VX+ㄹ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


