# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.298
metadata : {}


# id : NWRW1800000056.298.1.1
[유레카] 벙커의 히틀러 / 고명섭

[유레카]	[/SS+유레카/NNG+]/SS
믿을	믿/VV+을/ETM
것은	것/NNB+은/JX
별들의	별/NNG+들/XSN+의/JKG
조화밖에	조화/NNG+밖에/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000056.298.2.15
4월 중순 이후 전황에 일대 변화가 올 것이라는 괴벨스의 말에 총통은 한 번 더 희망을 품었다.

4월	4/SN+월/NNB
중순	중순/NNG
이후	이후/NNG
전황에	전황/NNG+에/JKB
일대	일대/MMA
변화가	변화/NNG+가/JKS
올	오/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
괴벨스의	괴벨스/NNP+의/JKG
말에	말/NNG+에/JKB
총통은	총통/NNG+은/JX
한	한/MMN
번	번/NNB
더	더/MAG
희망을	희망/NNG+을/JKO
품었다.	품/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.298.2.16
4월12일 미국 대통령 루스벨트가 죽자 히틀러는 이 사건을 다가올 기적의 예고로 받아들였다.

4월12일	4/SN+월/NNB+12/SN+일/NNB
미국	미국/NNP
대통령	대통령/NNG
루스벨트가	루스벨트/NNP+가/JKS
죽자	죽/VV+자/EC
히틀러는	히틀러/NNP+는/JX
이	이/MMD
사건을	사건/NNG+을/JKO
다가올	다가오/VV+ㄹ/ETM
기적의	기적/NNG+의/JKG
예고로	예고/NNG+로/JKB
받아들였다.	받아들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.298.2.17
그러나 하늘의 별도 절대권력자의 운명을 바꾸지 못했다.

그러나	그러나/MAJ
하늘의	하늘/NNG+의/JKG
별도	별/NNG+도/JX
절대권력자의	절대/NNG+권력자/NNG+의/JKG
운명을	운명/NNG+을/JKO
바꾸지	바꾸/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.298.2.18
소련군이 베를린을 장악한 4월30일 히틀러는 전날 결혼한 에바 브라운과 함께 삶을 끝냈다.

소련군이	소련군/NNG+이/JKS
베를린을	베를린/NNP+을/JKO
장악한	장악/NNG+하/XSV+ㄴ/ETM
4월30일	4/SN+월/NNB+30/SN+일/NNB
히틀러는	히틀러/NNP+는/JX
전날	전날/NNG
결혼한	결혼/NNG+하/XSV+ㄴ/ETM
에바	에바/NNP
브라운과	브라운/NNP+과/JKB
함께	함께/MAG
삶을	삶/NNG+을/JKO
끝냈다.	끝내/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.298.2.19
‘청와대 벙커’에서 나와 ‘삼성동 벙커’로 들어간 박근혜 전 대통령이 21일 검찰청 포토라인에 섰다.

‘청와대	‘/SS+청와대/NNP
벙커’에서	벙커/NNG+’/SS+에서/JKB
나와	나오/VV+아/EC
‘삼성동	‘/SS+삼성동/NNP
벙커’로	벙커/NNG+’/SS+로/JKB
들어간	들어가/VV+ㄴ/ETM
박근혜	박근혜/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
21일	21/SN+일/NNB
검찰청	검찰청/NNG
포토라인에	포토/NNG+라인/NNG+에/JKB
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.298.2.20
간절히 원하면 우주가 도와준다는 망상을 붙들고 친박 부대의 떠들썩한 소란에 복귀의 꿈을 실어보았지만 결과는 ‘파면’이었다.

간절히	간절히/MAG
원하면	원/NNG+하/XSV+면/EC
우주가	우주/NNG+가/JKS
도와준다는	도와주/VV+ㄴ다는/ETM
망상을	망상/NNG+을/JKO
붙들고	붙들/VV+고/EC
친박	친/XPN+박/NNP
부대의	부대/NNG+의/JKG
떠들썩한	떠들썩하/VA+ㄴ/ETM
소란에	소란/NNG+에/JKB
복귀의	복귀/NNG+의/JKG
꿈을	꿈/NNG+을/JKO
실어보았지만	싣/VV+어/EC+보/VX+았/EP+지만/EC
결과는	결과/NNG+는/JX
‘파면’이었다.	‘/SS+파면/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.298.2.21
이제 검찰의 기회주의에 마지막 희망을 걸어보겠다는 것일까.

이제	이제/MAG
검찰의	검찰/NNG+의/JKG
기회주의에	기회주의/NNG+에/JKB
마지막	마지막/NNG
희망을	희망/NNG+을/JKO
걸어보겠다는	걸/VV+어/EC+보/VX+겠/EP+다는/ETM
것일까.	것/NNB+이/VCP+ㄹ까/EF+./SF


