# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.331
metadata : {}


# id : NWRW1800000044.331.1.1
새누리, 국정원 ‘휴대전화 감청’ 강화 추진

새누리,	새누리/NNP+,/SP
설치를	설치/NNG+를/JKO
의무화하고,	의무/NNG+화/XSN+하/XSV+고/EC+,/SP
이를	이/NP+를/JKO
어기면	어기/VV+면/EC
해마다	해마다/MAG
최대	최대/NNG
20억원까지	20/SN+억/NR+원/NNB+까지/JX
이행강제금을	이행/NNG+강제금/NNG+을/JKO
부과할	부과/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
통비법	통비법/NNG
개정안을	개정안/NNG+을/JKO
발의했다.	발의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.331.6.2
관련 예산은 국가가 부담하되 장비 개발 기간 등을 고려해 향후 최소 2년간 설치를 유예하는 내용도 담겼다.

관련	관련/NNG
예산은	예산/NNG+은/JX
국가가	국가/NNG+가/JKS
부담하되	부담/NNG+하/XSV+되/EC
장비	장비/NNG
개발	개발/NNG
기간	기간/NNG
등을	등/NNB+을/JKO
고려해	고려/NNG+하/XSV+아/EC
향후	향후/NNG
최소	최소/NNG
2년간	2/SN+년/NNB+간/XSN
설치를	설치/NNG+를/JKO
유예하는	유예/NNG+하/XSV+는/ETM
내용도	내용/NNG+도/JX
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.331.6.3
발의에는 국정원개혁특위 여당 위원인 송영근·권성동·이철우 의원, 정보위 소속 조원진·윤재옥·정문헌·조명철 의원 등 13명이 참여했다.

발의에는	발의/NNG+에/JKB+는/JX
국정원개혁특위	국정원/NNG+개혁/NNG+특위/NNG
여당	여당/NNG
위원인	위원/NNG+이/VCP+ㄴ/ETM
송영근·권성동·이철우	송영근/NNP+·/SP+권성동/NNP+·/SP+이철우/NNP
의원,	의원/NNG+,/SP
정보위	정보위/NNG
소속	소속/NNG
조원진·윤재옥·정문헌·조명철	조원진/NNP+·/SP+윤재옥/NNP+·/SP+정문헌/NNP+·/SP+조명철/NNP
의원	의원/NNG
등	등/NNB
13명이	13/SN+명/NNB+이/JKS
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.331.7.1
서 의원은 “현행 통비법은 휴대전화를 포함해 모든 통신의 감청을 합법화하고 있지만, 수사기관은 ‘투명성’ 문제로 자체 감청설비를 갖추지 못하고 있다.

서	서/NNP
의원은	의원/NNG+은/JX
“현행	“/SS+현행/NNG
통비법은	통비법/NNG+은/JX
휴대전화를	휴대/NNG+전화/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
모든	모든/MMN
통신의	통신/NNG+의/JKG
감청을	감청/NNG+을/JKO
합법화하고	합법/NNG+화/XSN+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
수사기관은	수사/NNG+기관/NNG+은/JX
‘투명성’	‘/SS+투명/NNG+성/XSN+’/SS
문제로	문제/NNG+로/JKB
자체	자체/NNG
감청설비를	감청/NNG+설비/NNG+를/JKO
갖추지	갖추/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.331.7.2
이 때문에 법원의 감청영장을 받더라도 활용 비중이 가장 높은 휴대전화 감청을 하지 못해 강력범죄와 국가보안법 위반 사범 수사에 어려움이 있다”고 설명했다.

이	이/MMD
때문에	때문/NNB+에/JKB
법원의	법원/NNG+의/JKG
감청영장을	감청/NNG+영장/NNG+을/JKO
받더라도	받/VV+더라도/EC
활용	활용/NNG
비중이	비중/NNG+이/JKS
가장	가장/MAG
높은	높/VA+은/ETM
휴대전화	휴대/NNG+전화/NNG
감청을	감청/NNG+을/JKO
하지	하/VV+지/EC
못해	못하/VX+아/EC
강력범죄와	강력/NNG+범죄/NNG+와/JC
국가보안법	국가/NNG+보안법/NNG
위반	위반/NNG
사범	사범/NNG
수사에	수사/NNG+에/JKB
어려움이	어려움/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.331.7.3
앞서 국정원의 정치적 중립성을 강화하는 야당 쪽 개혁법안에 일부 동의한 새누리당은 휴대전화 감청 강화 등 국정원 기능 강화를 국정원개혁특위의 2차 과제로 선언했다.

앞서	앞서/MAG
국정원의	국정원/NNG+의/JKG
정치적	정치/NNG+적/XSN
중립성을	중립/NNG+성/XSN+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
야당	야당/NNG
쪽	쪽/NNB
개혁법안에	개혁/NNG+법안/NNG+에/JKB
일부	일부/NNG
동의한	동의/NNG+하/XSV+ㄴ/ETM
새누리당은	새누리당/NNP+은/JX
휴대전화	휴대/NNG+전화/NNG
감청	감청/NNG
강화	강화/NNG
등	등/NNB
국정원	국정원/NNG
기능	기능/NNG
강화를	강화/NNG+를/JKO
국정원개혁특위의	국정원/NNG+개혁/NNG+특위/NNG+의/JKG
2차	2/SN+차/NNB
과제로	과제/NNG+로/JKB
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.331.8.1
이번 통비법 개정안은 한나라당(현 새누리당)이 지난 17·18대 국회에서 발의했던 법안과 내용이 비슷한데, 당시 해당 법안들은 ‘기본권 침해’ 논란 끝에 폐기된 바 있다.

이번	이번/NNG
통비법	통비법/NNG
개정안은	개정안/NNG+은/JX
한나라당(현	한나라당/NNP+(/SS+현/MMD
새누리당)이	새누리당/NNP+)/SS+이/JKS
지난	지나/VV+ㄴ/ETM
17·18대	17/SN+·/SP+18/SN+대/NNB
국회에서	국회/NNG+에서/JKB
발의했던	발의/NNG+하/XSV+았/EP+던/ETM
법안과	법안/NNG+과/JKB
내용이	내용/NNG+이/JKS
비슷한데,	비슷하/VA+ㄴ데/EC+,/SP
당시	당시/NNG
해당	해당/NNG
법안들은	법안/NNG+들/XSN+은/JX
‘기본권	‘/SS+기본/NNG+권/XSN
침해’	침해/NNG+’/SS
논란	논란/NNG
끝에	끝/NNG+에/JKB
폐기된	폐기/NNG+되/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.331.8.2
현재 통비법이 허용하는 감청 대상은 범죄수사·국가안보 관련 등 유형이 280개에 달한다.

현재	현재/MAG
통비법이	통비법/NNG+이/JKS
허용하는	허용/NNG+하/XSV+는/ETM
감청	감청/NNG
대상은	대상/NNG+은/JX
범죄수사·국가안보	범죄/NNG+수사/NNG+·/SP+국가/NNG+안보/NNG
관련	관련/NNG
등	등/NNB
유형이	유형/NNG+이/JKS
280개에	280/SN+개/NNB+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.331.8.3
그러나 지나치게 포괄적이고 모호해 법원의 영장이 무의미하다는 비판을 받고 있다.

그러나	그러나/MAJ
지나치게	지나치/VA+게/EC
포괄적이고	포괄/NNG+적/XSN+이/VCP+고/EC
모호해	모호하/VA+아/EC
법원의	법원/NNG+의/JKG
영장이	영장/NNG+이/JKS
무의미하다는	무/XPN+의미/NNG+하/XSA+다는/ETM
비판을	비판/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.331.8.4
수사와 관련 없는 감청 대상을 영장에 몰래 집어넣는 ‘끼워넣기’ 관행도 문제로 지적된다.

수사와	수사/NNG+와/JKB
관련	관련/NNG
없는	없/VA+는/ETM
감청	감청/NNG
대상을	대상/NNG+을/JKO
영장에	영장/NNG+에/JKB
몰래	몰래/MAG
집어넣는	집어넣/VV+는/ETM
‘끼워넣기’	‘/SS+끼우/VV+어/EC+넣/VV+기/ETN+’/SS
관행도	관행/NNG+도/JX
문제로	문제/NNG+로/JKB
지적된다.	지적/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.331.9.1
2005년 국가안전기획부(현 국정원) ‘엑스파일’ 사건을 전후해 자체 감청설비를 폐기했다고 밝힌 국정원은, 그동안 통신업체의 감청협조를 ‘강제’하는 방안을 ‘숙원사업’으로 추진해왔다.

2005년	2005/SN+년/NNB
국가안전기획부(현	국가/NNG+안전/NNG+기획부/NNG+(/SS+현/MMD
국정원)	국정원/NNG+)/SS
‘엑스파일’	‘/SS+엑스파일/NNG+’/SS
사건을	사건/NNG+을/JKO
전후해	전후/NNG+하/XSV+아/EC
자체	자체/NNG
감청설비를	감청/NNG+설비/NNG+를/JKO
폐기했다고	폐기/NNG+하/XSV+았/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
국정원은,	국정원/NNG+은/JX+,/SP
그동안	그동안/NNG
통신업체의	통신업체/NNG+의/JKG
감청협조를	감청/NNG+협조/NNG+를/JKO
‘강제’하는	‘/SS+강제/NNG+’/SS+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
‘숙원사업’으로	‘/SS+숙원/NNG+사업/NNG+’/SS+으로/JKB
추진해왔다.	추진/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.331.9.2
국정원 관계자는 “유선전화는 영장을 받아 전화국에서 감청이 가능한데, 이동통신 회사는 감청장비가 없어 영장이 나와도 감청을 할 수 없고, 사후에 통화기록 내역만 받아 보는 정도”라며 법 개정 필요성을 주장했다.

국정원	국정원/NNG
관계자는	관계자/NNG+는/JX
“유선전화는	“/SS+유선/NNG+전화/NNG+는/JX
영장을	영장/NNG+을/JKO
받아	받/VV+아/EC
전화국에서	전화국/NNG+에서/JKB
감청이	감청/NNG+이/JKS
가능한데,	가능/NNG+하/XSA+ㄴ데/EC+,/SP
이동통신	이동/NNG+통신/NNG
회사는	회사/NNG+는/JX
감청장비가	감청/NNG+장비/NNG+가/JKS
없어	없/VA+어/EC
영장이	영장/NNG+이/JKS
나와도	나오/VV+아도/EC
감청을	감청/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
없고,	없/VA+고/EC+,/SP
사후에	사후/NNG+에/JKB
통화기록	통화/NNG+기록/NNG
내역만	내역/NNG+만/JX
보는	보/VX+는/ETM
정도”라며	정도/NNG+”/SS+이/VCP+라며/EC
법	법/NNG
개정	개정/NNG
필요성을	필요/NNG+성/XSN+을/JKO
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.331.9.3
국정원 쪽은 “통신사는 감청된다고 알려지면 영업에 도움이 안 되니 장비 설치에 비협조적”이라고 했다.

국정원	국정원/NNG
쪽은	쪽/NNB+은/JX
“통신사는	“/SS+통신사/NNG+는/JX
감청된다고	감청/NNG+되/XSV+ㄴ다고/EC
알려지면	알려지/VV+면/EC
영업에	영업/NNG+에/JKB
도움이	도움/NNG+이/JKC
안	안/MAG
되니	되/VV+니/EC
장비	장비/NNG
설치에	설치/NNG+에/JKB
비협조적”이라고	비/XPN+협조/NNG+적/XSN+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.331.10.1
민주당은 “논의할 가치도 없다”며 개정안에 즉각 반대했다.

민주당은	민주당/NNP+은/JX
“논의할	“/SS+논의/NNG+하/XSV+ㄹ/ETM
가치도	가치/NNG+도/JX
없다”며	없/VA+다/EF+”/SS+며/EC
개정안에	개정안/NNG+에/JKB
즉각	즉각/MAG
반대했다.	반대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.331.10.2
국정원개혁특위 야당 간사인 문병호 의원은 “과거 불법 도·감청을 했던 국정원에 대한 국민의 공포가 여전하다.

국정원개혁특위	국정원/NNG+개혁/NNG+특위/NNG
야당	야당/NNG
간사인	간사/NNG+이/VCP+ㄴ/ETM
문병호	문병호/NNP
의원은	의원/NNG+은/JX
“과거	“/SS+과거/NNG
불법	불법/NNG
도·감청을	도·감청/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
국정원에	국정원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국민의	국민/NNG+의/JKG
공포가	공포/NNG+가/JKS
여전하다.	여전하/VA+다/EF+./SF


# id : NWRW1800000044.331.10.3
확실한 방지·차단 대책이 전제되지 않은 감청 강화에 결코 동의할 수 없다”고 말했다.

확실한	확실하/VA+ㄴ/ETM
방지·차단	방지/NNG+·/SP+차단/NNG
대책이	대책/NNG+이/JKS
전제되지	전제/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
감청	감청/NNG
강화에	강화/NNG+에/JKB
결코	결코/MAG
동의할	동의/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.331.10.4
진보네트워크의 장여경 활동가는 “국정원이 자체개발한 감청장비가 현재 있는지 없는지조차 확인할 수 없는 상황에서 여당이 과거에 폐기됐던 법안을 다시 들고나왔다”며 반대 의사를 분명히 했다.

진보네트워크의	진보네트워크/NNP+의/JKG
장여경	장여경/NNP
활동가는	활동가/NNG+는/JX
“국정원이	“/SS+국정원/NNG+이/JKS
자체개발한	자체/NNG+개발/NNG+하/XSV+ㄴ/ETM
감청장비가	감청/NNG+장비/NNG+가/JKS
현재	현재/MAG
있는지	있/VA+는지/EC
없는지조차	없/VA+는지/EC+조차/JX
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상황에서	상황/NNG+에서/JKB
여당이	여당/NNG+이/JKS
과거에	과거/NNG+에/JKB
폐기됐던	폐기/NNG+되/XSV+었/EP+던/ETM
법안을	법안/NNG+을/JKO
다시	다시/MAG
들고나왔다”며	들고나오/VV+았/EP+다/EF+”/SS+며/EC
반대	반대/NNG
의사를	의사/NNG+를/JKO
분명히	분명히/MAG
했다.	하/VV+았/EP+다/EF+./SF


