# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.194
metadata : {}


# id : NWRW1800000036.194.1.1
“나꼼수 표현의 자유 인정하지만, 사과해야”

“나꼼수	“/SS+나꼼수/NNG
여론조사 기관인 리얼미터는 지난 3일 한 케이블방송사의 의뢰를 받아 여론조사(전국 19살 이상 750명)를 실시한 결과, 나꼼수 출연진들이 방송에서 언급한 부분에 대해서는 ‘표현의 자유를 인정해야 한다’는 의견이 41.1%로 ‘여성비하 발언으로 부적절했다’는 의견(35.6%)보다 높게 나타났다고 6일 밝혔다.

여론조사	여론/NNG+조사/NNG
기관인	기관/NNG+이/VCP+ㄴ/ETM
리얼미터는	리얼미터/NNP+는/JX
지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
한	한/MMN
케이블방송사의	케이블/NNG+방송사/NNG+의/JKG
의뢰를	의뢰/NNG+를/JKO
받아	받/VV+아/EC
여론조사(전국	여론/NNG+조사/NNG+(/SS+전국/NNG
19살	19/SN+살/NNB
이상	이상/NNG
750명)를	750/SN+명/NNB+)/SS+를/JKO
실시한	실시/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
나꼼수	나꼼수/NNG
출연진들이	출연진/NNG+들/XSN+이/JKS
방송에서	방송/NNG+에서/JKB
언급한	언급/NNG+하/XSV+ㄴ/ETM
부분에	부분/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
‘표현의	‘/SS+표현/NNG+의/JKG
자유를	자유/NNG+를/JKO
인정해야	인정/NNG+하/XSV+아야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
의견이	의견/NNG+이/JKS
41.1%로	41/SN+./SP+1/SN+%/SW+로/JKB
‘여성비하	‘/SS+여성/NNG+비하/NNG
발언으로	발언/NNG+으로/JKB
부적절했다’는	부적절하/VA+았/EP+다/EF+’/SS+는/ETM
의견(35.6%)보다	의견/NNG+(/SS+35/SN+./SP+6/SN+%/SW+)/SS+보다/JKB
높게	높/VA+게/EC
나타났다고	나타나/VV+았/EP+다고/EC
6일	6/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.194.4.2
그러나 ‘사과해야 한다’는 의견도 41.9%로, ‘사과 불필요’ 의견(34.2%)보다 높게 나타났다.

그러나	그러나/MAJ
‘사과해야	‘/SS+사과/NNG+하/XSV+아야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
의견도	의견/NNG+도/JX
41.9%로,	41/SN+./SP+9/SN+%/SW+로/JKB+,/SP
‘사과	‘/SS+사과/NNG
불필요’	불/XPN+필요/NNG+’/SS
의견(34.2%)보다	의견/NNG+(/SS+34/SN+./SP+2/SN+%/SW+)/SS+보다/JKB
높게	높/VA+게/EC
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.194.5.1
비키니 시위 자체에 대해서는 ‘반대한다’는 의견이 45.4%로, ‘찬성한다’는 의견(39.9%)보다 조금 높게 나타났다.

비키니	비키니/NNG
시위	시위/NNG
자체에	자체/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
‘반대한다’는	‘/SS+반대/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
의견이	의견/NNG+이/JKS
45.4%로,	45/SN+./SP+4/SN+%/SW+로/JKB+,/SP
‘찬성한다’는	‘/SS+찬성/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
의견(39.9%)보다	의견/NNG+(/SS+39/SN+./SP+9/SN+%/SW+)/SS+보다/JKB
조금	조금/MAG
높게	높/VA+게/EC
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.194.6.1
비키니 시위 찬성 의견은 30대에게서 가장 높아 59.3%(반대 31.6%)로 가장 높았고, 20대가 44.4%(반대 52.2%)로 그 뒤를 이었다.

비키니	비키니/NNG
시위	시위/NNG
찬성	찬성/NNG
의견은	의견/NNG+은/JX
30대에게서	30/SN+대/NNB+에게서/JKB
가장	가장/MAG
높아	높/VA+아/EC
59.3%(반대	59/SN+./SP+3/SN+%/SW+(/SS+반대/NNG
31.6%)로	31/SN+./SP+6/SN+%/SW+)/SS+로/JKB
높았고,	높/VA+았/EP+고/EC+,/SP
20대가	20/SN+대/NNB+가/JKS
44.4%(반대	44/SN+./SP+4/SN+%/SW+(/SS+반대/NNG
52.2%)로	52/SN+./SP+2/SN+%/SW+)/SS+로/JKB
그	그/MMD
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.194.6.2
40대는 41.4%가 찬성했고, 47.8%가 반대했다.

40대는	40/SN+대/NNB+는/JX
41.4%가	41/SN+./SP+4/SN+%/SW+가/JKS
찬성했고,	찬성/NNG+하/XSV+았/EP+고/EC+,/SP
47.8%가	47/SN+./SP+8/SN+%/SW+가/JKS
반대했다.	반대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.194.6.3
50대 이상은 48.5%가 반대했고, 23.0%만 찬성하는 것으로 나타났다.

50대	50/SN+대/NNB
이상은	이상/NNG+은/JX
48.5%가	48/SN+./SP+5/SN+%/SW+가/JKS
반대했고,	반대/NNG+하/XSV+았/EP+고/EC+,/SP
23.0%만	23/SN+./SP+0/SN+%/SW+만/JX
찬성하는	찬성/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.194.7.1
자세한 내용은 의 ‘백지연의 끝장토론’에서 오는 8일 밤 12시 방송에서 소개될 예정이며, 이날 방송에서 나는 꼼수다 비키니 논란을 주제로 생방송 토론이 예정되어 있다.

자세한	자세하/VA+ㄴ/ETM
내용은	내용/NNG+은/JX
의	의/NA
‘백지연의	‘/SS+백지연/NNP+의/JKG
끝장토론’에서	끝장/NNG+토론/NNG+’/SS+에서/JKB
오는	오/VV+는/ETM
8일	8/SN+일/NNB
밤	밤/NNG
12시	12/SN+시/NNB
방송에서	방송/NNG+에서/JKB
소개될	소개/NNG+되/XSV+ㄹ/ETM
예정이며,	예정/NNG+이/VCP+며/EC+,/SP
이날	이날/NNG
나는	나/NP+는/JX
꼼수다	꼼수/NNG+이/VCP+다/EF
비키니	비키니/NNG
논란을	논란/NNG+을/JKO
주제로	주제/NNG+로/JKB
생방송	생/XPN+방송/NNG
토론이	토론/NNG+이/JKS
예정되어	예정/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.194.8.1
이번 조사는 2월3일, 전국 19살 이상 남녀 750명을 대상으로 전화로 조사했고, 표본오차는 95% 신뢰수준에서 ±3.6%포인트다.

이번	이번/NNG
조사는	조사/NNG+는/JX
2월3일,	2/SN+월/NNB+3/SN+일/NNB+,/SP
전국	전국/NNG
19살	19/SN+살/NNB
이상	이상/NNG
남녀	남녀/NNG
750명을	750/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
전화로	전화/NNG+로/JKB
조사했고,	조사/NNG+하/XSV+았/EP+고/EC+,/SP
표본오차는	표본/NNG+오차/NNG+는/JX
95%	95/SN+%/SW
신뢰수준에서	신뢰/NNG+수준/NNG+에서/JKB
±3.6%포인트다.	±/SW+3/SN+./SP+6/SN+%포인트/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.194.9.1
한편 리얼미터 조사 결과 나꼼수의 청취 경험 유권자수가 1천만명을 넘어선 것으로 나타났다.

한편	한편/MAG
리얼미터	리얼미터/NNP
조사	조사/NNG
결과	결과/NNG
나꼼수의	나꼼수/NNG+의/JKG
청취	청취/NNG
경험	경험/NNG
유권자수가	유권자/NNG+수/NNG+가/JKS
1천만명을	1/SN+천만/NR+명/NNB+을/JKO
넘어선	넘어서/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.194.9.2
리얼미터가 ‘나는 꼼수다’에 대한 인지도를 조사한 결과, ‘방송을 들어본 적은 없지만, 나꼼수를 알고 있다’는 응답자가 56.4%로, 지난해 10월에 비해 12.4%포인트가 증가했고, ‘방송을 들어본 적도 있고, 잘 알고 있다’는 청취 경험자는 30.0%로, 작년 10월 조사에 비해 2배 가량 증가한 것으로 나타났다.

리얼미터가	리얼미터/NNP+가/JKS
‘나는	‘/SS+나/NP+는/JX
꼼수다’에	꼼수/NNG+이/VCP+다/EF+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
인지도를	인지도/NNG+를/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
‘방송을	‘/SS+방송/NNG+을/JKO
들어본	듣/VV+어/EC+보/VX+ㄴ/ETM
적은	적/NNB+은/JX
없지만,	없/VA+지만/EC+,/SP
나꼼수를	나꼼수/NNG+를/JKO
알고	알/VV+고/EC
있다’는	있/VX+다/EF+’/SS+는/ETM
응답자가	응답자/NNG+가/JKS
56.4%로,	56/SN+./SP+4/SN+%/SW+로/JKB+,/SP
지난해	지난해/NNG
10월에	10/SN+월/NNB+에/JKB
비해	비/NNG+하/XSV+아/EC
12.4%포인트가	12/SN+./SP+4/SN+%포인트/NNG+가/JKS
증가했고,	증가/NNG+하/XSV+았/EP+고/EC+,/SP
적도	적/NNB+도/JX
있고,	있/VA+고/EC+,/SP
잘	잘/MAG
청취	청취/NNG
경험자는	경험자/NNG+는/JX
30.0%로,	30/SN+./SP+0/SN+%/SW+로/JKB+,/SP
작년	작년/NNG
10월	10/SN+월/NNB
조사에	조사/NNG+에/JKB
2배	2/SN+배/NNG
가량	가량/XSN
증가한	증가/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.194.10.1
10명중 9명 가까이가 ‘나는 꼼수다’ 방송을 인지하고 있으며, 그중 3명 가량은 청취 경험이 있는 것으로 나타나 유권자수로는 대략 1100만명이 청취 경험이 있는 것으로 추정된다고 리얼미터쪽은 밝혔다.

10명중	10/SN+명/NNB+중/NNB
9명	9/SN+명/NNB
가까이가	가까이/NNG+가/JKS
‘나는	‘/SS+나/NP+는/JX
꼼수다’	꼼수/NNG+이/VCP+다/EF+’/SS
방송을	방송/NNG+을/JKO
인지하고	인지/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
그중	그중/NNG
3명	3/SN+명/NNB
가량은	가량/XSN+은/JX
청취	청취/NNG
경험이	경험/NNG+이/JKS
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
나타나	나타나/VV+아/EC
유권자수로는	유권자/NNG+수/NNG+로/JKB+는/JX
대략	대략/MAG
1100만명이	1100/SN+만/NR+명/NNB+이/JKS
추정된다고	추정/NNG+되/XSV+ㄴ다고/EC
리얼미터쪽은	리얼미터/NNP+쪽/NNB+은/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.194.11.1
연령대별로는 30대의 청취 경험이 가장 높아, 2명중 1명꼴인 47.6%로 나타났고, 그 다음이 40대로 31.2%, 20대는 28.4%, 50대 이상이 17.5%로 나타났다.

연령대별로는	연령대/NNG+별/XSN+로/JKB+는/JX
30대의	30/SN+대/NNB+의/JKG
청취	청취/NNG
경험이	경험/NNG+이/JKS
가장	가장/MAG
높아,	높/VA+아/EC+,/SP
2명중	2/SN+명/NNB+중/NNB
1명꼴인	1/SN+명/NNB+꼴/XSN+이/VCP+ㄴ/ETM
47.6%로	47/SN+./SP+6/SN+%/SW+로/JKB
나타났고,	나타나/VV+았/EP+고/EC+,/SP
그	그/MMD
다음이	다음/NNG+이/JKS
40대로	40/SN+대/NNB+로/JKB
31.2%,	31/SN+./SP+2/SN+%/SW+,/SP
20대는	20/SN+대/NNB+는/JX
28.4%,	28/SN+./SP+4/SN+%/SW+,/SP
50대	50/SN+대/NNB
이상이	이상/NNG+이/JKS
17.5%로	17/SN+./SP+5/SN+%/SW+로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.194.11.2
성별로는 남성이 33.7%, 여성이 26.4%로, 남성의 청취경험이 더 높았다.

성별로는	성별/NNG+로/JKB+는/JX
남성이	남성/NNG+이/JKS
33.7%,	33/SN+./SP+7/SN+%/SW+,/SP
여성이	여성/NNG+이/JKS
26.4%로,	26/SN+./SP+4/SN+%/SW+로/JKB+,/SP
남성의	남성/NNG+의/JKG
청취경험이	청취/NNG+경험/NNG+이/JKS
더	더/MAG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000036.194.11.3
지역별로는 수도권에서 상대적으로 높아 서울이 35.2%, 인천·경기가 36.2%로 나타났고, 대전·충청이 30.0%, 전남·광주가 29.8%, 대구·경북이 29.6%로 나타났으며, 청취 경험이 가장 낮은 지역은 부산·경남으로 14.1%로 나타났다.

지역별로는	지역/NNG+별/XSN+로/JKB+는/JX
수도권에서	수도/NNG+권/XSN+에서/JKB
상대적으로	상대/NNG+적/XSN+으로/JKB
높아	높/VA+아/EC
서울이	서울/NNP+이/JKS
35.2%,	35/SN+./SP+2/SN+%/SW+,/SP
인천·경기가	인천/NNP+·/SP+경기/NNP+가/JKS
36.2%로	36/SN+./SP+2/SN+%/SW+로/JKB
나타났고,	나타나/VV+았/EP+고/EC+,/SP
대전·충청이	대전/NNP+·/SP+충청/NNP+이/JKS
30.0%,	30/SN+./SP+0/SN+%/SW+,/SP
전남·광주가	전남/NNP+·/SP+광주/NNP+가/JKS
29.8%,	29/SN+./SP+8/SN+%/SW+,/SP
대구·경북이	대구/NNP+·/SP+경북/NNP+이/JKS
29.6%로	29/SN+./SP+6/SN+%/SW+로/JKB
나타났으며,	나타나/VV+았/EP+으며/EC+,/SP
청취	청취/NNG
경험이	경험/NNG+이/JKS
가장	가장/MAG
낮은	낮/VA+은/ETM
지역은	지역/NNG+은/JX
부산·경남으로	부산/NNP+·/SP+경남/NNP+으로/JKB
14.1%로	14/SN+./SP+1/SN+%/SW+로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.194.12.1
지지정당별로는 통합진보당 지지층의 76.2%가 청취 경험이 있다고 밝혀 가장 높았고, 민주통합당도 39.9%로 높은 편이었다.

지지정당별로는	지지/NNG+정당/NNG+별/XSN+로/JKB+는/JX
통합진보당	통합진보당/NNP
지지층의	지지/NNG+층/XSN+의/JKG
76.2%가	76/SN+./SP+2/SN+%/SW+가/JKS
청취	청취/NNG
경험이	경험/NNG+이/JKS
있다고	있/VA+다고/EC
밝혀	밝히/VV+어/EC
가장	가장/MAG
높았고,	높/VA+았/EP+고/EC+,/SP
민주통합당도	민주통합당/NNP+도/JX
39.9%로	39/SN+./SP+9/SN+%/SW+로/JKB
높은	높/VA+은/ETM
편이었다.	편/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.194.12.2
반면 새누리당 지지층은 16.3%만 들어본 적이 있다고 응답했고, 자유선진당 지지층도 6.6%만 들어본 적이 있다고 응답했다.

반면	반면/NNG
새누리당	새누리당/NNP
지지층은	지지/NNG+층/XSN+은/JX
16.3%만	16/SN+./SP+3/SN+%/SW+만/JX
들어본	들/VV+어/EC+보/VX+ㄴ/ETM
적이	적/NNB+이/JKS
있다고	있/VA+다고/EC
응답했고,	응답/NNG+하/XSV+았/EP+고/EC+,/SP
자유선진당	자유선진당/NNP
지지층도	지지/NNG+층/XSN+도/JX
6.6%만	6/SN+./SP+6/SN+%/SW+만/JX
응답했다.	응답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.194.13.1
이번 조사는 2월3일, 전국 19살 이상 남녀 750명을 대상으로 전화로 조사했고, 표본오차는 95% 신뢰수준에서 ±3.6%포인트다.

이번	이번/NNG
조사는	조사/NNG+는/JX
2월3일,	2/SN+월/NNB+3/SN+일/NNB+,/SP
전국	전국/NNG
19살	19/SN+살/NNB
이상	이상/NNG
남녀	남녀/NNG
750명을	750/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
전화로	전화/NNG+로/JKB
조사했고,	조사/NNG+하/XSV+았/EP+고/EC+,/SP
표본오차는	표본/NNG+오차/NNG+는/JX
95%	95/SN+%/SW
신뢰수준에서	신뢰/NNG+수준/NNG+에서/JKB
±3.6%포인트다.	±/SW+3/SN+./SP+6/SN+%포인트/NNG+이/VCP+다/EF+./SF


