# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.145
metadata : {}


# id : NWRW1800000032.145.1.1
레바논·이란, CIA 스파이 대거 적발

레바논·이란,	레바논/NNP+·/SP+이란/NNP+,/SP
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.145.8.1
헤즈볼라 지도자인 셰이크 하산 나스랄라는 지난 6월 자신의 조직에 잠입해 활동하던 중앙정보국 스파이를 적발했다고 자랑했었고, 이보다 앞서 5월에는 이란 당국이 미국과 이스라엘을 위해 첩보를 벌여온 30여명의 스파이를 붙잡았다고 밝힌 바 있다.

헤즈볼라	헤즈볼라/NNP
지도자인	지도자/NNG+이/VCP+ㄴ/ETM
셰이크	셰이크/NNP
하산	하산/NNP
나스랄라는	나스랄라/NNP+는/JX
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
자신의	자신/NNG+의/JKG
조직에	조직/NNG+에/JKB
잠입해	잠입/NNG+하/XSV+아/EC
활동하던	활동/NNG+하/XSV+던/ETM
중앙정보국	중앙정보국/NNP
스파이를	스파이/NNG+를/JKO
적발했다고	적발/NNG+하/XSV+았/EP+다고/EC
자랑했었고,	자랑/NNG+하/XSV+았었/EP+고/EC+,/SP
이보다	이/NP+보다/JKB
앞서	앞서/MAG
5월에는	5/SN+월/NNB+에/JKB+는/JX
이란	이란/NNP
당국이	당국/NNG+이/JKS
미국과	미국/NNP+과/JC
이스라엘을	이스라엘/NNP+을/JKO
위해	위하/VV+아/EC
첩보를	첩보/NNG+를/JKO
벌여온	벌이/VV+어/EC+오/VX+ㄴ/ETM
30여명의	30/SN+여/XSN+명/NNB+의/JKG
붙잡았다고	붙잡/VV+았/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.145.8.2
당시 나스랄라로부터 ‘스파이의 소굴’로 지목된 레바논 미국대사관은 이 주장을 부인했으나, 미 정보 당국자들이 뒤늦게 이 주장은 사실이었다고 털어놓은 것이다.

당시	당시/NNG
나스랄라로부터	나스랄라/NNP+로부터/JKB
‘스파이의	‘/SS+스파이/NNG+의/JKG
소굴’로	소굴/NNG+’/SS+로/JKB
지목된	지목/NNG+되/XSV+ㄴ/ETM
레바논	레바논/NNP
미국대사관은	미국/NNP+대사관/NNG+은/JX
이	이/MMD
주장을	주장/NNG+을/JKO
부인했으나,	부인/NNG+하/XSV+았/EP+으나/EC+,/SP
미	미/NNP
정보	정보/NNG
당국자들이	당국자/NNG+들/XSN+이/JKS
뒤늦게	뒤늦/VA+게/EC
주장은	주장/NNG+은/JX
사실이었다고	사실/NNG+이/VCP+었/EP+다고/EC
털어놓은	털어놓/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.145.9.1
전직 중앙정보국 요원인 로버트 베어는 “스파이 전쟁은 당연히 매우 ‘위험한 비즈니스’며 당연히 사망자가 나올 수도 있다”며 “잡힌 스파이들이 정말 미국을 위해 헤즈볼라를 정탐해온 것이 사실이라면 우리는 이들을 다시는 볼 수 없을 것”이라고 말했다.

전직	전직/NNG
중앙정보국	중앙정보국/NNP
요원인	요원/NNG+이/VCP+ㄴ/ETM
로버트	로버트/NNP
베어는	베어/NNP+는/JX
“스파이	“/SS+스파이/NNG
전쟁은	전쟁/NNG+은/JX
당연히	당연히/MAG
매우	매우/MAG
‘위험한	‘/SS+위험/NNG+하/XSA+ㄴ/ETM
비즈니스’며	비즈니스/NNG+’/SS+며/EC
사망자가	사망자/NNG+가/JKS
나올	나오/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다”며	있/VA+다/EF+”/SS+며/EC
“잡힌	“/SS+잡히/VV+ㄴ/ETM
스파이들이	스파이/NNG+들/XSN+이/JKS
정말	정말/MAG
미국을	미국/NNP+을/JKO
위해	위하/VV+아/EC
헤즈볼라를	헤즈볼라/NNP+를/JKO
정탐해온	정탐/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
것이	것/NNB+이/JKS
사실이라면	사실/NNG+이/VCP+라면/EC
우리는	우리/NP+는/JX
이들을	이/NP+들/XSN+을/JKO
다시는	다시/MAG+는/JX
볼	보/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.145.9.2
또다른 현직 당국자는 <에이피> 통신에 “이번 사건은 이란과 레바논의 미국 정보 조직에 심각한 피해를 줄 것”이라고 말했다.

또다른	또/MAG+다른/MMD
현직	현직/NNG
당국자는	당국자/NNG+는/JX
<에이피>	</SS+에이피/NNP+>/SS
통신에	통신/NNG+에/JKB
“이번	“/SS+이번/NNG
사건은	사건/NNG+은/JX
이란과	이란/NNP+과/JC
레바논의	레바논/NNP+의/JKG
미국	미국/NNP
정보	정보/NNG
조직에	조직/NNG+에/JKB
심각한	심각하/VA+ㄴ/ETM
피해를	피해/NNG+를/JKO
줄	주/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.145.9.3
체포된 스파이들은 미국이 레바논과 이란 현지 사정을 파악하는 데 핵심적인 역할을 했던 요원들로 알려졌다.

체포된	체포/NNG+되/XSV+ㄴ/ETM
스파이들은	스파이/NNG+들/XSN+은/JX
미국이	미국/NNP+이/JKS
레바논과	레바논/NNP+과/JC
이란	이란/NNP
현지	현지/NNG
사정을	사정/NNG+을/JKO
파악하는	파악/NNG+하/XSV+는/ETM
데	데/NNB
핵심적인	핵심/NNG+적/XSN+이/VCP+ㄴ/ETM
역할을	역할/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
요원들로	요원/NNG+들/XSN+로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.145.10.1
이같은 사건이 벌어진 데는 이란과 헤즈볼라가 꾸준히 ‘스파이 사냥’ 연구를 계속해온 데 비해 미국과 이스라엘의 첩보원 비밀유지 기법은 그다지 발전하지 않은 데 있다고 당국자들은 지적했다.

이같은	이/NP+같/VA+은/ETM
사건이	사건/NNG+이/JKS
벌어진	벌어지/VV+ㄴ/ETM
데는	데/NNB+는/JX
이란과	이란/NNP+과/JC
헤즈볼라가	헤즈볼라/NNP+가/JKS
꾸준히	꾸준히/MAG
‘스파이	‘/SS+스파이/NNG
사냥’	사냥/NNG+’/SS
연구를	연구/NNG+를/JKO
계속해온	계속/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
데	데/NNB
비해	비/NNG+하/XSV+아/EC
미국과	미국/NNP+과/JC
이스라엘의	이스라엘/NNP+의/JKG
첩보원	첩보원/NNG
비밀유지	비밀/NNG+유지/NNG
기법은	기법/NNG+은/JX
그다지	그다지/MAG
발전하지	발전/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
있다고	있/VA+다고/EC
당국자들은	당국자/NNG+들/XSN+은/JX
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.145.10.2
이란과 헤즈볼라는 2000년대 초반부터 사람들의 이동을 추적하는 데이터를 꾸준히 축적하면서 스파이를 가려내는 기술을 높여온 것으로 알려졌다.

이란과	이란/NNP+과/JC
헤즈볼라는	헤즈볼라/NNP+는/JX
2000년대	2000/SN+년대/NNB
초반부터	초반/NNG+부터/JX
사람들의	사람/NNG+들/XSN+의/JKG
이동을	이동/NNG+을/JKO
추적하는	추적/NNG+하/XSV+는/ETM
데이터를	데이터/NNG+를/JKO
꾸준히	꾸준히/MAG
축적하면서	축적/NNG+하/XSV+면서/EC
스파이를	스파이/NNG+를/JKO
가려내는	가려내/VV+는/ETM
기술을	기술/NNG+을/JKO
높여온	높이/VV+어/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.145.10.3
로버트 베어는 “한명의 스파이나 정보원을 잃는 일은 스파이 세계에서 종종 발생하는 ‘후퇴’지만 이렇게 한 거점을 통째로 잃는 것은 ‘대참사’”라며 “이런 일이 발생할 수 있는 유일한 원인은 정보원을 잘못 관리한 것뿐”이라고 말했다.

로버트	로버트/NNP
베어는	베어/NNP+는/JX
“한명의	“/SS+한/MMN+명/NNB+의/JKG
스파이나	스파이/NNG+나/JX
정보원을	정보원/NNG+을/JKO
잃는	잃/VV+는/ETM
일은	일/NNG+은/JX
스파이	스파이/NNG
세계에서	세계/NNG+에서/JKB
종종	종종/MAG
발생하는	발생/NNG+하/XSV+는/ETM
‘후퇴’지만	‘/SS+후퇴/NNG+’/SS+이/VCP+지만/EC
이렇게	이렇/VA+게/EC
한	한/MMN
거점을	거점/NNG+을/JKO
통째로	통/NNG+째/XSN+로/JKB
것은	것/NNB+은/JX
‘대참사’”라며	‘/SS+대/XPN+참사/NNG+’/SS+”/SS+이/VCP+라며/EC
“이런	“/SS+이런/MMD
일이	일/NNG+이/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
유일한	유일/NNG+하/XSA+ㄴ/ETM
원인은	원인/NNG+은/JX
잘못	잘못/MAG
관리한	관리/NNG+하/XSV+ㄴ/ETM
것뿐”이라고	것/NNB+뿐/JX+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.145.11.1
제이 카니 백악관 대변인은 이번 사건에 대한 논평을 거부했으며, 중앙정보국 역시 공식적으로는 이번 사건에 대해 아무런 언급도 하지 않고 있다고 <에이비시> 방송은 전했다.

제이	제이/NNP
카니	카니/NNP
백악관	백악관/NNP
대변인은	대변인/NNG+은/JX
이번	이번/NNG
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
논평을	논평/NNG+을/JKO
거부했으며,	거부/NNG+하/XSV+았/EP+으며/EC+,/SP
중앙정보국	중앙정보국/NNP
역시	역시/MAG
공식적으로는	공식/NNG+적/XSN+으로/JKB+는/JX
대해	대하/VV+아/EC
아무런	아무런/MMD
언급도	언급/NNG+도/JX
하지	하/VV+지/EC
않고	않/VX+고/EC
있다고	있/VX+다고/EC
<에이비시>	</SS+에이비시/NNP+>/SS
방송은	방송/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


