# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.380
metadata : {}


# id : NWRW1800000054.380.1.1
국정기획委, 각 부처에 "생각을 바꿔라"

국정기획委,	국정/NNG+기획/NNG+委/SH+,/SP
참석자들에 따르면, 위원들은 비공개 회의장에서 "(정권이 바뀌었으니) '마인드 세팅'을 다시 해달라" "새 정부 국정 철학에 대해 좀 더 적극적으로 생각해달라"고 말했다.

참석자들에	참석자/NNG+들/XSN+에/JKB
따르면,	따르/VV+면/EC+,/SP
위원들은	위원/NNG+들/XSN+은/JX
비공개	비/XPN+공개/NNG
회의장에서	회의장/NNG+에서/JKB
"(정권이	"/SS+(/SS+정권/NNG+이/JKS
바뀌었으니)	바뀌/VV+었/EP+으니/EC+)/SS
'마인드	'/SS+마인드/NNG
세팅'을	세팅/NNG+'/SS+을/JKO
다시	다시/MAG
해달라"	하/VV+아/EC+달/VX+라/EF+"/SS
"새	"/SS+새/MMA
정부	정부/NNG
국정	국정/NNG
철학에	철학/NNG+에/JKB
대해	대하/VV+아/EC
좀	좀/MAG
더	더/MAG
적극적으로	적극/NNG+적/XSN+으로/JKB
생각해달라"고	생각/NNG+하/XSV+아/EC+달/VX+라/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.380.5.2
업무 보고를 지켜본 관계자는 "위원들 발언 맥락은 '이명박·박근혜 정부와는 정책 기조가 완전히 바뀌었으니 적극적으로 국정에 협조해달라'는 취지였다"고 전했다.

업무	업무/NNG
보고를	보고/NNG+를/JKO
지켜본	지켜보/VV+ㄴ/ETM
관계자는	관계자/NNG+는/JX
"위원들	"/SS+위원/NNG+들/XSN
발언	발언/NNG
맥락은	맥락/NNG+은/JX
'이명박·박근혜	'/SS+이명박/NNP+·/SP+박근혜/NNP
정부와는	정부/NNG+와/JKB+는/JX
정책	정책/NNG
기조가	기조/NNG+가/JKS
완전히	완전히/MAG
바뀌었으니	바뀌/VV+었/EP+으니/EC
적극적으로	적극/NNG+적/XSN+으로/JKB
국정에	국정/NNG+에/JKB
협조해달라'는	협조/NNG+하/XSV+아/EC+달/VX+라/EF+'/SS+는/ETM
취지였다"고	취지/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.380.6.1
이날 기재부는 문재인 대통령 공약 가운데 실현 가능성이 낮거나 부작용이 클 것으로 예상되는 공약들을 '중장기 과제'로 분류해 보고했으나, 반응이 좋지 않았던 것으로 알려졌다.

이날	이날/NNG
기재부는	기재부/NNG+는/JX
문재인	문재인/NNP
대통령	대통령/NNG
공약	공약/NNG
가운데	가운데/NNG
실현	실현/NNG
가능성이	가능/NNG+성/XSN+이/JKS
낮거나	낮/VA+거나/EC
부작용이	부작용/NNG+이/JKS
클	크/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되는	예상/NNG+되/XSV+는/ETM
공약들을	공약/NNG+들/XSN+을/JKO
'중장기	'/SS+중장기/NNG
과제'로	과제/NNG+'/SS+로/JKB
분류해	분류/NNG+하/XSV+아/EC
보고했으나,	보고/NNG+하/XSV+았/EP+으나/EC+,/SP
반응이	반응/NNG+이/JKS
좋지	좋/VA+지/EC
않았던	않/VX+았/EP+던/ETM
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.380.6.2
위원회 측에선 "대통령 공약을 늦추겠다는 뜻이냐"는 뒷말도 나왔다.

위원회	위원회/NNG
측에선	측/NNB+에서/JKB+ㄴ/JX
"대통령	"/SS+대통령/NNG
공약을	공약/NNG+을/JKO
늦추겠다는	늦추/VV+겠/EP+다는/ETM
뜻이냐"는	뜻/NNG+이/VCP+냐/EF+"/SS+는/ETM
뒷말도	뒷말/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.380.7.1
이날 다른 회의장에서도 '군기'를 잡는 분위기였다.

이날	이날/NNG
다른	다른/MMD
회의장에서도	회의장/NNG+에서/JKB+도/JX
'군기'를	'/SS+군기/NNG+'/SS+를/JKO
잡는	잡/VV+는/ETM
분위기였다.	분위기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.380.7.2
김진표 국정기획위원장은 중소기업청 업무 보고 자리에서 "중기청이 기존 틀을 그대로 둔 채 (대통령 공약대로) 청(廳)에서 부(部)로만 바뀌면 우리 중소기업 정책이 국민 기대에 부합할 수 있겠느냐"며 "전문가들이 '중기청 공무원 자세가 바뀌어야 한다'고 말하고 있다"고 했다.

김진표	김진표/NNP
국정기획위원장은	국정/NNG+기획/NNG+위원장/NNG+은/JX
중소기업청	중소기업청/NNG
업무	업무/NNG
보고	보고/NNG
자리에서	자리/NNG+에서/JKB
"중기청이	"/SS+중기청/NNG+이/JKS
기존	기존/NNG
틀을	틀/NNG+을/JKO
그대로	그대로/MAG
둔	두/VV+ㄴ/ETM
채	채/NNB
(대통령	(/SS+대통령/NNG
공약대로)	공약/NNG+대로/JX+)/SS
청(廳)에서	청/NNG+(/SS+廳/SH+)/SS+에서/JKB
부(部)로만	부/NNG+(/SS+部/SH+)/SS+로/JKB+만/JX
바뀌면	바뀌/VV+면/EC
우리	우리/NP
중소기업	중소기업/NNG
정책이	정책/NNG+이/JKS
국민	국민/NNG
기대에	기대/NNG+에/JKB
부합할	부합/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있겠느냐"며	있/VA+겠/EP+느냐/EF+"/SS+며/EC
"전문가들이	"/SS+전문가/NNG+들/XSN+이/JKS
'중기청	'/SS+중기청/NNG
공무원	공무원/NNG
자세가	자세/NNG+가/JKS
바뀌어야	바뀌/VV+어야/EC
한다'고	하/VX+ㄴ다/EF+'/SS+고/JKQ
말하고	말/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.380.7.3
외교부 업무 보고 때는 외교부 측이 '작년 두 차례 핵실험을 포함한 거듭된 도발로 북한과 대화를 하기 어려웠던 상황'을 설명하자 위원들이 "조건이 형성돼야 대화를 할 것이 아니라 대화를 할 수 있는 환경을 창출했어야 하는 것 아니냐"고 지적한 것으로 전해졌다.

외교부	외교부/NNG
업무	업무/NNG
보고	보고/NNG
때는	때/NNG+는/JX
측이	측/NNB+이/JKS
'작년	'/SS+작년/NNG
두	두/MMN
차례	차례/NNG
핵실험을	핵/NNG+실험/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
거듭된	거듭/MAG+되/XSV+ㄴ/ETM
도발로	도발/NNG+로/JKB
북한과	북한/NNP+과/JKB
대화를	대화/NNG+를/JKO
하기	하/VV+기/ETN
어려웠던	어렵/VA+었/EP+던/ETM
상황'을	상황/NNG+'/SS+을/JKO
설명하자	설명/NNG+하/XSV+자/EC
위원들이	위원/NNG+들/XSN+이/JKS
"조건이	"/SS+조건/NNG+이/JKS
형성돼야	형성/NNG+되/XSV+어야/EC
할	하/VV+ㄹ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
수	수/NNB
있는	있/VA+는/ETM
환경을	환경/NNG+을/JKO
창출했어야	창출/NNG+하/XSV+았/EP+어야/EC
하는	하/VX+는/ETM
것	것/NNB
아니냐"고	아니/VCN+냐/EF+"/SS+고/JKQ
지적한	지적/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.380.8.1
박광온 국정기획위 대변인은 "중기청의 중소벤처기업부 승격과 통상 기능 외교부 이관, 소방과 해양경찰의 분리 독립 등 최소한의 정부 조직 개편안을 6월 국회에 제출하겠다"고 밝혔다.

박광온	박광온/NNP
국정기획위	국정/NNG+기획위/NNG
대변인은	대변인/NNG+은/JX
"중기청의	"/SS+중기청/NNG+의/JKG
중소벤처기업부	중소/NNG+벤처/NNG+기업부/NNG
승격과	승격/NNG+과/JC
통상	통상/NNG
기능	기능/NNG
외교부	외교부/NNG
이관,	이관/NNG+,/SP
소방과	소방/NNG+과/JC
해양경찰의	해양/NNG+경찰/NNG+의/JKG
분리	분리/NNG
독립	독립/NNG
등	등/NNB
최소한의	최소한/NNG+의/JKG
정부	정부/NNG
조직	조직/NNG
개편안을	개편안/NNG+을/JKO
6월	6/SN+월/NNB
국회에	국회/NNG+에/JKB
제출하겠다"고	제출/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.380.8.2
하지만 산업과 에너지, 무역 정도의 업무만 남는 산업부에서는 "보수 정부 10년간 확대됐던 조직이 위축되게 됐다"는 반응도 나왔다.

하지만	하지만/MAJ
산업과	산업/NNG+과/JC
에너지,	에너지/NNG+,/SP
무역	무역/NNG
정도의	정도/NNG+의/JKG
업무만	업무/NNG+만/JX
남는	남/VV+는/ETM
산업부에서는	산업부/NNG+에서/JKB+는/JX
"보수	"/SS+보수/NNG
정부	정부/NNG
10년간	10/SN+년/NNB+간/XSN
확대됐던	확대/NNG+되/XSV+었/EP+던/ETM
조직이	조직/NNG+이/JKS
위축되게	위축/NNG+되/XSV+게/EC
됐다"는	되/VV+었/EP+다/EF+"/SS+는/ETM
반응도	반응/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.380.9.1
이번 업무 보고는 총 22개 부처를 상대로 26일까지 사흘간 진행된다.

이번	이번/NNG
업무	업무/NNG
보고는	보고/NNG+는/JX
총	총/MMA
22개	22/SN+개/NNB
부처를	부처/NNG+를/JKO
상대로	상대/NNG+로/JKB
26일까지	26/SN+일/NNB+까지/JX
사흘간	사흘/NNG+간/XSN
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.380.9.2
이번 추진 과정에서는 '정책 반성문' 제출 요구도 나왔다.

이번	이번/NNG
추진	추진/NNG
과정에서는	과정/NNG+에서/JKB+는/JX
'정책	'/SS+정책/NNG
반성문'	반성문/NNG+'/SS
제출	제출/NNG
요구도	요구/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.380.9.3
국정기획위가 정식 대면 보고에 앞서 서면 보고를 요구하면서 '과거 정부 추진 정책 평가 및 새 정부 기조에 따른 개선 방안'이라는 답변 항목도 포함시켰는데, 정부 등 일각서 논란이 됐다.

국정기획위가	국정/NNG+기획위/NNG+가/JKS
정식	정식/NNG
대면	대면/NNG
보고에	보고/NNG+에/JKB
앞서	앞서/VV+어/EC
서면	서면/NNG
보고를	보고/NNG+를/JKO
요구하면서	요구/NNG+하/XSV+면서/EC
'과거	'/SS+과거/NNG
정부	정부/NNG
추진	추진/NNG
정책	정책/NNG
평가	평가/NNG
및	및/MAG
새	새/MMA
기조에	기조/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
개선	개선/NNG
방안'이라는	방안/NNG+'/SS+이/VCP+라는/ETM
답변	답변/NNG
항목도	항목/NNG+도/JX
포함시켰는데,	포함/NNG+시키/XSV+었/EP+는데/EC+,/SP
등	등/NNB
일각서	일각/NNG+서/JKB
논란이	논란/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.380.9.4
정부 부처 한 간부는 "과거 보수 정부에서 추진해 온 정책에 대한 '반성문'을 내란 얘기나 마찬가지였다"고 말했다.

정부	정부/NNG
부처	부처/NNG
한	한/MMN
간부는	간부/NNG+는/JX
"과거	"/SS+과거/NNG
보수	보수/NNG
정부에서	정부/NNG+에서/JKB
추진해	추진/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
정책에	정책/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
'반성문'을	'/SS+반성문/NNG+'/SS+을/JKO
내란	내란/NNG
얘기나	얘기/NNG+나/JX
마찬가지였다"고	마찬가지/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.380.10.1
국정기획위는 이날 정부에 "6월까지 공공 부문 일자리 충원 로드맵을 마련하라"고 지시했다.

국정기획위는	국정/NNG+기획위/NNG+는/JX
이날	이날/NNG
정부에	정부/NNG+에/JKB
"6월까지	"/SS+6/SN+월/NNB+까지/JX
공공	공공/NNG
부문	부문/NNG
일자리	일자리/NNG
충원	충원/NNG
로드맵을	로드맵/NNG+을/JKO
마련하라"고	마련/NNG+하/XSV+라/EF+"/SS+고/JKQ
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.380.10.2
문 대통령이 약속한 '공공 부문 일자리 81만개' 등을 위한 세부 방안을 조속히 만들어 실행하라는 것이다.

문	문/NNP
대통령이	대통령/NNG+이/JKS
약속한	약속/NNG+하/XSV+ㄴ/ETM
'공공	'/SS+공공/NNG
부문	부문/NNG
일자리	일자리/NNG
81만개'	81/SN+만/NR+개/NNB+'/SS
등을	등/NNB+을/JKO
위한	위하/VV+ㄴ/ETM
세부	세부/NNG
방안을	방안/NNG+을/JKO
조속히	조속히/MAG
만들어	만들/VV+어/EC
실행하라는	실행/NNG+하/XSV+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


