# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.405
metadata : {}


# id : NWRW1800000048.405.1.1
MB 한번 부르지도 못하고…자원외교 국조 사실상 막내려

MB	MB/SL
대통령을	대통령/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
핵심	핵심/NNG
증인	증인/NNG
한명도	한/MMN+명/NNB+도/JX
받을	받/VV+을/ETM
수	수/NNB
없다고	없/VA+다고/EC
해	하/VV+아/EC
합의	합의/NNG
도출이	도출/NNG+이/JKS
불가능하다고	불/XPN+가능/NNG+하/XSA+다고/EC
판단했다”고	판단/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.405.8.1
반면 여당은 “시종일관 야당이 정치공세로 일관했다”고 책임을 돌렸다.

반면	반면/NNG
여당은	여당/NNG+은/JX
“시종일관	“/SS+시종일관/NNG
야당이	야당/NNG+이/JKS
정치공세로	정치/NNG+공세/NNG+로/JKB
일관했다”고	일관/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
책임을	책임/NNG+을/JKO
돌렸다.	돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.405.8.2
권성동 의원은 회동 뒤 “야당의 주장은 그동안 감사원 감사 등을 통해 밝혀진 내용을 재탕 삼탕 하는 수준에 머물렀고, 국정조사 본래 취지와 달리 시종일관 정치공세로 일관했다”고 비판했다.

권성동	권성동/NNP
의원은	의원/NNG+은/JX
회동	회동/NNG
뒤	뒤/NNG
“야당의	“/SS+야당/NNG+의/JKG
주장은	주장/NNG+은/JX
그동안	그동안/NNG
감사원	감사원/NNG
감사	감사/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
밝혀진	밝혀지/VV+ㄴ/ETM
내용을	내용/NNG+을/JKO
재탕	재탕/NNG
삼탕	삼탕/NNG
하는	하/VV+는/ETM
수준에	수준/NNG+에/JKB
머물렀고,	머무르/VV+었/EP+고/EC+,/SP
국정조사	국정/NNG+조사/NNG
본래	본래/NNG
취지와	취지/NNG+와/JKB
달리	달리/MAG
시종일관	시종일관/NNG
정치공세로	정치/NNG+공세/NNG+로/JKB
일관했다”고	일관/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.405.8.3
그는 “우리는 해외자원개발 정책을 수립하는 데 관여했던 사람들만 불러서 묻는 것이 옳다고 했다”며 야당의 증인 출석 요구가 과도하다고 덧붙였다.

그는	그/NP+는/JX
“우리는	“/SS+우리/NP+는/JX
해외자원개발	해외/NNG+자원/NNG+개발/NNG
정책을	정책/NNG+을/JKO
수립하는	수립/NNG+하/XSV+는/ETM
데	데/NNB
관여했던	관여/NNG+하/XSV+았/EP+던/ETM
사람들만	사람/NNG+들/XSN+만/JX
불러서	부르/VV+어서/EC
묻는	묻/VV+는/ETM
것이	것/NNB+이/JKS
옳다고	옳/VA+다고/EC
했다”며	하/VV+았/EP+다/EF+”/SS+며/EC
야당의	야당/NNG+의/JKG
증인	증인/NNG
출석	출석/NNG
요구가	요구/NNG+가/JKS
과도하다고	과도/NNG+하/XSA+다고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.405.9.1
지난해 12월29일 출범한 국조특위에서는 이명박 정부 시절 추진된 무리한 사업과 막대한 세금 낭비를 일정 부분 밝혀냈지만, 사업을 추진한 핵심 인사들에 대한 국회 차원의 책임 규명은 결국 하지 못하게 됐다.

지난해	지난해/NNG
12월29일	12/SN+월/NNB+29/SN+일/NNB
출범한	출범/NNG+하/XSV+ㄴ/ETM
국조특위에서는	국조/NNG+특위/NNG+에서/JKB+는/JX
이명박	이명박/NNP
정부	정부/NNG
시절	시절/NNG
추진된	추진/NNG+되/XSV+ㄴ/ETM
무리한	무리/NNG+하/XSV+ㄴ/ETM
사업과	사업/NNG+과/JC
막대한	막대하/VA+ㄴ/ETM
세금	세금/NNG
낭비를	낭비/NNG+를/JKO
일정	일정/NNG
부분	부분/NNG
밝혀냈지만,	밝혀내/VV+었/EP+지만/EC+,/SP
사업을	사업/NNG+을/JKO
추진한	추진/NNG+하/XSV+ㄴ/ETM
핵심	핵심/NNG
인사들에	인사/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
국회	국회/NNG
차원의	차원/NNG+의/JKG
책임	책임/NNG
규명은	규명/NNG+은/JX
결국	결국/MAG
하지	하/VV+지/EC
못하게	못하/VX+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.405.9.2
여야는 이후 국회 산업통상자원위원회에서 논의를 이어갈 방침이다.

여야는	여야/NNG+는/JX
이후	이후/NNG
국회	국회/NNG
산업통상자원위원회에서	산업/NNG+통상/NNG+자원/NNG+위원회/NNG+에서/JKB
논의를	논의/NNG+를/JKO
이어갈	잇/VV+어/EC+가/VX+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


