# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.102
metadata : {}


# id : NWRW1800000032.102.1.1
그리스, 지급불능 피해갈 묘수 없나

그리스,	그리스/NNP+,/SP
데엔	데/NNB+에/JKB+ㄴ/JX
합의가	합의/NNG+가/JKS
이뤄졌으나,	이뤄지/VV+었/EP+으나/EC+,/SP
독일이	독일/NNP+이/JKS
그리스	그리스/NNP
정부	정부/NNG
채권을	채권/NNG+을/JKO
소유한	소유/NNG+하/XSV+ㄴ/ETM
투자자들도	투자자/NNG+들/XSN+도/JX
채권	채권/NNG
만기	만기/NNG
연장을	연장/NNG+을/JKO
통해	통하/VV+아/EC
고통을	고통/NNG+을/JKO
일부	일부/NNG
부담해야	부담/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
기존	기존/NNG
주장을	주장/NNG+을/JKO
굽히지	굽히/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
이	이/NA
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.102.7.1
독일은 애초 민간 투자자 소유 채권 만기 연장안을 철회한 것으로 알려졌으나, 아직 최종 결정을 못 내렸고 6월 말께나 결정될 것이라고 신문은 덧붙였다.

독일은	독일/NNP+은/JX
애초	애초/NNG
민간	민간/NNG
투자자	투자자/NNG
소유	소유/NNG
채권	채권/NNG
만기	만기/NNG
연장안을	연장안/NNG+을/JKO
철회한	철회/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌으나,	알려지/VV+었/EP+으나/EC+,/SP
아직	아직/MAG
최종	최종/NNG
결정을	결정/NNG+을/JKO
못	못/MAG
내렸고	내리/VV+었/EP+고/EC
6월	6/SN+월/NNB
말께나	말/NNB+께/XSN+나/JX
결정될	결정/NNG+되/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
신문은	신문/NNG+은/JX
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.102.8.1
유럽중앙은행(ECB)은 채권만기 연장은 사실상 지급불능 선언이며, 이는 부채위기를 겪는 유럽의 다른 국가들에서 자본 이탈을 촉발할 것이라고 반대하고 있다.

유럽중앙은행(ECB)은	유럽중앙은행/NNP+(/SS+ECB/SL+)/SS+은/JX
채권만기	채권/NNG+만기/NNG
연장은	연장/NNG+은/JX
사실상	사실/NNG+상/XSN
지급불능	지급/NNG+불능/NNG
선언이며,	선언/NNG+이/VCP+며/EC+,/SP
이는	이/NP+는/JX
부채위기를	부채/NNG+위기/NNG+를/JKO
겪는	겪/VV+는/ETM
유럽의	유럽/NNP+의/JKG
다른	다른/MMD
국가들에서	국가/NNG+들/XSN+에서/JKB
자본	자본/NNG
이탈을	이탈/NNG+을/JKO
촉발할	촉발/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
반대하고	반대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.102.8.2
유럽중앙은행은 투자자들이 만기가 도래하는 보유 채권을 상환받는 대신, 새로운 채권을 구매해주는 ‘신사협정’ 방안을 제시하고 있다.

유럽중앙은행은	유럽중앙은행/NNP+은/JX
투자자들이	투자자/NNG+들/XSN+이/JKS
만기가	만기/NNG+가/JKS
도래하는	도래/NNG+하/XSV+는/ETM
보유	보유/NNG
채권을	채권/NNG+을/JKO
상환받는	상환/NNG+받/XSV+는/ETM
대신,	대신/NNG+,/SP
새로운	새롭/VA+ㄴ/ETM
구매해주는	구매/NNG+하/XSV+아/EC+주/VX+는/ETM
‘신사협정’	‘/SS+신사협정/NNG+’/SS
방안을	방안/NNG+을/JKO
제시하고	제시/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.102.8.3
이런 방안은 2009년 동유럽 국가들의 구제금융 때 도입한 ‘빈 구상’을 원용한 것이다.

이런	이런/MMD
방안은	방안/NNG+은/JX
2009년	2009/SN+년/NNB
동유럽	동유럽/NNP
국가들의	국가/NNG+들/XSN+의/JKG
구제금융	구제/NNG+금융/NNG
때	때/NNG
도입한	도입/NNG+하/XSV+ㄴ/ETM
‘빈	‘/SS+빈/NNP
구상’을	구상/NNG+’/SS+을/JKO
원용한	원용/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.102.8.4
채권단은 이런 빈 구상으로 타협을 보고 3일께 합의안을 내놓을 것으로 보인다고 통신은 보도했다.

채권단은	채권단/NNG+은/JX
이런	이런/MMD
빈	빈/NNP
구상으로	구상/NNG+으로/JKB
타협을	타협/NNG+을/JKO
보고	보/VV+고/EC
3일께	3/SN+일/NNB+께/XSN
합의안을	합의안/NNG+을/JKO
내놓을	내놓/VV+을/ETM
것으로	것/NNB+으로/JKB
보인다고	보이/VV+ㄴ다고/EC
통신은	통신/NNG+은/JX
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.102.8.5
그러나 은 전문가들의 말을 인용해, “그리스의 부채 상환이 몇 년 연기된다고 해도, 그리스는 결국 상환일이 도래하는 부채들을 갚을 수 없을 것”이라고 전했다.

그러나	그러나/MAJ
은	은/NA
전문가들의	전문가/NNG+들/XSN+의/JKG
말을	말/NNG+을/JKO
인용해,	인용/NNG+하/XSV+아/EC+,/SP
“그리스의	“/SS+그리스/NNP+의/JKG
부채	부채/NNG
상환이	상환/NNG+이/JKS
몇	몇/NR
년	년/NNB
연기된다고	연기/NNG+되/XSV+ㄴ다고/EC
해도,	하/VV+아도/EC+,/SP
그리스는	그리스/NNP+는/JX
결국	결국/MAG
상환일이	상환일/NNG+이/JKS
도래하는	도래/NNG+하/XSV+는/ETM
부채들을	부채/NNG+들/XSN+을/JKO
갚을	갚/VV+을/ETM
수	수/NNB
없을	없/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.102.9.1
시장의 이런 평가를 반영해 신용평가회사 무디스는 1일 그리스의 신용등급을 Caa1로 더 떨어뜨린다고 발표했다.

시장의	시장/NNG+의/JKG
이런	이런/MMD
평가를	평가/NNG+를/JKO
반영해	반영/NNG+하/XSV+아/EC
신용평가회사	신용/NNG+평가/NNG+회사/NNG
무디스는	무디스/NNP+는/JX
1일	1/SN+일/NNB
그리스의	그리스/NNP+의/JKG
신용등급을	신용/NNG+등급/NNG+을/JKO
Caa1로	Caa/SL+1/SN+로/JKB
더	더/MAG
떨어뜨린다고	떨어뜨리/VV+ㄴ다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.102.9.2
이런 신용등급은 향후 5년 동안 디폴트(채무불이행) 가능성이 50%라는 의미이다.

이런	이런/MMD
신용등급은	신용/NNG+등급/NNG+은/JX
향후	향후/NNG
5년	5/SN+년/NNB
동안	동안/NNG
디폴트(채무불이행)	디폴트/NNG+(/SS+채무/NNG+불/XPN+이행/NNG+)/SS
가능성이	가능/NNG+성/XSN+이/JKS
50%라는	50/SN+%/SW+이/VCP+라는/ETM
의미이다.	의미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.102.9.3
무디스는 또 신용등급 전망을 ‘부정적’으로 적용해, 그리스의 신용등급이 더 떨어질 수 있다고 경고했다.

무디스는	무디스/NNP+는/JX
또	또/MAG
신용등급	신용/NNG+등급/NNG
전망을	전망/NNG+을/JKO
‘부정적’으로	‘/SS+부정/NNG+적/XSN+’/SS+으로/JKB
적용해,	적용/NNG+하/XSV+아/EC+,/SP
그리스의	그리스/NNP+의/JKG
신용등급이	신용/NNG+등급/NNG+이/JKS
더	더/MAG
떨어질	떨어지/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


