# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.227
metadata : {}


# id : NWRW1800000038.227.1.1
[행복을 나누는 멘토링] (1) 46세 '올챙이 형님'에게 16세 '복어 동생' 생겼다

[행복을	[/SS+행복/NNG+을/JKO
있고,	있/VA+고/EC+,/SP
어머니가	어머니/NNG+가/JKS
우울증을	우울증/NNG+을/JKO
앓으면서도	앓/VV+으면서/EC+도/JX
근근이	근근이/MAG
부업을	부업/NNG+을/JKO
해	하/VV+아/EC
어렵게	어렵/VA+게/EC
살고	살/VV+고/EC
있다고	있/VX+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.227.7.4
창수가 "힘들게 고생하시는 부모님께 자꾸 화내 죄송하다"고 하자 권 차장은 "나도 중학교 때 어머니가 노점상을 하시며 생활이 어려웠다"며 "엄마·아빠를 잘 위로해 드려라"고 격려했다.

창수가	창수/NNP+가/JKS
"힘들게	"/SS+힘들/VA+게/EC
고생하시는	고생/NNG+하/XSV+시/EP+는/ETM
부모님께	부모/NNG+님/XSN+께/JKB
자꾸	자꾸/MAG
화내	화내/VV+어/EC
죄송하다"고	죄송하/VA+다/EF+"/SS+고/JKQ
하자	하/VV+자/EC
권	권/NNP
차장은	차장/NNG+은/JX
"나도	"/SS+나/NP+도/JX
중학교	중학교/NNG
때	때/NNG
어머니가	어머니/NNG+가/JKS
노점상을	노점상/NNG+을/JKO
하시며	하/VV+시/EP+며/EC
생활이	생활/NNG+이/JKS
어려웠다"며	어렵/VA+었/EP+다/EF+"/SS+며/EC
"엄마·아빠를	"/SS+엄마/NNG+·/SP+아빠/NNG+를/JKO
잘	잘/MAG
위로해	위로/NNG+하/XSV+아/EC
드려라"고	드리/VX+어라/EF+"/SS+고/JKQ
격려했다.	격려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.227.8.1
이후 둘은 영화나 뮤지컬도 함께 보러 다니며 급속도로 친해졌고, 창수는 어느새 권 차장의 새 가족이 됐다.

이후	이후/NNG
둘은	둘/NR+은/JX
영화나	영화/NNG+나/JC
뮤지컬도	뮤지컬/NNG+도/JX
함께	함께/MAG
보러	보/VV+러/EC
다니며	다니/VV+며/EC
급속도로	급속도/NNG+로/JKB
친해졌고,	친하/VA+아/EC+지/VX+었/EP+고/EC+,/SP
창수는	창수/NNP+는/JX
어느새	어느새/MAG
권	권/NNP
차장의	차장/NNG+의/JKG
새	새/MMA
가족이	가족/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.227.9.1
올해는 '사이버 수사 경찰'이 되고 싶다는 창수의 목표에 따라 경찰박물관 방문, 극기 훈련, IT 자격증 따기 등을 차근차근 진행했다.

올해는	올해/NNG+는/JX
'사이버	'/SS+사이버/NNG
수사	수사/NNG
경찰'이	경찰/NNG+'/SS+이/JKC
되고	되/VV+고/EC
싶다는	싶/VX+다는/ETM
창수의	창수/NNP+의/JKG
목표에	목표/NNG+에/JKB
따라	따르/VV+아/EC
경찰박물관	경찰박물관/NNP
방문,	방문/NNG+,/SP
극기	극기/NNG
훈련,	훈련/NNG+,/SP
IT	IT/SL
자격증	자격증/NNG
따기	따/VV+기/ETN
등을	등/NNB+을/JKO
차근차근	차근차근/MAG
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.227.9.2
팔짱 프로그램을 담당하는 이은지 삼성사회정신건강연구소 연구원은 "편견 없이 도와준 권 차장의 정성 덕분에 창수가 정서적으로 성장할 수 있게 됐다"고 했다.

팔짱	팔짱/NNG
프로그램을	프로그램/NNG+을/JKO
담당하는	담당/NNG+하/XSV+는/ETM
이은지	이은지/NNP
삼성사회정신건강연구소	삼성사회정신건강연구소/NNP
연구원은	연구원/NNG+은/JX
"편견	"/SS+편견/NNG
없이	없이/MAG
도와준	도와주/VV+ㄴ/ETM
권	권/NNP
차장의	차장/NNG+의/JKG
정성	정성/NNG
덕분에	덕분/NNG+에/JKB
창수가	창수/NNP+가/JKS
정서적으로	정서/NNG+적/XSN+으로/JKB
성장할	성장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.227.10.1
삼성 직원들은 매년 50여명씩 권 차장처럼 '형·언니'가 되어 저소득층 중학생을 돌본다.

삼성	삼성/NNP
직원들은	직원/NNG+들/XSN+은/JX
매년	매년/MAG
50여명씩	50/SN+여/XSN+명/NNB+씩/XSN
권	권/NNP
차장처럼	차장/NNG+처럼/JKB
'형·언니'가	'/SS+형/NNG+·/SP+언니/NNG+'/SS+가/JKC
되어	되/VV+어/EC
저소득층	저/XPN+소득/NNG+층/XSN
중학생을	중학/NNG+생/XSN+을/JKO
돌본다.	돌보/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.227.10.2
지난 2008년부터 지금까지 팔짱 프로그램을 거친 사람은 600여명이 넘는다.

지난	지나/VV+ㄴ/ETM
2008년부터	2008/SN+년/NNB+부터/JX
지금까지	지금/NNG+까지/JX
팔짱	팔짱/NNG
프로그램을	프로그램/NNG+을/JKO
거친	거칠/VA+ㄴ/ETM
사람은	사람/NNG+은/JX
600여명이	600/SN+여/XSN+명/NNB+이/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000038.227.10.3
이들은 멘티의 중학생 시절 3년 내내 가족같이 지내며 고민을 들어주고 진로 상담도 해준다.

이들은	이/NP+들/XSN+은/JX
멘티의	멘티/NNG+의/JKG
중학생	중학/NNG+생/XSN
시절	시절/NNG
3년	3/SN+년/NNB
내내	내내/MAG
가족같이	가족/NNG+같이/JKB
지내며	지내/VV+며/EC
고민을	고민/NNG+을/JKO
들어주고	듣/VV+어/EC+주/VX+고/EC
진로	진로/NNG
상담도	상담/NNG+도/JX
해준다.	하/VV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.227.10.4
두 달에 한 번씩 단체 모임을 갖고 여행, 뮤지컬 공연도 함께 간다.

두	두/MMN
달에	달/NNB+에/JKB
한	한/MMN
번씩	번/NNB+씩/XSN
단체	단체/NNG
모임을	모임/NNG+을/JKO
갖고	갖/VV+고/EC
여행,	여행/NNG+,/SP
뮤지컬	뮤지컬/NNG
공연도	공연/NNG+도/JX
함께	함께/MAG
간다.	가/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.227.10.5
이용흥 한국사회복지협의회 부회장은 "멘토링에 많은 회사가 동참하면 아이들에게 꿈을 키워주는 사회가 될 것"이라고 했다.

이용흥	이용흥/NNP
한국사회복지협의회	한국사회복지협의회/NNP
부회장은	부회장/NNG+은/JX
"멘토링에	"/SS+멘토링/NNG+에/JKB
많은	많/VA+은/ETM
회사가	회사/NNG+가/JKS
동참하면	동참/NNG+하/XSV+면/EC
아이들에게	아이/NNG+들/XSN+에게/JKB
꿈을	꿈/NNG+을/JKO
키워주는	키우/VV+어/EC+주/VX+는/ETM
사회가	사회/NNG+가/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


