# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.167
metadata : {}


# id : NWRW1800000038.167.1.1
대한항공·아시아나 서비스… 해외선 1등, 국내에선 C등급

대한항공·아시아나	대한항공/NNP+·/SP+아시아나/NNP
C등급(보통),	C/SL+등급/NNG+(/SS+보통/NNG+)/SS+,/SP
국내선	국내선/NNG
B등급(우수)을	B/SL+등급/NNG+(/SS+우수/NNG+)/SS+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.167.5.2
C등급은 서비스의 부분적 개선이 필요한 상태를 말한다.

C등급은	C/SL+등급/NNG+은/JX
서비스의	서비스/NNG+의/JKG
부분적	부분/NNG+적/XSN
개선이	개선/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
상태를	상태/NNG+를/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.167.5.3
국토부는 "결항이 2011년 78건에서 2012년에는 36건으로 줄었고 안전성과 승무원 서비스도 우수했지만, 국제선 승객들의 피해 구제 건수가 많았고 요금이 비싸다는 불평이 많아 등급이 낮게 나온 것"이라고 설명했다.

국토부는	국토부/NNG+는/JX
"결항이	"/SS+결항/NNG+이/JKS
2011년	2011/SN+년/NNB
78건에서	78/SN+건/NNB+에서/JKB
2012년에는	2012/SN+년/NNB+에/JKB+는/JX
36건으로	36/SN+건/NNB+으로/JKB
줄었고	줄/VV+었/EP+고/EC
안전성과	안전/NNG+성/XSN+과/JC
승무원	승무원/NNG
서비스도	서비스/NNG+도/JX
우수했지만,	우수/NNG+하/XSA+았/EP+지만/EC+,/SP
국제선	국제선/NNG
승객들의	승객/NNG+들/XSN+의/JKG
피해	피해/NNG
구제	구제/NNG
건수가	건수/NNG+가/JKS
많았고	많/VA+았/EP+고/EC
요금이	요금/NNG+이/JKS
비싸다는	비싸/VA+다는/ETM
불평이	불평/NNG+이/JKS
많아	많/VA+아/EC
등급이	등급/NNG+이/JKS
낮게	낮/VA+게/EC
나온	나오/VV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.167.5.4
세부 항목별 점수는 "달리 해석될 소지가 있다"며 공개하지 않았다.

세부	세부/NNG
항목별	항목/NNG+별/XSN
점수는	점수/NNG+는/JX
"달리	"/SS+달리/MAG
해석될	해석/NNG+되/XSV+ㄹ/ETM
소지가	소지/NNG+가/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
공개하지	공개/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.167.6.1
저가 항공사 중에 국제선은 에어부산이 A등급(매우 우수), 제주항공·진에어·티웨이항공이 B등급을 받았다.

저가	저가/NNG
항공사	항공사/NNG
중에	중/NNB+에/JKB
국제선은	국제선/NNG+은/JX
에어부산이	에어부산/NNP+이/JKS
A등급(매우	A/SL+등급/NNG+(/SS+매우/MAG
우수),	우수/NNG+)/SS+,/SP
제주항공·진에어·티웨이항공이	제주항공/NNP+·/SP+진에어/NNP+·/SP+티웨이항공/NNP+이/JKS
B등급을	B/SL+등급/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.167.6.2
이스타항공은 C등급을 받았다.

이스타항공은	이스타항공/NNP+은/JX
C등급을	C/SL+등급/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.167.6.3
국내선은 에어부산과 진에어가 A등급을, 제주항공·이스타항공·티웨이항공이 B등급을 받았다.

국내선은	국내선/NNG+은/JX
에어부산과	에어부산/NNP+과/JC
진에어가	진에어/NNP+가/JKS
A등급을,	A/SL+등급/NNG+을/JKO+,/SP
제주항공·이스타항공·티웨이항공이	제주항공/NNP+·/SP+이스타항공/NNP+·/SP+티웨이항공/NNP+이/JKS
B등급을	B/SL+등급/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.167.7.1
항공업계는 "국토부 평가에 문제가 있다"고 반발하고 있다.

항공업계는	항공업/NNG+계/XSN+는/JX
"국토부	"/SS+국토부/NNG
평가에	평가/NNG+에/JKB
문제가	문제/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.167.7.2
설문 조사 기간이 제한적이고, 조사 대상도 항공사당 300명에 불과해 평가의 신뢰성에 문제가 있다는 것이다.

설문	설문/NNG
조사	조사/NNG
기간이	기간/NNG+이/JKS
제한적이고,	제한/NNG+적/XSN+이/VCP+고/EC+,/SP
대상도	대상/NNG+도/JX
항공사당	항공사/NNG+당/XSN
300명에	300/SN+명/NNB+에/JKB
불과해	불과/MAG+하/XSA+아/EC
평가의	평가/NNG+의/JKG
신뢰성에	신뢰/NNG+성/XSN+에/JKB
문제가	문제/NNG+가/JKS
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.167.7.3
스카이트랙스사(社)는 승객 1800여만명을 10개월 정도 설문 조사한 결과 등을 바탕으로 230여개 공항을 5개 등급으로 나누고 '올해의 항공사'를 발표한다.

스카이트랙스사(社)는	스카이트랙스/NNP+사/NNG+(/SS+社/SH+)/SS+는/JX
승객	승객/NNG
1800여만명을	1800/SN+여/XSN+만/NR+명/NNB+을/JKO
10개월	10/SN+개월/NNB
정도	정도/NNG
설문	설문/NNG
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
등을	등/NNB+을/JKO
바탕으로	바탕/NNG+으로/JKB
230여개	230/SN+여/XSN+개/NNB
공항을	공항/NNG+을/JKO
5개	5/SN+개/NNB
등급으로	등급/NNG+으로/JKB
나누고	나누/VV+고/EC
'올해의	'/SS+올해/NNG+의/JKG
항공사'를	항공사/NNG+'/SS+를/JKO
발표한다.	발표/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.167.7.4
이에 대해 국토부 관계자는 "처음 하는 조사인 데다 평가 예산이 6800만원밖에 안 돼 한계가 있을 수밖에 없다"면서 "올해는 2억7000만원을 들여 조사 대상을 2~3배 늘려서 좀 더 객관적인 결과를 내놓겠다"고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
국토부	국토부/NNG
관계자는	관계자/NNG+는/JX
"처음	"/SS+처음/NNG
하는	하/VV+는/ETM
조사인	조사/NNG+이/VCP+ㄴ/ETM
데다	데/NNB+다/JX
평가	평가/NNG
예산이	예산/NNG+이/JKS
6800만원밖에	6800/SN+만/NR+원/NNB+밖에/JX
안	안/MAG
돼	되/VV+어/EC
한계가	한계/NNG+가/JKS
있을	있/VA+을/ETM
수밖에	수/NNB+밖에/JX
없다"면서	없/VA+다/EF+"/SS+면서/EC
"올해는	"/SS+올해/NNG+는/JX
2억7000만원을	2/SN+억/NR+7000/SN+만/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
조사	조사/NNG
대상을	대상/NNG+을/JKO
2~3배	2/SN+~/SO+3/SN+배/NNG
늘려서	늘리/VV+어서/EC
좀	좀/MAG
더	더/MAG
객관적인	객관/NNG+적/XSN+이/VCP+ㄴ/ETM
결과를	결과/NNG+를/JKO
내놓겠다"고	내놓/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


