# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.223
metadata : {}


# id : NWRW1800000040.223.1.1
경기도내 학교 비정규직 정년 보장

경기도내	경기도/NNP+내/NNB
경기도교육청은	경기도교육청/NNP+은/JX
1년	1/SN+년/NNB
넘게	넘/VV+게/EC
일해온	일/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
학교비정규직	학교/NNG+비/XPN+정규직/NNG
교육실무직원	교육/NNG+실무/NNG+직원/NNG
6500여명을	6500/SN+여/XSN+명/NNB+을/JKO
정년	정년/NNG
60살까지	60/SN+살/NNB+까지/JX
보장하는	보장/NNG+하/XSV+는/ETM
무기계약직으로	무기/NNG+계약직/NNG+으로/JKB
전환한다고	전환/NNG+하/XSV+ㄴ다고/EC
30일	30/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.223.5.2
계속 노동기간이 2년을 넘은 1058명은 5월31일로 무기계약직으로 일괄 전환하며, 노동기간이 1년 초과~2년 이하인 5483명은 각 지역 교육지원청 인사위원회 평가를 거쳐 무기계약직으로 바꾼다.

계속	계속/MAG
노동기간이	노동/NNG+기간/NNG+이/JKS
2년을	2/SN+년/NNB+을/JKO
넘은	넘/VV+은/ETM
1058명은	1058/SN+명/NNB+은/JX
5월31일로	5/SN+월/NNB+31/SN+일/NNB+로/JKB
무기계약직으로	무기/NNG+계약직/NNG+으로/JKB
일괄	일괄/NNG
전환하며,	전환/NNG+하/XSV+며/EC+,/SP
1년	1/SN+년/NNB
초과~2년	초과/NNG+~/SO+2/SN+년/NNB
이하인	이하/NNG+이/VCP+ㄴ/ETM
5483명은	5483/SN+명/NNB+은/JX
각	각/MMD
지역	지역/NNG
교육지원청	교육/NNG+지원청/NNG
인사위원회	인사/NNG+위원회/NNG
평가를	평가/NNG+를/JKO
거쳐	거치/VV+어/EC
바꾼다.	바꾸/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.223.6.1
경기도교육청은 학교비정규직 노동자들을 일선 학교가 아니라 교육지원청이 직접고용하도록 한 ‘교육실무직원 운영 규정’을 1일 공포할 예정이다.

경기도교육청은	경기도교육청/NNP+은/JX
학교비정규직	학교/NNG+비/XPN+정규직/NNG
노동자들을	노동자/NNG+들/XSN+을/JKO
일선	일선/NNG
학교가	학교/NNG+가/JKC
아니라	아니/VCN+라/EC
교육지원청이	교육/NNG+지원청/NNG+이/JKS
직접고용하도록	직접/NNG+고용/NNG+하/XSV+도록/EC
한	하/VX+ㄴ/ETM
‘교육실무직원	‘/SS+교육/NNG+실무/NNG+직원/NNG
운영	운영/NNG
규정’을	규정/NNG+’/SS+을/JKO
1일	1/SN+일/NNB
공포할	공포/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.223.6.2
기간제 노동자를 2년 넘게 고용할 수 없도록 법류로 규제하자, 학교들에선 노동기간이 2년 되기 이전에 계약을 갱신하는 방법으로 정규직 전환 책임을 회피해왔다.

기간제	기간/NNG+제/XSN
노동자를	노동자/NNG+를/JKO
2년	2/SN+년/NNB
넘게	넘/VV+게/EC
고용할	고용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
법류로	법류/NNG+로/JKB
규제하자,	규제/NNG+하/XSV+자/EC+,/SP
학교들에선	학교/NNG+들/XSN+에서/JKB+ㄴ/JX
노동기간이	노동/NNG+기간/NNG+이/JKS
되기	되/VV+기/ETN
이전에	이전/NNG+에/JKB
계약을	계약/NNG+을/JKO
갱신하는	갱신/NNG+하/XSV+는/ETM
방법으로	방법/NNG+으로/JKB
정규직	정규직/NNG
전환	전환/NNG
책임을	책임/NNG+을/JKO
회피해왔다.	회피/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.223.7.1
전국 초·중·고교 학교비정규직은 대략 20만명으로 추정된다.

전국	전국/NNG
초·중·고교	초·중·고교/NNG
학교비정규직은	학교/NNG+비/XPN+정규직/NNG+은/JX
대략	대략/MAG
20만명으로	20/SN+만/NR+명/NNB+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.223.7.2
학교비정규직 철폐 운동을 벌여온 전국민주노동조합총연맹 학교비정규직본부 경기지부의 이준형 조직국장은 “60살까지 정년은 보장돼 반갑지만, 처우는 여전히 비정규직 때와 같아 이를 개선해야 한다”고 말했다.

학교비정규직	학교/NNG+비/XPN+정규직/NNG
철폐	철폐/NNG
운동을	운동/NNG+을/JKO
벌여온	벌이/VV+어/EC+오/VX+ㄴ/ETM
전국민주노동조합총연맹	전국민주노동조합총연맹/NNP
학교비정규직본부	학교/NNG+비/XPN+정규직/NNG+본부/NNG
경기지부의	경기/NNP+지부/NNG+의/JKG
이준형	이준형/NNP
조직국장은	조직국장/NNG+은/JX
“60살까지	“/SS+60/SN+살/NNB+까지/JX
정년은	정년/NNG+은/JX
보장돼	보장/NNG+되/XSV+어/EC
반갑지만,	반갑/VA+지만/EC+,/SP
처우는	처우/NNG+는/JX
여전히	여전히/MAG
비정규직	비/XPN+정규직/NNG
때와	때/NNG+와/JKB
같아	같/VA+아/EC
이를	이/NP+를/JKO
개선해야	개선/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


