# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.330
metadata : {}


# id : NWRW1800000056.330.1.1
[유레카] 범용 인공지능 / 구본권

[유레카]	[/SS+유레카/NNG+]/SS
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000056.330.3.3
사람은 범용 지능, 다중 지능을 지녔기 때문에 특정 영역에서 인공지능이 아무리 뛰어나도 걱정할 게 없다는 주장의 근거다.

사람은	사람/NNG+은/JX
범용	범용/NNG
지능,	지능/NNG+,/SP
다중	다중/NNG
지능을	지능/NNG+을/JKO
지녔기	지니/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
특정	특정/NNG
영역에서	영역/NNG+에서/JKB
인공지능이	인공/NNG+지능/NNG+이/JKS
아무리	아무리/MAG
뛰어나도	뛰어나/VA+아도/EC
걱정할	걱정/NNG+하/XSV+ㄹ/ETM
게	거/NNB+이/JKS
없다는	없/VA+다는/ETM
주장의	주장/NNG+의/JKG
근거다.	근거/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.330.3.4
그러나 데미스 허사비스 구글 딥마인드 최고경영자는 지난 5월 커제와 알파고의 바둑 대국 때 “알파고는 범용 인공지능의 시작”이라고 말했다.

그러나	그러나/MAJ
데미스	데미스/NNP
허사비스	허사비스/NNP
구글	구글/NNP
딥마인드	딥마인드/NNP
최고경영자는	최고/NNG+경영자/NNG+는/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
커제와	커제/NNP+와/JC
알파고의	알파고/NNP+의/JKG
바둑	바둑/NNG
대국	대국/NNG
때	때/NNG
“알파고는	“/SS+알파고/NNP+는/JX
범용	범용/NNG
인공지능의	인공/NNG+지능/NNG+의/JKG
시작”이라고	시작/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.330.3.5
아이비엠(IBM) 왓슨도 1997년 퀴즈대회 제퍼디쇼 우승 뒤 병원, 대학, 법률회사, 은행, 요리학교 등으로 진출해 서비스를 범용화하고 있다.

아이비엠(IBM)	아이비엠/NNP+(/SS+IBM/SL+)/SS
왓슨도	왓슨/NNP+도/JX
1997년	1997/SN+년/NNB
퀴즈대회	퀴즈/NNG+대회/NNG
제퍼디쇼	제퍼디쇼/NNG
우승	우승/NNG
뒤	뒤/NNG
병원,	병원/NNG+,/SP
대학,	대학/NNG+,/SP
법률회사,	법률/NNG+회사/NNG+,/SP
은행,	은행/NNG+,/SP
요리학교	요리/NNG+학교/NNG
등으로	등/NNB+으로/JKB
진출해	진출/NNG+하/XSV+아/EC
서비스를	서비스/NNG+를/JKO
범용화하고	범용/NNG+화/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.330.4.1
딥마인드는 이달 초 데이비드 실버 수석연구원 등 13명이 공동 작성한 논문을 온라인 논문공유 사이트 아카이브(arXiv)에 공개해 알파고를 다른 분야에 적용한 사례를 보고했다.

딥마인드는	딥마인드/NNP+는/JX
이달	이달/NNG
초	초/NNB
데이비드	데이비드/NNP
실버	실버/NNP
수석연구원	수석/NNG+연구원/NNG
등	등/NNB
13명이	13/SN+명/NNB+이/JKS
공동	공동/NNG
작성한	작성/NNG+하/XSV+ㄴ/ETM
논문을	논문/NNG+을/JKO
온라인	온라인/NNG
논문공유	논문/NNG+공유/NNG
사이트	사이트/NNG
아카이브(arXiv)에	아카이브/NNP+(/SS+arXiv/SL+)/SS+에/JKB
공개해	공개/NNG+하/XSV+아/EC
알파고를	알파고/NNP+를/JKO
다른	다른/MMD
분야에	분야/NNG+에/JKB
적용한	적용/NNG+하/XSV+ㄴ/ETM
사례를	사례/NNG+를/JKO
보고했다.	보고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.330.4.2
딥마인드는 알파고에서 바둑을 뜻하는 고를 떼고 ‘알파 제로’로 개선한 뒤 장기와 체스 분야에 투입했다.

딥마인드는	딥마인드/NNP+는/JX
알파고에서	알파고/NNP+에서/JKB
바둑을	바둑/NNG+을/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
고를	고/NNG+를/JKO
떼고	떼/VV+고/EC
‘알파	‘/SS+알파/NNP
제로’로	제로/NNP+’/SS+로/JKB
개선한	개선/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
장기와	장기/NNG+와/JC
체스	체스/NNG
분야에	분야/NNG+에/JKB
투입했다.	투입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.330.4.3
알파 제로는 각각 2시간, 4시간 만에 장기와 체스 분야에서 세계 1위 인공지능을 꺾으며 단숨에 최고의 인공지능으로 등극했다.

알파	알파/NNP
제로는	제로/NNP+는/JX
각각	각각/MAG
2시간,	2/SN+시간/NNB+,/SP
4시간	4/SN+시간/NNB
만에	만/NNB+에/JKB
장기와	장기/NNG+와/JC
체스	체스/NNG
분야에서	분야/NNG+에서/JKB
세계	세계/NNG
1위	1/SN+위/NNB
인공지능을	인공/NNG+지능/NNG+을/JKO
꺾으며	꺾/VV+으며/EC
단숨에	단숨에/MAG
최고의	최고/NNG+의/JKG
인공지능으로	인공/NNG+지능/NNG+으로/JKB
등극했다.	등극/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.330.4.4
기하급수적 학습능력을 갖춘 인공지능이 범용화를 위해 달려가고 있다.

기하급수적	기하급수/NNG+적/XSN
학습능력을	학습/NNG+능력/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
인공지능이	인공/NNG+지능/NNG+이/JKS
범용화를	범용/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
달려가고	달려가/VV+고/EC
있다.	있/VX+다/EF+./SF


