# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.389
metadata : {}


# id : NWRW1800000049.389.1.1
[단독]독방 생활 최순실, 구치소 특혜 의혹

[단독]독방	[/SS+단독/NNG+]/SS+독방/NNG
한 구치소 관계자는 “한 번에 1병밖에 살 수 없는 생수도 최 씨는 2, 3개 또는 필요할 때마다 구입했다.

한	한/MMN
구치소	구치소/NNG
관계자는	관계자/NNG+는/JX
“한	“/SS+한/MMN
번에	번/NNB+에/JKB
1병밖에	1/SN+병/NNG+밖에/JX
살	사/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
생수도	생수/NNG+도/JX
최	최/NNP
씨는	씨/NNB+는/JX
2,	2/SN+,/SP
3개	3/SN+개/NNB
또는	또는/MAG
필요할	필요/NNG+하/XSA+ㄹ/ETM
때마다	때/NNG+마다/JX
구입했다.	구입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.389.4.4
수감자가 구매목록을 직접 작성한 뒤 물품을 받아야 하는데도 최 씨의 경우 교정시설 관리인이 물품을 먼저 건네고 구매목록을 대신 작성해주기도 했다”고 밝혔다.

수감자가	수감자/NNG+가/JKS
구매목록을	구매/NNG+목록/NNG+을/JKO
직접	직접/MAG
작성한	작성/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
물품을	물품/NNG+을/JKO
받아야	받/VV+아야/EC
하는데도	하/VX+는데/EC+도/JX
최	최/NNP
씨의	씨/NNB+의/JKG
경우	경우/NNG
교정시설	교정/NNG+시설/NNG
관리인이	관리인/NNG+이/JKS
먼저	먼저/MAG
건네고	건네/VV+고/EC
대신	대신/NNG
작성해주기도	작성/NNG+하/XSV+아/EC+주/VX+기/ETN+도/JX
했다”고	하/VX+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.389.4.5
수용 인원이 3000여 명에 이르는 서울구치소는 운반 사정을 감안해 생수 공급 물량을 1인당 1병으로 제한하고 있다.

수용	수용/NNG
인원이	인원/NNG+이/JKS
3000여	3000/SN+여/XSN
명에	명/NNB+에/JKB
이르는	이르/VV+는/ETM
서울구치소는	서울구치소/NNP+는/JX
운반	운반/NNG
사정을	사정/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
생수	생수/NNG
공급	공급/NNG
물량을	물량/NNG+을/JKO
1인당	1/SN+인/NNG+당/XSN
1병으로	1/SN+병/NNG+으로/JKB
제한하고	제한/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.389.5.1
서울구치소 수용자들은 “스스로 ‘공황장애가 있어 청문회에 나갈 수 없다’고 주장한 최 씨가 독방을 쓰는 것도 규정에 어긋나는 것”이라고 주장했다.

서울구치소	서울구치소/NNP
수용자들은	수용자/NNG+들/XSN+은/JX
“스스로	“/SS+스스로/MAG
‘공황장애가	‘/SS+공황/NNG+장애/NNG+가/JKS
있어	있/VA+어/EC
청문회에	청문회/NNG+에/JKB
나갈	나가/VV+ㄹ/ETM
수	수/NNB
없다’고	없/VA+다/EF+’/SS+고/JKQ
주장한	주장/NNG+하/XSV+ㄴ/ETM
최	최/NNP
씨가	씨/NNB+가/JKS
독방을	독방/NNG+을/JKO
쓰는	쓰/VV+는/ETM
것도	것/NNB+도/JX
규정에	규정/NNG+에/JKB
어긋나는	어긋나/VV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.389.5.2
구치소 내부 규정에 따르면 공황장애가 있는 수용자는 독방생활을 할 수 없도록 돼 있어 주로 8명이 공동 사용하는 방에 수감된다.

구치소	구치소/NNG
내부	내부/NNG
규정에	규정/NNG+에/JKB
따르면	따르/VV+면/EC
공황장애가	공황/NNG+장애/NNG+가/JKS
있는	있/VA+는/ETM
수용자는	수용자/NNG+는/JX
독방생활을	독방/NNG+생활/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
돼	되/VV+어/EC
있어	있/VX+어/EC
주로	주로/MAG
8명이	8/SN+명/NNB+이/JKS
공동	공동/NNG
사용하는	사용/NNG+하/XSV+는/ETM
방에	방/NNG+에/JKB
수감된다.	수감/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.389.5.3
구치소의 또 다른 관계자는 “구치소가 최 씨에게 제공하는 처우는 한명숙 전 국무총리, 원세훈 전 국가정보원장이 수감됐을 때와 매우 비슷하다”고 말했다.

구치소의	구치소/NNG+의/JKG
또	또/MAG
다른	다른/MMD
관계자는	관계자/NNG+는/JX
“구치소가	“/SS+구치소/NNG+가/JKS
최	최/NNP
씨에게	씨/NNB+에게/JKB
제공하는	제공/NNG+하/XSV+는/ETM
처우는	처우/NNG+는/JX
한명숙	한명숙/NNP
전	전/MMD
국무총리,	국무총리/NNG+,/SP
원세훈	원세훈/NNP
국가정보원장이	국가/NNG+정보원장/NNG+이/JKS
수감됐을	수감/NNG+되/XSV+었/EP+을/ETM
때와	때/NNG+와/JKB
매우	매우/MAG
비슷하다”고	비슷하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.389.6.1
서울구치소 수용자들 사이에서는 최 씨에 대한 특혜를 외부에 알리려고 했던 A 씨가 지방의 한 교도소로 이감됐다는 얘기도 회자되고 있다.

서울구치소	서울구치소/NNP
수용자들	수용자/NNG+들/XSN
사이에서는	사이/NNG+에서/JKB+는/JX
최	최/NNP
씨에	씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
특혜를	특혜/NNG+를/JKO
외부에	외부/NNG+에/JKB
알리려고	알리/VV+려고/EC
했던	하/VX+았/EP+던/ETM
A	A/SL
씨가	씨/NNB+가/JKS
지방의	지방/NNG+의/JKG
한	한/MMN
교도소로	교도소/NNG+로/JKB
이감됐다는	이감/NNG+되/XSV+었/EP+다는/ETM
얘기도	얘기/NNG+도/JX
회자되고	회자/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.389.6.2
지난해 10월 징역형을 선고받은 A 씨는 서울구치소에서 수용자들의 물품 구매를 맡으며 ‘출역(出役·교도소 밖에서 일하는 것)’을 했다.

지난해	지난해/NNG
10월	10/SN+월/NNB
징역형을	징역형/NNG+을/JKO
선고받은	선고/NNG+받/XSV+은/ETM
A	A/SL
씨는	씨/NNB+는/JX
서울구치소에서	서울구치소/NNP+에서/JKB
수용자들의	수용자/NNG+들/XSN+의/JKG
물품	물품/NNG
구매를	구매/NNG+를/JKO
맡으며	맡/VV+으며/EC
‘출역(出役·교도소	‘/SS+출역/NNG+(/SS+出役/SH+·/SP+교도소/NNG
밖에서	밖/NNG+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
것)’을	것/NNB+)/SS+’/SS+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.389.6.3
그런데 그는 지난달 중순 몇몇 방송사에 편지를 보내 최 씨의 수감생활 관련 특혜와 구치소 내 비인권적 행위를 폭로하려다 검열에 걸려 조사를 받은 뒤 ‘허위사실 유포’를 이유로 한 달여 만에 이감됐다.

그런데	그런데/MAJ
그는	그/NP+는/JX
지난달	지난달/NNG
중순	중순/NNG
몇몇	몇몇/NR
방송사에	방송사/NNG+에/JKB
편지를	편지/NNG+를/JKO
보내	보내/VV+어/EC
최	최/NNP
씨의	씨/NNB+의/JKG
수감생활	수감/NNG+생활/NNG
관련	관련/NNG
특혜와	특혜/NNG+와/JC
구치소	구치소/NNG
내	내/NNB
비인권적	비/XPN+인권/NNG+적/XSN
행위를	행위/NNG+를/JKO
폭로하려다	폭로/NNG+하/XSV+려다/EC
검열에	검열/NNG+에/JKB
걸려	걸리/VV+어/EC
조사를	조사/NNG+를/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
‘허위사실	‘/SS+허위/NNG+사실/NNG
유포’를	유포/NNG+’/SS+를/JKO
이유로	이유/NNG+로/JKB
한	한/MMN
달여	달/NNB+여/XSN
만에	만/NNB+에/JKB
이감됐다.	이감/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.389.6.4
한 구치소 관계자는 “통상 수용자를 이감하는 데는 2, 3개월이 걸리는데 최 씨 관련 특혜를 폭로하려 했던 A 씨는 검열에서 이감까지의 과정이 한 달여 만에 졸속으로 이뤄졌다”며 “석연치 않은 점이 분명히 있다”고 주장했다.

한	한/MMN
구치소	구치소/NNG
관계자는	관계자/NNG+는/JX
“통상	“/SS+통상/MAG
수용자를	수용자/NNG+를/JKO
이감하는	이감/NNG+하/XSV+는/ETM
데는	데/NNB+는/JX
2,	2/SN+,/SP
3개월이	3/SN+개월/NNB+이/JKS
걸리는데	걸리/VV+는데/EC
최	최/NNP
씨	씨/NNB
관련	관련/NNG
특혜를	특혜/NNG+를/JKO
폭로하려	폭로/NNG+하/XSV+려/EC
했던	하/VX+았/EP+던/ETM
A	A/SL
씨는	씨/NNB+는/JX
검열에서	검열/NNG+에서/JKB
이감까지의	이감/NNG+까지/JX+의/JKG
과정이	과정/NNG+이/JKS
달여	달/NNB+여/XSN
만에	만/NNB+에/JKB
졸속으로	졸속/NNG+으로/JKB
이뤄졌다”며	이뤄지/VV+었/EP+다/EF+”/SS+며/EC
“석연치	“/SS+석연하/VA+지/EC
않은	않/VX+은/ETM
점이	점/NNG+이/JKS
분명히	분명히/MAG
있다”고	있/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.389.7.1
서울구치소 측은 최 씨에 대한 특혜 의혹과 A 씨의 부당 이감 주장에 대해 “확인해줄 수 없다.

서울구치소	서울구치소/NNP
측은	측/NNB+은/JX
최	최/NNP
씨에	씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
특혜	특혜/NNG
의혹과	의혹/NNG+과/JC
A	A/SL
씨의	씨/NNB+의/JKG
부당	부당/NNG
이감	이감/NNG
주장에	주장/NNG+에/JKB
대해	대하/VV+아/EC
“확인해줄	“/SS+확인/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000049.389.7.2
수용자 이감 기록은 당사자를 제외하고는 공개할 수 없다”고만 답했다.

수용자	수용자/NNG
이감	이감/NNG
기록은	기록/NNG+은/JX
당사자를	당사자/NNG+를/JKO
제외하고는	제외/NNG+하/XSV+고/EC+는/JX
공개할	공개/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”고만	없/VA+다/EF+”/SS+고/JKQ+만/JX
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


