# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.101
metadata : {}


# id : NWRW1800000022.101.1.1
"인종·국경·종교 초월해 봉사할래요";충북지역 외국인유학생 자연보호·통역 등 다짐

"인종·국경·종교	"/SS+인종/NNG+·/SP+국경/NNG+·/SP+종교/NNG
"유학생들이	"/SS+유학/NNG+생/XSN+들/XSN+이/JKS
한국을	한국/NNP+을/JKO
가장	가장/MAG
잘	잘/MAG
이해하는	이해/NNG+하/XSV+는/ETM
방법은	방법/NNG+은/JX
바로	바로/MAG
그	그/MMD
사회	사회/NNG
안으로	안/NNG+으로/JKB
직접	직접/MAG
뛰어들어가는	뛰어들/VV+어/EC+가/VX+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.101.7.2
출입국사무소는 봉사단 발대식이 끝난 후 유학생 출입국관리 업무 등을 자세하게 설명해주고 고충상담도 실시했다.

출입국사무소는	출입국/NNG+사무소/NNG+는/JX
봉사단	봉사단/NNG
발대식이	발대식/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
후	후/NNG
유학생	유학/NNG+생/XSN
출입국관리	출입국/NNG+관리/NNG
업무	업무/NNG
등을	등/NNB+을/JKO
자세하게	자세하/VA+게/EC
설명해주고	설명/NNG+하/XSV+아/EC+주/VX+고/EC
고충상담도	고충/NNG+상담/NNG+도/JX
실시했다.	실시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.101.7.3
청주대 마술단의 마술공연, 김영재 국제교류처장의 '보람 있는 유학생활' 특강도 마련했다.

청주대	청주대/NNP
마술단의	마술단/NNG+의/JKG
마술공연,	마술/NNG+공연/NNG+,/SP
김영재	김영재/NNP
국제교류처장의	국제/NNG+교류/NNG+처장/NNG+의/JKG
'보람	'/SS+보람/NNG
있는	있/VA+는/ETM
유학생활'	유학/NNG+생활/NNG+'/SS
특강도	특강/NNG+도/JX
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


