# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.27
metadata : {}


# id : NWRW1800000056.27.1.1
부당 감액·반품시킨 대형마트에 최고 3배 배상금

부당	부당/NNG
# id : NWRW1800000056.27.6.2
종업원 인건비 1억2800만원(1인당 6만4000원)은 모두 납품업체 몫이었다.

종업원	종업원/NNG
인건비	인건비/NNG
1억2800만원(1인당	1/SN+억/NR+2800/SN+만/NR+원/NNB+(/SS+1/SN+인/NNG+당/XSN
6만4000원)은	6/SN+만/NR+4000/SN+원/NNB+)/SS+은/JX
모두	모두/MAG
납품업체	납품업체/NNG
몫이었다.	몫/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.27.6.3
하지만 내년 중 대규모유통업법이 개정돼 ‘대형 유통업체의 인건비 분담의무’ 조항이 신설되면 ㄱ대형마트도 인건비 절반을 부담해야 한다.

하지만	하지만/MAJ
내년	내년/NNG
중	중/NNB
대규모유통업법이	대/XPN+규모/NNG+유통업/NNG+법/NNG+이/JKS
개정돼	개정/NNG+되/XSV+어/EC
‘대형	‘/SS+대형/NNG
유통업체의	유통업체/NNG+의/JKG
인건비	인건비/NNG
분담의무’	분담/NNG+의무/NNG+’/SS
조항이	조항/NNG+이/JKS
신설되면	신설/NNG+되/XSV+면/EC
ㄱ대형마트도	ㄱ/NNG+대형/NNG+마트/NNG+도/JX
절반을	절반/NNG+을/JKO
부담해야	부담/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000056.27.7.1
ㄱ대형마트가 인건비 분담 의무는 물론 종업원을 다른 목적에 투입하는 등 법을 어긴다면, 크게 오른 과징금과 손해배상액을 물어야만 한다.

ㄱ대형마트가	ㄱ/NNG+대형/NNG+마트/NNG+가/JKS
인건비	인건비/NNG
분담	분담/NNG
의무는	의무/NNG+는/JX
물론	물론/MAG
종업원을	종업원/NNG+을/JKO
다른	다른/MMD
목적에	목적/NNG+에/JKB
투입하는	투입/NNG+하/XSV+는/ETM
등	등/NNB
법을	법/NNG+을/JKO
어긴다면,	어기/VV+ㄴ다면/EC+,/SP
크게	크/VA+게/EC
오른	오르/VV+ㄴ/ETM
과징금과	과징금/NNG+과/JC
손해배상액을	손해/NNG+배상액/NNG+을/JKO
물어야만	묻/VV+어야/EC+만/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000056.27.7.2
일단 과징금 부과기준율이 30∼70%에서 10월부터 2배(60∼140%) 올라, ㄱ대형마트는 중대 위반으로 인정될 경우 현재 6400만원(50%)에서 1억2800만원(100%)으로 늘어난 과징금을 부과받는다.

일단	일단/MAG
과징금	과징금/NNG
부과기준율이	부과/NNG+기준/NNG+율/XSN+이/JKS
30∼70%에서	30/SN+∼/SO+70/SN+%/SW+에서/JKB
10월부터	10/SN+월/NNB+부터/JX
2배(60∼140%)	2/SN+배/NNG+(/SS+60/SN+∼/SO+140/SN+%/SW+)/SS
올라,	오르/VV+아/EC+,/SP
ㄱ대형마트는	ㄱ/NNG+대형/NNG+마트/NNG+는/JX
중대	중대/NNG
위반으로	위반/NNG+으로/JKB
인정될	인정/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
현재	현재/MAG
6400만원(50%)에서	6400/SN+만/NR+원/NNB+(/SS+50/SN+%/SW+)/SS+에서/JKB
1억2800만원(100%)으로	1/SN+억/NR+2800/SN+만/NR+원/NNB+(/SS+100/SN+%/SW+)/SS+으로/JKB
늘어난	늘어나/VV+ㄴ/ETM
과징금을	과징금/NNG+을/JKO
부과받는다.	부과/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000056.27.7.3
파견받은 종업원에게 부당한 업무를 시켰을 경우 배상금은 현재 1억2800만원(총 인건비)인데, 내년 3배 손해배상제가 도입되면 3억8400만원으로 늘어난다.

파견받은	파견/NNG+받/XSV+은/ETM
종업원에게	종업원/NNG+에게/JKB
부당한	부당/NNG+하/XSA+ㄴ/ETM
업무를	업무/NNG+를/JKO
시켰을	시키/VV+었/EP+을/ETM
경우	경우/NNG
배상금은	배상금/NNG+은/JX
현재	현재/MAG
1억2800만원(총	1/SN+억/NR+2800/SN+만/NR+원/NNB+(/SS+총/MMA
인건비)인데,	인건비/NNG+)/SS+이/VCP+ㄴ데/EC+,/SP
내년	내년/NNG
3배	3/SN+배/NNG
손해배상제가	손해/NNG+배상/NNG+제/XSN+가/JKS
도입되면	도입/NNG+되/XSV+면/EC
3억8400만원으로	3/SN+억/NR+8400/SN+만/NR+원/NNB+으로/JKB
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.27.8.1
공정거래위원회는 13일 이런 내용을 골자로 한 유통분야 불공정거래 근절을 위한 15개 종합대책을 내놓았다.

공정거래위원회는	공정/NNG+거래/NNG+위원회/NNG+는/JX
13일	13/SN+일/NNB
이런	이런/MMD
내용을	내용/NNG+을/JKO
골자로	골자/NNG+로/JKB
한	하/VV+ㄴ/ETM
유통분야	유통/NNG+분야/NNG
불공정거래	불/XPN+공정/NNG+거래/NNG
근절을	근절/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
15개	15/SN+개/NNB
종합대책을	종합/NNG+대책/NNG+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.27.8.2
이번 대책은 김상조 위원장이 최우선 과제로 강조한 ‘갑질 근절’을 위해 가맹분야(프랜차이즈)에 이어 두번째로 내놓은 것이다.

이번	이번/NNG
대책은	대책/NNG+은/JX
김상조	김상조/NNP
위원장이	위원장/NNG+이/JKS
최우선	최/XPN+우선/NNG
과제로	과제/NNG+로/JKB
강조한	강조/NNG+하/XSV+ㄴ/ETM
‘갑질	‘/SS+갑/NNG+질/XSN
근절’을	근절/NNG+’/SS+을/JKO
위해	위하/VV+아/EC
가맹분야(프랜차이즈)에	가맹/NNG+분야/NNG+(/SS+프랜차이즈/NNG+)/SS+에/JKB
이어	잇/VV+어/EC
두번째로	두/MMN+번/NNB+째/XSN+로/JKB
내놓은	내놓/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.27.9.1
공정위는 우선 백화점·대형마트·홈쇼핑 등 대형 유통업체의 고질적이고 악의적인 불공정행위로 발생한 납품업체 피해를 실질적으로 구제하기 위해 연말까지 법을 고쳐 ‘징벌적 3배 손해배상제’를 도입하기로 했다.

공정위는	공정위/NNG+는/JX
우선	우선/MAG
백화점·대형마트·홈쇼핑	백화점/NNG+·/SP+대형/NNG+마트/NNG+·/SP+홈쇼핑/NNG
등	등/NNB
대형	대형/NNG
유통업체의	유통업체/NNG+의/JKG
고질적이고	고질/NNG+적/XSN+이/VCP+고/EC
악의적인	악의/NNG+적/XSN+이/VCP+ㄴ/ETM
불공정행위로	불/XPN+공정/NNG+행위/NNG+로/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
납품업체	납품업체/NNG
피해를	피해/NNG+를/JKO
실질적으로	실질/NNG+적/XSN+으로/JKB
구제하기	구제/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
연말까지	연말/NNG+까지/JX
법을	법/NNG+을/JKO
고쳐	고치/VV+어/EC
‘징벌적	‘/SS+징벌/NNG+적/XSN
3배	3/SN+배/NNG
손해배상제’를	손해/NNG+배상/NNG+제/XSN+’/SS+를/JKO
도입하기로	도입/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.27.9.2
적용 대상은 상품대금 부당감액, 부당반품, 납품업체 종업원 부당사용, 보복행위 등 4가지다.

적용	적용/NNG
대상은	대상/NNG+은/JX
상품대금	상품/NNG+대금/NNG
부당감액,	부당/NNG+감액/NNG+,/SP
부당반품,	부당/NNG+반품/NNG+,/SP
납품업체	납품업체/NNG
종업원	종업원/NNG
부당사용,	부당/NNG+사용/NNG+,/SP
보복행위	보복/NNG+행위/NNG
등	등/NNB
4가지다.	4/SN+가지/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.27.9.3
그동안 공정거래 분야의 징벌적 손배제는 하도급법에만 적용돼왔다.

그동안	그동안/NNG
공정거래	공정/NNG+거래/NNG
분야의	분야/NNG+의/JKG
징벌적	징벌/NNG+적/XSN
손배제는	손배/NNG+제/XSN+는/JX
하도급법에만	하도급법/NNG+에/JKB+만/JX
적용돼왔다.	적용/NNG+되/XSV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.27.9.4
3배 손배제 도입이 담긴 대규모유통업법 개정안은 더불어민주당 송기헌·정재호 의원, 국민의당 채이배 의원, 자유한국당 정태옥 의원이 국회에 발의한 상태다.

3배	3/SN+배/NNG
손배제	손배/NNG+제/XSN
도입이	도입/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
대규모유통업법	대/XPN+규모/NNG+유통업/NNG+법/NNG
개정안은	개정안/NNG+은/JX
더불어민주당	더불어민주당/NNP
송기헌·정재호	송기헌/NNP+·/SP+정재호/NNP
의원,	의원/NNG+,/SP
국민의당	국민의당/NNP
채이배	채이배/NNP
자유한국당	자유한국당/NNP
정태옥	정태옥/NNP
의원이	의원/NNG+이/JKS
국회에	국회/NNG+에/JKB
발의한	발의/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.27.10.1
대형 유통업체가 납품업체 종업원을 파견받아 일을 시킬 때는 인건비 분담 의무를 명시하도록 했다.

대형	대형/NNG
유통업체가	유통업체/NNG+가/JKS
납품업체	납품업체/NNG
종업원을	종업원/NNG+을/JKO
파견받아	파견/NNG+받/XSV+아/EC
일을	일/NNG+을/JKO
시킬	시키/VV+ㄹ/ETM
때는	때/NNG+는/JX
인건비	인건비/NNG
분담	분담/NNG
의무를	의무/NNG+를/JKO
명시하도록	명시/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.27.10.2
이익을 얻는 비율만큼 분담하되 산정이 어려울 경우 절반씩 분담하도록 했다.

이익을	이익/NNG+을/JKO
얻는	얻/VV+는/ETM
비율만큼	비율/NNG+만큼/JKB
분담하되	분담/NNG+하/XSV+되/EC
산정이	산정/NNG+이/JKS
어려울	어렵/VA+ㄹ/ETM
경우	경우/NNG
절반씩	절반/NNG+씩/XSN
분담하도록	분담/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.27.10.3
또 표준거래계약서를 고쳐 최저임금 인상 등 공급원가가 바뀌면 납품업체가 납품가격 조정을 요구할 수 있도록 근거를 마련하기로 했다.

또	또/MAG
표준거래계약서를	표준/NNG+거래/NNG+계약서/NNG+를/JKO
고쳐	고치/VV+어/EC
최저임금	최저/NNG+임금/NNG
인상	인상/NNG
등	등/NNB
공급원가가	공급/NNG+원가/NNG+가/JKS
바뀌면	바뀌/VV+면/EC
납품업체가	납품업체/NNG+가/JKS
납품가격	납품/NNG+가격/NNG
조정을	조정/NNG+을/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
근거를	근거/NNG+를/JKO
마련하기로	마련/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.27.11.1
이어 매년 유통분야 중점 개선분야를 관리하기로 하고 올해 가전·미용 전문점에 이어 내년에는 홈쇼핑·대형수퍼마켓(SSM) 분야를 선정했다.

이어	잇/VV+어/EC
매년	매년/MAG
유통분야	유통/NNG+분야/NNG
중점	중점/NNG
개선분야를	개선/NNG+분야/NNG+를/JKO
관리하기로	관리/NNG+하/XSV+기/ETN+로/JKB
하고	하/VV+고/EC
올해	올해/NNG
가전·미용	가전/NNG+·/SP+미용/NNG
전문점에	전문점/NNG+에/JKB
내년에는	내년/NNG+에/JKB+는/JX
홈쇼핑·대형수퍼마켓(SSM)	홈쇼핑/NNG+·/SP+대형/NNG+수퍼마켓/NNG+(/SS+SSM/SL+)/SS
분야를	분야/NNG+를/JKO
선정했다.	선정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.27.11.2
대형 유통업체의 판매장려금, 판촉·인테리어 비용 등 거래 조건과 현황에 대한 공시제도도 내년 중 신설한다.

대형	대형/NNG
유통업체의	유통업체/NNG+의/JKG
판매장려금,	판매/NNG+장려금/NNG+,/SP
판촉·인테리어	판촉/NNG+·/SP+인테리어/NNG
비용	비용/NNG
등	등/NNB
거래	거래/NNG
조건과	조건/NNG+과/JC
현황에	현황/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공시제도도	공시/NNG+제도/NNG+도/JX
내년	내년/NNG
중	중/NNB
신설한다.	신설/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.27.12.1
이밖에 지역 납품업체의 신속한 피해구제를 위해 현재 공정거래조정원에만 설치된 분쟁조정협의회를 올해와 내년 중에 각 시·도에도 설치하고, 그동안 ‘솜방망이 제재’ 지적을 받아온 정액과징금(법위반 관련 매출액 산정이 어려운 경우 적용)의 상한액을 내년에 5억원에서 10억원으로 2배 인상하기로 했다.

이밖에	이/NP+밖/NNG+에/JKB
지역	지역/NNG
납품업체의	납품업체/NNG+의/JKG
신속한	신속/NNG+하/XSA+ㄴ/ETM
피해구제를	피해/NNG+구제/NNG+를/JKO
위해	위하/VV+아/EC
현재	현재/MAG
공정거래조정원에만	공정/NNG+거래/NNG+조정원/NNG+에/JKB+만/JX
설치된	설치/NNG+되/XSV+ㄴ/ETM
분쟁조정협의회를	분쟁/NNG+조정/NNG+협의회/NNG+를/JKO
올해와	올해/NNG+와/JC
내년	내년/NNG
중에	중/NNB+에/JKB
각	각/MMD
시·도에도	시·도/NNG+에/JKB+도/JX
설치하고,	설치/NNG+하/XSV+고/EC+,/SP
그동안	그동안/NNG
‘솜방망이	‘/SS+솜방망이/NNG
제재’	제재/NNG+’/SS
지적을	지적/NNG+을/JKO
받아온	받/VV+아/EC+오/VX+ㄴ/ETM
정액과징금(법위반	정액/NNG+과징금/NNG+(/SS+법/NNG+위반/NNG
관련	관련/NNG
매출액	매출액/NNG
산정이	산정/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
경우	경우/NNG
적용)의	적용/NNG+)/SS+의/JKG
상한액을	상한액/NNG+을/JKO
내년에	내년/NNG+에/JKB
5억원에서	5/SN+억/NR+원/NNB+에서/JKB
10억원으로	10/SN+억/NR+원/NNB+으로/JKB
2배	2/SN+배/NNG
인상하기로	인상/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.27.12.2
또 소비자에게 판매된 수량만 납품업체에 사들인 것으로 처리하는 ‘판매분 매입’을 내년부터 금지해 납품업체에 대한 재고부담 전가 관행을 개선하기로 했다.

또	또/MAG
소비자에게	소비자/NNG+에게/JKB
판매된	판매/NNG+되/XSV+ㄴ/ETM
수량만	수량/NNG+만/JX
납품업체에	납품업체/NNG+에/JKB
사들인	사들이/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
처리하는	처리/NNG+하/XSV+는/ETM
‘판매분	‘/SS+판매/NNG+분/XSN
매입’을	매입/NNG+’/SS+을/JKO
내년부터	내년/NNG+부터/JX
금지해	금지/NNG+하/XSV+아/EC
대한	대하/VV+ㄴ/ETM
재고부담	재고/NNG+부담/NNG
전가	전가/NNG
관행을	관행/NNG+을/JKO
개선하기로	개선/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


