# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.397
metadata : {}


# id : NWRW1800000054.397.1.1
끝내 군사회담 대답없는 북한… 靑 '미사일 쏠라' 종일 긴장

끝내	끝내/MAG
당초 21일 개최하자고 제안했던 군사회담은 '제안 유효 일자'를 6·25 정전협정 64주년인 27일로 늦췄는데도 북한의 호응을 이끌어내지 못했다.

당초	당초/NNG
21일	21/SN+일/NNB
개최하자고	개최/NNG+하/XSV+자/EF+고/JKQ
제안했던	제안/NNG+하/XSV+았/EP+던/ETM
군사회담은	군사/NNG+회담/NNG+은/JX
'제안	'/SS+제안/NNG
유효	유효/NNG
일자'를	일자/NNG+'/SS+를/JKO
6·25	6/SN+·/SP+25/SN
정전협정	정전/NNG+협정/NNG
64주년인	64/SN+주년/NNB+이/VCP+ㄴ/ETM
27일로	27/SN+일/NNB+로/JKB
늦췄는데도	늦추/VV+었/EP+는데/EC+도/JX
북한의	북한/NNP+의/JKG
호응을	호응/NNG+을/JKO
이끌어내지	이끌/VV+어/EC+내/VX+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.397.5.4
적십자회담에 대해서도 북한은 아무 응답을 하지 않고 있다.

적십자회담에	적십자/NNP+회담/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
북한은	북한/NNP+은/JX
아무	아무/MMD
응답을	응답/NNG+을/JKO
하지	하/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.397.6.1
북한은 이처럼 무반응으로 일관하고 있지만, 통일부 당국자는 이날 기자들과 만나 "북한이 구체적으로 거부 의사를 표명하지 않은 상황이고 (북한도) 여러 고민을 하고 있을 것"이라며 "정부가 시한을 두고 접근한 것은 아니다"고 말했다.

북한은	북한/NNP+은/JX
이처럼	이/NP+처럼/JKB
무반응으로	무/XPN+반응/NNG+으로/JKB
일관하고	일관/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
통일부	통일부/NNG
당국자는	당국자/NNG+는/JX
이날	이날/NNG
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
"북한이	"/SS+북한/NNP+이/JKS
구체적으로	구체/NNG+적/XSN+으로/JKB
거부	거부/NNG
의사를	의사/NNG+를/JKO
표명하지	표명/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
상황이고	상황/NNG+이/VCP+고/EC
(북한도)	(/SS+북한/NNP+도/JX+)/SS
여러	여러/MMN
고민을	고민/NNG+을/JKO
하고	하/VV+고/EC
있을	있/VX+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"정부가	"/SS+정부/NNG+가/JKS
시한을	시한/NNG+을/JKO
두고	두/VV+고/EC
접근한	접근/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.397.6.2
'북한이 추가 도발해도 정부의 대화 기조는 유지되느냐'는 질문에 그는 "정부의 대화 기조 입장은 분명하다"고 답했다.

'북한이	'/SS+북한/NNP+이/JKS
추가	추가/NNG
도발해도	도발/NNG+하/XSV+아도/EC
정부의	정부/NNG+의/JKG
대화	대화/NNG
기조는	기조/NNG+는/JX
유지되느냐'는	유지/NNG+되/XSV+느냐/EF+'/SS+는/ETM
질문에	질문/NNG+에/JKB
그는	그/NP+는/JX
"정부의	"/SS+정부/NNG+의/JKG
기조	기조/NNG
입장은	입장/NNG+은/JX
분명하다"고	분명/MAG+하/XSA+다/EF+"/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.397.6.3
문상균 국방부 대변인도 이날 정례 브리핑에서 "북한 반응에 일희일비하지 않고 남북 평화 정착과 군사적 긴장 완화 노력을 계속해 나갈 것"이라고 말했다.

문상균	문상균/NNP
국방부	국방부/NNG
대변인도	대변인/NNG+도/JX
이날	이날/NNG
정례	정례/NNG
브리핑에서	브리핑/NNG+에서/JKB
"북한	"/SS+북한/NNP
반응에	반응/NNG+에/JKB
일희일비하지	일희일비/NNG+하/XSV+지/EC
않고	않/VX+고/EC
남북	남북/NNP
평화	평화/NNG
정착과	정착/NNG+과/JC
군사적	군사/NNG+적/XSN
긴장	긴장/NNG
완화	완화/NNG
노력을	노력/NNG+을/JKO
계속해	계속/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.397.7.1
◇청와대, 미사일 도발 확률에 긴장

◇청와대,	◇/SW+청와대/NNP+,/SP
미사일	미사일/NNG
도발	도발/NNG
확률에	확률/NNG+에/JKB
긴장	긴장/NNG


# id : NWRW1800000054.397.8.1
북한은 지난주부터 자신들이 '전승일'로 기념하는 정전협정 체결일에 맞춰 새로운 미사일 시험을 준비 중이라는 정황이 잇따라 포착됐다.

북한은	북한/NNP+은/JX
지난주부터	지난주/NNG+부터/JX
자신들이	자신/NNG+들/XSN+이/JKS
'전승일'로	'/SS+전승일/NNG+'/SS+로/JKB
기념하는	기념/NNG+하/XSV+는/ETM
정전협정	정전/NNG+협정/NNG
체결일에	체결일/NNG+에/JKB
맞춰	맞추/VV+어/EC
새로운	새롭/VA+ㄴ/ETM
미사일	미사일/NNG
시험을	시험/NNG+을/JKO
준비	준비/NNG
중이라는	중/NNB+이/VCP+라는/ETM
정황이	정황/NNG+이/JKS
잇따라	잇따르/VV+아/EC
포착됐다.	포착/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.397.8.2
이 때문에 청와대는 27일 새벽부터 북한의 미사일 도발 가능성에 대비하며 긴장된 모습을 보였다.

이	이/MMD
때문에	때문/NNB+에/JKB
청와대는	청와대/NNP+는/JX
27일	27/SN+일/NNB
새벽부터	새벽/NNG+부터/JX
북한의	북한/NNP+의/JKG
미사일	미사일/NNG
도발	도발/NNG
가능성에	가능/NNG+성/XSN+에/JKB
대비하며	대비/NNG+하/XSV+며/EC
긴장된	긴장/NNG+되/XSV+ㄴ/ETM
모습을	모습/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.397.8.3
이날 아침 청와대 관계자는 "국가안전보장회의(NSC)에서 국방부, 외교부 등과 함께 상황을 주시하고 있다"고 말했다.

이날	이날/NNG
아침	아침/NNG
청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
"국가안전보장회의(NSC)에서	"/SS+국가안전보장회의/NNP+(/SS+NSC/SL+)/SS+에서/JKB
국방부,	국방부/NNG+,/SP
외교부	외교부/NNG
등과	등/NNB+과/JKB
함께	함께/MAG
상황을	상황/NNG+을/JKO
주시하고	주시/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.397.8.4
오전 10시 30분쯤 정례 브리핑에 나선 노재천 합참 공보실장은 "현재 북한의 미사일 발사와 임박한 징후는 없다"고 밝힌 뒤 "북한의 모든 도발 가능성에 대해 한·미 감시 자산을 통합 운용하며 면밀히 추적·감시 중"이라고 했다.

오전	오전/NNG
10시	10/SN+시/NNB
30분쯤	30/SN+분/NNB+쯤/XSN
정례	정례/NNG
브리핑에	브리핑/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
노재천	노재천/NNP
합참	합참/NNG
공보실장은	공보실장/NNG+은/JX
"현재	"/SS+현재/MAG
북한의	북한/NNP+의/JKG
미사일	미사일/NNG
발사와	발사/NNG+와/JC
임박한	임박/NNG+하/XSV+ㄴ/ETM
징후는	징후/NNG+는/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
뒤	뒤/NNG
"북한의	"/SS+북한/NNP+의/JKG
모든	모든/MMN
도발	도발/NNG
가능성에	가능/NNG+성/XSN+에/JKB
대해	대하/VV+아/EC
한·미	한·미/NNP
감시	감시/NNG
자산을	자산/NNG+을/JKO
통합	통합/NNG
운용하며	운용/NNG+하/XSV+며/EC
면밀히	면밀히/MAG
추적·감시	추적/NNG+·/SP+감시/NNG
중"이라고	중/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.397.9.1
북한이 이날 미사일을 발사하지 않은 것이 전략적 판단에 따른 것인지는 불분명하다.

북한이	북한/NNP+이/JKS
이날	이날/NNG
미사일을	미사일/NNG+을/JKO
발사하지	발사/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
것이	것/NNB+이/JKS
전략적	전략/NNG+적/XSN
판단에	판단/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것인지는	것/NNB+이/VCP+ㄴ지/EC+는/JX
불분명하다.	불분명하/VA+다/EF+./SF


# id : NWRW1800000054.397.9.2
북한의 이동식 발사 차량의 움직임이 식별됐던 평북 구성 일대는 이날 비가 내려 미사일을 발사할 조건이 아니었던 것으로 전해졌다.

북한의	북한/NNP+의/JKG
이동식	이동식/NNG
발사	발사/NNG
차량의	차량/NNG+의/JKG
움직임이	움직임/NNG+이/JKS
식별됐던	식별/NNG+되/XSV+었/EP+던/ETM
평북	평북/NNP
구성	구성/NNP
일대는	일대/NNG+는/JX
이날	이날/NNG
비가	비/NNG+가/JKS
내려	내리/VV+어/EC
미사일을	미사일/NNG+을/JKO
발사할	발사/NNG+하/XSV+ㄹ/ETM
조건이	조건/NNG+이/JKC
아니었던	아니/VCN+었/EP+던/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.397.10.1
하지만 북한이 근시일 내에 미사일 도발에 나설 가능성은 여전히 높은 것으로 분석된다.

하지만	하지만/MAJ
북한이	북한/NNP+이/JKS
근시일	근시일/NNG
내에	내/NNB+에/JKB
미사일	미사일/NNG
도발에	도발/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
여전히	여전히/MAG
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.397.10.2
특히 8월 시작되는 한·미 연합훈련인 을지프리덤가디언(UFG)이 주요 고비가 될 것으로 보인다.

특히	특히/MAG
8월	8/SN+월/NNB
시작되는	시작/NNG+되/XSV+는/ETM
한·미	한·미/NNP
연합훈련인	연합/NNG+훈련/NNG+이/VCP+ㄴ/ETM
을지프리덤가디언(UFG)이	을지/NNP+프리덤가디언/NNG+(/SS+UFG/SL+)/SS+이/JKS
주요	주요/NNG
고비가	고비/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.397.10.3
미 국방부의 제프 데이비스 대변인은 이날 브리핑에서 "북한의 (핵·미사일) 개발 프로그램은 일정표에 묶여 있지 않다"며 "북한은 가능하다면 언제 어디서든 미사일 시험 발사를 공격적으로 추진하고 있다"고 했다.

미	미/NNP
국방부의	국방부/NNG+의/JKG
제프	제프/NNP
데이비스	데이비스/NNP
대변인은	대변인/NNG+은/JX
이날	이날/NNG
브리핑에서	브리핑/NNG+에서/JKB
"북한의	"/SS+북한/NNP+의/JKG
(핵·미사일)	(/SS+핵/NNG+·/SP+미사일/NNG+)/SS
개발	개발/NNG
프로그램은	프로그램/NNG+은/JX
일정표에	일정표/NNG+에/JKB
묶여	묶이/VV+어/EC
있지	있/VX+지/EC
않다"며	않/VX+다/EF+"/SS+며/EC
"북한은	"/SS+북한/NNP+은/JX
가능하다면	가능/NNG+하/XSA+다면/EC
언제	언제/MAG
어디서든	어디/NP+서/JKB+든/JX
미사일	미사일/NNG
시험	시험/NNG
발사를	발사/NNG+를/JKO
공격적으로	공격/NNG+적/XSN+으로/JKB
추진하고	추진/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.397.11.1
CNN 방송은 미 국방부 관계자를 인용, 북한이 지난 25일 신포조선소에서 고압증기로 미사일을 쏘아 올린 후 공중에서 점화하는 '콜드런치(cold launch)' 방식을 적용해 미사일 사출 시험을 했다고 보도했다.

CNN	CNN/SL
방송은	방송/NNG+은/JX
미	미/NNP
국방부	국방부/NNG
관계자를	관계자/NNG+를/JKO
인용,	인용/NNG+,/SP
북한이	북한/NNP+이/JKS
지난	지나/VV+ㄴ/ETM
25일	25/SN+일/NNB
신포조선소에서	신포조선소/NNP+에서/JKB
고압증기로	고압/NNG+증기/NNG+로/JKB
미사일을	미사일/NNG+을/JKO
쏘아	쏘/VV+아/EC
올린	올리/VV+ㄴ/ETM
후	후/NNG
공중에서	공중/NNG+에서/JKB
점화하는	점화/NNG+하/XSV+는/ETM
'콜드런치(cold	'/SS+콜드런치/NNG+(/SS+cold/SL
launch)'	launch/SL+)/SS+'/SS
방식을	방식/NNG+을/JKO
적용해	적용/NNG+하/XSV+아/EC
미사일	미사일/NNG
사출	사출/NNG
시험을	시험/NNG+을/JKO
했다고	하/VV+았/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.397.11.2
잠수함을 손상시키지 않고도 미사일을 발사할 수 있는 콜드런치는 잠수함발사탄도미사일(SLBM)에 필요한 기술이다.

잠수함을	잠수함/NNG+을/JKO
손상시키지	손상/NNG+시키/XSV+지/EC
않고도	않/VX+고/EC+도/JX
미사일을	미사일/NNG+을/JKO
발사할	발사/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
콜드런치는	콜드런치/NNG+는/JX
잠수함발사탄도미사일(SLBM)에	잠수함/NNG+발사/NNG+탄도/NNG+미사일/NNG+(/SS+SLBM/SL+)/SS+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
기술이다.	기술/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.397.11.3
미국 정부는 SLBM을 탑재할 수 있는 '고래'급 잠수함의 출항 준비 활동도 감지한 것으로 전해졌다.

미국	미국/NNP
정부는	정부/NNG+는/JX
SLBM을	SLBM/SL+을/JKO
탑재할	탑재/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
'고래'급	'/SS+고래/NNG+'/SS+급/NNG
잠수함의	잠수함/NNG+의/JKG
출항	출항/NNG
준비	준비/NNG
활동도	활동/NNG+도/JX
감지한	감지/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


