# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.201
metadata : {}


# id : NWRW1800000025.201.1.1
[오르락 내리락]2차전지 15조투자 호재… LG화학-삼성SDI 초강세

[오르락	[/SS+오르/VV+락/EC
12일 유가증권시장에서 LG화학은 전일대비 1만4500원(4.83%)올라 31만 4500원에 장을 마감했다.

12일	12/SN+일/NNB
유가증권시장에서	유가/NNG+증권/NNG+시장/NNG+에서/JKB
LG화학은	LG화학/NNP+은/JX
전일대비	전일/NNG+대비/NNG
1만4500원(4.83%)올라	1/SN+만/NR+4500/SN+원/NNB+(/SS+4/SN+./SP+83/SN+%/SW+)/SS+오르/VV+라/EC
31만	31/SN+만/NR
4500원에	4500/SN+원/NNB+에/JKB
장을	장/NNG+을/JKO
마감했다.	마감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.201.3.2
삼성 SDI의 주가도 8000원(4.6%)올라 18만 500원을 기록했으며 SK에너지는 전날보다 2000원(1.79%) 오른 11만 4000원에 장을 마쳤다.

삼성	삼성/NNP
SDI의	SDI/SL+의/JKG
주가도	주가/NNG+도/JX
8000원(4.6%)올라	8000/SN+원/NNB+(/SS+4/SN+./SP+6/SN+%/SW+)/SS+오르/VV+아/EC
18만	18/SN+만/NR
500원을	500/SN+원/NNB+을/JKO
기록했으며	기록/NNG+하/XSV+았/EP+으며/EC
SK에너지는	SK에너지/NNP+는/JX
전날보다	전날/NNG+보다/JKB
2000원(1.79%)	2000/SN+원/NNB+(/SS+1/SN+./SP+79/SN+%/SW+)/SS
오른	오르/VV+ㄴ/ETM
11만	11/SN+만/NR
4000원에	4000/SN+원/NNB+에/JKB
장을	장/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.201.4.1
2차전지 소재와 재료업체의 주가도 덩달아 강세를 보였다.

2차전지	2/SN+차/NNB+전지/NNG
소재와	소재/NNG+와/JC
재료업체의	재료/NNG+업체/NNG+의/JKG
주가도	주가/NNG+도/JX
덩달아	덩달/VV+아/EC
강세를	강세/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.201.4.2
코스닥시장에서 상신이디피는 750원(15%) 오른 5750원에, 넥스콘테크는 930원(9.8%) 오른 1만400원에 마감했다.

코스닥시장에서	코스닥/NNP+시장/NNG+에서/JKB
상신이디피는	상신이디피/NNP+는/JX
750원(15%)	750/SN+원/NNB+(/SS+15/SN+%/SW+)/SS
오른	오르/VV+ㄴ/ETM
5750원에,	5750/SN+원/NNB+에/JKB+,/SP
넥스콘테크는	넥스콘테크/NNP+는/JX
930원(9.8%)	930/SN+원/NNB+(/SS+9/SN+./SP+8/SN+%/SW+)/SS
1만400원에	1/SN+만/NR+400/SN+원/NNB+에/JKB
마감했다.	마감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.201.5.1
KB투자증권의 이인재 연구원은 “일단 시황은 긍정적이며 연말까지는 호재가 예상되는 분야”라며 “현재 실적보다는 전기자동차의 성장성에 대한 기대감으로 움직이는 시장이므로 앞으로의 실적과 정책 변수, 소비자 선호도 등은 좀 더 지켜봐야 할 것”이라고 말했다.

KB투자증권의	KB투자증권/NNP+의/JKG
이인재	이인재/NNP
연구원은	연구원/NNG+은/JX
“일단	“/SS+일단/MAG
시황은	시황/NNG+은/JX
긍정적이며	긍정/NNG+적/XSN+이/VCP+며/EC
연말까지는	연말/NNG+까지/JX+는/JX
호재가	호재/NNG+가/JKS
예상되는	예상/NNG+되/XSV+는/ETM
분야”라며	분야/NNG+”/SS+이/VCP+라며/EC
“현재	“/SS+현재/MAG
실적보다는	실적/NNG+보다/JKB+는/JX
전기자동차의	전기/NNG+자동차/NNG+의/JKG
성장성에	성장/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
기대감으로	기대감/NNG+으로/JKB
움직이는	움직이/VV+는/ETM
시장이므로	시장/NNG+이/VCP+므로/EC
앞으로의	앞/NNG+으로/JKB+의/JKG
실적과	실적/NNG+과/JC
정책	정책/NNG
변수,	변수/NNG+,/SP
소비자	소비자/NNG
선호도	선호도/NNG
등은	등/NNB+은/JX
좀	좀/MAG
더	더/MAG
지켜봐야	지켜보/VV+아야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.201.6.1
==바로잡습니다.==

==바로잡습니다.==	=/SW+=/SW+바로잡/VV+습니다/EF+./SF+=/SW+=/SW


# id : NWRW1800000025.201.7.1
◇13일자 B9면 ‘2차전지 15조 투자 호재 LG화학-삼성SDI 초강세’ 기사에서 LG화학, SK에너지의 12일 주가를 전 영업일보다 각각 1만4500원(4.83%) 오른 31만4500원, 2000원(1.79%) 오른 11만4000원으로 바로잡습니다.

◇13일자	◇/SW+13/SN+일/NNB+자/NNG
B9면	B/SL+9/SN+면/NNG
‘2차전지	‘/SS+2/SN+차/NNB+전지/NNG
15조	15/SN+조/NR
투자	투자/NNG
호재	호재/NNG
LG화학-삼성SDI	LG화학/NNP+-/SO+삼성SDI/NNP
초강세’	초/XPN+강세/NNG+’/SS
기사에서	기사/NNG+에서/JKB
LG화학,	LG화학/NNP+,/SP
SK에너지의	SK에너지/NNP+의/JKG
12일	12/SN+일/NNB
주가를	주가/NNG+를/JKO
전	전/MMD
영업일보다	영업일/NNG+보다/JKB
각각	각각/MAG
1만4500원(4.83%)	1/SN+만/NR+4500/SN+원/NNB+(/SS+4/SN+./SP+83/SN+%/SW+)/SS
오른	오르/VV+ㄴ/ETM
31만4500원,	31/SN+만/NR+4500/SN+원/NNB+,/SP
2000원(1.79%)	2000/SN+원/NNB+(/SS+1/SN+./SP+79/SN+%/SW+)/SS
11만4000원으로	11/SN+만/NR+4000/SN+원/NNB+으로/JKB
바로잡습니다.	바로잡/VV+습니다/EF+./SF


