# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.214
metadata : {}


# id : NWRW1800000044.214.1.1
서울시, 사육포기 동물 인수·보호 추진

서울시,	서울시/NNP+,/SP
# id : NWRW1800000044.214.6.3
특히 유기동물 중 30%를 차지하는 고양이는 주인을 찾는 비율이 2.9%에 불과할 정도다.

특히	특히/MAG
유기동물	유기/NNG+동물/NNG
중	중/NNB
30%를	30/SN+%/SW+를/JKO
차지하는	차지/NNG+하/XSV+는/ETM
고양이는	고양이/NNG+는/JX
주인을	주인/NNG+을/JKO
찾는	찾/VV+는/ETM
비율이	비율/NNG+이/JKS
2.9%에	2/SN+./SP+9/SN+%/SW+에/JKB
불과할	불과/MAG+하/XSA+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.214.7.1
길고양이 개체수를 줄이기 위한 중성화 사업의 효과를 높이기 위해 시민이 함께 만드는 ‘길고양이 지도’도 구축하기로 했다.

길고양이	길고양이/NNG
개체수를	개체/NNG+수/NNG+를/JKO
줄이기	줄이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
중성화	중성/NNG+화/XSN
사업의	사업/NNG+의/JKG
효과를	효과/NNG+를/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+아/EC
시민이	시민/NNG+이/JKS
함께	함께/MAG
만드는	만들/VV+는/ETM
‘길고양이	‘/SS+길고양이/NNG
지도’도	지도/NNG+’/SS+도/JX
구축하기로	구축/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.214.8.1
사육 포기 동물 인수·보호제도도 도입된다.

사육	사육/NNG
포기	포기/NNG
동물	동물/NNG
인수·보호제도도	인수/NNG+·/SP+보호/NNG+제도/NNG+도/JX
도입된다.	도입/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.214.8.2
다만 의도적으로 버리는 부작용을 막을 수 있는 방안을 연구용역을 거쳐 마련한 뒤 추진하기로 했다.

다만	다만/MAG
의도적으로	의도/NNG+적/XSN+으로/JKB
버리는	버리/VV+는/ETM
부작용을	부작용/NNG+을/JKO
막을	막/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
방안을	방안/NNG+을/JKO
연구용역을	연구/NNG+용역/NNG+을/JKO
거쳐	거치/VV+어/EC
마련한	마련/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
추진하기로	추진/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.214.8.3
서울시는 “이를 통해 현재 27.5%에 불과한 유기동물 분양률을 2020년까지 95%로 올리고, 안락사 등 폐사율은 현재 54% 수준에서 2020년 5%까지 낮출 것”이라고 설명했다.

서울시는	서울시/NNP+는/JX
“이를	“/SS+이/NP+를/JKO
통해	통하/VV+아/EC
현재	현재/MAG
27.5%에	27/SN+./SP+5/SN+%/SW+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
유기동물	유기/NNG+동물/NNG
분양률을	분양/NNG+률/XSN+을/JKO
2020년까지	2020/SN+년/NNB+까지/JX
95%로	95/SN+%/SW+로/JKB
올리고,	올리/VV+고/EC+,/SP
안락사	안락사/NNG
등	등/NNB
폐사율은	폐사/NNG+율/XSN+은/JX
54%	54/SN+%/SW
수준에서	수준/NNG+에서/JKB
2020년	2020/SN+년/NNB
5%까지	5/SN+%/SW+까지/JX
낮출	낮추/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.214.9.1
아울러 75만 마리에 이르는 반려동물을 위한 ‘반려견 놀이터’를 현재 2곳에서 5곳으로 확대하기로 했다.

아울러	아울러/MAG
75만	75/SN+만/NR
마리에	마리/NNB+에/JKB
이르는	이르/VV+는/ETM
반려동물을	반려동물/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘반려견	‘/SS+반려견/NNG
놀이터’를	놀이터/NNG+’/SS+를/JKO
현재	현재/MAG
2곳에서	2/SN+곳/NNG+에서/JKB
5곳으로	5/SN+곳/NNG+으로/JKB
확대하기로	확대/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.214.9.2
2016년부터는 취약계층의 반려동물 중성화수술도 지원한다.

2016년부터는	2016/SN+년/NNB+부터/JX+는/JX
취약계층의	취약/NNG+계층/NNG+의/JKG
반려동물	반려동물/NNG
중성화수술도	중성/NNG+화/XSN+수술/NNG+도/JX
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.214.10.1
강종필 서울시 복지건강실장은 “반려동물에 대한 시민들의 관심이 높지만, 예산이나 인력투입에 대해서는 아직 사회적 합의가 이뤄지지 않은 현실을 고려해 예산은 7년간 13억원으로 최소화하되 장기적으로는 동물보호기금 도입을 검토하겠다”고 말했다.

강종필	강종필/NNP
서울시	서울시/NNP
복지건강실장은	복지/NNG+건강실장/NNG+은/JX
“반려동물에	“/SS+반려동물/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
시민들의	시민/NNG+들/XSN+의/JKG
관심이	관심/NNG+이/JKS
높지만,	높/VA+지만/EC+,/SP
예산이나	예산/NNG+이나/JC
인력투입에	인력/NNG+투입/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
아직	아직/MAG
사회적	사회/NNG+적/XSN
합의가	합의/NNG+가/JKS
이뤄지지	이뤄지/VV+지/EC
않은	않/VX+은/ETM
현실을	현실/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
예산은	예산/NNG+은/JX
7년간	7/SN+년/NNB+간/XSN
13억원으로	13/SN+억/NR+원/NNB+으로/JKB
최소화하되	최소/NNG+화/XSN+하/XSV+되/EC
장기적으로는	장기/NNG+적/XSN+으로/JKB+는/JX
동물보호기금	동물/NNG+보호/NNG+기금/NNG
도입을	도입/NNG+을/JKO
검토하겠다”고	검토/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


