# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.402
metadata : {}


# id : NWRW1800000029.402.1.1
[김정일 사망]김정일은 선군정치, 김정은은 과학정치?

[김정일	[/SS+김정일/NNP
1월	1/SN+월/NNB
7일	7/SN+일/NNB
김정은의	김정은/NNP+의/JKG
생일을	생일/NNG+을/JKO
하루	하루/NNG
앞두고	앞두/VV+고/EC
CNC를	CNC/SL+를/JKO
선전하는	선전/NNG+하/XSV+는/ETM
장문의	장문/NNG+의/JKG
글을	글/NNG+을/JKO
싣는	싣/VV+는/ETM
등	등/NNB
북한에서	북한/NNP+에서/JKB
CNC는	CNC/SL+는/JX
상징물로	상징물/NNG+로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.402.6.2
북한은 최근 ‘세계를 향하여’라는 새로운 구호를 주민들에게 홍보하고 있다.

북한은	북한/NNP+은/JX
최근	최근/MAG
‘세계를	‘/SS+세계/NNG+를/JKO
향하여’라는	향하/VV+아/EF+’/SS+이/VCP+라는/ETM
새로운	새롭/VA+ㄴ/ETM
구호를	구호/NNG+를/JKO
주민들에게	주민/NNG+들/XSN+에게/JKB
홍보하고	홍보/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.402.7.1
김정일이 1995년 제124군부대를 방문한 뒤 선군정치를 내세우기 시작한 것처럼 김정은도 CNC 공장 현지지도를 계기로 첨단과학 또는 세계화의 통치 이념을 선전할 것이라는 관측이 나온다.

김정일이	김정일/NNP+이/JKS
1995년	1995/SN+년/NNB
제124군부대를	제/XPN+124/SN+군부대/NNG+를/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
선군정치를	선군/NNG+정치/NNG+를/JKO
내세우기	내세우/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
김정은도	김정은/NNP+도/JX
CNC	CNC/SL
공장	공장/NNG
현지지도를	현지/NNG+지도/NNG+를/JKO
계기로	계기/NNG+로/JKB
첨단과학	첨단/NNG+과학/NNG
또는	또는/MAG
세계화의	세계/NNG+화/XSN+의/JKG
통치	통치/NNG
이념을	이념/NNG+을/JKO
선전할	선전/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측이	관측/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.402.8.1
이는 김정은이 처한 대내외 상황이 김정일이 선군정치를 선전한 1990년대 중후반과 다르기 때문이다.

이는	이/NP+는/JX
김정은이	김정은/NNP+이/JKS
처한	처하/VV+ㄴ/ETM
대내외	대내외/NNG
상황이	상황/NNG+이/JKS
김정일이	김정일/NNP+이/JKS
선군정치를	선군/NNG+정치/NNG+를/JKO
선전한	선전/NNG+하/XSV+ㄴ/ETM
1990년대	1990/SN+년대/NNB
중후반과	중후반/NNG+과/JKB
다르기	다르/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.402.8.2
당시 북한은 극심한 경제난과 체제 위기, 외교적 고립을 겪고 있었기 때문에 김정일은 일사불란하게 움직이는 군에 의존할 수밖에 없었다.

당시	당시/NNG
북한은	북한/NNP+은/JX
극심한	극심하/VA+ㄴ/ETM
경제난과	경제난/NNG+과/JC
체제	체제/NNG
위기,	위기/NNG+,/SP
외교적	외교/NNG+적/XSN
고립을	고립/NNG+을/JKO
겪고	겪/VV+고/EC
있었기	있/VX+었/EP+기/ETN
때문에	때문/NNB+에/JKB
김정일은	김정일/NNP+은/JX
일사불란하게	일사불란/NNG+하/XSA+게/EC
움직이는	움직이/VV+는/ETM
군에	군/NNG+에/JKB
의존할	의존/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.402.8.3
김정일은 1998년 국방위원장을 국가의 최고 직책으로 격상시켜 군을 자신의 권력 기반으로 삼았다.

김정일은	김정일/NNP+은/JX
1998년	1998/SN+년/NNB
국방위원장을	국방/NNG+위원장/NNG+을/JKO
국가의	국가/NNG+의/JKG
최고	최고/NNG
직책으로	직책/NNG+으로/JKB
격상시켜	격상/NNG+시키/XSV+어/EC
군을	군/NNG+을/JKO
자신의	자신/NNG+의/JKG
권력	권력/NNG
기반으로	기반/NNG+으로/JKB
삼았다.	삼/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.402.9.1
전문가들은 휴대전화 80만 대가 보급돼 있는 북한이 더는 폐쇄적인 선군정치 방식으로 체제를 유지할 수 없다고 본다.

전문가들은	전문가/NNG+들/XSN+은/JX
휴대전화	휴대/NNG+전화/NNG
80만	80/SN+만/NR
대가	대/NNB+가/JKS
보급돼	보급/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
북한이	북한/NNP+이/JKS
더는	더/MAG+는/JX
폐쇄적인	폐쇄/NNG+적/XSN+이/VCP+ㄴ/ETM
선군정치	선군/NNG+정치/NNG
방식으로	방식/NNG+으로/JKB
체제를	체제/NNG+를/JKO
유지할	유지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다고	없/VA+다고/EC
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.402.9.2
김정은이 경제 강성대국의 과제를 달성하기 위해 개혁 개방에서 살길을 찾을 가능성이 있다는 것이다.

김정은이	김정은/NNP+이/JKS
경제	경제/NNG
강성대국의	강성/NNG+대국/NNG+의/JKG
과제를	과제/NNG+를/JKO
달성하기	달성/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
개혁	개혁/NNG
개방에서	개방/NNG+에서/JKB
살길을	살길/NNG+을/JKO
찾을	찾/VV+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.402.9.3
첨단과학과 세계화는 개혁 개방에 잘 들어맞는 슬로건인 셈이다.

첨단과학과	첨단/NNG+과학/NNG+과/JC
세계화는	세계/NNG+화/XSN+는/JX
개혁	개혁/NNG
개방에	개방/NNG+에/JKB
잘	잘/MAG
들어맞는	들어맞/VV+는/ETM
슬로건인	슬로건/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.402.10.1
김정은이 국방위원회를 중심으로 군에 포진한 원로 엘리트들의 견제에서 벗어나 자신만의 권력 기반을 구축해야 한다는 점도 선군정치에서 벗어나야 하는 또 다른 이유가 될 수 있다.

김정은이	김정은/NNP+이/JKS
국방위원회를	국방/NNG+위원회/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
군에	군/NNG+에/JKB
포진한	포진/NNG+하/XSV+ㄴ/ETM
원로	원로/NNG
엘리트들의	엘리트/NNG+들/XSN+의/JKG
견제에서	견제/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
자신만의	자신/NNG+만/JX+의/JKG
권력	권력/NNG
기반을	기반/NNG+을/JKO
구축해야	구축/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
점도	점/NNG+도/JX
선군정치에서	선군/NNG+정치/NNG+에서/JKB
벗어나야	벗어나/VV+아야/EC
하는	하/VX+는/ETM
또	또/MAG
다른	다른/MMD
이유가	이유/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


