# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.369
metadata : {}


# id : NWRW1800000029.369.1.1
한나라 親서민 이슈 ‘3탄’은 비정규직

한나라	한나라/NNP
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.369.6.1
한나라당은 사내 하도급을 비정규직 확산의 주된 요인으로 보고 있다.

한나라당은	한나라당/NNP+은/JX
사내	사내/NNG
하도급을	하도급/NNG+을/JKO
비정규직	비/XPN+정규직/NNG
확산의	확산/NNG+의/JKG
주된	주/NNG+되/XSV+ㄴ/ETM
요인으로	요인/NNG+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.369.6.2
재계는 사내 하도급을 ‘사내 협력업체의 정규직’으로 규정하고 있지만 사실상 본사 파견에 따른 비정규직이 상당히 많을 것이라는 인식이다.

재계는	재계/NNG+는/JX
사내	사내/NNG
하도급을	하도급/NNG+을/JKO
‘사내	‘/SS+사내/NNG
협력업체의	협력/NNG+업체/NNG+의/JKG
정규직’으로	정규직/NNG+’/SS+으로/JKB
규정하고	규정/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
사실상	사실/NNG+상/XSN
본사	본사/NNG
파견에	파견/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
비정규직이	비/XPN+정규직/NNG+이/JKS
상당히	상당히/MAG
많을	많/VA+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
인식이다.	인식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.369.6.3
현행법은 파견 기간이 2년을 초과할 경우 직접 고용하도록 하고 있다.

현행법은	현행법/NNG+은/JX
파견	파견/NNG
기간이	기간/NNG+이/JKS
2년을	2/SN+년/NNB+을/JKO
초과할	초과/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
직접	직접/MAG
고용하도록	고용/NNG+하/XSV+도록/EC
하고	하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.369.7.1
한나라당이 사내 하도급 문제를 비롯한 비정규직 대책을 꺼낸 데는 지지 기반 확장이라는 계산도 깔려 있다.

한나라당이	한나라당/NNP+이/JKS
사내	사내/NNG
하도급	하도급/NNG
문제를	문제/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
비정규직	비/XPN+정규직/NNG
대책을	대책/NNG+을/JKO
꺼낸	꺼내/VV+ㄴ/ETM
데는	데/NNB+는/JX
지지	지지/NNG
기반	기반/NNG
확장이라는	확장/NNG+이/VCP+라는/ETM
계산도	계산/NNG+도/JX
깔려	깔리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.369.7.2
최근 노사분규의 상당수가 비정규직 문제로 발생하고 있기 때문이다.

최근	최근/MAG
노사분규의	노사/NNG+분규/NNG+의/JKG
상당수가	상당수/NNG+가/JKS
비정규직	비/XPN+정규직/NNG
문제로	문제/NNG+로/JKB
발생하고	발생/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.369.7.3
특히 사내 하도급 근로자는 2010년 자동차, 조선, 철강 등 업종 29개 사업장에 대한 고용노동부의 제한적인 조사에서 원청업체 근로자수(19만8000명)의 40.1%에 이를 만큼 광범위하다.

특히	특히/MAG
사내	사내/NNG
하도급	하도급/NNG
근로자는	근로자/NNG+는/JX
2010년	2010/SN+년/NNB
자동차,	자동차/NNG+,/SP
조선,	조선/NNG+,/SP
철강	철강/NNG
등	등/NNB
업종	업종/NNG
29개	29/SN+개/NNB
사업장에	사업장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
고용노동부의	고용/NNG+노동부/NNG+의/JKG
제한적인	제한/NNG+적/XSN+이/VCP+ㄴ/ETM
조사에서	조사/NNG+에서/JKB
원청업체	원청/NNG+업체/NNG
근로자수(19만8000명)의	근로자/NNG+수/NNG+(/SS+19/SN+만/NR+8000/SN+명/NNB+)/SS+의/JKG
40.1%에	40/SN+./SP+1/SN+%/SW+에/JKB
이를	이르/VV+ㄹ/ETM
만큼	만큼/NNB
광범위하다.	광범위/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000029.369.8.1
하지만 재계는 기간제와 파견직 사용을 제한하는 상황에서 사내 하도급 활용마저 규제한다면 노동유연성이 떨어진다며 반발하고 있다.

하지만	하지만/MAJ
재계는	재계/NNG+는/JX
기간제와	기간/NNG+제/XSN+와/JC
파견직	파견직/NNG
사용을	사용/NNG+을/JKO
제한하는	제한/NNG+하/XSV+는/ETM
상황에서	상황/NNG+에서/JKB
사내	사내/NNG
하도급	하도급/NNG
활용마저	활용/NNG+마저/JX
규제한다면	규제/NNG+하/XSV+ㄴ다면/EC
노동유연성이	노동/NNG+유연성/NNG+이/JKS
떨어진다며	떨어지/VV+ㄴ다며/EC
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.369.8.2
한나라당은 20일 ‘비정규직 확산 방지와 차별 시정을 위한 정책토론회’를 열어 전문가들의 의견을 수렴한 뒤 비정규직 대책을 마련해 다음 달 발표할 계획이다.

한나라당은	한나라당/NNP+은/JX
20일	20/SN+일/NNB
‘비정규직	‘/SS+비/XPN+정규직/NNG
확산	확산/NNG
방지와	방지/NNG+와/JC
차별	차별/NNG
시정을	시정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정책토론회’를	정책/NNG+토론회/NNG+’/SS+를/JKO
열어	열/VV+어/EC
전문가들의	전문가/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
수렴한	수렴/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
비정규직	비/XPN+정규직/NNG
대책을	대책/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
다음	다음/NNG
달	달/NNG
발표할	발표/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


