# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.327
metadata : {}


# id : NWRW1800000028.327.1.1
“지방세 비중 해마다 계속 줄것”

“지방세	“/SS+지방세/NNG
재정부는 2011년 이후 매년 5%의 경제성장을 이룬다는 가정 아래 국세 수입의 증가율이 2011년에 7.3%, 2012년 8.7%, 2013년 8.2%, 2014년 9.3% 등으로 높아지는 반면에 지방세 수입의 증가율은 2011년에 8.8%를 기록한 뒤 2012년 7.7%, 2013년 7.7%, 2014년 7.6% 등으로 증가세가 둔화할 것으로 전망했다.

재정부는	재정부/NNG+는/JX
2011년	2011/SN+년/NNB
이후	이후/NNG
매년	매년/MAG
5%의	5/SN+%/SW+의/JKG
경제성장을	경제/NNG+성장/NNG+을/JKO
이룬다는	이루/VV+ㄴ다는/ETM
가정	가정/NNG
아래	아래/NNG
국세	국세/NNG
수입의	수입/NNG+의/JKG
증가율이	증가/NNG+율/XSN+이/JKS
2011년에	2011/SN+년/NNB+에/JKB
7.3%,	7/SN+./SP+3/SN+%/SW+,/SP
2012년	2012/SN+년/NNB
8.7%,	8/SN+./SP+7/SN+%/SW+,/SP
2013년	2013/SN+년/NNB
8.2%,	8/SN+./SP+2/SN+%/SW+,/SP
2014년	2014/SN+년/NNB
9.3%	9/SN+./SP+3/SN+%/SW
등으로	등/NNB+으로/JKB
높아지는	높아지/VV+는/ETM
반면에	반면/NNG+에/JKB
지방세	지방세/NNG
증가율은	증가/NNG+율/XSN+은/JX
8.8%를	8/SN+./SP+8/SN+%/SW+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
7.7%,	7/SN+./SP+7/SN+%/SW+,/SP
7.6%	7/SN+./SP+6/SN+%/SW
증가세가	증가세/NNG+가/JKS
둔화할	둔화/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.327.6.1
올해 지자체의 재정자립도(지자체 예산에서 자체수입이 차지하는 비중)는 52.2%로, 지난해보다 1.4%포인트 하락하는 등 지방 재정 여건은 갈수록 나빠지고 있는 추세다.

올해	올해/NNG
지자체의	지자체/NNG+의/JKG
재정자립도(지자체	재정/NNG+자립도/NNG+(/SS+지자체/NNG
예산에서	예산/NNG+에서/JKB
자체수입이	자체/NNG+수입/NNG+이/JKS
차지하는	차지/NNG+하/XSV+는/ETM
비중)는	비중/NNG+)/SS+는/JX
52.2%로,	52/SN+./SP+2/SN+%/SW+로/JKB+,/SP
지난해보다	지난해/NNG+보다/JKB
1.4%포인트	1/SN+./SP+4/SN+%포인트/NNG
하락하는	하락/NNG+하/XSV+는/ETM
등	등/NNB
지방	지방/NNG
재정	재정/NNG
여건은	여건/NNG+은/JX
갈수록	갈수록/MAG
나빠지고	나빠지/VV+고/EC
있는	있/VX+는/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.327.6.2
중앙 정부의 감세 정책에 따른 여파와 부동산 경기침체 등이 두루 영향을 미친 결과다.

중앙	중앙/NNG
정부의	정부/NNG+의/JKG
감세	감세/NNG
정책에	정책/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
여파와	여파/NNG+와/JC
부동산	부동산/NNG
경기침체	경기/NNG+침체/NNG
등이	등/NNB+이/JKS
두루	두루/MAG
영향을	영향/NNG+을/JKO
미친	미치/VV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


