# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.160
metadata : {}


# id : NWRW1800000048.160.1.1
“조선 선비들 고전·시조 줄줄 외우던 비결이 바로 송서율창”

“조선	“/SS+조선/NNP
“타고난	“/SS+타고나/VV+ㄴ/ETM
소리꾼인데다,	소리/NNG+꾼/XSN+이/VCP+ㄴ/ETM+데/NNB+다/JX+,/SP
늘	늘/MAG
새로운	새롭/VA+ㄴ/ETM
것을	것/NNB+을/JKO
배우고	배우/VV+고/EC
익히려	익히/VV+려/EC
애쓴다”며	애쓰/VV+ㄴ다/EF+”/SS+며/EC
칭찬을	칭찬/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.160.5.1
‘송서’(誦書)는 산문으로 된 고전을, ‘율창’(律唱)은 오언율시나 칠언율시의 한시를 노래조로 읊는 것을 말한다.

‘송서’(誦書)는	‘/SS+송서/NNG+’/SS+(/SS+誦書/SH+)/SS+는/JX
산문으로	산문/NNG+으로/JKB
된	되/VV+ㄴ/ETM
고전을,	고전/NNG+을/JKO+,/SP
‘율창’(律唱)은	‘/SS+율/NNG+창/NNG+’/SS+(/SS+律唱/SH+)/SS+은/JX
오언율시나	오언/NNG+율시/NNG+나/JC
칠언율시의	칠언/NNG+율시/NNG+의/JKG
한시를	한시/NNG+를/JKO
노래조로	노래조/NNG+로/JKB
읊는	읊/VV+는/ETM
것을	것/NNB+을/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.160.5.2
하지만 책을 보며 읽는 것이 아니라 모두 외워서 해야 한다.

하지만	하지만/MAJ
책을	책/NNG+을/JKO
보며	보/VV+며/EC
읽는	읽/VV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
모두	모두/MAG
외워서	외우/VV+어서/EC
해야	하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.160.5.3
송서는 조선시대 과거시험 때 ‘배강’(背講)이란 과목으로 채택됐다.

송서는	송서/NNG+는/JX
조선시대	조선시대/NNG
과거시험	과거/NNG+시험/NNG
때	때/NNG
‘배강’(背講)이란	‘/SS+배강/NNG+’/SS+(/SS+背講/SH+)/SS+이/VCP+란/ETM
과목으로	과목/NNG+으로/JKB
채택됐다.	채택/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.160.5.4
시험장에서 책을 앞에 놓고 수험생은 뒤돌아 앉아 책 내용을 줄줄 외워야 했다.

시험장에서	시험장/NNG+에서/JKB
책을	책/NNG+을/JKO
앞에	앞/NNG+에/JKB
놓고	놓/VV+고/EC
수험생은	수험/NNG+생/XSN+은/JX
뒤돌아	뒤돌/VV+아/EC
앉아	앉/VV+아/EC
책	책/NNG
내용을	내용/NNG+을/JKO
줄줄	줄줄/MAG
외워야	외우/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.160.5.5
성균관과 향교, 서원, 서당 등 모든 교육과정에서 가장 중시했다.

성균관과	성균관/NNP+과/JC
향교,	향교/NNG+,/SP
서원,	서원/NNG+,/SP
서당	서당/NNG
등	등/NNB
모든	모든/MMN
교육과정에서	교육/NNG+과정/NNG+에서/JKB
가장	가장/MAG
중시했다.	중시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.160.5.6
위로는 임금과 세자부터 아침부터 저녁 늦게까지 글을 읽고 외었고, 입신출세를 마음에 둔 선비들이 전국 방방곡곡에서 소리내어 글을 읽고 외웠다.

위로는	위/NNG+로/JKB+는/JX
임금과	임금/NNG+과/JC
세자부터	세자/NNG+부터/JX
아침부터	아침/NNG+부터/JX
저녁	저녁/NNG
늦게까지	늦/VA+게/EC+까지/JX
글을	글/NNG+을/JKO
읽고	읽/VV+고/EC
외었고,	외/VV+었/EP+고/EC+,/SP
입신출세를	입신출세/NNG+를/JKO
마음에	마음/NNG+에/JKB
둔	두/VV+ㄴ/ETM
선비들이	선비/NNG+들/XSN+이/JKS
전국	전국/NNG
방방곡곡에서	방방곡곡/NNG+에서/JKB
소리내어	소리/NNG+내/VV+어/EC
외웠다.	외우/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.160.6.1
유씨는 선비들이 그렇게 긴 글이나 시를 줄줄이 읊을 수 있었던 것은 바로 ‘송서의 비결’ 덕분이라고 말한다.

유씨는	유/NNP+씨/NNB+는/JX
선비들이	선비/NNG+들/XSN+이/JKS
그렇게	그렇/VA+게/EC
긴	길/VA+ㄴ/ETM
글이나	글/NNG+이나/JC
시를	시/NNG+를/JKO
줄줄이	줄줄이/MAG
읊을	읊/VV+을/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
것은	것/NNB+은/JX
바로	바로/MAG
‘송서의	‘/SS+송서/NNG+의/JKG
비결’	비결/NNG+’/SS
덕분이라고	덕분/NNG+이/VCP+라고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.160.6.2
“곡조를 붙여서 외우는 겁니다.”

“곡조를	“/SS+곡조/NNG+를/JKO
붙여서	붙이/VV+어서/EC
외우는	외우/VV+는/ETM
겁니다.”	거/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000048.160.7.1
“송서율창은 문장이나 시에 세련된 율격을 넣어 멋과 맛을 살리는 낭독의 예술입니다.

“송서율창은	“/SS+송서율창/NNG+은/JX
문장이나	문장/NNG+이나/JC
시에	시/NNG+에/JKB
세련된	세련/NNG+되/XSA+ㄴ/ETM
율격을	율격/NNG+을/JKO
넣어	넣/VV+어/EC
멋과	멋/NNG+과/JC
맛을	맛/NNG+을/JKO
살리는	살리/VV+는/ETM
낭독의	낭독/NNG+의/JKG
예술입니다.	예술/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000048.160.7.2
예로부터 아기 울음 소리, 다듬이 소리와 함께 책 읽는 소리는 삼희성(三喜聲), 즉 세 가지의 듣기 좋은 소리였습니다.

예로부터	예/NNG+로부터/JKB
아기	아기/NNG
울음	울음/NNG
소리,	소리/NNG+,/SP
다듬이	다듬이/NNG
소리와	소리/NNG+와/JKB
함께	함께/MAG
책	책/NNG
읽는	읽/VV+는/ETM
소리는	소리/NNG+는/JX
삼희성(三喜聲),	삼희성/NNG+(/SS+三喜聲/SH+)/SS+,/SP
즉	즉/MAG
세	세/MMN
가지의	가지/NNB+의/JKG
듣기	듣/VV+기/ETN
좋은	좋/VA+은/ETM
소리였습니다.	소리/NNG+이/VCP+었/EP+습니다/EF+./SF


# id : NWRW1800000048.160.7.3
글 뜻은 몰라도 소리를 내면 마음이 평온해지는 까닭입니다.”

글	글/NNG
뜻은	뜻/NNG+은/JX
몰라도	모르/VV+아도/EC
소리를	소리/NNG+를/JKO
내면	내/VV+면/EC
마음이	마음/NNG+이/JKS
평온해지는	평온/NNG+하/XSA+아/EC+지/VX+는/ETM
까닭입니다.”	까닭/NNG+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000048.160.8.1
유씨의 아버지는 농사를 지었지만 시조를 자주 읊었다.

유씨의	유/NNP+씨/NNB+의/JKG
아버지는	아버지/NNG+는/JX
농사를	농사/NNG+를/JKO
지었지만	짓/VV+었/EP+지만/EC
시조를	시조/NNG+를/JKO
자주	자주/MAG
읊었다.	읊/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.160.8.2
어릴 때부터 그는 아버지의 구성진 창소리를 들으며 성장했다.

어릴	어리/VA+ㄹ/ETM
때부터	때/NNG+부터/JX
그는	그/NP+는/JX
아버지의	아버지/NNG+의/JKG
구성진	구성지/VA+ㄴ/ETM
창소리를	창/NNG+소리/NNG+를/JKO
들으며	듣/VV+으며/EC
성장했다.	성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.160.8.3
대학에서 국악을 전공한 그는 박태여·황용주·이은주로부터 경기소리를 배웠고, 묵계월로부터 삼설기와 12잡가를 전수받았다.

대학에서	대학/NNG+에서/JKB
국악을	국악/NNG+을/JKO
전공한	전공/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
박태여·황용주·이은주로부터	박태여/NNP+·/SP+황용주/NNP+·/SP+이은주/NNP+로부터/JKB
경기소리를	경기/NNP+소리/NNG+를/JKO
배웠고,	배우/VV+었/EP+고/EC+,/SP
묵계월로부터	묵계월/NNP+로부터/JKB
삼설기와	삼설기/NNP+와/JC
12잡가를	12/SN+잡가/NNG+를/JKO
전수받았다.	전수/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.160.8.4
1998년 전주대사습 민요부문 장원을 차지하며 명창에 오른 그는 송서율창의 대중화를 위해 서울 종묘 옆 송서율창보존회 전수관에서 일반인을 상대로 강의를 하고 있다.

1998년	1998/SN+년/NNB
전주대사습	전주/NNP+대/XPN+사습/NNG
민요부문	민요/NNG+부문/NNG
장원을	장원/NNG+을/JKO
차지하며	차지/NNG+하/XSV+며/EC
명창에	명창/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
그는	그/NP+는/JX
송서율창의	송서율창/NNG+의/JKG
대중화를	대중/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
서울	서울/NNP
종묘	종묘/NNP
옆	옆/NNG
송서율창보존회	송서율창보존회/NNP
전수관에서	전수관/NNG+에서/JKB
일반인을	일반인/NNG+을/JKO
상대로	상대/NNG+로/JKB
강의를	강의/NNG+를/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.160.8.5
일주일에 두번 중년의 남녀 30여명이 그를 따라 창을 힘차게 뽑는다.

일주일에	일주일/NNG+에/JKB
두번	두/MMN+번/NNB
중년의	중년/NNG+의/JKG
남녀	남녀/NNG
30여명이	30/SN+여/XSN+명/NNB+이/JKS
그를	그/NP+를/JKO
따라	따르/VV+아/EC
창을	창/NNG+을/JKO
힘차게	힘차/VA+게/EC
뽑는다.	뽑/VV+는다/EF+./SF


# id : NWRW1800000048.160.9.1
유씨는 “복식호흡으로 소리를 내니 건강에도 좋다”며 “선비들이 오랫동안 지치지 않고 앉아서 공부할 수 있었던 비법”이기도 하다고 덧붙였다.

유씨는	유/NNP+씨/NNB+는/JX
“복식호흡으로	“/SS+복식/NNG+호흡/NNG+으로/JKB
소리를	소리/NNG+를/JKO
내니	내/VV+니/EC
건강에도	건강/NNG+에/JKB+도/JX
좋다”며	좋/VA+다/EF+”/SS+며/EC
“선비들이	“/SS+선비/NNG+들/XSN+이/JKS
오랫동안	오랫동안/NNG
지치지	지치/VV+지/EC
않고	않/VX+고/EC
앉아서	앉/VV+아서/EC
공부할	공부/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
비법”이기도	비법/NNG+”/SS+이/VCP+기/ETN+도/JX
하다고	하/VX+다고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


