# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.250
metadata : {}


# id : NWRW1800000029.250.1.1
檢, 최재원 SK부회장 영장청구 방침

檢,	檢/SH+,/SP
5일	5/SN+일/NNB
사전구속영장을	사전/NNG+구속/NNG+영장/NNG+을/JKO
청구할	청구/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.250.7.1
또 검찰은 베넥스인베스트먼트에서 빼돌려진 SK 계열사 자금 500억 원이 최태원 회장의 선물투자에 사용된 정황과 최근 일부 관련자 소환조사에서 최 회장이 관여했을 가능성을 시사하는 단서를 일부 확보하고 최 회장에 대한 소환조사 여부를 검토하고 있다.

또	또/MAG
검찰은	검찰/NNG+은/JX
베넥스인베스트먼트에서	베넥스인베스트먼트/NNP+에서/JKB
빼돌려진	빼돌리/VV+어/EC+지/VX+ㄴ/ETM
SK	SK/SL
계열사	계열사/NNG
자금	자금/NNG
500억	500/SN+억/NR
원이	원/NNB+이/JKS
최태원	최태원/NNP
회장의	회장/NNG+의/JKG
선물투자에	선물/NNG+투자/NNG+에/JKB
사용된	사용/NNG+되/XSV+ㄴ/ETM
정황과	정황/NNG+과/JC
최근	최근/MAG
일부	일부/NNG
관련자	관련자/NNG
소환조사에서	소환/NNG+조사/NNG+에서/JKB
최	최/NNP
회장이	회장/NNG+이/JKS
관여했을	관여/NNG+하/XSV+았/EP+을/ETM
가능성을	가능/NNG+성/XSN+을/JKO
시사하는	시사/NNG+하/XSV+는/ETM
단서를	단서/NNG+를/JKO
확보하고	확보/NNG+하/XSV+고/EC
회장에	회장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
소환조사	소환/NNG+조사/NNG
여부를	여부/NNG+를/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.250.7.2
이번 횡령에 개입한 혐의가 드러나 구속된 베넥스인베스트먼트 대표 김준홍 씨는 현재 “SK그룹 윗선의 지시는 없었고 내가 한 것”이라고 주장하고 있다.

이번	이번/NNG
횡령에	횡령/NNG+에/JKB
개입한	개입/NNG+하/XSV+ㄴ/ETM
혐의가	혐의/NNG+가/JKS
드러나	드러나/VV+아/EC
구속된	구속/NNG+되/XSV+ㄴ/ETM
베넥스인베스트먼트	베넥스인베스트먼트/NNP
대표	대표/NNG
김준홍	김준홍/NNP
씨는	씨/NNB+는/JX
현재	현재/MAG
“SK그룹	“/SS+SK그룹/NNP
윗선의	윗선/NNG+의/JKG
지시는	지시/NNG+는/JX
없었고	없/VA+었/EP+고/EC
내가	내/NP+가/JKS
한	하/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.250.7.3
앞서 최 부회장은 이날 오전 9시 57분 서울 서초구 서초동 서울중앙지검 청사에 출석해 심경을 묻는 취재진에 “검찰 조사에 성실히 임하겠다”는 답변만 남기고 조사실로 향했다.

앞서	앞서/MAG
최	최/NNP
부회장은	부회장/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
9시	9/SN+시/NNB
57분	57/SN+분/NNB
서울	서울/NNP
서초구	서초구/NNP
서초동	서초동/NNP
서울중앙지검	서울중앙지검/NNP
청사에	청사/NNG+에/JKB
출석해	출석/NNG+하/XSV+아/EC
심경을	심경/NNG+을/JKO
묻는	묻/VV+는/ETM
취재진에	취재진/NNG+에/JKB
“검찰	“/SS+검찰/NNG
조사에	조사/NNG+에/JKB
성실히	성실히/MAG
임하겠다”는	임하/VV+겠/EP+다/EF+”/SS+는/ETM
답변만	답변/NNG+만/JX
남기고	남기/VV+고/EC
조사실로	조사실/NNG+로/JKB
향했다.	향하/VV+았/EP+다/EF+./SF


