# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.19
metadata : {}


# id : NWRW1800000025.19.1.1
[커버스토리]나, 이래 봬도 쿠키 굽는 남자야∼

[커버스토리]나,	[/SS+커버스토리/NNG+]/SS+나/NP+,/SP
# id : NWRW1800000025.19.3.1
서울아산병원 일반외과 의사(레지던트 4년차)인 서석인 씨(33)는 한 달에 하루 남짓한 휴일이 돌아오면 오븐의 주인으로 변신한다.

서울아산병원	서울아산병원/NNP
일반외과	일반/NNG+외과/NNG
의사(레지던트	의사/NNG+(/SS+레지던트/NNG
4년차)인	4/SN+년/NNB+차/NNB+)/SS+이/VCP+ㄴ/ETM
서석인	서석인/NNP
씨(33)는	씨/NNB+(/SS+33/SN+)/SS+는/JX
한	한/MMN
달에	달/NNB+에/JKB
하루	하루/NNG
남짓한	남짓/NNB+하/XSA+ㄴ/ETM
휴일이	휴일/NNG+이/JKS
돌아오면	돌아오/VV+면/EC
오븐의	오븐/NNG+의/JKG
주인으로	주인/NNG+으로/JKB
변신한다.	변신/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.19.3.2
내달 출산을 앞둔 만삭의 아내 김부용 씨(32)에게 선물할 쿠키를 굽기 위해서다.

내달	내달/NNG
출산을	출산/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
만삭의	만삭/NNG+의/JKG
아내	아내/NNG
김부용	김부용/NNP
씨(32)에게	씨/NNB+(/SS+32/SN+)/SS+에게/JKB
선물할	선물/NNG+하/XSV+ㄹ/ETM
쿠키를	쿠키/NNG+를/JKO
굽기	굽/VV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000025.19.3.3
밀가루, 계란, 우유 반죽과 한참을 씨름한 끝에 마침내 오븐에서 결혼 전 발레리나였던 아내의 모습을 본 뜬 쿠키와 곧 태어날 아기에게 먹일 젖병 모양의 쿠키가 나왔다.

밀가루,	밀가루/NNG+,/SP
계란,	계란/NNG+,/SP
우유	우유/NNG
반죽과	반죽/NNG+과/JC
한참을	한참/NNG+을/JKO
씨름한	씨름/NNG+하/XSV+ㄴ/ETM
끝에	끝/NNG+에/JKB
마침내	마침내/MAG
오븐에서	오븐/NNG+에서/JKB
결혼	결혼/NNG
전	전/NNG
발레리나였던	발레리나/NNG+이/VCP+었/EP+던/ETM
아내의	아내/NNG+의/JKG
모습을	모습/NNG+을/JKO
본	본/NNG
뜬	뜨/VV+ㄴ/ETM
쿠키와	쿠키/NNG+와/JC
곧	곧/MAG
태어날	태어나/VV+ㄹ/ETM
아기에게	아기/NNG+에게/JKB
먹일	먹이/VV+ㄹ/ETM
젖병	젖병/NNG
모양의	모양/NNG+의/JKG
쿠키가	쿠키/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.19.3.4
쿠키를 받아 쥔 김 씨의 얼굴에 함박웃음이 핀다.

쿠키를	쿠키/NNG+를/JKO
받아	받/VV+아/EC
쥔	쥐/VV+ㄴ/ETM
김	김/NNP
씨의	씨/NNB+의/JKG
얼굴에	얼굴/NNG+에/JKB
함박웃음이	함박웃음/NNG+이/JKS
핀다.	피/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.19.4.1
서 씨가 홈베이킹의 매력에 빠져든 것은 지난해 아내와 함께 홈베이킹 스쿨에서 특강을 들으면서부터였다.

서	서/NNP
씨가	씨/NNB+가/JKS
홈베이킹의	홈베이킹/NNG+의/JKG
매력에	매력/NNG+에/JKB
빠져든	빠지/VV+어/EC+들/VX+ㄴ/ETM
것은	것/NNB+은/JX
지난해	지난해/NNG
아내와	아내/NNG+와/JKB
함께	함께/MAG
홈베이킹	홈베이킹/NNG
스쿨에서	스쿨/NNG+에서/JKB
특강을	특강/NNG+을/JKO
들으면서부터였다.	듣/VV+으면서/EC+부터/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.19.4.2
원래 요리에 관심이 있었던 그였지만 “아내와 함께 홈베이킹을 배우면서 먹는 즐거움보다 큰 만드는 즐거움에 눈떴다”고 말한다.

원래	원래/MAG
요리에	요리/NNG+에/JKB
관심이	관심/NNG+이/JKS
있었던	있/VA+었/EP+던/ETM
그였지만	그/NP+이/VCP+었/EP+지만/EC
“아내와	“/SS+아내/NNG+와/JKB
함께	함께/MAG
홈베이킹을	홈베이킹/NNG+을/JKO
배우면서	배우/VV+면서/EC
먹는	먹/VV+는/ETM
즐거움보다	즐거움/NNG+보다/JKB
큰	크/VA+ㄴ/ETM
만드는	만들/VV+는/ETM
즐거움에	즐거움/NNG+에/JKB
눈떴다”고	눈뜨/VV+었/EP+다/EF+”/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.19.4.3
홈베이킹 지식은 때로는 인테리어 기술로도 변신한다.

홈베이킹	홈베이킹/NNG
지식은	지식/NNG+은/JX
때로는	때로/MAG+는/JX
인테리어	인테리어/NNG
기술로도	기술/NNG+로/JKB+도/JX
변신한다.	변신/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.19.4.4
지난 크리스마스 때 서 씨는 아내와 함께 만든 각양각색의 쿠키에 장식용 고리를 달아 크리스마스트리를 만들기도 했다.

지난	지나/VV+ㄴ/ETM
크리스마스	크리스마스/NNG
때	때/NNG
서	서/NNP
씨는	씨/NNB+는/JX
아내와	아내/NNG+와/JKB
함께	함께/MAG
만든	만들/VV+ㄴ/ETM
각양각색의	각양각색/NNG+의/JKG
쿠키에	쿠키/NNG+에/JKB
장식용	장식/NNG+용/XSN
고리를	고리/NNG+를/JKO
달아	달/VV+아/EC
크리스마스트리를	크리스마스트리/NNG+를/JKO
만들기도	만들/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.19.5.1
‘쿠키 굽는 남편’을 바라보는 아내의 시선에는 진한 초콜릿 케이크 같은 달콤함이 묻어난다.

‘쿠키	‘/SS+쿠키/NNG
굽는	굽/VV+는/ETM
남편’을	남편/NNG+’/SS+을/JKO
바라보는	바라보/VV+는/ETM
아내의	아내/NNG+의/JKG
시선에는	시선/NNG+에/JKB+는/JX
진한	진하/VA+ㄴ/ETM
초콜릿	초콜릿/NNG
케이크	케이크/NNG
같은	같/VA+은/ETM
달콤함이	달콤하/VA+ㅁ/ETN+이/JKS
묻어난다.	묻어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.19.5.2
김 씨는 “임신 초기 입덧이 심할 때 남편이 만들어 준 호두파이를 먹고 기운을 차리곤 했다”며 “짧은 휴일에 좋아하는 낮잠까지 반납하고 오븐 앞에 있는 걸 보면 안쓰럽지만 남편이 집에서 함께할 수 있는 취미가 있다는 것이 너무 좋다”고 말했다.

김	김/NNP
씨는	씨/NNB+는/JX
“임신	“/SS+임신/NNG
초기	초기/NNG
입덧이	입덧/NNG+이/JKS
심할	심하/VA+ㄹ/ETM
때	때/NNG
남편이	남편/NNG+이/JKS
만들어	만들/VV+어/EC
준	주/VX+ㄴ/ETM
호두파이를	호두/NNG+파이/NNG+를/JKO
먹고	먹/VV+고/EC
기운을	기운/NNG+을/JKO
차리곤	차리/VV+곤/EC
했다”며	하/VX+았/EP+다/EF+”/SS+며/EC
“짧은	“/SS+짧/VA+은/ETM
휴일에	휴일/NNG+에/JKB
좋아하는	좋아하/VV+는/ETM
낮잠까지	낮잠/NNG+까지/JX
반납하고	반납/NNG+하/XSV+고/EC
오븐	오븐/NNG
앞에	앞/NNG+에/JKB
있는	있/VA+는/ETM
걸	거/NNB+ㄹ/JKO
보면	보/VV+면/EC
안쓰럽지만	안쓰럽/VA+지만/EC
집에서	집/NNG+에서/JKB
함께할	함께/MAG+하/XSV+ㄹ/ETM
수	수/NNB
취미가	취미/NNG+가/JKS
있다는	있/VA+다는/ETM
것이	것/NNB+이/JKS
너무	너무/MAG
좋다”고	좋/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.19.5.3
이미 서 씨는 나중에 태어날 아이의 돌 케이크를 자신이 직접 만들어 준다는 계획도 세워 놨다.

이미	이미/MAG
서	서/NNP
씨는	씨/NNB+는/JX
나중에	나중/NNG+에/JKB
태어날	태어나/VV+ㄹ/ETM
아이의	아이/NNG+의/JKG
돌	돌/NNG
케이크를	케이크/NNG+를/JKO
자신이	자신/NNG+이/JKS
직접	직접/MAG
만들어	만들/VV+어/EC
준다는	주/VX+ㄴ다는/ETM
계획도	계획/NNG+도/JX
세워	세우/VV+어/EC
놨다.	놓/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.19.6.1
기업의 해외무역 파트에서 일하는 회사원 이재준 씨(33)도 빵 굽는 남자다.

기업의	기업/NNG+의/JKG
해외무역	해외/NNG+무역/NNG
파트에서	파트/NNG+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
회사원	회사원/NNG
이재준	이재준/NNP
씨(33)도	씨/NNB+(/SS+33/SN+)/SS+도/JX
빵	빵/NNG
굽는	굽/VV+는/ETM
남자다.	남자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.19.6.2
3년 전 결혼한 아내 이혜종 씨(30)와의 사이에 9개월 된 아들을 둔 이 씨의 목표는 아들이 ‘아빠가 만든 과자가 세상에서 가장 맛있다’는 말을 듣는 것.

3년	3/SN+년/NNB
전	전/NNG
결혼한	결혼/NNG+하/XSV+ㄴ/ETM
아내	아내/NNG
이혜종	이혜종/NNP
씨(30)와의	씨/NNB+(/SS+30/SN+)/SS+와/JKB+의/JKG
사이에	사이/NNG+에/JKB
9개월	9/SN+개월/NNB
된	되/VV+ㄴ/ETM
아들을	아들/NNG+을/JKO
둔	두/VV+ㄴ/ETM
이	이/NNP
씨의	씨/NNB+의/JKG
목표는	목표/NNG+는/JX
아들이	아들/NNG+이/JKS
‘아빠가	‘/SS+아빠/NNG+가/JKS
만든	만들/VV+ㄴ/ETM
과자가	과자/NNG+가/JKS
세상에서	세상/NNG+에서/JKB
가장	가장/MAG
맛있다’는	맛있/VA+다/EF+’/SS+는/ETM
말을	말/NNG+을/JKO
듣는	듣/VV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.19.7.1
처음에 아내 손에 이끌려 홈베이킹 스쿨의 특강을 처음 들었을 때만 해도 설탕과 소금을 혼동해 짜디짠 컵케이크를 만들기도 했던 이 씨지만 몇 차례의 특강을 통해 어엿한 홈베이커로 거듭났다.

처음에	처음/NNG+에/JKB
아내	아내/NNG
손에	손/NNG+에/JKB
이끌려	이끌리/VV+어/EC
홈베이킹	홈베이킹/NNG
스쿨의	스쿨/NNG+의/JKG
특강을	특강/NNG+을/JKO
처음	처음/NNG
들었을	듣/VV+었/EP+을/ETM
때만	때/NNG+만/JX
해도	하/VV+아도/EC
설탕과	설탕/NNG+과/JC
소금을	소금/NNG+을/JKO
혼동해	혼동/NNG+하/XSV+아/EC
짜디짠	짜/VA+디/EC+짜/VA+ㄴ/ETM
컵케이크를	컵케이크/NNG+를/JKO
만들기도	만들/VV+기/ETN+도/JX
했던	하/VX+았/EP+던/ETM
이	이/NNP
씨지만	씨/NNB+이/VCP+지만/EC
몇	몇/NR
차례의	차례/NNG+의/JKG
통해	통하/VV+아/EC
어엿한	어엿하/VA+ㄴ/ETM
홈베이커로	홈베이커/NNG+로/JKB
거듭났다.	거듭나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.19.7.2
요즘은 아내와 함께 만든 쿠키를 맛본 회사 동료들에게 “어디서 사온 쿠키냐”는 질문을 받기도 한다.

요즘은	요즘/NNG+은/JX
아내와	아내/NNG+와/JKB
함께	함께/MAG
만든	만들/VV+ㄴ/ETM
쿠키를	쿠키/NNG+를/JKO
맛본	맛보/VV+ㄴ/ETM
회사	회사/NNG
동료들에게	동료/NNG+들/XSN+에게/JKB
“어디서	“/SS+어디/NP+서/JKB
사온	사/VV+아/EC+오/VV+ㄴ/ETM
쿠키냐”는	쿠키/NNG+이/VCP+냐/EF+”/SS+는/JX
질문을	질문/NNG+을/JKO
받기도	받/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.19.7.3
쿠키 선물을 받은 양가 부모님이나 친척 어른들도 “돈을 받고 팔아도 되겠다”는 칭찬을 해 줄 정도.

쿠키	쿠키/NNG
선물을	선물/NNG+을/JKO
받은	받/VV+은/ETM
양가	양가/NNG
부모님이나	부모/NNG+님/XSN+이나/JC
친척	친척/NNG
어른들도	어른/NNG+들/XSN+도/JX
“돈을	“/SS+돈/NNG+을/JKO
받고	받/VV+고/EC
팔아도	팔/VV+아도/EC
되겠다”는	되/VV+겠/EP+다/EF+”/SS+는/ETM
칭찬을	칭찬/NNG+을/JKO
해	하/VV+아/EC
줄	주/VX+ㄹ/ETM
정도.	정도/NNG+./SF


# id : NWRW1800000025.19.7.4
이 씨 부부는 요즘 카페나 식당에서 후식으로 맛있는 케이크나 쿠키가 나오면 어떤 재료와 조리법을 썼을지 머리를 맞대고 의견을 나누느라 시간이 가는 줄 모른다.

이	이/NNP
씨	씨/NNB
부부는	부부/NNG+는/JX
요즘	요즘/NNG
카페나	카페/NNG+나/JC
식당에서	식당/NNG+에서/JKB
후식으로	후식/NNG+으로/JKB
맛있는	맛있/VA+는/ETM
케이크나	케이크/NNG+나/JC
쿠키가	쿠키/NNG+가/JKS
나오면	나오/VV+면/EC
어떤	어떤/MMD
재료와	재료/NNG+와/JC
조리법을	조리법/NNG+을/JKO
썼을지	쓰/VV+었/EP+을지/EC
머리를	머리/NNG+를/JKO
맞대고	맞대/VV+고/EC
의견을	의견/NNG+을/JKO
나누느라	나누/VV+느라/EC
시간이	시간/NNG+이/JKS
가는	가/VV+는/ETM
줄	줄/NNB
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.19.8.1
아내 이 씨는 “고생해 만든 쿠키를 맛보는 재미도 있지만 바쁜 중에도 가정에 충실하려고 노력하는 마음이 느껴져서 앞으로도 계속 홈베이킹을 배우려고 한다”고 말한다.

아내	아내/NNG
이	이/NNP
씨는	씨/NNB+는/JX
“고생해	“/SS+고생/NNG+하/XSV+아/EC
만든	만들/VV+ㄴ/ETM
쿠키를	쿠키/NNG+를/JKO
맛보는	맛보/VV+는/ETM
재미도	재미/NNG+도/JX
있지만	있/VA+지만/EC
바쁜	바쁘/VA+ㄴ/ETM
중에도	중/NNB+에/JKB+도/JX
가정에	가정/NNG+에/JKB
충실하려고	충실/NNG+하/XSA+려고/EC
노력하는	노력/NNG+하/XSV+는/ETM
마음이	마음/NNG+이/JKS
느껴져서	느끼/VV+어/EC+지/VX+어서/EC
앞으로도	앞/NNG+으로/JKB+도/JX
계속	계속/MAG
홈베이킹을	홈베이킹/NNG+을/JKO
배우려고	배우/VV+려고/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.19.9.1
마치 홈베이킹교의 열렬한 신도라도 된 듯한 이들의 모습에 슬쩍 ‘딴지’를 걸어보고 싶어 “제과점에서 사는 편이 시간과 비용 모두 절약 아니냐”고 물었다.

마치	마치/MAG
홈베이킹교의	홈베이킹/NNG+교/NNG+의/JKG
열렬한	열렬하/VA+ㄴ/ETM
신도라도	신도/NNG+이/VCP+라도/EC
된	되/VV+ㄴ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
이들의	이/NP+들/XSN+의/JKG
모습에	모습/NNG+에/JKB
슬쩍	슬쩍/MAG
‘딴지’를	‘/SS+딴지/NNG+’/SS+를/JKO
걸어보고	걸/VV+어/EC+보/VX+고/EC
싶어	싶/VX+어/EC
“제과점에서	“/SS+제과점/NNG+에서/JKB
사는	살/VV+는/ETM
편이	편/NNB+이/JKS
시간과	시간/NNG+과/JC
비용	비용/NNG
모두	모두/MAG
절약	절약/NNG
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.19.9.2
하지만 바로 “홈베이킹의 매력을 제대로 알게 되면 그런 소리가 안 나온다”는 싸늘한 대답이 돌아왔다.

하지만	하지만/MAJ
바로	바로/MAG
“홈베이킹의	“/SS+홈베이킹/NNG+의/JKG
매력을	매력/NNG+을/JKO
제대로	제대로/MAG
알게	알/VV+게/EC
되면	되/VV+면/EC
그런	그런/MMD
소리가	소리/NNG+가/JKS
안	안/MAG
나온다”는	나오/VV+ㄴ다/EF+”/SS+는/ETM
싸늘한	싸늘하/VA+ㄴ/ETM
대답이	대답/NNG+이/JKS
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.19.9.3
자극적인 맛과 색으로 사람들의 입맛과 눈길을 사로잡으려 아우성치는 음식의 홍수 속에서 직접 믿을 수 있는 재료를 골라 가족의 입맛에 맞춰 정성을 담아 구운 빵과 과자의 가치는 시간이나 비용으로 환원될 수 없다는 것.

자극적인	자극/NNG+적/XSN+이/VCP+ㄴ/ETM
맛과	맛/NNG+과/JC
색으로	색/NNG+으로/JKB
사람들의	사람/NNG+들/XSN+의/JKG
입맛과	입맛/NNG+과/JC
눈길을	눈길/NNG+을/JKO
사로잡으려	사로잡/VV+으려/EC
아우성치는	아우성치/VV+는/ETM
음식의	음식/NNG+의/JKG
홍수	홍수/NNG
속에서	속/NNG+에서/JKB
직접	직접/MAG
믿을	믿/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
재료를	재료/NNG+를/JKO
골라	고르/VV+아/EC
가족의	가족/NNG+의/JKG
입맛에	입맛/NNG+에/JKB
맞춰	맞추/VV+어/EC
정성을	정성/NNG+을/JKO
담아	담/VV+아/EC
구운	굽/VV+ㄴ/ETM
빵과	빵/NNG+과/JC
과자의	과자/NNG+의/JKG
가치는	가치/NNG+는/JX
시간이나	시간/NNG+이나/JC
비용으로	비용/NNG+으로/JKB
환원될	환원/NNG+되/XSV+ㄹ/ETM
없다는	없/VA+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.19.9.4
오늘도 남편이 오븐 앞에 서는 이유다.

오늘도	오늘/NNG+도/JX
남편이	남편/NNG+이/JKS
오븐	오븐/NNG
앞에	앞/NNG+에/JKB
서는	서/VV+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


