# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.201
metadata : {}


# id : NWRW1800000028.201.1.1
‘부자감세’ 논란 재점화 조짐

‘부자감세’	‘/SS+부자/NNG+감세/NNG+’/SS
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“2012년	“/SS+2012/SN+년/NNB
시행으로	시행/NNG+으로/JKB
유예된	유예/NNG+되/XSV+ㄴ/ETM
소득세·법인세	소득세/NNG+·/SP+법인세/NNG
최고세율	최고/NNG+세율/NNG
인하를	인하/NNG+를/JKO
철회하는	철회/NNG+하/XSV+는/ETM
세법	세법/NNG
개정안을	개정안/NNG+을/JKO
올해	올해/NNG
정기국회에	정기/NNG+국회/NNG+에/JKB
제출할	제출/NNG+하/XSV+ㄹ/ETM
방침”이라며	방침/NNG+”/SS+이/VCP+라며/EC
“내년에	“/SS+내년/NNG+에/JKB
개정해도	개정/NNG+하/XSV+아도/EC
되지만,	되/VV+지만/EC+,/SP
정책은	정책/NNG+은/JX
예측가능성이	예측/NNG+가능/NNG+성/XSN+이/JKS
중요하기	중요/NNG+하/XSA+기/ETN
때문에	때문/NNB+에/JKB
되도록	되도록/MAG
빨리	빨리/MAG
수정하는	수정/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
낫다”고	낫/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.201.3.2
이 의원은 “우리 정부 국가부채와 재정건전성이 우려스러운 수준인데, 지금도 경제협력개발기구(OECD) 평균에 비해 낮은 고소득층의 세 부담을 더 낮춰줘야 하는지에 대한 재검토가 필요하다”고 말했다.

이	이/NNP
의원은	의원/NNG+은/JX
“우리	“/SS+우리/NP
정부	정부/NNG
국가부채와	국가/NNG+부채/NNG+와/JC
재정건전성이	재정/NNG+건전/NNG+성/XSN+이/JKS
우려스러운	우려/NNG+스럽/XSA+ㄴ/ETM
수준인데,	수준/NNG+이/VCP+ㄴ데/EC+,/SP
지금도	지금/NNG+도/JX
경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
평균에	평균/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
낮은	낮/VA+은/ETM
고소득층의	고/XPN+소득/NNG+층/XSN+의/JKG
세	세/NNG
부담을	부담/NNG+을/JKO
더	더/MAG
낮춰줘야	낮추/VV+어/EC+주/VX+어야/EC
하는지에	하/VX+는지/EF+에/JKB
대한	대하/VV+ㄴ/ETM
재검토가	재/XPN+검토/NNG+가/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.201.4.1
‘종부세 폐지’를 둘러싼 논란도 거세질 전망이다.

‘종부세	‘/SS+종부세/NNG
폐지’를	폐지/NNG+’/SS+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
논란도	논란/NNG+도/JX
거세질	거세지/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.201.4.2
현재 기획재정부와 행정안전부는 국세인 종부세를 지방세로 전환한다는 방침을 세우고 구체적인 방법을 논의하고 있다.

현재	현재/MAG
기획재정부와	기획/NNG+재정부/NNG+와/JC
행정안전부는	행정/NNG+안전부/NNG+는/JX
국세인	국세/NNG+이/VCP+ㄴ/ETM
종부세를	종부세/NNG+를/JKO
지방세로	지방세/NNG+로/JKB
전환한다는	전환/NNG+하/XSV+ㄴ다는/ETM
방침을	방침/NNG+을/JKO
세우고	세우/VV+고/EC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
방법을	방법/NNG+을/JKO
논의하고	논의/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.201.4.3
이희봉 행안부 지방세제관은 “크게는 종부세-재산세 이원화 방안과 통합 방안이 가능하다”며 “7~8월께 정부 최종안을 정한 뒤 공청회를 거쳐 9월 정기국회에 제출하겠다”고 말했다.

이희봉	이희봉/NNP
행안부	행안부/NNG
지방세제관은	지방세제관/NNG+은/JX
“크게는	“/SS+크/VA+게/EC+는/JX
종부세-재산세	종부세/NNG+-/SO+재산세/NNG
이원화	이원/NNG+화/XSN
방안과	방안/NNG+과/JC
통합	통합/NNG
방안이	방안/NNG+이/JKS
가능하다”며	가능/NNG+하/XSA+다/EF+”/SS+며/EC
“7~8월께	“/SS+7/SN+~/SO+8/SN+월/NNB+께/XSN
정부	정부/NNG
최종안을	최종안/NNG+을/JKO
정한	정하/VV+ㄴ/ETM
뒤	뒤/NNG
공청회를	공청회/NNG+를/JKO
거쳐	거치/VV+어/EC
9월	9/SN+월/NNB
정기국회에	정기/NNG+국회/NNG+에/JKB
제출하겠다”고	제출/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.201.5.1
종부세가 재산세로 통합되면 다주택자의 세금 부담은 줄어드는 반면, 1주택자의 세금 부담이 늘어날 가능성이 크다.

종부세가	종부세/NNG+가/JKS
재산세로	재산세/NNG+로/JKB
통합되면	통합/NNG+되/XSV+면/EC
다주택자의	다주택자/NNG+의/JKG
세금	세금/NNG
부담은	부담/NNG+은/JX
줄어드는	줄어들/VV+는/ETM
반면,	반면/NNG+,/SP
1주택자의	1/SN+주택자/NNG+의/JKG
부담이	부담/NNG+이/JKS
늘어날	늘어나/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000028.201.5.2
종부세는 전국에 있는 주택을 모두 합친 과표에 세금을 매기지만, 재산세는 개별 주택별로 과세하기 때문에 누진율이 낮아질 수밖에 없기 때문이다.

종부세는	종부세/NNG+는/JX
전국에	전국/NNG+에/JKB
있는	있/VA+는/ETM
주택을	주택/NNG+을/JKO
모두	모두/MAG
합친	합치/VV+ㄴ/ETM
과표에	과표/NNG+에/JKB
세금을	세금/NNG+을/JKO
매기지만,	매기/VV+지만/EC+,/SP
재산세는	재산세/NNG+는/JX
개별	개별/NNG
주택별로	주택/NNG+별/XSN+로/JKB
과세하기	과세/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
누진율이	누진/NNG+율/XSN+이/JKS
낮아질	낮/VA+아/EC+지/VX+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.201.5.3
이로 인해 부족해진 세수를 메우기 위해 전체 재산세율을 인상하면 1주택자의 세 부담은 늘어나게 되는 것이다.

이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
부족해진	부족/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
세수를	세수/NNG+를/JKO
메우기	메우/VV+기/ETN
위해	위하/VV+아/EC
전체	전체/NNG
재산세율을	재산세/NNG+율/XSN+을/JKO
인상하면	인상/NNG+하/XSV+면/EC
1주택자의	1/SN+주택자/NNG+의/JKG
세	세/NNG
부담은	부담/NNG+은/JX
늘어나게	늘어나/VV+게/EC
되는	되/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.201.6.1
‘다주택자의 양도소득세 중과 제도’를 존속시킬지 여부도 올해 세제 개편에서 검토된다.

‘다주택자의	‘/SS+다주택자/NNG+의/JKG
양도소득세	양도/NNG+소득세/NNG
중과	중과/NNG
제도’를	제도/NNG+’/SS+를/JKO
존속시킬지	존속/NNG+시키/XSV+ㄹ지/EF
여부도	여부/NNG+도/JX
올해	올해/NNG
세제	세제/NNG
개편에서	개편/NNG+에서/JKB
검토된다.	검토/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.201.6.2
원래 다주택자의 양도세 세율은 ‘2주택자 50%, 3주택자 60%’이지만, 정부는 부동산거래 활성화를 명분으로 올해 말까지 한시적으로 ‘6~35%’의 기본세율로 깎아주고 있다.

원래	원래/MAG
다주택자의	다주택자/NNG+의/JKG
양도세	양도세/NNG
세율은	세율/NNG+은/JX
‘2주택자	‘/SS+2주택자/NNG
50%,	50/SN+%/SW+,/SP
3주택자	3주택자/NNG
60%’이지만,	60/SN+%/SW+’/SS+이/VCP+지만/EC+,/SP
정부는	정부/NNG+는/JX
부동산거래	부동산/NNG+거래/NNG
활성화를	활성/NNG+화/XSN+를/JKO
명분으로	명분/NNG+으로/JKB
올해	올해/NNG
말까지	말/NNB+까지/JX
한시적으로	한시/NNG+적/XSN+으로/JKB
‘6~35%’의	‘/SS+6/SN+~/SO+35/SN+%/SW+’/SS+의/JKG
기본세율로	기본/NNG+세율/NNG+로/JKB
깎아주고	깎/VV+아/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.201.6.3
정부가 중과세 제도를 완전히 폐지하면 부동산 투기를 부추긴다는 비판을 피하기 어렵다.

정부가	정부/NNG+가/JKS
중과세	중과세/NNG
제도를	제도/NNG+를/JKO
완전히	완전히/MAG
폐지하면	폐지/NNG+하/XSV+면/EC
부동산	부동산/NNG
투기를	투기/NNG+를/JKO
부추긴다는	부추기/VV+ㄴ다는/ETM
비판을	비판/NNG+을/JKO
피하기	피하/VV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000028.201.7.1
종부세 개편과 다주택자 양도세 완화에 대한 야당의 반대 태도는 확고하다.

종부세	종부세/NNG
개편과	개편/NNG+과/JC
다주택자	다주택자/NNG
양도세	양도세/NNG
완화에	완화/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
야당의	야당/NNG+의/JKG
반대	반대/NNG
태도는	태도/NNG+는/JX
확고하다.	확고하/VA+다/EF+./SF


# id : NWRW1800000028.201.7.2
이용섭 의원은 “정부의 종부세 폐지는 많은 전문가들이 공감하는 ‘보유세 강화, 거래세 인하’라는 원칙에서 후퇴하는 것”이라고 주장했다.

이용섭	이용섭/NNP
의원은	의원/NNG+은/JX
“정부의	“/SS+정부/NNG+의/JKG
종부세	종부세/NNG
폐지는	폐지/NNG+는/JX
많은	많/VA+은/ETM
전문가들이	전문가/NNG+들/XSN+이/JKS
공감하는	공감/NNG+하/XSV+는/ETM
‘보유세	‘/SS+보유세/NNG
강화,	강화/NNG+,/SP
거래세	거래세/NNG
인하’라는	인하/NNG+’/SS+이/VCP+라는/ETM
원칙에서	원칙/NNG+에서/JKB
후퇴하는	후퇴/NNG+하/XSV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.201.7.3
민주노동당은 9월 정기국회에 종부세 세율을 인상하고 부과대상을 확대하는 개정안을 낼 방침이다.

민주노동당은	민주노동당/NNP+은/JX
9월	9/SN+월/NNB
정기국회에	정기/NNG+국회/NNG+에/JKB
종부세	종부세/NNG
세율을	세율/NNG+을/JKO
인상하고	인상/NNG+하/XSV+고/EC
부과대상을	부과/NNG+대상/NNG+을/JKO
확대하는	확대/NNG+하/XSV+는/ETM
개정안을	개정안/NNG+을/JKO
낼	내/VV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


