# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.409
metadata : {}


# id : NWRW1800000048.409.1.1
새누리, 공무원·국민연금 ‘연계처리’로 가닥

새누리,	새누리/NNP+,/SP
생각한다”며	생각/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
전날	전날/NNG
청와대가	청와대/NNP+가/JKS
요구한	요구/NNG+하/XSV+ㄴ/ETM
‘청와대의	‘/SS+청와대/NNP+의/JKG
분리	분리/NNG
처리’	처리/NNG+’/SS
가능성을	가능/NNG+성/XSN+을/JKO
일축했다.	일축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.409.7.2
여당이 사회적 대타협의 결과물인 ‘국민연금 소득대체율 50% 인상’을 뒤집을 경우, 야당의 거부로 공무원연금 개편 자체가 물건너갈 수 있다는 점을 의식한 것으로 보인다.

여당이	여당/NNG+이/JKS
사회적	사회/NNG+적/XSN
대타협의	대/XPN+타협/NNG+의/JKG
결과물인	결과물/NNG+이/VCP+ㄴ/ETM
‘국민연금	‘/SS+국민연금/NNG
소득대체율	소득/NNG+대체/NNG+율/XSN
50%	50/SN+%/SW
인상’을	인상/NNG+’/SS+을/JKO
뒤집을	뒤집/VV+을/ETM
경우,	경우/NNG+,/SP
야당의	야당/NNG+의/JKG
거부로	거부/NNG+로/JKB
공무원연금	공무원/NNG+연금/NNG
개편	개편/NNG
자체가	자체/NNG+가/JKS
물건너갈	물/NNG+건너가/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
의식한	의식/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.409.8.1
김 대표는 동시에 야당이 요구하는 ‘50% 명문화’에 대해서는 거부 의사를 거듭 밝히며 청와대의 방침에 보조를 맞췄다.

김	김/NNP
대표는	대표/NNG+는/JX
동시에	동시/NNG+에/JKB
야당이	야당/NNG+이/JKS
요구하는	요구/NNG+하/XSV+는/ETM
‘50%	‘/SS+50/SN+%/SW
명문화’에	명문/NNG+화/XSN+’/SS+에/JKB
대해서는	대하/VV+아서/EC+는/JX
거부	거부/NNG
의사를	의사/NNG+를/JKO
거듭	거듭/MAG
밝히며	밝히/VV+며/EC
청와대의	청와대/NNP+의/JKG
방침에	방침/NNG+에/JKB
보조를	보조/NNG+를/JKO
맞췄다.	맞추/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.409.8.2
지난 6일 여야 합의가 불발된 이후 불거진 ‘청와대가 소득대체율 50% 인상을 사전에 알았느냐’는 논란에 대해서도, 김 대표는 “청와대는 합의문에 50%가 명기되는 것, (이를) ‘존중한다’는 말이 들어가는 것을 (모두) 반대했다”며 청와대 편을 들었다.

지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
여야	여야/NNG
합의가	합의/NNG+가/JKS
불발된	불발/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
불거진	불거지/VV+ㄴ/ETM
‘청와대가	‘/SS+청와대/NNP+가/JKS
소득대체율	소득/NNG+대체/NNG+율/XSN
50%	50/SN+%/SW
인상을	인상/NNG+을/JKO
사전에	사전/NNG+에/JKB
알았느냐’는	알/VV+았/EP+느냐/EF+’/SS+는/ETM
논란에	논란/NNG+에/JKB
대해서도,	대하/VV+아서/EC+도/JX+,/SP
김	김/NNP
대표는	대표/NNG+는/JX
“청와대는	“/SS+청와대/NNP+는/JX
합의문에	합의문/NNG+에/JKB
50%가	50/SN+%/SW+가/JKS
명기되는	명기/NNG+되/XSV+는/ETM
것,	것/NNB+,/SP
(이를)	(/SS+이/NP+를/JKO+)/SS
‘존중한다’는	‘/SS+존중/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
말이	말/NNG+이/JKS
들어가는	들어가/VV+는/ETM
것을	것/NNB+을/JKO
(모두)	(/SS+모두/MAG+)/SS
반대했다”며	반대/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
청와대	청와대/NNP
편을	편/NNG+을/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.409.9.1
우회적으로 야당의 요구를 받아들이려 했던 유승민 원내대표도 청와대와 친박계(친박근혜계)를 중심으로 한 당내 반대 의견을 고려해 ‘50%’ 숫자를 국회 규칙에 담는 것을 접은 것으로 알려졌다.

우회적으로	우회/NNG+적/XSN+으로/JKB
야당의	야당/NNG+의/JKG
요구를	요구/NNG+를/JKO
받아들이려	받아들이/VV+려/EC
했던	하/VX+았/EP+던/ETM
유승민	유승민/NNP
원내대표도	원내/NNG+대표/NNG+도/JX
청와대와	청와대/NNP+와/JC
친박계(친박근혜계)를	친/XPN+박/NNP+계/XSN+(/SS+친/XPN+박근혜/NNP+계/XSN+)/SS+를/JKO
중심으로	중심/NNG+으로/JKB
한	하/VV+ㄴ/ETM
당내	당내/NNG
반대	반대/NNG
의견을	의견/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
‘50%’	‘/SS+50/SN+%/SW+’/SS
숫자를	숫자/NNG+를/JKO
국회	국회/NNG
규칙에	규칙/NNG+에/JKB
담는	담/VV+는/ETM
것을	것/NNB+을/JKO
접은	접/VV+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.409.9.2
유 원내대표는 11일 열리는 최고위원회 회의에서 서청원·김태호 최고위원 등 ‘강경 지도부’로부터 향후 대책에 대한 의견을 들을 예정이다.

유	유/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
11일	11/SN+일/NNB
열리는	열리/VV+는/ETM
최고위원회	최고/NNG+위원회/NNG
회의에서	회의/NNG+에서/JKB
서청원·김태호	서청원/NNP+·/SP+김태호/NNP
최고위원	최고/NNG+위원/NNG
등	등/NNB
‘강경	‘/SS+강경/NNG
지도부’로부터	지도부/NNG+’/SS+로부터/JKB
향후	향후/NNG
대책에	대책/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
들을	듣/VV+을/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.409.10.1
그러나 ‘김무성-유승민 투톱’이 이렇게 당-청, 당내 갈등을 봉합하면서 동시에 야당과의 협상을 통해 공무원연금법 처리를 이끌어낼 수 있을지는 아직 미지수다.

그러나	그러나/MAJ
‘김무성-유승민	‘/SS+김무성/NNP+-/SO+유승민/NNP
투톱’이	투톱/NNG+’/SS+이/JKS
이렇게	이렇/VA+게/EC
당-청,	당-청/NNG+,/SP
당내	당내/NNG
갈등을	갈등/NNG+을/JKO
봉합하면서	봉합/NNG+하/XSV+면서/EC
동시에	동시/NNG+에/JKB
야당과의	야당/NNG+과/JKB+의/JKG
협상을	협상/NNG+을/JKO
통해	통하/VV+아/EC
공무원연금법	공무원/NNG+연금법/NNG
처리를	처리/NNG+를/JKO
이끌어낼	이끌/VV+어/EC+내/VX+ㄹ/ETM
수	수/NNB
있을지는	있/VA+을지/EF+는/JX
아직	아직/MAG
미지수다.	미지수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.409.10.2
청와대와 친박의 강력한 반발을 잠재우기 위해 ‘50% 명문화 불가론’을 고수할 경우 야당이 협상의 판을 깰 상황이고, ‘50% 명문화’를 받아들이면 청와대와 친박의 반대를 정면으로 뚫어내야 하기 때문이다.

청와대와	청와대/NNP+와/JC
친박의	친/XPN+박/NNP+의/JKG
강력한	강력/NNG+하/XSA+ㄴ/ETM
반발을	반발/NNG+을/JKO
잠재우기	잠재우/VV+기/ETN
위해	위하/VV+아/EC
‘50%	‘/SS+50/SN+%/SW
명문화	명문/NNG+화/XSN
불가론’을	불가/NNG+론/XSN+’/SS+을/JKO
고수할	고수/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
야당이	야당/NNG+이/JKS
협상의	협상/NNG+의/JKG
판을	판/NNG+을/JKO
깰	깨/VV+ㄹ/ETM
상황이고,	상황/NNG+이/VCP+고/EC+,/SP
명문화’를	명문/NNG+화/XSN+’/SS+를/JKO
받아들이면	받아들이/VV+면/EC
반대를	반대/NNG+를/JKO
정면으로	정면/NNG+으로/JKB
뚫어내야	뚫/VV+어/EC+내/VX+어야/EC
하기	하/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.409.10.3
당 핵심 관계자는 “당·청이 함께 가고 당내 내부 분열을 막으면서, ‘50% 명문화’를 고수하는 야당을 동시에 설득하기는 어렵다”며 “지금으로선 길이 보이지 않는다”고 말했다.

당	당/NNG
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
“당·청이	“/SS+당·청/NNG+이/JKS
함께	함께/MAG
가고	가/VV+고/EC
당내	당내/NNG
내부	내부/NNG
분열을	분열/NNG+을/JKO
막으면서,	막/VV+으면서/EC+,/SP
‘50%	‘/SS+50/SN+%/SW
명문화’를	명문/NNG+화/XSN+’/SS+를/JKO
고수하는	고수/NNG+하/XSV+는/ETM
야당을	야당/NNG+을/JKO
동시에	동시/NNG+에/JKB
설득하기는	설득/NNG+하/XSV+기/ETN+는/JX
어렵다”며	어렵/VA+다/EF+”/SS+며/EC
“지금으로선	“/SS+지금/NNG+으로서/JKB+ㄴ/JX
길이	길/NNG+이/JKS
보이지	보이/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.409.11.1
한편, 이날 새정치민주연합 지도부는 최고위원회 회의에서 “새누리당은 약속을 지켜라”(문재인 대표), “새누리당의 합의 파기, 약속 불이행은 그냥 넘어갈 수 없다”(이종걸 원내대표), “사회적 합의에 앞장서서 깽판치는 친박 세력에 대해 대통령의 분명한 입장이 있어야 한다”(전병헌 최고위원) 등의 경고를 쏟아냈다.

한편,	한편/MAG+,/SP
이날	이날/NNG
새정치민주연합	새정치민주연합/NNP
지도부는	지도부/NNG+는/JX
최고위원회	최고/NNG+위원회/NNG
회의에서	회의/NNG+에서/JKB
“새누리당은	“/SS+새누리당/NNP+은/JX
약속을	약속/NNG+을/JKO
지켜라”(문재인	지키/VV+어라/EF+”/SS+(/SS+문재인/NNP
대표),	대표/NNG+)/SS+,/SP
“새누리당의	“/SS+새누리당/NNP+의/JKG
합의	합의/NNG
파기,	파기/NNG+,/SP
약속	약속/NNG
불이행은	불/XPN+이행/NNG+은/JX
그냥	그냥/MAG
넘어갈	넘어가/VV+ㄹ/ETM
수	수/NNB
없다”(이종걸	없/VA+다/EF+”/SS+(/SS+이종걸/NNP
원내대표),	원내/NNG+대표/NNG+)/SS+,/SP
“사회적	“/SS+사회/NNG+적/XSN
합의에	합의/NNG+에/JKB
앞장서서	앞장서/VV+어서/EC
깽판치는	깽판/NNG+치/VV+는/ETM
친박	친/XPN+박/NNP
세력에	세력/NNG+에/JKB
대해	대하/VV+아/EC
대통령의	대통령/NNG+의/JKG
분명한	분명/MAG+하/XSA+ㄴ/ETM
입장이	입장/NNG+이/JKS
있어야	있/VA+어야/EC
한다”(전병헌	하/VX+ㄴ다/EF+”/SS+(/SS+전병헌/NNP
최고위원)	최고/NNG+위원/NNG+)/SS
등의	등/NNB+의/JKG
경고를	경고/NNG+를/JKO
쏟아냈다.	쏟/VV+아/EC+내/VX+었/EP+다/EF+./SF


