# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.233
metadata : {}


# id : NWRW1800000028.233.1.1
‘고통의 시대’ 노래에 바치는 헌사

‘고통의	‘/SS+고통/NNG+의/JKG
가수)였던	가수/NNG+)/SS+이/VCP+었/EP+던/ETM
승미와	승미/NNP+와/JC
연우는	연우/NNP+는/JX
곧	곧/MAG
연인	연인/NNG
관계로	관계/NNG+로/JKB
발전하고,	발전/NNG+하/XSV+고/EC+,/SP
‘나’는	‘/SS+나/NP+’/SS+는/JX
승미에	승미/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
연정을	연정/NNG+을/JKO
애써	애쓰/VV+어/EC
눌러	누르/VV+어/EC
감춘	감추/VV+ㄴ/ETM
채	채/NNB
그들	그/NP+들/XSN
곁을	곁/NNG+을/JKO
맴돈다.	맴돌/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.233.9.1
그러나 <기타여 네가 말해다오>에서 핵심이 되는 것이 승미를 가운데 둔 ‘나’와 연우 사이의 삼각관계는 아니다.

그러나	그러나/MAJ
<기타여	</SS+기타/NNG+여/JKV
네가	네/NP+가/JKS
말해다오>에서	말/NNG+하/XSV+아/EC+달/VX+오/EF+>/SS+에서/JKB
핵심이	핵심/NNG+이/JKC
되는	되/VV+는/ETM
것이	것/NNB+이/JKS
승미를	승미/NNP+를/JKO
가운데	가운데/NNG
둔	두/VV+ㄴ/ETM
‘나’와	‘/SS+나/NP+’/SS+와/JC
연우	연우/NNP
사이의	사이/NNG+의/JKG
삼각관계는	삼각관계/NNG+는/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000028.233.9.2
세 사람의 노래패에 뒤늦게 들어온 해금 전공 국악과 신입생 선화에게 연우가 빠져들면서 사태는 점차 파국으로 치닫는다.

세	세/MMN
사람의	사람/NNG+의/JKG
노래패에	노래패/NNG+에/JKB
뒤늦게	뒤늦/VA+게/EC
들어온	들어오/VV+ㄴ/ETM
해금	해금/NNG
전공	전공/NNG
국악과	국악과/NNG
신입생	신입/NNG+생/XSN
선화에게	선화/NNP+에게/JKB
연우가	연우/NNP+가/JKS
빠져들면서	빠지/VV+어/EC+들/VX+면서/EC
사태는	사태/NNG+는/JX
점차	점차/MAG
파국으로	파국/NNG+으로/JKB
치닫는다.	치닫/VV+는다/EF+./SF


# id : NWRW1800000028.233.9.3
결국 결혼에까지 이른 연우와 승미의 사랑이 이성에 입각한 낮의 사랑이라면, 연우와 선화의 불안하고 충동적인 사랑은 정념에 충실한 밤의 사랑으로서 그와 대비된다.

결국	결국/MAG
결혼에까지	결혼/NNG+에/JKB+까지/JX
이른	이르/VV+ㄴ/ETM
연우와	연우/NNP+와/JC
승미의	승미/NNP+의/JKG
사랑이	사랑/NNG+이/JKS
이성에	이성/NNG+에/JKB
입각한	입각/NNG+하/XSV+ㄴ/ETM
낮의	낮/NNG+의/JKG
사랑이라면,	사랑/NNG+이/VCP+라면/EC+,/SP
선화의	선화/NNP+의/JKG
불안하고	불안/NNG+하/XSA+고/EC
충동적인	충동/NNG+적/XSN+이/VCP+ㄴ/ETM
사랑은	사랑/NNG+은/JX
정념에	정념/NNG+에/JKB
충실한	충실/NNG+하/XSA+ㄴ/ETM
밤의	밤/NNG+의/JKG
사랑으로서	사랑/NNG+으로서/JKB
그와	그/NP+와/JKB
대비된다.	대비/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.233.9.4
여기에다가 나중에야 밝혀지는 연우 아비와 선화 어미의 비련의 과거가 포개지면서 극적 긴장감은 한층 배가된다.

여기에다가	여기/NP+에다가/JKB
나중에야	나중/NNG+에/JKB+야/JX
밝혀지는	밝히/VV+어/EC+지/VX+는/ETM
연우	연우/NNP
아비와	아비/NNG+와/JC
선화	선화/NNP
어미의	어미/NNG+의/JKG
비련의	비련/NNG+의/JKG
과거가	과거/NNG+가/JKS
포개지면서	포개지/VV+면서/EC
극적	극/NNG+적/XSN
긴장감은	긴장감/NNG+은/JX
한층	한층/MAG
배가된다.	배가/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.233.10.1
달아난 선화를 연우가 따르고 그 연우를 ‘나’와 승미가 쫓으면서 무대는 머나먼 칠레로 옮겨 가고, 그곳 바닷가에서 선화와 연우는 달랑 해금만을 남겨 놓은 채 끝내 종적을 감춘다.

달아난	달아나/VV+ㄴ/ETM
선화를	선화/NNP+를/JKO
연우가	연우/NNP+가/JKS
따르고	따르/VV+고/EC
그	그/MMD
연우를	연우/NNP+를/JKO
‘나’와	‘/SS+나/NP+’/SS+와/JC
승미가	승미/NNP+가/JKS
쫓으면서	쫓/VV+으면서/EC
무대는	무대/NNG+는/JX
머나먼	머나멀/VA+ㄴ/ETM
칠레로	칠레/NNP+로/JKB
옮겨	옮기/VV+어/EC
가고,	가/VX+고/EC+,/SP
그곳	그곳/NP
바닷가에서	바닷가/NNG+에서/JKB
선화와	선화/NNP+와/JC
연우는	연우/NNP+는/JX
달랑	달랑/MAG
해금만을	해금/NNG+만/JX+을/JKO
남겨	남기/VV+어/EC
놓은	놓/VX+은/ETM
채	채/NNB
끝내	끝내/MAG
종적을	종적/NNG+을/JKO
감춘다.	감추/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.233.10.2
소설은 그들이 함께 바다로 몸을 던졌을 가능성과, 죽지 않고 살아남아 낯선 시간과 공간을 견디고 있을 가능성을 두루 열어놓는다.

소설은	소설/NNG+은/JX
그들이	그/NP+들/XSN+이/JKS
함께	함께/MAG
바다로	바다/NNG+로/JKB
몸을	몸/NNG+을/JKO
던졌을	던지/VV+었/EP+을/ETM
가능성과,	가능/NNG+성/XSN+과/JC+,/SP
죽지	죽/VV+지/EC
않고	않/VX+고/EC
살아남아	살아남/VV+아/EC
낯선	낯설/VA+ㄴ/ETM
시간과	시간/NNG+과/JC
공간을	공간/NNG+을/JKO
견디고	견디/VV+고/EC
있을	있/VX+을/ETM
가능성을	가능/NNG+성/XSN+을/JKO
두루	두루/MAG
열어놓는다.	열/VV+어/EC+놓/VX+는다/EF+./SF


# id : NWRW1800000028.233.11.1
소설에는 그 자신 80년대에 연행패 민요연구회에서 노래꾼으로 활동했던 작가의 경험이 진하게 녹아 있다.

소설에는	소설/NNG+에/JKB+는/JX
그	그/MMD
자신	자신/NNG
80년대에	80/SN+년대/NNB+에/JKB
연행패	연행/NNG+패/NNG
민요연구회에서	민요/NNG+연구회/NNG+에서/JKB
노래꾼으로	노래꾼/NNG+으로/JKB
활동했던	활동/NNG+하/XSV+았/EP+던/ETM
작가의	작가/NNG+의/JKG
경험이	경험/NNG+이/JKS
진하게	진하/VA+게/EC
녹아	녹/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.233.11.2
대학 노래패의 공연과 그에 이어지는 시위와 뒤풀이, 예술과 운동 사이에서 겪는 갈등, 국악의 대중화와 현대화를 둘러싼 고민 등이 생생하게 그려진다.

대학	대학/NNG
노래패의	노래패/NNG+의/JKG
공연과	공연/NNG+과/JC
그에	그/NP+에/JKB
이어지는	이어지/VV+는/ETM
시위와	시위/NNG+와/JC
뒤풀이,	뒤풀이/NNG+,/SP
예술과	예술/NNG+과/JC
운동	운동/NNG
사이에서	사이/NNG+에서/JKB
겪는	겪/VV+는/ETM
갈등,	갈등/NNG+,/SP
국악의	국악/NNG+의/JKG
대중화와	대중/NNG+화/XSN+와/JC
현대화를	현대/NNG+화/XSN+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
고민	고민/NNG
등이	등/NNB+이/JKS
생생하게	생생하/VA+게/EC
그려진다.	그리/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.233.11.3
“노래의 힘으로 고통스러웠던 연대를 헤쳐 나올 수 있었”다는 작가가 ‘노래에 감사드리며’ 오마주처럼 쓴 소설이다.

“노래의	“/SS+노래/NNG+의/JKG
힘으로	힘/NNG+으로/JKB
고통스러웠던	고통/NNG+스럽/XSA+었/EP+던/ETM
연대를	연대/NNG+를/JKO
헤쳐	헤치/VV+어/EC
나올	나오/VV+ㄹ/ETM
수	수/NNB
있었”다는	있/VA+었/EP+”/SS+다는/ETM
작가가	작가/NNG+가/JKS
‘노래에	‘/SS+노래/NNG+에/JKB
감사드리며’	감사/NNG+드리/VV+며/EC+’/SS
오마주처럼	오마주/NNG+처럼/JKB
쓴	쓰/VV+ㄴ/ETM
소설이다.	소설/NNG+이/VCP+다/EF+./SF


