# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.200
metadata : {}


# id : NWRW1800000037.200.1.1
딸보다 어린 여중생과 성매매 파렴치 공무원 “사랑하는 사이”

딸보다	딸/NNG+보다/JKB
아들을	아들/NNG+을/JKO
키우는	키우/VV+는/ETM
이혼남이었지만	이혼남/NNG+이/VCP+었/EP+지만/EC
총각이라고	총각/NNG+이/VCP+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.200.4.7
이름도 가명을 썼고 주소도 허위로 꾸몄다.

이름도	이름/NNG+도/JX
가명을	가명/NNG+을/JKO
썼고	쓰/VV+었/EP+고/EC
주소도	주소/NNG+도/JX
허위로	허위/NNG+로/JKB
꾸몄다.	꾸미/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.200.4.8
완벽하게 신분 세탁을 해 속인 것이다.

완벽하게	완벽/NNG+하/XSA+게/EC
신분	신분/NNG
세탁을	세탁/NNG+을/JKO
해	하/VV+아/EC
속인	속이/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.200.4.9
B 양은 작은 키에 실제 나이보다 다소 어려 보이는 외모의 A 씨 말을 믿었다.

B	B/SL
양은	양/NNB+은/JX
작은	작/VA+은/ETM
키에	키/NNG+에/JKB
실제	실제/NNG
나이보다	나이/NNG+보다/JKB
다소	다소/MAG
어려	어리/VA+어/EC
보이는	보이/VV+는/ETM
외모의	외모/NNG+의/JKG
A	A/SL
씨	씨/NNB
말을	말/NNG+을/JKO
믿었다.	믿/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.200.5.1
A 씨는 토요일인 지난해 8월 18일 오전 10시경 쏘나타 승용차를 몰고 50km 정도 떨어진 B 양의 집 앞에 도착했다.

A	A/SL
씨는	씨/NNB+는/JX
토요일인	토요일/NNG+이/VCP+ㄴ/ETM
지난해	지난해/NNG
8월	8/SN+월/NNB
18일	18/SN+일/NNB
오전	오전/NNG
10시경	10/SN+시/NNB+경/XSN
쏘나타	쏘나타/NNG
승용차를	승용차/NNG+를/JKO
몰고	몰/VV+고/EC
50km	50/SN+km/SW
정도	정도/NNG
떨어진	떨어지/VV+ㄴ/ETM
B	B/SL
양의	양/NNB+의/JKG
집	집/NNG
앞에	앞/NNG+에/JKB
도착했다.	도착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.200.5.2
그는 B 양을 태운 뒤 한적한 농로 인근 비닐하우스 뒤편으로 가 성관계를 가졌다.

그는	그/NP+는/JX
B	B/SL
양을	양/NNB+을/JKO
태운	태우/VV+ㄴ/ETM
뒤	뒤/NNG
한적한	한적하/VA+ㄴ/ETM
농로	농로/NNG
인근	인근/NNG
비닐하우스	비닐하우스/NNG
뒤편으로	뒤편/NNG+으로/JKB
가	가/VV+아/EC
성관계를	성관계/NNG+를/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.200.5.3
그리고는 현금 5만 원을 건넸다.

그리고는	그리고/MAJ+는/JX
현금	현금/NNG
5만	5/SN+만/NR
원을	원/NNB+을/JKO
건넸다.	건네/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.200.5.4
A 씨는 그 뒤부터 으슥한 공원묘지 주변과 무인텔 등에서 B 양과 수차례 성관계를 가졌다.

A	A/SL
씨는	씨/NNB+는/JX
그	그/MMD
뒤부터	뒤/NNG+부터/JX
으슥한	으슥하/VA+ㄴ/ETM
공원묘지	공원묘지/NNG
주변과	주변/NNG+과/JC
무인텔	무인텔/NNG
등에서	등/NNB+에서/JKB
B	B/SL
양과	양/NNB+과/JKB
수차례	수차례/NNG
성관계를	성관계/NNG+를/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.200.5.5
A 씨는 그때마다 1만∼5만 원씩 건넸다.

A	A/SL
씨는	씨/NNB+는/JX
그때마다	그때/NNG+마다/JX
1만∼5만	1/SN+만/NR+∼/SO+5/SN+만/NR
원씩	원/NNB+씩/XSN
건넸다.	건네/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.200.6.1
B 양은 A 씨의 진짜 휴대전화번호를 알지 못해 전화를 걸지 못했다.

B	B/SL
양은	양/NNB+은/JX
A	A/SL
씨의	씨/NNB+의/JKG
진짜	진짜/NNG
휴대전화번호를	휴대/NNG+전화번호/NNG+를/JKO
알지	알/VV+지/EC
못해	못하/VX+아/EC
전화를	전화/NNG+를/JKO
걸지	걸/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.200.6.2
카카오톡이 유일한 연락 수단이었다.

카카오톡이	카카오톡/NNP+이/JKS
유일한	유일/NNG+하/XSA+ㄴ/ETM
연락	연락/NNG
수단이었다.	수단/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.200.6.3
두 사람이 주고받은 카카오톡 대화는 2만 줄가량 분량이라고 한다.

두	두/MMN
사람이	사람/NNG+이/JKS
주고받은	주고받/VV+은/ETM
카카오톡	카카오톡/NNP
대화는	대화/NNG+는/JX
2만	2/SN+만/NR
줄가량	줄/NNG+가량/XSN
분량이라고	분량/NNG+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.200.7.1
자신이 원할 때 A 씨를 만날 수 없자 B 양은 “나를 성적욕구 풀이 대상으로만 생각하는 것 아니냐”며 “일반 연인들처럼 영화도 보고 밥도 먹어야 하는 거 아니냐. 인터넷에 ‘원조교제’라는 말이 있던데 그런 거냐”고 따졌다.

자신이	자신/NNG+이/JKS
원할	원/NNG+하/XSV+ㄹ/ETM
때	때/NNG
A	A/SL
씨를	씨/NNB+를/JKO
만날	만나/VV+ㄹ/ETM
수	수/NNB
없자	없/VA+자/EC
B	B/SL
양은	양/NNB+은/JX
“나를	“/SS+나/NP+를/JKO
성적욕구	성/NNG+적/XSN+욕구/NNG
풀이	풀이/NNG
대상으로만	대상/NNG+으로/JKB+만/JX
생각하는	생각/NNG+하/XSV+는/ETM
것	것/NNB
아니냐”며	아니/VCN+냐/EF+”/SS+며/EC
“일반	“/SS+일반/NNG
연인들처럼	연인/NNG+들/XSN+처럼/JKB
영화도	영화/NNG+도/JX
보고	보/VV+고/EC
밥도	밥/NNG+도/JX
먹어야	먹/VV+어야/EC
하는	하/VX+는/ETM
거	거/NNB
아니냐.	아니/VCN+냐/EF+./SF
인터넷에	인터넷/NNG+에/JKB
‘원조교제’라는	‘/SS+원조/NNG+교제/NNG+’/SS+이/VCP+라는/ETM
말이	말/NNG+이/JKS
있던데	있/VA+던데/EC
그런	그런/MMD
거냐”고	거/NNB+이/VCP+냐/EF+”/SS+고/JKQ
따졌다.	따지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.200.7.2
그러자 A 씨는 “우리는 사랑하는 사이 아니냐. 원조교제는 나쁜 말이니 의미를 알려고 하지 마라. 너 말고도 다른 여고생 언니도 만난다. 자꾸 귀찮게 하면 그 언니를 만나겠다”고 했다.

그러자	그러/VV+자/EC
A	A/SL
씨는	씨/NNB+는/JX
“우리는	“/SS+우리/NP+는/JX
사랑하는	사랑/NNG+하/XSV+는/ETM
사이	사이/NNG
아니냐.	아니/VCN+냐/EF+./SF
원조교제는	원조/NNG+교제/NNG+는/JX
나쁜	나쁘/VA+ㄴ/ETM
말이니	말/NNG+이/VCP+니/EC
의미를	의미/NNG+를/JKO
알려고	알/VV+려고/EC
하지	하/VX+지/EC
마라.	말/VX+아라/EF+./SF
너	너/NP
말고도	말/VV+고/EC+도/JX
다른	다른/MMD
여고생	여고/NNG+생/XSN
언니도	언니/NNG+도/JX
만난다.	만나/VV+ㄴ다/EF+./SF
자꾸	자꾸/MAG
귀찮게	귀찮/VA+게/EC
하면	하/VX+면/EC
그	그/MMD
언니를	언니/NNG+를/JKO
만나겠다”고	만나/VV+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.200.8.1
A 씨가 다른 사람을 만나고 있다고 여긴 B 양은 지난해 12월 청소년상담센터(1388)를 찾아가 “여자를 떼어 달라”고 요청했다.

A	A/SL
씨가	씨/NNB+가/JKS
다른	다른/MMD
사람을	사람/NNG+을/JKO
만나고	만나/VV+고/EC
있다고	있/VX+다고/EC
여긴	여기/VV+ㄴ/ETM
B	B/SL
양은	양/NNB+은/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
청소년상담센터(1388)를	청소년/NNG+상담/NNG+센터/NNG+(/SS+1388/SN+)/SS+를/JKO
찾아가	찾아가/VV+아/EC
“여자를	“/SS+여자/NNG+를/JKO
떼어	떼/VV+어/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.200.8.2
자초지종을 들은 상담사는 B 양이 청소년 성매매를 하고 있다고 판단해 경찰에 신고했다.

자초지종을	자초지종/NNG+을/JKO
들은	듣/VV+은/ETM
상담사는	상담사/NNG+는/JX
B	B/SL
양이	양/NNB+이/JKS
청소년	청소년/NNG
성매매를	성매매/NNG+를/JKO
하고	하/VV+고/EC
있다고	있/VX+다고/EC
판단해	판단/NNG+하/XSV+아/EC
경찰에	경찰/NNG+에/JKB
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.200.9.1
수사에 나선 경찰은 A 씨의 신원을 확인하는 데만 3개월 정도 걸렸다.

수사에	수사/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
경찰은	경찰/NNG+은/JX
A	A/SL
씨의	씨/NNB+의/JKG
신원을	신원/NNG+을/JKO
확인하는	확인/NNG+하/XSV+는/ETM
데만	데/NNB+만/JX
3개월	3/SN+개월/NNB
정도	정도/NNG
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.200.9.2
신원을 확인한 경찰은 A 씨에게 두 차례 출석요구를 해 조사가 이뤄졌다.

신원을	신원/NNG+을/JKO
확인한	확인/NNG+하/XSV+ㄴ/ETM
경찰은	경찰/NNG+은/JX
A	A/SL
씨에게	씨/NNB+에게/JKB
두	두/MMN
차례	차례/NNG
출석요구를	출석/NNG+요구/NNG+를/JKO
해	하/VV+아/EC
조사가	조사/NNG+가/JKS
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.200.9.3
A 씨는 경찰조사에서 “5개월 동안 B 양과 7차례 성관계를 가졌다”고 주장했지만 B 양은 “13차례였다”고 했다.

A	A/SL
씨는	씨/NNB+는/JX
경찰조사에서	경찰/NNG+조사/NNG+에서/JKB
“5개월	“/SS+5/SN+개월/NNB
동안	동안/NNG
B	B/SL
양과	양/NNB+과/JC
7차례	7/SN+차례/NNG
성관계를	성관계/NNG+를/JKO
가졌다”고	가지/VV+었/EP+다/EF+”/SS+고/JKQ
주장했지만	주장/NNG+하/XSV+았/EP+지만/EC
양은	양/NNB+은/JX
“13차례였다”고	“/SS+13/SN+차례/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.200.9.4
또 A 씨는 “유사성행위는 없었다”라고 했지만 B 양은 “배가 아플 때는 유사성행위를 시켰다”고 진술했다.

또	또/MAG
A	A/SL
씨는	씨/NNB+는/JX
“유사성행위는	“/SS+유사/NNG+성행위/NNG+는/JX
없었다”라고	없/VA+었/EP+다/EF+”/SS+라고/JKQ
했지만	하/VV+았/EP+지만/EC
B	B/SL
양은	양/NNB+은/JX
“배가	“/SS+배/NNG+가/JKS
아플	아프/VA+ㄹ/ETM
때는	때/NNG+는/JX
유사성행위를	유사/NNG+성행위/NNG+를/JKO
시켰다”고	시키/VV+었/EP+다/EF+”/SS+고/JKQ
진술했다.	진술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.200.10.1
성관계 뒤 돈을 건넨 이유에 대해 A 씨는 “우리는 정말 사랑하는 사이였다. 사랑하기 때문에 군것질을 하라고 준 것”이라고 주장했다.

성관계	성관계/NNG
뒤	뒤/NNG
돈을	돈/NNG+을/JKO
건넨	건네/VV+ㄴ/ETM
이유에	이유/NNG+에/JKB
대해	대하/VV+아/EC
A	A/SL
씨는	씨/NNB+는/JX
“우리는	“/SS+우리/NP+는/JX
정말	정말/MAG
사랑하는	사랑/NNG+하/XSV+는/ETM
사이였다.	사이/NNG+이/VCP+었/EP+다/EF+./SF
사랑하기	사랑/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
군것질을	군것/NNG+질/XSN+을/JKO
하라고	하/VV+라고/EC
준	주/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.200.10.2
그러면서도 “내가 일하는 자치단체에는 통보하지 말아 달라”고 경찰에 부탁했다.

그러면서도	그러/VV+면서/EC+도/JX
“내가	“/SS+내/NP+가/JKS
일하는	일/NNG+하/XSV+는/ETM
자치단체에는	자치/NNG+단체/NNG+에/JKB+는/JX
통보하지	통보/NNG+하/XSV+지/EC
말아	말/VX+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
경찰에	경찰/NNG+에/JKB
부탁했다.	부탁/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.200.10.3
B 양은 경찰조사 과정에서 “A 씨가 총각인 줄 알고 결혼까지 생각했다”며 “A 씨가 모든 걸 속였다. 법 한도 내에서 처벌을 원한다”고 했다.

B	B/SL
양은	양/NNB+은/JX
경찰조사	경찰/NNG+조사/NNG
과정에서	과정/NNG+에서/JKB
“A	“/SS+A/SL
씨가	씨/NNB+가/JKS
총각인	총각/NNG+이/VCP+ㄴ/ETM
줄	줄/NNB
알고	알/VV+고/EC
결혼까지	결혼/NNG+까지/JX
생각했다”며	생각/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
모든	모든/MMN
걸	거/NNB+ㄹ/JKO
속였다.	속이/VV+었/EP+다/EF+./SF
법	법/NNG
한도	한도/NNG
내에서	내/NNB+에서/JKB
처벌을	처벌/NNG+을/JKO
원한다”고	원/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.200.11.1
경찰은 A 씨가 B 양을 상대로 유사성행위 한 차례를 포함해 모두 8차례 돈을 주고 성관계를 가진 혐의(아동·청소년 성보호에 관한 법률 위반 혐의)로 불구속 입건했다.

경찰은	경찰/NNG+은/JX
A	A/SL
씨가	씨/NNB+가/JKS
B	B/SL
양을	양/NNB+을/JKO
상대로	상대/NNG+로/JKB
유사성행위	유사/NNG+성행위/NNG
한	한/MMN
차례를	차례/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
모두	모두/MAG
8차례	8/SN+차례/NNG
돈을	돈/NNG+을/JKO
주고	주/VV+고/EC
성관계를	성관계/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
혐의(아동·청소년	혐의/NNG+(/SS+아동/NNG+·/SP+청소년/NNG
성보호에	성/NNG+보호/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률	법률/NNG
위반	위반/NNG
혐의)로	혐의/NNG+)/SS+로/JKB
불구속	불/XPN+구속/NNG
입건했다.	입건/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.200.11.2
8차례 중 4차례는 평일 근무지를 이탈했던 것으로 드러났다.

8차례	8/SN+차례/NNG
중	중/NNB
4차례는	4/SN+차례/NNG+는/JX
평일	평일/NNG
근무지를	근무지/NNG+를/JKO
이탈했던	이탈/NNG+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.200.11.3
신분 세탁까지 하며 여중생을 속인 A 씨는 ‘사랑 주장’을 하지만 돈을 주고 미성년자와 성관계를 한 것은 명백한 불법이어서 엄중한 처벌을 받을 것으로 보인다.

신분	신분/NNG
세탁까지	세탁/NNG+까지/JX
하며	하/VV+며/EC
여중생을	여중/NNG+생/XSN+을/JKO
속인	속이/VV+ㄴ/ETM
A	A/SL
씨는	씨/NNB+는/JX
‘사랑	‘/SS+사랑/NNG
주장’을	주장/NNG+’/SS+을/JKO
하지만	하/VV+지만/EC
돈을	돈/NNG+을/JKO
주고	주/VV+고/EC
미성년자와	미성년자/NNG+와/JKB
성관계를	성관계/NNG+를/JKO
한	하/VV+ㄴ/ETM
것은	것/NNB+은/JX
명백한	명백하/VA+ㄴ/ETM
불법이어서	불법/NNG+이/VCP+어서/EC
엄중한	엄중/NNG+하/XSA+ㄴ/ETM
처벌을	처벌/NNG+을/JKO
받을	받/VV+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


