# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.250
metadata : {}


# id : NWRW1800000054.250.1.1
서른셋 린지 본, 스키 세계선수권 銅… 역대 최고령 메달

서른셋	서른셋/NR
2월	2/SN+월/NNB
왼쪽	왼쪽/NNG
무릎	무릎/NNG
골절상을	골절상/NNG+을/JKO
당했던	당하/VV+았/EP+던/ETM
본은	본/NNP+은/JX
11월엔	11/SN+월/NNB+에/JKB+ㄴ/JX
오른팔이	오른팔/NNG+이/JKS
부러져	부러지/VV+어/EC
시즌	시즌/NNG
직전까지도	직전/NNG+까지/JX+도/JX
회복에	회복/NNG+에/JKB
더	더/MAG
신경을	신경/NNG+을/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.250.4.3
그가 피나는 재활 끝에 1월 말 월드컵에 복귀해 곧바로 우승하자 "역시 1인자는 다르다"는 평가가 나왔다.

그가	그/NP+가/JKS
피나는	피나/VV+는/ETM
재활	재활/NNG
끝에	끝/NNG+에/JKB
1월	1/SN+월/NNB
말	말/NNB
월드컵에	월드컵/NNG+에/JKB
복귀해	복귀/NNG+하/XSV+아/EC
곧바로	곧바로/MAG
우승하자	우승/NNG+하/XSV+자/EC
"역시	"/SS+역시/MAG
1인자는	1인자/NNG+는/JX
다르다"는	다르/VA+다/EF+"/SS+는/ETM
평가가	평가/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.250.4.4
이번 세계선수권에서 동메달을 딴 후 본은 "이제 어떤 장애물을 마주쳐도 이겨낼 수 있다고 느낀다"고 말했다.

이번	이번/NNG
세계선수권에서	세계/NNG+선수/NNG+권/XSN+에서/JKB
동메달을	동메달/NNG+을/JKO
딴	따/VV+ㄴ/ETM
후	후/NNG
본은	본/NNP+은/JX
"이제	"/SS+이제/MAG
어떤	어떤/MMD
장애물을	장애물/NNG+을/JKO
마주쳐도	마주치/VV+어도/EC
이겨낼	이기/VV+어/EC+내/VX+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
느낀다"고	느끼/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.250.5.1
본의 다음 목표는 두 가지다.

본의	본/NNP+의/JKG
다음	다음/NNG
목표는	목표/NNG+는/JX
두	두/MMN
가지다.	가지/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.250.5.2
하나는 스키 월드컵 남자 최다승 기록을 깨는 것이다.

하나는	하나/NR+는/JX
스키	스키/NNG
월드컵	월드컵/NNG
남자	남자/NNG
최다승	최/XPN+다승/NNG
기록을	기록/NNG+을/JKO
깨는	깨/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.250.5.3
스웨덴의 잉마르 스텐마르크가 기록한 86승이 최다 우승 기록이다.

스웨덴의	스웨덴/NNP+의/JKG
잉마르	잉마르/NNP
스텐마르크가	스텐마르크/NNP+가/JKS
기록한	기록/NNG+하/XSV+ㄴ/ETM
86승이	86/SN+승/NNB+이/JKS
최다	최다/NNG
우승	우승/NNG
기록이다.	기록/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.250.5.4
여자 최다승 기록(77승)은 이미 본이 갖고 있다.

여자	여자/NNG
최다승	최/XPN+다승/NNG
기록(77승)은	기록/NNG+(/SS+77/SN+승/NNB+)/SS+은/JX
이미	이미/MAG
본이	본/NNP+이/JKS
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.250.6.1
다음은 2018 평창동계올림픽이다.

다음은	다음/NNG+은/JX
2018	2018/SN
평창동계올림픽이다.	평창/NNP+동계/NNG+올림픽/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.250.6.2
숱한 부상으로 2010 밴쿠버올림픽에만 출전해 금메달을 땄던 '여제'는 평창올림픽 출전을 단단히 벼르고 있다.

숱한	숱하/VA+ㄴ/ETM
부상으로	부상/NNG+으로/JKB
2010	2010/SN
밴쿠버올림픽에만	밴쿠버/NNP+올림픽/NNG+에/JKB+만/JX
출전해	출전/NNG+하/XSV+아/EC
금메달을	금메달/NNG+을/JKO
땄던	따/VV+았/EP+던/ETM
'여제'는	'/SS+여제/NNG+'/SS+는/JX
평창올림픽	평창/NNP+올림픽/NNG
출전을	출전/NNG+을/JKO
단단히	단단히/MAG
벼르고	벼르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.250.6.3
본은 이번 세계선수권이 끝나자마자 자신의 인스타그램에 "절대 포기하지 않겠다. 내년 올림픽을 준비할 것"이라고 썼다.

본은	본/NNP+은/JX
이번	이번/NNG
세계선수권이	세계/NNG+선수/NNG+권/XSN+이/JKS
끝나자마자	끝나/VV+자마자/EC
자신의	자신/NNG+의/JKG
인스타그램에	인스타그램/NNP+에/JKB
"절대	"/SS+절대/MAG
포기하지	포기/NNG+하/XSV+지/EC
않겠다.	않/VX+겠/EP+다/EF+./SF
내년	내년/NNG
올림픽을	올림픽/NNG+을/JKO
준비할	준비/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.250.6.4
평창올림픽 홍보대사이기도 한 본은 다음 달 4일 평창에서 올림픽 테스트 이벤트를 겸해 열리는 월드컵에 출전할 예정이다.

평창올림픽	평창/NNP+올림픽/NNG
홍보대사이기도	홍보/NNG+대사/NNG+이/VCP+기/ETN+도/JX
한	하/VX+ㄴ/ETM
본은	본/NNP+은/JX
다음	다음/NNG
달	달/NNG
4일	4/SN+일/NNB
평창에서	평창/NNP+에서/JKB
올림픽	올림픽/NNG
테스트	테스트/NNG
이벤트를	이벤트/NNG+를/JKO
겸해	겸/NNB+하/XSV+아/EC
열리는	열리/VV+는/ETM
월드컵에	월드컵/NNG+에/JKB
출전할	출전/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


