# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.366
metadata : {}


# id : NWRW1800000026.366.1.1
불법학습장으로 장사하는 대학들;KBS2 '추적 60분'

불법학습장으로	불법/NNG+학습장/NNG+으로/JKB
아동복지센터,	아동/NNG+복지/NNG+센터/NNG+,/SP
폐교,	폐교/NNG+,/SP
교회	교회/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
장소에서	장소/NNG+에서/JKB
불법학습장을	불법/NNG+학습장/NNG+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
내용을	내용/NNG+을/JKO
방송할	방송/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.366.4.1
제작진에 따르면 운영자들은 불법학습장을 분교라 주장하며 고교 졸업장만 있으면 입학이 가능하고 학비의 50%에 해당하는 장학금에다 자격증도 덤으로 준다고 했다.

제작진에	제작진/NNG+에/JKB
따르면	따르/VV+면/EC
운영자들은	운영자/NNG+들/XSN+은/JX
불법학습장을	불법/NNG+학습장/NNG+을/JKO
분교라	분교/NNG+이/VCP+라/EC
주장하며	주장/NNG+하/XSV+며/EC
고교	고교/NNG
졸업장만	졸업장/NNG+만/JX
있으면	있/VA+으면/EC
입학이	입학/NNG+이/JKS
가능하고	가능/NNG+하/XSA+고/EC
학비의	학비/NNG+의/JKG
50%에	50/SN+%/SW+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
장학금에다	장학금/NNG+에다/JKB
자격증도	자격증/NNG+도/JX
덤으로	덤/NNG+으로/JKB
준다고	주/VV+ㄴ다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.366.4.2
제작진은 "확인 결과 학사관리가 허술했는데 책을 보고 시험을 치르거나 아예 학생들에게 답안지를 주기도 하고 출석관리도 전혀 이뤄지지 않았다"며 "운영자들은 자신이 직접 강의를 한다고 했지만 이들의 자질은 검증되지 않았다"고 말했다.

제작진은	제작진/NNG+은/JX
"확인	"/SS+확인/NNG
결과	결과/NNG
학사관리가	학사/NNG+관리/NNG+가/JKS
허술했는데	허술하/VA+았/EP+는데/EC
책을	책/NNG+을/JKO
보고	보/VV+고/EC
시험을	시험/NNG+을/JKO
치르거나	치르/VV+거나/EC
아예	아예/MAG
학생들에게	학생/NNG+들/XSN+에게/JKB
답안지를	답안지/NNG+를/JKO
주기도	주/VV+기/ETN+도/JX
하고	하/VX+고/EC
출석관리도	출석/NNG+관리/NNG+도/JX
전혀	전혀/MAG
이뤄지지	이뤄지/VV+지/EC
않았다"며	않/VX+았/EP+다/EF+"/SS+며/EC
"운영자들은	"/SS+운영자/NNG+들/XSN+은/JX
자신이	자신/NNG+이/JKS
직접	직접/MAG
강의를	강의/NNG+를/JKO
한다고	하/VV+ㄴ다고/EC
했지만	하/VV+았/EP+지만/EC
이들의	이/NP+들/XSN+의/JKG
자질은	자질/NNG+은/JX
검증되지	검증/NNG+되/XSV+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.366.4.3
제작진을 찾아온 제보자 윤모 교수는 "우리 학교가 아주 심각하게 학위 장사를 하고 불법적인 행위를 하고 있다"며 "돈을 받고 대학 졸업장을 준다고 보면 되는데, 이런 편법이 거듭되면 언젠가는 썩어서 폭발할 것"이라고 말했다.

제작진을	제작진/NNG+을/JKO
찾아온	찾아오/VV+ㄴ/ETM
제보자	제보자/NNG
윤모	윤/NNP+모/NP
교수는	교수/NNG+는/JX
"우리	"/SS+우리/NP
학교가	학교/NNG+가/JKS
아주	아주/MAG
심각하게	심각하/VA+게/EC
학위	학위/NNG
장사를	장사/NNG+를/JKO
하고	하/VV+고/EC
불법적인	불법/NNG+적/XSN+이/VCP+ㄴ/ETM
행위를	행위/NNG+를/JKO
있다"며	있/VX+다/EF+"/SS+며/EC
"돈을	"/SS+돈/NNG+을/JKO
받고	받/VV+고/EC
대학	대학/NNG
졸업장을	졸업장/NNG+을/JKO
준다고	주/VV+ㄴ다고/EC
보면	보/VV+면/EC
되는데,	되/VV+는데/EC+,/SP
이런	이런/MMD
편법이	편법/NNG+이/JKS
거듭되면	거듭/MAG+되/XSV+면/EC
언젠가는	언젠가/MAG+는/JX
썩어서	썩/VV+어서/EC
폭발할	폭발/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.366.5.1
제작진은 재정 위기에 처한 지방대학이 불법학습장을 운영하는 일이 많지만 관리·감독이 제대로 이뤄지고 않는다고 지적한다.

제작진은	제작진/NNG+은/JX
재정	재정/NNG
위기에	위기/NNG+에/JKB
처한	처하/VV+ㄴ/ETM
지방대학이	지방/NNG+대학/NNG+이/JKS
불법학습장을	불법/NNG+학습장/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
일이	일/NNG+이/JKS
많지만	많/VA+지만/EC
관리·감독이	관리/NNG+·/SP+감독/NNG+이/JKS
제대로	제대로/MAG
이뤄지고	이뤄지/VV+고/EC
않는다고	않/VX+는다고/EC
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.366.5.2
아울러 한국과 비슷한 문제를 겪는 일본의 사례를 통해 지방대학의 위기를 해결할 방안을 모색한다.

아울러	아울러/MAG
한국과	한국/NNP+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
문제를	문제/NNG+를/JKO
겪는	겪/VV+는/ETM
일본의	일본/NNP+의/JKG
사례를	사례/NNG+를/JKO
통해	통하/VV+아/EC
지방대학의	지방/NNG+대학/NNG+의/JKG
위기를	위기/NNG+를/JKO
해결할	해결/NNG+하/XSV+ㄹ/ETM
방안을	방안/NNG+을/JKO
모색한다.	모색/NNG+하/XSV+ㄴ다/EF+./SF


