# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.260
metadata : {}


# id : NWRW1800000052.260.1.1
제2의 이대사태…‘제2캠퍼스’ 설립 내홍 겪는 대학가

제2의	제/XPN+2/SN+의/JKG
# id : NWRW1800000052.260.3.3
지난 10일 시작된 본부 점거 농성은 이날로 11일째를 맞았다.

지난	지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
시작된	시작/NNG+되/XSV+ㄴ/ETM
본부	본부/NNG
점거	점거/NNG
농성은	농성/NNG+은/JX
이날로	이날/NNG+로/JKB
11일째를	11/SN+일/NNB+째/XSN+를/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.260.3.4
사태 수습에 나선 성낙인 서울대 총장은 전날 서울대 학생들과 동문들에게 두 차례 장문의 메시지를 보내 “학교는 급변하는 환경에 대응해 한 단계 비약하기 위해 2007년부터 시흥캠퍼스 조성 사업을 진행해왔다”며 “효율적으로 사업을 이뤄나가기 위해 노력이 필요함을 이번 사태로 절감하고 있다”고 밝혔다.

사태	사태/NNG
수습에	수습/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
성낙인	성낙인/NNP
서울대	서울대/NNP
총장은	총장/NNG+은/JX
전날	전날/NNG
학생들과	학생/NNG+들/XSN+과/JC
동문들에게	동문/NNG+들/XSN+에게/JKB
두	두/MMN
차례	차례/NNG
장문의	장문/NNG+의/JKG
메시지를	메시지/NNG+를/JKO
보내	보내/VV+어/EC
“학교는	“/SS+학교/NNG+는/JX
급변하는	급변/NNG+하/XSV+는/ETM
환경에	환경/NNG+에/JKB
대응해	대응/NNG+하/XSV+아/EC
한	한/MMN
단계	단계/NNG
비약하기	비약/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
2007년부터	2007/SN+년/NNB+부터/JX
시흥캠퍼스	시흥/NNP+캠퍼스/NNG
조성	조성/NNG
사업을	사업/NNG+을/JKO
진행해왔다”며	진행/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+”/SS+며/EC
“효율적으로	“/SS+효율/NNG+적/XSN+으로/JKB
이뤄나가기	이루/VV+어/EC+나가/VX+기/ETN
노력이	노력/NNG+이/JKS
필요함을	필요/NNG+하/XSA+ㅁ/ETN+을/JKO
이번	이번/NNG
사태로	사태/NNG+로/JKB
절감하고	절감/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.260.3.5
하지만 시흥캠퍼스를 추진하겠다는 입장은 고수하고 있다.

하지만	하지만/MAJ
시흥캠퍼스를	시흥/NNP+캠퍼스/NNG+를/JKO
추진하겠다는	추진/NNG+하/XSV+겠/EP+다는/ETM
입장은	입장/NNG+은/JX
고수하고	고수/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.260.4.1
서울대는 지난 8월22일 ‘시흥캠퍼스 추진위원회’를 구성한 뒤, 2018년 3월 개교를 목표로 시흥시와 기숙형 대학과 병원, 연구센터 등을 조성한다는 계획을 체결했다.

서울대는	서울대/NNP+는/JX
지난	지나/VV+ㄴ/ETM
8월22일	8/SN+월/NNB+22/SN+일/NNB
‘시흥캠퍼스	‘/SS+시흥/NNP+캠퍼스/NNG
추진위원회’를	추진/NNG+위원회/NNG+’/SS+를/JKO
구성한	구성/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
2018년	2018/SN+년/NNB
3월	3/SN+월/NNB
개교를	개교/NNG+를/JKO
목표로	목표/NNG+로/JKB
시흥시와	시흥시/NNP+와/JC
기숙형	기숙/NNG+형/XSN
대학과	대학/NNG+과/JC
병원,	병원/NNG+,/SP
연구센터	연구/NNG+센터/NNG
등을	등/NNB+을/JKO
조성한다는	조성/NNG+하/XSV+ㄴ다는/ETM
계획을	계획/NNG+을/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.260.4.2
하지만 학생들은 “시흥캠퍼스 사업이 학내 구성원의 의견을 배제한 채 비민주적으로 추진했고, 구체적인 활용방안이나 재정 계획이 없어 상업화가 우려 된다”는 점을 들어 계획 철회를 주장하고 있다.

하지만	하지만/MAJ
학생들은	학생/NNG+들/XSN+은/JX
“시흥캠퍼스	“/SS+시흥/NNP+캠퍼스/NNG
사업이	사업/NNG+이/JKS
학내	학내/NNG
구성원의	구성원/NNG+의/JKG
의견을	의견/NNG+을/JKO
배제한	배제/NNG+하/XSV+ㄴ/ETM
채	채/NNB
비민주적으로	비/XPN+민주/NNG+적/XSN+으로/JKB
추진했고,	추진/NNG+하/XSV+았/EP+고/EC+,/SP
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
활용방안이나	활용/NNG+방안/NNG+이나/JC
재정	재정/NNG
계획이	계획/NNG+이/JKS
없어	없/VA+어/EC
상업화가	상업/NNG+화/XSN+가/JKS
우려	우려/NNG
된다”는	되/VV+ㄴ다/EF+”/SS+는/ETM
점을	점/NNG+을/JKO
들어	들/VV+어/EC
계획	계획/NNG
철회를	철회/NNG+를/JKO
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.260.4.3
서울대 학생들의 본관 점거는 2011년 서울대 법인화 반대를 주장하며 총장실과 행정관을 점거한 이후 5년 만이다.

서울대	서울대/NNP
학생들의	학생/NNG+들/XSN+의/JKG
본관	본관/NNG
점거는	점거/NNG+는/JX
2011년	2011/SN+년/NNB
법인화	법인/NNG+화/XSN
반대를	반대/NNG+를/JKO
주장하며	주장/NNG+하/XSV+며/EC
총장실과	총장실/NNG+과/JC
행정관을	행정관/NNG+을/JKO
점거한	점거/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
5년	5/SN+년/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.260.5.1
남양주시에 제2캠퍼스 건립을 추진했던 서강대는 사업 무산 위기에 놓였다.

남양주시에	남양주시/NNP+에/JKB
제2캠퍼스	제/XPN+2/SN+캠퍼스/NNG
건립을	건립/NNG+을/JKO
추진했던	추진/NNG+하/XSV+았/EP+던/ETM
서강대는	서강대/NNP+는/JX
사업	사업/NNG
무산	무산/NNG
위기에	위기/NNG+에/JKB
놓였다.	놓이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.260.5.2
남양주시는 지난 17일 서강대 이사회에 제2캠퍼스 건립 협약 재협의를 거절한다는 회신을 보냈다.

남양주시는	남양주시/NNP+는/JX
지난	지나/VV+ㄴ/ETM
17일	17/SN+일/NNB
서강대	서강대/NNP
이사회에	이사회/NNG+에/JKB
제2캠퍼스	제/XPN+2/SN+캠퍼스/NNG
건립	건립/NNG
협약	협약/NNG
재협의를	재/XPN+협의/NNG+를/JKO
거절한다는	거절/NNG+하/XSV+ㄴ다는/ETM
회신을	회신/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.260.5.3
남양주시는 서강대 이사회가 90일 이내에 교육부에 대학 캠퍼스 이전 승인 신청 등 협약 내용을 이행해야 재논의가 가능하다고 밝혔다.

남양주시는	남양주시/NNP+는/JX
서강대	서강대/NNP
이사회가	이사회/NNG+가/JKS
90일	90/SN+일/NNB
이내에	이내/NNG+에/JKB
교육부에	교육부/NNG+에/JKB
대학	대학/NNG
캠퍼스	캠퍼스/NNG
이전	이전/NNG
승인	승인/NNG
신청	신청/NNG
등	등/NNB
협약	협약/NNG
내용을	내용/NNG+을/JKO
이행해야	이행/NNG+하/XSV+아야/EC
재논의가	재/XPN+논의/NNG+가/JKS
가능하다고	가능/NNG+하/XSA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.260.5.4
평택캠퍼스 건립을 추진 중인 성균관대도 학생들의 반발에 부딪혔다.

평택캠퍼스	평택/NNP+캠퍼스/NNG
건립을	건립/NNG+을/JKO
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
성균관대도	성균관대/NNP+도/JX
학생들의	학생/NNG+들/XSN+의/JKG
반발에	반발/NNG+에/JKB
부딪혔다.	부딪히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.260.5.5
학생들은 지난달 21일 페이스북에 ‘더 나은 성균관대 만들기’ 페이지를 개설해 평택 제3캠퍼스 추진을 막기 위한 서명운동을 진행하고 있다.

학생들은	학생/NNG+들/XSN+은/JX
지난달	지난달/NNG
21일	21/SN+일/NNB
페이스북에	페이스북/NNP+에/JKB
‘더	‘/SS+더/MAG
나은	낫/VA+은/ETM
성균관대	성균관대/NNP
만들기’	만들/VV+기/ETN+’/SS
페이지를	페이지/NNG+를/JKO
개설해	개설/NNG+하/XSV+아/EC
평택	평택/NNP
제3캠퍼스	제/XPN+3/SN+캠퍼스/NNG
추진을	추진/NNG+을/JKO
막기	막/VV+기/ETN
위한	위하/VV+ㄴ/ETM
서명운동을	서명/NNG+운동/NNG+을/JKO
진행하고	진행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


