# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.377
metadata : {}


# id : NWRW1800000033.377.1.1
민주, 환호도 잠시… 역풍 걱정 모드로

민주,	민주/NNP+,/SP
부족’	부족/NNG+’/SS
‘양보하지	‘/SS+양보/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
구태정치	구태/NNG+정치/NNG
이미지’	이미지/NNG+’/SS
등을	등/NNB+을/JKO
덮어쓰게	덮어쓰/VV+게/EC
됐다는	되/VV+었/EP+다는/ETM
점에서다.	점/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000033.377.6.3
실제로 문 후보 캠프 홈페이지에는 ‘압박해서 사퇴를 얻어내니 좋은가’, ‘차라리 박근혜 후보를 찍겠다’는 안 후보 지지자들의 글이 폭주하기도 했다.

실제로	실제로/MAG
문	문/NNP
후보	후보/NNG
캠프	캠프/NNG
홈페이지에는	홈페이지/NNG+에/JKB+는/JX
‘압박해서	‘/SS+압박/NNG+하/XSV+아서/EC
사퇴를	사퇴/NNG+를/JKO
얻어내니	얻/VV+어/EC+내/VX+니/EC
좋은가’,	좋/VA+은가/EF+’/SS+,/SP
‘차라리	‘/SS+차라리/MAG
박근혜	박근혜/NNP
후보를	후보/NNG+를/JKO
찍겠다’는	찍/VV+겠/EP+다/EF+’/SS+는/ETM
안	안/NNP
지지자들의	지지자/NNG+들/XSN+의/JKG
글이	글/NNG+이/JKS
폭주하기도	폭주/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.377.7.1
이후 민주당은 재빠르게 ‘겸손 모드’로 돌아섰다.

이후	이후/NNG
민주당은	민주당/NNP+은/JX
재빠르게	재빠르/VA+게/EC
‘겸손	‘/SS+겸손/NNG
모드’로	모드/NNG+’/SS+로/JKB
돌아섰다.	돌아서/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.377.7.2
총무국은 문자메시지로 캠프 관계자들에게 ‘개인적 의견 표명을 자제하라’는 공지를 보냈다.

총무국은	총무국/NNG+은/JX
문자메시지로	문자/NNG+메시지/NNG+로/JKB
캠프	캠프/NNG
관계자들에게	관계자/NNG+들/XSN+에게/JKB
‘개인적	‘/SS+개인/NNG+적/XSN
의견	의견/NNG
표명을	표명/NNG+을/JKO
자제하라’는	자제/NNG+하/XSV+라/EF+’/SS+는/ETM
공지를	공지/NNG+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.377.7.3
‘승부에서 이겼다’며 기뻐하는 모습을 보여서는 안 된다는 취지로 해석된다.

‘승부에서	‘/SS+승부/NNG+에서/JKB
이겼다’며	이기/VV+었/EP+다/EF+’/SS+며/EC
기뻐하는	기뻐하/VV+는/ETM
모습을	모습/NNG+을/JKO
보여서는	보이/VV+어서/EC+는/JX
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
취지로	취지/NNG+로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.377.8.1
박지원 원내대표도 트위터에 “안 후보의 결단을 존중하며 역사가 높이 평가할 것”이라면서 “민주당원 특히 의원님들은 더욱 겸손한 자세로 자중자애하자”는 글을 띄웠다.

박지원	박지원/NNP
원내대표도	원내/NNG+대표/NNG+도/JX
트위터에	트위터/NNP+에/JKB
“안	“/SS+안/NNP
후보의	후보/NNG+의/JKG
결단을	결단/NNG+을/JKO
존중하며	존중/NNG+하/XSV+며/EC
역사가	역사/NNG+가/JKS
높이	높이/MAG
평가할	평가/NNG+하/XSV+ㄹ/ETM
것”이라면서	것/NNB+”/SS+이/VCP+라면서/EC
“민주당원	“/SS+민주당원/NNG
특히	특히/MAG
의원님들은	의원/NNG+님/XSN+들/XSN+은/JX
더욱	더욱/MAG
겸손한	겸손/NNG+하/XSA+ㄴ/ETM
자세로	자세/NNG+로/JKB
자중자애하자”는	자중자애/NNG+하/XSV+자/EF+”/SS+는/JX
글을	글/NNG+을/JKO
띄웠다.	띄우/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.377.8.2
홈페이지에도 ‘미안하다’는 문 후보의 트위터 문구를 첫 화면에 넣었다.

홈페이지에도	홈페이지/NNG+에/JKB+도/JX
‘미안하다’는	‘/SS+미안/NNG+하/XSA+다/EF+’/SS+는/ETM
문	문/NNP
후보의	후보/NNG+의/JKG
트위터	트위터/NNP
문구를	문구/NNG+를/JKO
첫	첫/MMN
화면에	화면/NNG+에/JKB
넣었다.	넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.377.9.1
안 후보가 사퇴문에서 “비록 새 정치의 꿈은 잠시 미루어지겠지만”이라고 표현한 것에 대해서는 여전히 민주당을 구정치세력으로 보는 것 같아 ‘찜찜하다’는 반응이 많았다.

안	안/NNP
후보가	후보/NNG+가/JKS
사퇴문에서	사퇴문/NNG+에서/JKB
“비록	“/SS+비록/MAG
새	새/MMA
정치의	정치/NNG+의/JKG
꿈은	꿈/NNG+은/JX
잠시	잠시/MAG
미루어지겠지만”이라고	미루/VV+어/EC+지/VX+겠/EP+지만/EC+”/SS+이라고/JKQ
표현한	표현/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
대해서는	대하/VV+아서/EC+는/JX
여전히	여전히/MAG
민주당을	민주당/NNP+을/JKO
구정치세력으로	구/XPN+정치/NNG+세력/NNG+으로/JKB
보는	보/VV+는/ETM
것	것/NNB
같아	같/VA+아/EC
‘찜찜하다’는	‘/SS+찜찜하/VA+다/EF+’/SS+는/ETM
반응이	반응/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.377.9.2
문 후보 캠프 핵심 관계자는 “안 후보의 결심이 우리에게 주는 숙제가 있다.

문	문/NNP
후보	후보/NNG
캠프	캠프/NNG
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
“안	“/SS+안/NNP
후보의	후보/NNG+의/JKG
결심이	결심/NNG+이/JKS
우리에게	우리/NP+에게/JKB
주는	주/VV+는/ETM
숙제가	숙제/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.377.9.3
새 정치를 기대하는 국민들이 받을 충격과 슬픔을 충분히 헤아려야 한다는 생각”이라고 말했다.

새	새/MMA
정치를	정치/NNG+를/JKO
기대하는	기대/NNG+하/XSV+는/ETM
국민들이	국민/NNG+들/XSN+이/JKS
받을	받/VV+을/ETM
충격과	충격/NNG+과/JC
슬픔을	슬픔/NNG+을/JKO
충분히	충분히/MAG
헤아려야	헤아리/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
생각”이라고	생각/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.377.9.4
다른 관계자도 “지금은 승부에서 이겼다는 교만한 자세를 취하지 않는 것이 중요한 시점”이라고 밝혔다.

다른	다른/MMD
관계자도	관계자/NNG+도/JX
“지금은	“/SS+지금/NNG+은/JX
승부에서	승부/NNG+에서/JKB
이겼다는	이기/VV+었/EP+다는/ETM
교만한	교만/NNG+하/XSA+ㄴ/ETM
자세를	자세/NNG+를/JKO
취하지	취하/VV+지/EC
않는	않/VX+는/ETM
것이	것/NNB+이/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
시점”이라고	시점/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.377.10.1
실제로 이날 안 후보 사퇴 후 열린 선대위 회의에서는 “앞으로 안 후보 지지층을 통합하는 것이 만만치 않을 것 같다”는 우려와 함께 지지층 통합 방안이 집중적으로 논의된 것으로 알려졌다.

실제로	실제로/MAG
이날	이날/NNG
안	안/NNP
후보	후보/NNG
사퇴	사퇴/NNG
후	후/NNG
열린	열리/VV+ㄴ/ETM
선대위	선대위/NNG
회의에서는	회의/NNG+에서/JKB+는/JX
“앞으로	“/SS+앞/NNG+으로/JKB
지지층을	지지/NNG+층/XSN+을/JKO
통합하는	통합/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
만만치	만만하/VA+지/EC
않을	않/VX+을/ETM
것	것/NNB
같다”는	같/VA+다/EF+”/SS+는/ETM
우려와	우려/NNG+와/JKB
함께	함께/MAG
지지층	지지/NNG+층/XSN
통합	통합/NNG
방안이	방안/NNG+이/JKS
집중적으로	집중/NNG+적/XSN+으로/JKB
논의된	논의/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.377.11.1
문 후보도 안 후보의 사퇴 기자회견 후 2시간 40분이 지난 오후 11시경 우상호 공보단장을 통해 발표한 메시지에서 “정치혁신과 새 정치에 대한 무거운 책임을 통감한다”며 낮은 자세를 보였다.

문	문/NNP
후보도	후보/NNG+도/JX
안	안/NNP
후보의	후보/NNG+의/JKG
사퇴	사퇴/NNG
기자회견	기자/NNG+회견/NNG
후	후/NNG
2시간	2/SN+시간/NNB
40분이	40/SN+분/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
오후	오후/NNG
11시경	11/SN+시/NNB+경/XSN
우상호	우상호/NNP
공보단장을	공보단장/NNG+을/JKO
통해	통하/VV+아/EC
발표한	발표/NNG+하/XSV+ㄴ/ETM
메시지에서	메시지/NNG+에서/JKB
“정치혁신과	“/SS+정치/NNG+혁신/NNG+과/JC
새	새/MMA
정치에	정치/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
무거운	무겁/VA+ㄴ/ETM
책임을	책임/NNG+을/JKO
통감한다”며	통감/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
낮은	낮/VA+은/ETM
자세를	자세/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.377.11.2
또 “그동안 안 후보와 협의한 새정치공동선언과 경제복지정책 및 통일외교안보정책을 실현하는 데 최우선 순위를 두겠다.

또	또/MAG
“그동안	“/SS+그동안/NNG
안	안/NNP
후보와	후보/NNG+와/JKB
협의한	협의/NNG+하/XSV+ㄴ/ETM
새정치공동선언과	새/MMA+정치/NNG+공동/NNG+선언/NNG+과/JC
경제복지정책	경제/NNG+복지/NNG+정책/NNG
및	및/MAG
통일외교안보정책을	통일/NNG+외교/NNG+안보/NNG+정책/NNG+을/JKO
실현하는	실현/NNG+하/XSV+는/ETM
데	데/NNB
최우선	최/XPN+우선/NNG
순위를	순위/NNG+를/JKO
두겠다.	두/VV+겠/EP+다/EF+./SF


# id : NWRW1800000033.377.11.3
안 후보께는 정중한 예우를 갖추겠다”고 밝히며 안 후보 지지자들을 달래기 위해 노력하는 모습을 보였다.

안	안/NNP
후보께는	후보/NNG+께/JKB+는/JX
정중한	정중하/VA+ㄴ/ETM
예우를	예우/NNG+를/JKO
갖추겠다”고	갖추/VV+겠/EP+다/EF+”/SS+고/JKQ
밝히며	밝히/VV+며/EC
후보	후보/NNG
지지자들을	지지자/NNG+들/XSN+을/JKO
달래기	달래/VV+기/ETN
위해	위하/VV+아/EC
노력하는	노력/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.377.11.4
문 후보는 조만간 안 후보를 찾아 감사를 표하고 협조를 요청할 것으로 알려졌다.

문	문/NNP
후보는	후보/NNG+는/JX
조만간	조만간/MAG
안	안/NNP
후보를	후보/NNG+를/JKO
찾아	찾/VV+아/EC
감사를	감사/NNG+를/JKO
표하고	표/NNG+하/XSV+고/EC
협조를	협조/NNG+를/JKO
요청할	요청/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


