# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.65
metadata : {}


# id : NWRW1800000026.65.1.1
[제주·서울] 제주 자연산 전복, 멸종위기?;고성·신양 등 자연산 채취 2% 미만… 개발로 인한 흙탕물이 원인

[제주·서울]	[/SS+제주/NNP+·/SP+서울/NNP+]/SS
비율이	비율/NNG+이/JKS
2%	2/SN+%/SW
미만에	미만/NNG+에/JKB
그치는	그치/VV+는/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.65.4.1
전복 종묘 3만 마리(몸 길이 4㎝)를 방류한 애월 공동어장에서는 해녀 30명이 2차례에 걸쳐 모두 1705마리(225㎏)의 전복을 채취했다.

전복	전복/NNG
종묘	종묘/NNG
3만	3/SN+만/NR
마리(몸	마리/NNB+(/SS+몸/NNG
길이	길이/NNG
4㎝)를	4/SN+㎝/SW+)/SS+를/JKO
방류한	방류/NNG+하/XSV+ㄴ/ETM
애월	애월/NNP
공동어장에서는	공동/NNG+어장/NNG+에서/JKB+는/JX
해녀	해녀/NNG
30명이	30/SN+명/NNB+이/JKS
2차례에	2/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
모두	모두/MAG
1705마리(225㎏)의	1705/SN+마리/NNB+(/SS+225/SN+㎏/SW+)/SS+의/JKG
전복을	전복/NNG+을/JKO
채취했다.	채취/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.65.4.2
이 가운데 금속 꼬리표를 달아 확인할 수 있는 방류 전복이 99.3%(1693마리)였고, 자연산이 차지하는 비율은 0.7%(12마리)에 불과했다.

이	이/MMD
가운데	가운데/NNG
금속	금속/NNG
꼬리표를	꼬리표/NNG+를/JKO
달아	달/VV+아/EC
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방류	방류/NNG
전복이	전복/NNG+이/JKS
99.3%(1693마리)였고,	99/SN+./SP+3/SN+%/SW+(/SS+1693/SN+마리/NNB+)/SS+이/VCP+었/EP+고/EC+,/SP
자연산이	자연/NNG+산/XSN+이/JKS
차지하는	차지/NNG+하/XSV+는/ETM
비율은	비율/NNG+은/JX
0.7%(12마리)에	0/SN+./SP+7/SN+%/SW+(/SS+12/SN+마리/NNB+)/SS+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000026.65.5.1
고성·신양과 평대 마을 공동어장에서 잡힌 전복 944마리(118㎏), 499마리(69㎏) 가운데 자연산 비율은 고성·신양 1.91%(18마리), 평대 2.2%(11마리)뿐이었다.

고성·신양과	고성/NNP+·/SP+신양/NNP+과/JC
평대	평대/NNP
마을	마을/NNG
공동어장에서	공동/NNG+어장/NNG+에서/JKB
잡힌	잡히/VV+ㄴ/ETM
전복	전복/NNG
944마리(118㎏),	944/SN+마리/NNB+(/SS+118/SN+㎏/SW+)/SS+,/SP
499마리(69㎏)	499/SN+마리/NNB+(/SS+69/SN+㎏/SW+)/SS
가운데	가운데/NNG
자연산	자연/NNG+산/XSN
비율은	비율/NNG+은/JX
고성·신양	고성/NNP+·/SP+신양/NNP
1.91%(18마리),	1/SN+./SP+91/SN+%/SW+(/SS+18/SN+마리/NNB+)/SS+,/SP
2.2%(11마리)뿐이었다.	2/SN+./SP+2/SN+%/SW+(/SS+11/SN+마리/NNB+)/SS+뿐/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.65.6.1
연구원의 홍성완 박사는 "전복 종묘를 방류한 어장이라고 할지라도 자연산 전복이 차지하는 비율이 30% 이상은 돼야 자연산 전복의 재생산이 이뤄진다"며 "자연산 전복 비율이 2% 미만이면 멸종 위기에 있다고 할 수 있다"고 말했다.

연구원의	연구원/NNG+의/JKG
홍성완	홍성완/NNP
박사는	박사/NNG+는/JX
"전복	"/SS+전복/NNG
종묘를	종묘/NNG+를/JKO
방류한	방류/NNG+하/XSV+ㄴ/ETM
어장이라고	어장/NNG+이/VCP+라고/EC
할지라도	하/VV+ㄹ지라도/EC
자연산	자연/NNG+산/XSN
전복이	전복/NNG+이/JKS
차지하는	차지/NNG+하/XSV+는/ETM
비율이	비율/NNG+이/JKS
30%	30/SN+%/SW
이상은	이상/NNG+은/JX
돼야	되/VV+어야/EC
전복의	전복/NNG+의/JKG
재생산이	재/XPN+생산/NNG+이/JKS
이뤄진다"며	이뤄지/VV+ㄴ다/EF+"/SS+며/EC
"자연산	"/SS+자연/NNG+산/XSN
전복	전복/NNG
2%	2/SN+%/SW
미만이면	미만/NNG+이/VCP+면/EC
멸종	멸종/NNG
위기에	위기/NNG+에/JKB
있다고	있/VA+다고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.65.7.1
그는 이어 "이들 어장뿐 아니라 가파도 등 부속 섬을 제외한 대부분의 마을 공동어장에서 잡히는 전복의 자연산 비율도 10% 이하여서 문제가 심각하다"고 밝혔다.

그는	그/NP+는/JX
이어	이어/MAG
"이들	"/SS+이/NP+들/XSN
어장뿐	어장/NNG+뿐/JX
아니라	아니/VCN+라/EC
가파도	가파도/NNP
등	등/NNB
부속	부속/NNG
섬을	섬/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
대부분의	대/XPN+부분/NNG+의/JKG
마을	마을/NNG
공동어장에서	공동/NNG+어장/NNG+에서/JKB
잡히는	잡히/VV+는/ETM
전복의	전복/NNG+의/JKG
자연산	자연/NNG+산/XSN
비율도	비율/NNG+도/JX
10%	10/SN+%/SW
이하여서	이하/NNG+이/VCP+어서/EC
문제가	문제/NNG+가/JKS
심각하다"고	심각하/VA+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.65.8.1
해양수산자원 연구원은 이처럼 자연산 전복이 멸종위기까지 온 이유에 대해서는 육지부의 무분별한 개발로 발생한 흙탕물 등 부유물이 바다로 흘러들어 전복의 산란에 악영향을 주는 게 가장 큰 원인으로 추정하고 있다.

해양수산자원	해양/NNG+수산/NNG+자원/NNG
연구원은	연구원/NNG+은/JX
이처럼	이/NP+처럼/JKB
자연산	자연/NNG+산/XSN
전복이	전복/NNG+이/JKS
멸종위기까지	멸종/NNG+위기/NNG+까지/JX
온	오/VV+ㄴ/ETM
이유에	이유/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
육지부의	육지부/NNG+의/JKG
무분별한	무/XPN+분별/NNG+하/XSA+ㄴ/ETM
개발로	개발/NNG+로/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
흙탕물	흙탕물/NNG
등	등/NNB
부유물이	부유물/NNG+이/JKS
바다로	바다/NNG+로/JKB
흘러들어	흘러들/VV+어/EC
전복의	전복/NNG+의/JKG
산란에	산란/NNG+에/JKB
악영향을	악영향/NNG+을/JKO
주는	주/VV+는/ETM
게	거/NNB+이/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
원인으로	원인/NNG+으로/JKB
추정하고	추정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


