# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.371
metadata : {}


# id : NWRW1800000049.371.1.1
세번째 ‘분노의 주말’… 경기교육청, 중고생 참여 독려 논란

세번째	세/MMN+번/NNB+째/XSN
‘학생 시국선언 관련 의사표현 및 단체행동에 관한 협조’라는 제목의 공문에는 △학생의 의사표현 행위 자체를 이유로 경고나 징계 지양 △의사표현의 절차와 방법에 대한 생활인권교육 실시 등의 내용이 담겼다.

‘학생	‘/SS+학생/NNG
시국선언	시국/NNG+선언/NNG
관련	관련/NNG
의사표현	의사/NNG+표현/NNG
및	및/MAG
단체행동에	단체/NNG+행동/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
협조’라는	협조/NNG+’/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
공문에는	공문/NNG+에/JKB+는/JX
△학생의	△/SW+학생/NNG+의/JKG
행위	행위/NNG
자체를	자체/NNG+를/JKO
이유로	이유/NNG+로/JKB
경고나	경고/NNG+나/JC
징계	징계/NNG
지양	지양/NNG
△의사표현의	△/SW+의사/NNG+표현/NNG+의/JKG
절차와	절차/NNG+와/JC
방법에	방법/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
생활인권교육	생활/NNG+인권/NNG+교육/NNG
실시	실시/NNG
등의	등/NNB+의/JKG
내용이	내용/NNG+이/JKS
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.371.5.1
경기도교육청은 학생의 집회·결사 자유가 보장되는 근거로 헌법과 초중등교육법, 유엔 아동권리협약, 경기도 학생인권조례 관련 조항까지 붙임자료로 전달했다.

경기도교육청은	경기도교육청/NNP+은/JX
학생의	학생/NNG+의/JKG
집회·결사	집회/NNG+·/SP+결사/NNG
자유가	자유/NNG+가/JKS
보장되는	보장/NNG+되/XSV+는/ETM
근거로	근거/NNG+로/JKB
헌법과	헌법/NNG+과/JC
초중등교육법,	초중등/NNG+교육법/NNG+,/SP
유엔	유엔/NNP
아동권리협약,	아동/NNG+권리/NNG+협약/NNG+,/SP
경기도	경기도/NNP
학생인권조례	학생/NNG+인권/NNG+조례/NNG
관련	관련/NNG
조항까지	조항/NNG+까지/JX
붙임자료로	붙이/VV+ㅁ/ETN+자료/NNG+로/JKB
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.371.5.2
경기지역 한 학교 교장은 “안전사고 예방 차원이라지만 일부 편향된 교사들은 ‘교육청에서 공문도 왔으니 집회에 참여해도 괜찮다’는 식으로 얘기할까 봐 걱정된다”고 말했다.

경기지역	경기지역/NNP
한	한/MMN
학교	학교/NNG
교장은	교장/NNG+은/JX
“안전사고	“/SS+안전사고/NNG
예방	예방/NNG
차원이라지만	차원/NNG+이/VCP+라지만/EC
일부	일부/NNG
편향된	편향/NNG+되/XSV+ㄴ/ETM
교사들은	교사/NNG+들/XSN+은/JX
‘교육청에서	‘/SS+교육청/NNG+에서/JKB
공문도	공문/NNG+도/JX
왔으니	오/VV+았/EP+으니/EC
집회에	집회/NNG+에/JKB
참여해도	참여/NNG+하/XSV+아도/EC
괜찮다’는	괜찮/VA+다/EF+’/SS+는/ETM
식으로	식/NNB+으로/JKB
얘기할까	얘기/NNG+하/XSV+ㄹ까/EF
봐	보/VX+아/EC
걱정된다”고	걱정/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.371.6.1
전국교직원노동조합 출신이 주도하는 청소년 단체 ‘21세기 청소년공동체희망’ 측에는 중고교생 400여 명이 참가 의사를 밝혔다.

전국교직원노동조합	전국교직원노동조합/NNP
출신이	출신/NNG+이/JKS
주도하는	주도/NNG+하/XSV+는/ETM
청소년	청소년/NNG
단체	단체/NNG
‘21세기	‘/SS+21/SN+세기/NNG
청소년공동체희망’	청소년/NNG+공동체/NNG+희망/NNG+’/SS
측에는	측/NNB+에/JKB+는/JX
중고교생	중고교/NNG+생/XSN
400여	400/SN+여/XSN
명이	명/NNB+이/JKS
참가	참가/NNG
의사를	의사/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.371.6.2
이 단체는 9000원만 내면 전국 각지에서 서울로 오는 버스(왕복)를 제공하고 도시락도 주기로 했다.

이	이/MMD
단체는	단체/NNG+는/JX
9000원만	9000/SN+원/NNB+만/JX
내면	내/VV+면/EC
전국	전국/NNG
각지에서	각지/NNG+에서/JKB
서울로	서울/NNP+로/JKB
오는	오/VV+는/ETM
버스(왕복)를	버스/NNG+(/SS+왕복/NNG+)/SS+를/JKO
제공하고	제공/NNG+하/XSV+고/EC
도시락도	도시락/NNG+도/JX
주기로	주/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.371.6.3
학생들은 12일 오후 3시 서울 종로구 탑골공원에서 열리는 청소년 시국대회에 갔다가 민중총궐기 집회에 참석한다.

학생들은	학생/NNG+들/XSN+은/JX
12일	12/SN+일/NNB
오후	오후/NNG
3시	3/SN+시/NNB
서울	서울/NNP
종로구	종로구/NNP
탑골공원에서	탑골공원/NNP+에서/JKB
열리는	열리/VV+는/ETM
청소년	청소년/NNG
시국대회에	시국/NNG+대회/NNG+에/JKB
갔다가	가/VV+았/EP+다가/EC
민중총궐기	민중/NNG+총궐기/NNG
집회에	집회/NNG+에/JKB
참석한다.	참석/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.371.6.4
이 단체는 2013년 ‘전교조 탄압저지 촛불문화제’, 올해 ‘전교조 전임자 해고하는 진보교육감 각성 기자회견’ 등에 참가했다.

이	이/MMD
단체는	단체/NNG+는/JX
2013년	2013/SN+년/NNB
‘전교조	‘/SS+전교조/NNP
탄압저지	탄압/NNG+저지/NNG
촛불문화제’,	촛불/NNG+문화제/NNG+’/SS+,/SP
올해	올해/NNG
전임자	전임자/NNG
해고하는	해고/NNG+하/XSV+는/ETM
진보교육감	진보/NNG+교육감/NNG
각성	각성/NNG
기자회견’	기자/NNG+회견/NNG+’/SS
등에	등/NNB+에/JKB
참가했다.	참가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.371.7.1
교육부는 경기도교육청의 공문 발송 사실조차 모르고 있었고 집회 참가 학생 수도 파악하지 못하고 있다.

교육부는	교육부/NNG+는/JX
경기도교육청의	경기도교육청/NNP+의/JKG
공문	공문/NNG
발송	발송/NNG
사실조차	사실/NNG+조차/JX
모르고	모르/VV+고/EC
있었고	있/VX+었/EP+고/EC
집회	집회/NNG
참가	참가/NNG
학생	학생/NNG
수도	수/NNG+도/JX
파악하지	파악/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.371.7.2
교육부 관계자는 “학생들이 부모 몰래 서울로 갈 때 안전 문제도 있는데 교육청에서 면죄부를 주는 식의 공문을 보내 사실상 참여를 독려하는 건 적절치 않다”고 말했다.

교육부	교육부/NNG
관계자는	관계자/NNG+는/JX
“학생들이	“/SS+학생/NNG+들/XSN+이/JKS
부모	부모/NNG
몰래	몰래/MAG
서울로	서울/NNP+로/JKB
갈	가/VV+ㄹ/ETM
때	때/NNG
안전	안전/NNG
문제도	문제/NNG+도/JX
있는데	있/VA+는데/EC
교육청에서	교육청/NNG+에서/JKB
면죄부를	면죄부/NNG+를/JKO
주는	주/VV+는/ETM
식의	식/NNB+의/JKG
공문을	공문/NNG+을/JKO
보내	보내/VV+어/EC
사실상	사실/NNG+상/XSN
참여를	참여/NNG+를/JKO
독려하는	독려/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
적절치	적절하/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.371.7.3
그러나 “공문 내려 보낸 걸 취소하라고 할 수도 없다”, “21세기 청소년공동체희망의 활동도 알고 있지만 학생들 참여를 막거나 숫자를 파악하는 건 불가능하다”고 했다.

그러나	그러나/MAJ
“공문	“/SS+공문/NNG
내려	내리/VV+어/EC
보낸	보내/VV+ㄴ/ETM
걸	거/NNB+ㄹ/JKO
취소하라고	취소/NNG+하/XSV+라고/EC
할	하/VV+ㄹ/ETM
수도	수/NNB+도/JX
없다”,	없/VA+다/EF+”/SS+,/SP
“21세기	“/SS+21/SN+세기/NNG
청소년공동체희망의	청소년/NNG+공동체/NNG+희망/NNG+의/JKG
활동도	활동/NNG+도/JX
알고	알/VV+고/EC
있지만	있/VX+지만/EC
학생들	학생/NNG+들/XSN
참여를	참여/NNG+를/JKO
막거나	막/VV+거나/EC
숫자를	숫자/NNG+를/JKO
파악하는	파악/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
불가능하다”고	불/XPN+가능/NNG+하/XSA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.371.7.4
하윤수 한국교원단체총연합회 회장은 “교육은 정치적 중립을 지켜야 하는데, 특정 집단에서 버스를 대절하는 방식으로 학생들을 집회에 동원하는 건 옳지 못하다”고 말했다.

하윤수	하윤수/NNP
한국교원단체총연합회	한국교원단체총연합회/NNP
회장은	회장/NNG+은/JX
“교육은	“/SS+교육/NNG+은/JX
정치적	정치/NNG+적/XSN
중립을	중립/NNG+을/JKO
지켜야	지키/VV+어야/EC
하는데,	하/VX+는데/EC+,/SP
특정	특정/NNG
집단에서	집단/NNG+에서/JKB
버스를	버스/NNG+를/JKO
대절하는	대절/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
학생들을	학생/NNG+들/XSN+을/JKO
집회에	집회/NNG+에/JKB
동원하는	동원/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
옳지	옳/VA+지/EC
못하다”고	못하/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.371.8.1
이준식 사회부총리 겸 교육부 장관은 11일 정부서울청사에서 기자회견을 열고 “합법적이고 평화로운 집회가 될 수 있도록 뜻을 모아 주시기 바란다”고 밝혔다.

이준식	이준식/NNP
사회부총리	사회/NNG+부총리/NNG
겸	겸/NNB
교육부	교육부/NNG
장관은	장관/NNG+은/JX
11일	11/SN+일/NNB
정부서울청사에서	정부서울청사/NNP+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
“합법적이고	“/SS+합법/NNG+적/XSN+이/VCP+고/EC
평화로운	평화/NNG+롭/XSA+ㄴ/ETM
집회가	집회/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
뜻을	뜻/NNG+을/JKO
모아	모으/VV+아/EC
주시기	주/VX+시/EP+기/ETN
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.371.8.2
홍윤식 행정자치부 장관은 “대규모 인파로 혼잡해 안전사고가 우려되니 각별히 유념해 달라”며 “정부도 미아보호소를 운영하고 응급 인력을 배치하는 등 안전사고 대비에 만전을 기하겠다”고 말했다.

홍윤식	홍윤식/NNP
행정자치부	행정/NNG+자치부/NNG
장관은	장관/NNG+은/JX
“대규모	“/SS+대/XPN+규모/NNG
인파로	인파/NNG+로/JKB
혼잡해	혼잡/NNG+하/XSA+아/EC
안전사고가	안전사고/NNG+가/JKS
우려되니	우려/NNG+되/XSV+니/EC
각별히	각별히/MAG
유념해	유념/NNG+하/XSV+아/EC
달라”며	달/VX+라/EF+”/SS+며/EC
“정부도	“/SS+정부/NNG+도/JX
미아보호소를	미아보호소/NNG+를/JKO
운영하고	운영/NNG+하/XSV+고/EC
응급	응급/NNG
인력을	인력/NNG+을/JKO
배치하는	배치/NNG+하/XSV+는/ETM
등	등/NNB
안전사고	안전사고/NNG
대비에	대비/NNG+에/JKB
만전을	만전/NNG+을/JKO
기하겠다”고	기하/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.371.9.1
일단 경찰은 도심 행진을 조건부로 허용했다.

일단	일단/MAG
경찰은	경찰/NNG+은/JX
도심	도심/NNG
행진을	행진/NNG+을/JKO
조건부로	조건/NNG+부/XSN+로/JKB
허용했다.	허용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.371.9.2
주최 측인 민중총궐기 투쟁본부는 서울광장에서 청와대로 진입하는 길목인 종로구 내자동 로터리까지 이르는 4개 경로 등 총 5개 경로의 행진을 신고했다.

주최	주최/NNG
측인	측/NNB+이/VCP+ㄴ/ETM
민중총궐기	민중/NNG+총궐기/NNG
투쟁본부는	투쟁/NNG+본부/NNG+는/JX
서울광장에서	서울광장/NNP+에서/JKB
청와대로	청와대/NNP+로/JKB
진입하는	진입/NNG+하/XSV+는/ETM
길목인	길목/NNG+이/VCP+ㄴ/ETM
종로구	종로구/NNP
내자동	내자동/NNP
로터리까지	로터리/NNG+까지/JX
이르는	이르/VV+는/ETM
4개	4/SN+개/NNB
경로	경로/NNG
등	등/NNB
총	총/MMA
5개	5/SN+개/NNB
경로의	경로/NNG+의/JKG
행진을	행진/NNG+을/JKO
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.371.9.3
경찰은 그중 마로니에공원 쪽을 지나는 경로는 행진을 허용하고 청와대 방면 경로 4곳은 내자동 로터리를 지나는 율곡로 남쪽까지만 행진하도록 제한 통고를 내렸다.

경찰은	경찰/NNG+은/JX
그중	그중/NNG
마로니에공원	마로니에공원/NNP
쪽을	쪽/NNB+을/JKO
지나는	지나/VV+는/ETM
경로는	경로/NNG+는/JX
행진을	행진/NNG+을/JKO
허용하고	허용/NNG+하/XSV+고/EC
청와대	청와대/NNP
방면	방면/NNG
경로	경로/NNG
4곳은	4/SN+곳/NNG+은/JX
내자동	내자동/NNP
로터리를	로터리/NNG+를/JKO
율곡로	율곡로/NNP
남쪽까지만	남쪽/NNG+까지/JX+만/JX
행진하도록	행진/NNG+하/XSV+도록/EC
제한	제한/NNG
통고를	통고/NNG+를/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.371.9.4
주최 측은 “청와대에서 200m 거리인 청운효자동주민센터까지는 아니더라도 청와대 방면으로 들어가는 길목인 경복궁역 삼거리까지는 행진하겠다”고 밝혔다.

주최	주최/NNG
측은	측/NNB+은/JX
“청와대에서	“/SS+청와대/NNP+에서/JKB
200m	200/SN+m/SW
거리인	거리/NNG+이/VCP+ㄴ/ETM
청운효자동주민센터까지는	청운효자동주민센터/NNP+까지/JX+는/JX
아니더라도	아니/VCN+더라도/EC
청와대	청와대/NNP
방면으로	방면/NNG+으로/JKB
들어가는	들어가/VV+는/ETM
길목인	길목/NNG+이/VCP+ㄴ/ETM
경복궁역	경복궁역/NNP
삼거리까지는	삼거리/NNG+까지/JX+는/JX
행진하겠다”고	행진/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.371.9.5
해당 구역이 각각 종로, 서대문, 을지로 등을 거치는 경로여서 행진 시간대에 이 일대 차량 통행은 사실상 불가능할 것으로 보인다.

해당	해당/NNG
구역이	구역/NNG+이/JKS
각각	각각/MAG
종로,	종로/NNP+,/SP
서대문,	서대문/NNP+,/SP
을지로	을지로/NNP
등을	등/NNB+을/JKO
거치는	거치/VV+는/ETM
경로여서	경로/NNG+이/VCP+어서/EC
행진	행진/NNG
시간대에	시간대/NNG+에/JKB
이	이/MMD
일대	일대/NNG
차량	차량/NNG
통행은	통행/NNG+은/JX
사실상	사실/NNG+상/XSN
불가능할	불/XPN+가능/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.371.9.6
경찰은 만약의 사태에 대비해 최후방에서는 살수차를 활용할 수도 있다고 밝혔다.

경찰은	경찰/NNG+은/JX
만약의	만약/NNG+의/JKG
사태에	사태/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
최후방에서는	최/XPN+후방/NNG+에서/JKB+는/JX
살수차를	살수차/NNG+를/JKO
활용할	활용/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다고	있/VA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.371.10.1
한편 KAIST 교수들이 개교 이후 45년 만에 처음으로 11일 시국선언을 하고 박근혜 대통령 퇴진을 요구했다.

한편	한편/MAG
KAIST	KAIST/SL
교수들이	교수/NNG+들/XSN+이/JKS
개교	개교/NNG
이후	이후/NNG
45년	45/SN+년/NNB
만에	만/NNB+에/JKB
처음으로	처음/NNG+으로/JKB
11일	11/SN+일/NNB
시국선언을	시국/NNG+선언/NNG+을/JKO
하고	하/VV+고/EC
박근혜	박근혜/NNP
대통령	대통령/NNG
퇴진을	퇴진/NNG+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.371.10.2
KAIST 교수협의회는 이날 전체 교수의 절반가량인 293명이 서명한 시국 선언문을 통해 “박근혜 대통령은 국정에서 손을 떼고 국민과 역사 앞에 진실을 밝히고 사죄해야 한다”고 밝혔다.

KAIST	KAIST/SL
교수협의회는	교수/NNG+협의회/NNG+는/JX
이날	이날/NNG
전체	전체/NNG
교수의	교수/NNG+의/JKG
절반가량인	절반/NNG+가량/XSN+이/VCP+ㄴ/ETM
293명이	293/SN+명/NNB+이/JKS
서명한	서명/NNG+하/XSV+ㄴ/ETM
시국	시국/NNG
선언문을	선언문/NNG+을/JKO
통해	통하/VV+아/EC
“박근혜	“/SS+박근혜/NNP
대통령은	대통령/NNG+은/JX
국정에서	국정/NNG+에서/JKB
손을	손/NNG+을/JKO
떼고	떼/VV+고/EC
국민과	국민/NNG+과/JC
역사	역사/NNG
앞에	앞/NNG+에/JKB
진실을	진실/NNG+을/JKO
밝히고	밝히/VV+고/EC
사죄해야	사죄/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.371.10.3
이날 울산과학기술원(UNIST)도 개교 이후 7년 만에 처음으로 시국선언을 발표했다.

이날	이날/NNG
울산과학기술원(UNIST)도	울산과학기술원/NNP+(/SS+UNIST/SL+)/SS+도/JX
개교	개교/NNG
이후	이후/NNG
7년	7/SN+년/NNB
만에	만/NNB+에/JKB
처음으로	처음/NNG+으로/JKB
시국선언을	시국/NNG+선언/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


