# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.386
metadata : {}


# id : NWRW1800000044.386.1.1
공무원연금, 65살로 지급시기 5년 늦춘다

공무원연금,	공무원/NNG+연금/NNG+,/SP
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.386.5.1
이한구 새누리당 공무원연금개혁 태스크포스(TF) 위원장은 27일 국회 정론관에서 기자회견을 열어 “저출산·고령화와 저성장의 기조 속에서 국가 미래재정 악화를 방지하고, 공무원연금의 재정건전성을 높일 필요가 있다”며 이런 내용의 공무원연금 개편안을 발표했다.

이한구	이한구/NNP
새누리당	새누리당/NNP
공무원연금개혁	공무원/NNG+연금/NNG+개혁/NNG
태스크포스(TF)	태스크포스/NNG+(/SS+TF/SL+)/SS
위원장은	위원장/NNG+은/JX
27일	27/SN+일/NNB
국회	국회/NNG
정론관에서	정론관/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“저출산·고령화와	“/SS+저/XPN+출산/NNG+·/SP+고령/NNG+화/XSN+와/JC
저성장의	저/XPN+성장/NNG+의/JKG
기조	기조/NNG
속에서	속/NNG+에서/JKB
국가	국가/NNG
미래재정	미래/NNG+재정/NNG
악화를	악화/NNG+를/JKO
방지하고,	방지/NNG+하/XSV+고/EC+,/SP
공무원연금의	공무원/NNG+연금/NNG+의/JKG
재정건전성을	재정/NNG+건전/NNG+성/XSN+을/JKO
높일	높이/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
이런	이런/MMD
내용의	내용/NNG+의/JKG
공무원연금	공무원/NNG+연금/NNG
개편안을	개편안/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.386.5.2
새누리당 개편안에는 재직중인 공무원의 경우, 현재 과세소득의 7%인 개인 기여율(납부액)을 2018년까지 10%로 올리고, 현행 1.9%인 연금지급률(연간 보수 대비 연금 비율)도 2026년까지 1.25%로 낮추는 방안을 담고 있다.

새누리당	새누리당/NNP
개편안에는	개편안/NNG+에/JKB+는/JX
재직중인	재직/NNG+중/NNB+이/VCP+ㄴ/ETM
공무원의	공무원/NNG+의/JKG
경우,	경우/NNG+,/SP
현재	현재/MAG
과세소득의	과세/NNG+소득/NNG+의/JKG
7%인	7/SN+%/SW+이/VCP+ㄴ/ETM
개인	개인/NNG
기여율(납부액)을	기여/NNG+율/XSN+(/SS+납부액/NNG+)/SS+을/JKO
2018년까지	2018/SN+년/NNB+까지/JX
10%로	10/SN+%/SW+로/JKB
올리고,	올리/VV+고/EC+,/SP
현행	현행/NNG
1.9%인	1/SN+./SP+9/SN+%/SW+이/VCP+ㄴ/ETM
연금지급률(연간	연금/NNG+지급/NNG+률/XSN+(/SS+연간/NNG
보수	보수/NNG
대비	대비/NNG
연금	연금/NNG
비율)도	비율/NNG+)/SS+도/JX
2026년까지	2026/SN+년/NNB+까지/JX
1.25%로	1/SN+./SP+25/SN+%/SW+로/JKB
낮추는	낮추/VV+는/ETM
방안을	방안/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.386.5.3
특히 연금을 산정할 때 ‘연금 가입자 평균소득’(A값)과 ‘본인의 전 재직기간 평균소득’(B값)을 50%씩 반영하도록 했다.

특히	특히/MAG
연금을	연금/NNG+을/JKO
산정할	산정/NNG+하/XSV+ㄹ/ETM
때	때/NNG
‘연금	‘/SS+연금/NNG
가입자	가입자/NNG
평균소득’(A값)과	평균/NNG+소득/NNG+’/SS+(/SS+A/SL+값/NNG+)/SS+과/JC
‘본인의	‘/SS+본인/NNG+의/JKG
전	전/MMD
재직기간	재직/NNG+기간/NNG
평균소득’(B값)을	평균/NNG+소득/NNG+’/SS+(/SS+B/SL+값/NNG+)/SS+을/JKO
50%씩	50/SN+%/SW+씩/XSN
반영하도록	반영/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.386.5.4
연금 구조를 ‘더 내고 덜 받는’ 식으로 바꾸되, 연금 가입자의 평균소득을 산정에 포함시켜 하위직은 덜 깎고 고위직은 더 많이 깎는 방식을 채택한 것이다.

연금	연금/NNG
구조를	구조/NNG+를/JKO
‘더	‘/SS+더/MAG
내고	내/VV+고/EC
덜	덜/MAG
받는’	받/VV+는/ETM+’/SS
식으로	식/NNB+으로/JKB
바꾸되,	바꾸/VV+되/EC+,/SP
가입자의	가입자/NNG+의/JKG
평균소득을	평균/NNG+소득/NNG+을/JKO
산정에	산정/NNG+에/JKB
포함시켜	포함/NNG+시키/XSV+어/EC
하위직은	하위직/NNG+은/JX
깎고	깎/VV+고/EC
고위직은	고위직/NNG+은/JX
더	더/MAG
많이	많이/MAG
깎는	깎/VV+는/ETM
방식을	방식/NNG+을/JKO
채택한	채택/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.386.6.1
이를 적용하면 30년 재직 기준으로 5급으로 시작한 공무원의 연금 수령액은 정부안보다 월 9만원이 줄어드는 반면, 9급으로 임용된 공무원은 정부안보다 8만원 늘게 된다고 새누리당은 설명했다.

이를	이/NP+를/JKO
적용하면	적용/NNG+하/XSV+면/EC
30년	30/SN+년/NNB
재직	재직/NNG
기준으로	기준/NNG+으로/JKB
5급으로	5/SN+급/NNG+으로/JKB
시작한	시작/NNG+하/XSV+ㄴ/ETM
공무원의	공무원/NNG+의/JKG
연금	연금/NNG
수령액은	수령액/NNG+은/JX
정부안보다	정부안/NNG+보다/JKB
월	월/NNG
9만원이	9/SN+만/NR+원/NNB+이/JKS
줄어드는	줄어들/VV+는/ETM
반면,	반면/NNG+,/SP
9급으로	9/SN+급/NNG+으로/JKB
임용된	임용/NNG+되/XSV+ㄴ/ETM
공무원은	공무원/NNG+은/JX
8만원	8/SN+만/NR+원/NNB
늘게	늘/VV+게/EC
된다고	되/VV+ㄴ다고/EC
새누리당은	새누리당/NNP+은/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.386.6.2
그동안 공무원연금은 본인 소득과 가입기간에 따라 연금 수령액이 결정됐다.

그동안	그동안/NNG
공무원연금은	공무원/NNG+연금/NNG+은/JX
본인	본인/NNG
소득과	소득/NNG+과/JC
가입기간에	가입/NNG+기간/NNG+에/JKB
따라	따르/VV+아/EC
연금	연금/NNG
수령액이	수령액/NNG+이/JKS
결정됐다.	결정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.386.7.1
새누리당은 국민연금과의 형평성을 맞추기 위해 공무원연금 지급 시기를 늦추는 방안도 담았다.

새누리당은	새누리당/NNP+은/JX
국민연금과의	국민연금/NNG+과/JKB+의/JKG
형평성을	형평/NNG+성/XSN+을/JKO
맞추기	맞추/VV+기/ETN
위해	위하/VV+아/EC
공무원연금	공무원/NNG+연금/NNG
지급	지급/NNG
시기를	시기/NNG+를/JKO
늦추는	늦추/VV+는/ETM
방안도	방안/NNG+도/JX
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.386.7.2
현행 60살인 연금 지급 시기를 2023년부터 순차적으로 늦춰 2031년에는 65살이 되어야 연금을 받도록 했다.

현행	현행/NNG
60살인	60/SN+살/NNB+이/VCP+ㄴ/ETM
연금	연금/NNG
지급	지급/NNG
시기를	시기/NNG+를/JKO
2023년부터	2023/SN+년/NNB+부터/JX
순차적으로	순차/NNG+적/XSN+으로/JKB
늦춰	늦추/VV+어/EC
2031년에는	2031/SN+년/NNB+에/JKB+는/JX
65살이	65/SN+살/NNB+이/JKC
되어야	되/VV+어야/EC
연금을	연금/NNG+을/JKO
받도록	받/VV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.386.7.3
이미 연금을 받고 있는 퇴직 공무원들의 경우도 평균 연금액(약 219만원)의 2배가 넘는 438만원 이상을 받는 퇴직자들은 2016년부터 10년 동안 연금액을 동결하겠다는 안을 제시했다.

이미	이미/MAG
연금을	연금/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
퇴직	퇴직/NNG
공무원들의	공무원/NNG+들/XSN+의/JKG
경우도	경우/NNG+도/JX
평균	평균/NNG
연금액(약	연금액/NNG+(/SS+약/MMA
219만원)의	219/SN+만/NR+원/NNB+)/SS+의/JKG
2배가	2/SN+배/NNG+가/JKS
넘는	넘/VV+는/ETM
438만원	438/SN+만/NR+원/NNB
이상을	이상/NNG+을/JKO
받는	받/VV+는/ETM
퇴직자들은	퇴직자/NNG+들/XSN+은/JX
2016년부터	2016/SN+년/NNB+부터/JX
10년	10/SN+년/NNB
동안	동안/NNG
연금액을	연금액/NNG+을/JKO
동결하겠다는	동결/NNG+하/XSV+겠/EP+다는/ETM
안을	안/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.386.7.4
새누리당은 이런 방식을 통해 2080년까지 연금재정을 442조원 줄일 수 있다고 밝혔다.

새누리당은	새누리당/NNP+은/JX
이런	이런/MMD
방식을	방식/NNG+을/JKO
통해	통하/VV+아/EC
2080년까지	2080/SN+년/NNB+까지/JX
연금재정을	연금/NNG+재정/NNG+을/JKO
442조원	442/SN+조/NR+원/NNB
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.386.7.5
애초 정부가 제시한 연금재정 절감액인 344조원보다 100조원가량 많다는 것이 새누리당의 설명이다.

애초	애초/NNG
정부가	정부/NNG+가/JKS
제시한	제시/NNG+하/XSV+ㄴ/ETM
연금재정	연금/NNG+재정/NNG
절감액인	절감액/NNG+이/VCP+ㄴ/ETM
344조원보다	344/SN+조/NR+원/NNB+보다/JKB
100조원가량	100/SN+조/NR+원/NNB+가량/XSN
많다는	많/VA+다는/ETM
것이	것/NNB+이/JKS
새누리당의	새누리당/NNP+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.386.8.1
2016년부터 신규 임용되는 공무원들은 공무원연금을 국민연금과 같은 수준으로 받게 된다.

2016년부터	2016/SN+년/NNB+부터/JX
신규	신규/NNG
임용되는	임용/NNG+되/XSV+는/ETM
공무원들은	공무원/NNG+들/XSN+은/JX
공무원연금을	공무원/NNG+연금/NNG+을/JKO
국민연금과	국민연금/NNG+과/JKB
같은	같/VA+은/ETM
수준으로	수준/NNG+으로/JKB
받게	받/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.386.8.2
기여율과 지급률 등의 체계를 사실상 낸 돈만큼만 받는 국민연금과 동일한 수준으로 바꾸기로 했기 때문이다.

기여율과	기여/NNG+율/XSN+과/JC
지급률	지급/NNG+률/XSN
등의	등/NNB+의/JKG
체계를	체계/NNG+를/JKO
사실상	사실/NNG+상/XSN
낸	내/VV+ㄴ/ETM
돈만큼만	돈/NNG+만큼/JKB+만/JX
받는	받/VV+는/ETM
국민연금과	국민연금/NNG+과/JC
동일한	동일/NNG+하/XSA+ㄴ/ETM
수준으로	수준/NNG+으로/JKB
바꾸기로	바꾸/VV+기/ETN+로/JKB
했기	하/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.386.9.1
새누리당은 청와대 방침에 맞춰 공무원연금 개편안 ‘연내 처리’를 목표로 강하게 입법 드라이브를 건다는 계획을 세우고 있다.

새누리당은	새누리당/NNP+은/JX
청와대	청와대/NNP
방침에	방침/NNG+에/JKB
맞춰	맞추/VV+어/EC
공무원연금	공무원/NNG+연금/NNG
개편안	개편안/NNG
‘연내	‘/SS+연내/NNG
처리’를	처리/NNG+’/SS+를/JKO
목표로	목표/NNG+로/JKB
강하게	강하/VA+게/EC
입법	입법/NNG
드라이브를	드라이브/NNG+를/JKO
건다는	걸/VV+ㄴ다는/ETM
계획을	계획/NNG+을/JKO
세우고	세우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.386.9.2
28일 의원총회를 열어 안을 확정짓고, 김무성 대표의 발의로 입법안을 국회에 제출할 예정이다.

28일	28/SN+일/NNB
의원총회를	의원/NNG+총회/NNG+를/JKO
열어	열/VV+어/EC
안을	안/NNG+을/JKO
확정짓고,	확정/NNG+짓/VV+고/EC+,/SP
김무성	김무성/NNP
대표의	대표/NNG+의/JKG
발의로	발의/NNG+로/JKB
입법안을	입법안/NNG+을/JKO
국회에	국회/NNG+에/JKB
제출할	제출/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.386.9.3
그러나 공무원노조가 강력히 반발하고 야당이 ‘속도 조절론’을 주장하고 있어 앞으로의 과정은 순탄치 않을 전망이다.

그러나	그러나/MAJ
공무원노조가	공무원/NNG+노조/NNG+가/JKS
강력히	강력히/MAG
반발하고	반발/NNG+하/XSV+고/EC
야당이	야당/NNG+이/JKS
‘속도	‘/SS+속도/NNG
조절론’을	조절/NNG+론/XSN+’/SS+을/JKO
주장하고	주장/NNG+하/XSV+고/EC
있어	있/VX+어/EC
앞으로의	앞/NNG+으로/JKB+의/JKG
과정은	과정/NNG+은/JX
순탄치	순탄하/VA+지/EC
않을	않/VX+을/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.386.9.4
새정치민주연합은 이날 “졸속 개편안”이라고 비판했다.

새정치민주연합은	새정치민주연합/NNP+은/JX
이날	이날/NNG
“졸속	“/SS+졸속/NNG
개편안”이라고	개편안/NNG+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.386.9.5
강기정 새정치연합 공적연금발전 태스크포스(TF) 위원장은 이날 국회에서 기자회견을 열어 “이번 안은 ‘하후상박’이 아닌 ‘하박상박’의 개악”이라고 말했다.

강기정	강기정/NNP
새정치연합	새정치연합/NNP
공적연금발전	공/NNG+적/XSN+연금/NNG+발전/NNG
태스크포스(TF)	태스크포스/NNG+(/SS+TF/SL+)/SS
위원장은	위원장/NNG+은/JX
이날	이날/NNG
국회에서	국회/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“이번	“/SS+이번/NNG
안은	안/NNG+은/JX
‘하후상박’이	‘/SS+하후상박/NNG+’/SS+이/JKC
아닌	아니/VCN+ㄴ/ETM
‘하박상박’의	‘/SS+하박상박/NNG+’/SS+의/JKG
개악”이라고	개악/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.386.9.6
여당 안에서도 공무원연금 개편 필요성에는 공감하지만 강도와 속도 조절이 필요하다는 지적이 나오고 있다.

여당	여당/NNG
안에서도	안/NNG+에서/JKB+도/JX
공무원연금	공무원/NNG+연금/NNG
개편	개편/NNG
필요성에는	필요/NNG+성/XSN+에/JKB+는/JX
공감하지만	공감/NNG+하/XSV+지만/EC
강도와	강도/NNG+와/JC
속도	속도/NNG
조절이	조절/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
지적이	지적/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.386.10.1
공무원노조 등 50여개 단체로 이뤄진 ‘공적연금 개악 저지를 위한 공동투쟁본부’는 이날 국회에서 기자회견을 열어 “정부는 공적연금을 없애고 사적연금 활성화에 대한 속내를 드러내고 있다”며 “국민들의 노후 보장을 위한 ‘공적연금 사회적 협의체’를 구성하라”고 요구했다.

공무원노조	공무원/NNG+노조/NNG
등	등/NNB
50여개	50/SN+여/XSN+개/NNB
단체로	단체/NNG+로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
‘공적연금	‘/SS+공/NNG+적/XSN+연금/NNG
개악	개악/NNG
저지를	저지/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
공동투쟁본부’는	공동/NNG+투쟁/NNG+본부/NNG+’/SS+는/JX
이날	이날/NNG
국회에서	국회/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“정부는	“/SS+정부/NNG+는/JX
공적연금을	공/NNG+적/XSN+연금/NNG+을/JKO
없애고	없애/VV+고/EC
사적연금	사/NNG+적/XSN+연금/NNG
활성화에	활성/NNG+화/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
속내를	속내/NNG+를/JKO
드러내고	드러내/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“국민들의	“/SS+국민/NNG+들/XSN+의/JKG
노후	노후/NNG
보장을	보장/NNG+을/JKO
사회적	사회/NNG+적/XSN
협의체’를	협의체/NNG+’/SS+를/JKO
구성하라”고	구성/NNG+하/XSV+라/EF+”/SS+고/JKQ
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


