# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.334
metadata : {}


# id : NWRW1800000038.334.1.1
朴당선인·文위원장 오늘 첫 만남… 주제는 北核

朴당선인·文위원장	朴/SH+당선인/NNG+·/SP+文/SH+위원장/NNG
회동을	회동/NNG+을/JKO
갖기로	갖/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.334.3.3
대선이 끝난지 50일 만이다.

대선이	대선/NNG+이/JKS
끝난지	끝나/VV+ㄴ지/EC
50일	50/SN+일/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.334.3.4
이번 회의가 박 당선인이 대선 때 공약했던 국가지도자연석회의로 이어질지 주목된다.

이번	이번/NNG
회의가	회의/NNG+가/JKS
박	박/NNP
당선인이	당선인/NNG+이/JKS
대선	대선/NNG
때	때/NNG
공약했던	공약/NNG+하/XSV+았/EP+던/ETM
국가지도자연석회의로	국가/NNG+지도자/NNG+연석회의/NNG+로/JKB
이어질지	이어지/VV+ㄹ지/EC
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.334.4.1
◇朴, '여의도 정치' 시동

◇朴,	◇/SW+朴/SH+,/SP
'여의도	'/SS+여의도/NNP
정치'	정치/NNG+'/SS
시동	시동/NNG


# id : NWRW1800000038.334.5.1
조윤선 당선인 대변인은 이날 오전 인수위에서 "지금 북한의 핵실험 위협으로 한반도의 안보가 심각하게 위협받고 있는 상황"이라며 "박 당선인은 북핵 문제와 한반도 안보 상황에 대해 자신과 여야가 함께하는 긴급회의를 제안한다"고 밝혔다.

조윤선	조윤선/NNP
당선인	당선인/NNG
대변인은	대변인/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
인수위에서	인수위/NNG+에서/JKB
"지금	"/SS+지금/MAG
북한의	북한/NNP+의/JKG
핵실험	핵/NNG+실험/NNG
위협으로	위협/NNG+으로/JKB
한반도의	한반도/NNP+의/JKG
안보가	안보/NNG+가/JKS
심각하게	심각하/VA+게/EC
위협받고	위협/NNG+받/XSV+고/EC
있는	있/VX+는/ETM
상황"이라며	상황/NNG+"/SS+이/VCP+라며/EC
"박	"/SS+박/NNP
당선인은	당선인/NNG+은/JX
북핵	북핵/NNG
문제와	문제/NNG+와/JC
한반도	한반도/NNP
안보	안보/NNG
상황에	상황/NNG+에/JKB
대해	대하/VV+아/EC
자신과	자신/NNG+과/JC
여야가	여야/NNG+가/JKS
함께하는	함께/MAG+하/XSV+는/ETM
긴급회의를	긴급회의/NNG+를/JKO
제안한다"고	제안/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.334.5.2
박 당선인 측 관계자는 "지금 현 정부와 차기 정부의 담당자들이 호흡을 잘 맞춰 대응을 하고 있지만, 북핵 실험 위협이 줄지 않는 현 상황에서 이제는 여야와도 함께 머리를 맞대고 협의해야 한다는 게 당선인의 생각"이라고 했다.

박	박/NNP
당선인	당선인/NNG
측	측/NNB
관계자는	관계자/NNG+는/JX
"지금	"/SS+지금/MAG
현	현/MMD
정부와	정부/NNG+와/JC
차기	차기/NNG
정부의	정부/NNG+의/JKG
담당자들이	담당자/NNG+들/XSN+이/JKS
호흡을	호흡/NNG+을/JKO
잘	잘/MAG
맞춰	맞추/VV+어/EC
대응을	대응/NNG+을/JKO
하고	하/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
북핵	북핵/NNG
실험	실험/NNG
위협이	위협/NNG+이/JKS
줄지	줄/VV+지/EC
않는	않/VX+는/ETM
상황에서	상황/NNG+에서/JKB
이제는	이제/NNG+는/JX
여야와도	여야/NNG+와/JKB+도/JX
함께	함께/MAG
머리를	머리/NNG+를/JKO
맞대고	맞대/VV+고/EC
협의해야	협의/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
게	거/NNB+이/JKS
당선인의	당선인/NNG+의/JKG
생각"이라고	생각/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.334.5.3
안보 위기 상황에서 정치권이 초당적으로 단합할 필요가 있다는 것이다.

안보	안보/NNG
위기	위기/NNG
상황에서	상황/NNG+에서/JKB
정치권이	정치/NNG+권/XSN+이/JKS
초당적으로	초당/NNG+적/XSN+으로/JKB
단합할	단합/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.334.6.1
정치권에선 박 당선인이 이번 회동을 계기로 여당뿐만 아니라 야당 의원들과 직접 접촉하는 '여의도' 정치를 본격화할 것이란 전망도 나온다.

정치권에선	정치/NNG+권/XSN+에서/JKB+ㄴ/JX
박	박/NNP
당선인이	당선인/NNG+이/JKS
이번	이번/NNG
회동을	회동/NNG+을/JKO
계기로	계기/NNG+로/JKB
여당뿐만	여당/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
야당	야당/NNG
의원들과	의원/NNG+들/XSN+과/JKB
직접	직접/MAG
접촉하는	접촉/NNG+하/XSV+는/ETM
'여의도'	'/SS+여의도/NNP+'/SS
정치를	정치/NNG+를/JKO
본격화할	본격/NNG+화/XSN+하/XSV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
전망도	전망/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.334.6.2
처음에 '북핵'을 주제로 접촉하고, 점점 다른 주제로 넓혀나가지 않겠느냐는 것이다.

처음에	처음/NNG+에/JKB
'북핵'을	'/SS+북핵/NNG+'/SS+을/JKO
주제로	주제/NNG+로/JKB
접촉하고,	접촉/NNG+하/XSV+고/EC+,/SP
점점	점점/MAG
다른	다른/MMD
넓혀나가지	넓히/VV+어/EC+나가/VX+지/EC
않겠느냐는	않/VX+겠/EP+느냐는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.334.6.3
박 당선인은 이날 새누리당 원내·외 당협위원장 워크숍에서 "앞으로 국정을 운영하면서 당과 국회를 중요한 국정의 축으로 삼을 것"이라고 했다.

박	박/NNP
당선인은	당선인/NNG+은/JX
이날	이날/NNG
새누리당	새누리당/NNP
원내·외	원내·외/NNG
당협위원장	당협/NNG+위원장/NNG
워크숍에서	워크숍/NNG+에서/JKB
"앞으로	"/SS+앞/NNG+으로/JKB
국정을	국정/NNG+을/JKO
운영하면서	운영/NNG+하/XSV+면서/EC
당과	당/NNG+과/JC
국회를	국회/NNG+를/JKO
중요한	중요/NNG+하/XSA+ㄴ/ETM
국정의	국정/NNG+의/JKG
축으로	축/NNG+으로/JKB
삼을	삼/VV+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.334.6.4
◇민주당도 북핵 실험 규탄

◇민주당도	◇/SW+민주당/NNP+도/JX
북핵	북핵/NNG
실험	실험/NNG
규탄	규탄/NNG


# id : NWRW1800000038.334.7.1
민주당 박용진 대변인은 이날 브리핑에서 "그 무엇보다도 국가안보가 중요하다고 생각하는 만큼 (박 당선인의) 제안에 대해 큰 틀에서 공감하고 구체적인 논의에 임하겠다"고 했다.

민주당	민주당/NNP
박용진	박용진/NNP
대변인은	대변인/NNG+은/JX
이날	이날/NNG
브리핑에서	브리핑/NNG+에서/JKB
"그	"/SS+그/MMD
무엇보다도	무엇/NP+보다/JKB+도/JX
국가안보가	국가/NNG+안보/NNG+가/JKS
중요하다고	중요/NNG+하/XSA+다고/EC
생각하는	생각/NNG+하/XSV+는/ETM
만큼	만큼/NNB
(박	(/SS+박/NNP
당선인의)	당선인/NNG+의/JKG+)/SS
제안에	제안/NNG+에/JKB
대해	대하/VV+아/EC
큰	크/VA+ㄴ/ETM
틀에서	틀/NNG+에서/JKB
공감하고	공감/NNG+하/XSV+고/EC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
논의에	논의/NNG+에/JKB
임하겠다"고	임하/VV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.334.7.2
북한 핵실험을 놓고 긴장감이 고조되는 상황에서 '안보 정당' 이미지를 강화하려는 마당에 박 당선인의 제의를 마다할 이유가 없다는 것이다.

북한	북한/NNP
핵실험을	핵/NNG+실험/NNG+을/JKO
놓고	놓/VV+고/EC
긴장감이	긴장감/NNG+이/JKS
고조되는	고조/NNG+되/XSV+는/ETM
상황에서	상황/NNG+에서/JKB
'안보	'/SS+안보/NNG
정당'	정당/NNG+'/SS
이미지를	이미지/NNG+를/JKO
강화하려는	강화/NNG+하/XSV+려는/ETM
마당에	마당/NNB+에/JKB
박	박/NNP
당선인의	당선인/NNG+의/JKG
제의를	제의/NNG+를/JKO
마다할	마다하/VV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다는	없/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.334.7.3
문희상 비대위원장 등 지도부는 이날 연평도를 방문해 북한의 3차 핵실험 시도를 규탄하는 '한반도 평화안보선언문'을 발표했다.

문희상	문희상/NNP
비대위원장	비대위원장/NNG
등	등/NNB
지도부는	지도부/NNG+는/JX
이날	이날/NNG
연평도를	연평도/NNP+를/JKO
방문해	방문/NNG+하/XSV+아/EC
북한의	북한/NNP+의/JKG
3차	3/SN+차/NNB
핵실험	핵/NNG+실험/NNG
시도를	시도/NNG+를/JKO
규탄하는	규탄/NNG+하/XSV+는/ETM
'한반도	'/SS+한반도/NNP
평화안보선언문'을	평화/NNG+안보/NNG+선언문/NNG+'/SS+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.334.7.4
문 위원장은 '민주당은 북한 당국의 3차 핵실험을 비롯한 한반도 동북아 평화와 안정을 위협하는 일체의 도발행위를 단호히 반대한다'는 내용을 골자로 한 선언문을 낭독했다.

문	문/NNP
위원장은	위원장/NNG+은/JX
'민주당은	'/SS+민주당/NNP+은/JX
북한	북한/NNP
당국의	당국/NNG+의/JKG
3차	3/SN+차/NNB
핵실험을	핵/NNG+실험/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
한반도	한반도/NNP
동북아	동북아/NNP
평화와	평화/NNG+와/JC
안정을	안정/NNG+을/JKO
위협하는	위협/NNG+하/XSV+는/ETM
일체의	일체/NNG+의/JKG
도발행위를	도발/NNG+행위/NNG+를/JKO
단호히	단호히/MAG
반대한다'는	반대/NNG+하/XSV+ㄴ다/EF+'/SS+는/ETM
내용을	내용/NNG+을/JKO
골자로	골자/NNG+로/JKB
한	하/VV+ㄴ/ETM
선언문을	선언문/NNG+을/JKO
낭독했다.	낭독/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.334.7.5
◇국회서 '3자 회동'으로 진행

◇국회서	◇/SW+국회/NNG+서/JKB
'3자	'/SS+3/SN+자/NNB
회동'으로	회동/NNG+'/SS+으로/JKB
진행	진행/NNG


# id : NWRW1800000038.334.8.1
7일 국회에서 열리는 이번 회의에는 박 당선인과 황우여 새누리당 대표, 문희상 민주당 비대위원장 등 3명만 참석하기로 했다.

7일	7/SN+일/NNB
국회에서	국회/NNG+에서/JKB
열리는	열리/VV+는/ETM
이번	이번/NNG
회의에는	회의/NNG+에/JKB+는/JX
박	박/NNP
당선인과	당선인/NNG+과/JC
황우여	황우여/NNP
새누리당	새누리당/NNP
대표,	대표/NNG+,/SP
문희상	문희상/NNP
민주당	민주당/NNP
비대위원장	비대위원장/NNG
등	등/NNB
3명만	3/SN+명/NNB+만/JX
참석하기로	참석/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.334.8.2
당초 박 당선인은 참석 대상으로 여야 대표, 국회 외통위원장과 양당 간사, 대통령직 인수위 외교국방통일분과 간사와 인수위원 등을 제안했지만, 민주당에선 이명박 대통령과 박 당선인, 여야 대표를 주축으로 한 4자 회동을 원했었다.

당초	당초/NNG
박	박/NNP
당선인은	당선인/NNG+은/JX
참석	참석/NNG
대상으로	대상/NNG+으로/JKB
여야	여야/NNG
대표,	대표/NNG+,/SP
국회	국회/NNG
외통위원장과	외통위원장/NNG+과/JC
양당	양당/NNG
간사,	간사/NNG+,/SP
대통령직	대통령직/NNG
인수위	인수위/NNG
외교국방통일분과	외교/NNG+국방/NNG+통일/NNG+분과/NNG
간사와	간사/NNG+와/JC
인수위원	인수/NNG+위원/NNG
등을	등/NNB+을/JKO
제안했지만,	제안/NNG+하/XSV+았/EP+지만/EC+,/SP
민주당에선	민주당/NNP+에서/JKB+ㄴ/JX
이명박	이명박/NNP
대통령과	대통령/NNG+과/JC
당선인,	당선인/NNG+,/SP
대표를	대표/NNG+를/JKO
주축으로	주축/NNG+으로/JKB
한	하/VV+ㄴ/ETM
4자	4/SN+자/NNB
회동을	회동/NNG+을/JKO
원했었다.	원/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000038.334.8.3
이에 양측이 협의를 통해 참석대상을 조정한 것이다.

이에	이/NP+에/JKB
양측이	양측/NNG+이/JKS
협의를	협의/NNG+를/JKO
통해	통하/VV+아/EC
참석대상을	참석/NNG+대상/NNG+을/JKO
조정한	조정/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.334.9.1
회의 주제는 현재로선 박 당선인이 제안했던 대로 '북핵 실험과 한반도 안보' 문제에 국한될 것으로 보인다.

회의	회의/NNG
주제는	주제/NNG+는/JX
현재로선	현재/NNG+로서/JKB+ㄴ/JX
박	박/NNP
당선인이	당선인/NNG+이/JKS
제안했던	제안/NNG+하/XSV+았/EP+던/ETM
대로	대로/NNB
'북핵	'/SS+북핵/NNG
실험과	실험/NNG+과/JC
한반도	한반도/NNP
안보'	안보/NNG+'/SS
문제에	문제/NNG+에/JKB
국한될	국한/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.334.9.2
하지만 정치권에선 "당선인과 여야 대표가 대화를 나누면서 정부조직법 문제라든지 인사청문회 문제가 자연스럽게 나올 수도 있는 것 아니냐"는 말도 나온다.

하지만	하지만/MAJ
정치권에선	정치/NNG+권/XSN+에서/JKB+ㄴ/JX
"당선인과	"/SS+당선인/NNG+과/JC
여야	여야/NNG
대표가	대표/NNG+가/JKS
대화를	대화/NNG+를/JKO
나누면서	나누/VV+면서/EC
정부조직법	정부/NNG+조직법/NNG
문제라든지	문제/NNG+이/VCP+라든지/EC
인사청문회	인사/NNG+청문회/NNG
문제가	문제/NNG+가/JKS
자연스럽게	자연/NNG+스럽/XSA+게/EC
나올	나오/VV+ㄹ/ETM
수도	수/NNB+도/JX
있는	있/VA+는/ETM
것	것/NNB
아니냐"는	아니/VCN+냐/EF+"/SS+는/ETM
말도	말/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


