# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.14
metadata : {}


# id : NWRW1800000026.14.1.1
[태평로] '파파리치(부자 아빠)' 자식들이 피우는 돈의 악취

[태평로]	[/SS+태평로/NNP+]/SS
역풍(逆風)에	역풍/NNG+(/SS+逆風/SH+)/SS+에/JKB
꺾인	꺾이/VV+ㄴ/ETM
셈인데,	셈/NNB+이/VCP+ㄴ데/EC+,/SP
논란을	논란/NNG+을/JKO
보면서	보/VV+면서/EC
그냥	그냥/MAG
방송하게	방송/NNG+하/XSV+게/EC
내버려	내버리/VV+어/EC
두어도	두/VX+어도/EC
좋지	좋/VA+지/EC
않았을까	않/VX+았/EP+을까/EF
생각해	생각/NNG+하/XSV+아/EC
보았다.	보/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.14.3.1
이들 얘기가 방송을 탔다면 그 느낌은 씁쓸한 '블랙 코미디'에 가까울 것 같다.

이들	이/NP+들/XSN
얘기가	얘기/NNG+가/JKS
방송을	방송/NNG+을/JKO
탔다면	타/VV+았/EP+다면/EC
그	그/MMD
느낌은	느낌/NNG+은/JX
씁쓸한	씁쓸하/VA+ㄴ/ETM
'블랙	'/SS+블랙/NNG
코미디'에	코미디/NNG+'/SS+에/JKB
가까울	가깝/VA+ㄹ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000026.14.3.2
사람들은 '은수저' 물고 태어난 2세들의 천박성에 혀를 차면서 돈이 많으면 뭐하나 하고 카타르시스를 느끼거나 자식 둔 부모라면 '내 아들은 저렇지 않아 다행이야' 하고 안도하지 않을까.

사람들은	사람/NNG+들/XSN+은/JX
'은수저'	'/SS+은수저/NNG+'/SS
물고	물/VV+고/EC
태어난	태어나/VV+ㄴ/ETM
2세들의	2/SN+세/NNB+들/XSN+의/JKG
천박성에	천박/NNG+성/XSN+에/JKB
혀를	혀/NNG+를/JKO
차면서	차/VV+면서/EC
돈이	돈/NNG+이/JKS
많으면	많/VA+으면/EC
뭐하나	뭐/NP+하/VV+나/EF
하고	하고/JKQ
카타르시스를	카타르시스/NNG+를/JKO
느끼거나	느끼/VV+거나/EC
자식	자식/NNG
둔	두/VV+ㄴ/ETM
부모라면	부모/NNG+이/VCP+라면/EC
'내	'/SS+나/NP+의/JKG
아들은	아들/NNG+은/JX
저렇지	저렇/VA+지/EC
않아	않/VX+아/EC
다행이야'	다행/NNG+이/VCP+야/EF+'/SS
안도하지	안도/NNG+하/XSV+지/EC
않을까.	않/VX+을까/EF+./SF


# id : NWRW1800000026.14.4.1
문제 방송의 홍보 동영상에 나온 4명의 자기소개가 맞는다면 이들의 '파파리치(papa+rich·돈 많은 아빠)'는 졸부(猝富)임에 틀림없다.

문제	문제/NNG
방송의	방송/NNG+의/JKG
홍보	홍보/NNG
동영상에	동영상/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
4명의	4/SN+명/NNB+의/JKG
자기소개가	자기소개/NNG+가/JKS
맞는다면	맞/VV+는다면/EC
이들의	이/NP+들/XSN+의/JKG
'파파리치(papa+rich·돈	'/SS+파파/NNG+리치/NNG+(/SS+papa/SL++/SW+rich/SL+·/SP+돈/NNG
많은	많/VA+은/ETM
아빠)'는	아빠/NNG+)/SS+'/SS+는/JX
졸부(猝富)임에	졸부/NNG+(/SS+猝富/SH+)/SS+이/VCP+ㅁ/ETN+에/JKB
틀림없다.	틀림없/VA+다/EF+./SF


# id : NWRW1800000026.14.4.2
정상적인 부자들은 자식을 이렇게 키우지 않는다.

정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
부자들은	부자/NNG+들/XSN+은/JX
자식을	자식/NNG+을/JKO
이렇게	이렇/VA+게/EC
키우지	키우/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000026.14.4.3
대학 시절 동창생 중에 재벌가(家) 아들이 있었지만 그는 우리와 똑같이 청바지 입고 막걸리 마시며 데모도 하면서 4년을 보냈다.

대학	대학/NNG
시절	시절/NNG
동창생	동창/NNG+생/XSN
중에	중/NNB+에/JKB
재벌가(家)	재벌가/NNG+(/SS+家/SH+)/SS
아들이	아들/NNG+이/JKS
있었지만	있/VA+었/EP+지만/EC
그는	그/NP+는/JX
우리와	우리/NP+와/JKB
똑같이	똑같이/MAG
청바지	청바지/NNG
입고	입/VV+고/EC
막걸리	막걸리/NNG
마시며	마시/VV+며/EC
데모도	데모/NNG+도/JX
하면서	하/VV+면서/EC
4년을	4/SN+년/NNB+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.14.5.1
돈은 어떻게 쓰느냐에 따라 흉기가 되기도 하고, 사람을 구하는 구명대가 되기도 한다.

돈은	돈/NNG+은/JX
어떻게	어떻/VA+게/EC
쓰느냐에	쓰/VV+느냐/EF+에/JKB
따라	따르/VV+아/EC
흉기가	흉기/NNG+가/JKC
되기도	되/VV+기/ETN+도/JX
하고,	하/VX+고/EC+,/SP
사람을	사람/NNG+을/JKO
구하는	구하/VV+는/ETM
구명대가	구명대/NNG+가/JKC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.14.5.2
문제 방송의 졸부 2세들은 돈을 쓰레기로 만들고 있었다.

문제	문제/NNG
방송의	방송/NNG+의/JKG
졸부	졸부/NNG
2세들은	2/SN+세/NNB+들/XSN+은/JX
돈을	돈/NNG+을/JKO
쓰레기로	쓰레기/NNG+로/JKB
만들고	만들/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.14.5.3
그저 먹고 마시고, 말초적 욕망을 채우기 위해 돈을 오물처럼 마구 배설하는 듯했다.

그저	그저/MAG
먹고	먹/VV+고/EC
마시고,	마시/VV+고/EC+,/SP
말초적	말초/NNG+적/XSN
욕망을	욕망/NNG+을/JKO
채우기	채우/VV+기/ETN
위해	위하/VV+아/EC
돈을	돈/NNG+을/JKO
오물처럼	오물/NNG+처럼/JKB
마구	마구/MAG
배설하는	배설/NNG+하/XSV+는/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000026.14.6.1
이들은 생각도 못했겠지만 어떤 사람들에게 돈은 '꽃'이다.

이들은	이/NP+들/XSN+은/JX
생각도	생각/NNG+도/JX
못했겠지만	못하/VX+았/EP+겠/EP+지만/EC
어떤	어떤/MMD
사람들에게	사람/NNG+들/XSN+에게/JKB
돈은	돈/NNG+은/JX
'꽃'이다.	'/SS+꽃/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000026.14.6.2
월급쟁이의 우상 박현주 미래에셋그룹 회장이 펴내 베스트셀러가 된 자서전엔 '돈은 아름다운 꽃이다'라는 제목이 붙었다.

월급쟁이의	월급/NNG+쟁이/XSN+의/JKG
우상	우상/NNG
박현주	박현주/NNP
미래에셋그룹	미래에셋그룹/NNP
회장이	회장/NNG+이/JKS
펴내	펴내/VV+어/EC
베스트셀러가	베스트셀러/NNG+가/JKC
된	되/VV+ㄴ/ETM
자서전엔	자서전/NNG+에/JKB+ㄴ/JX
'돈은	'/SS+돈/NNG+은/JX
아름다운	아름답/VA+ㄴ/ETM
꽃이다'라는	꽃/NNG+이/VCP+다/EF+'/SS+이/VCP+라는/ETM
제목이	제목/NNG+이/JKS
붙었다.	붙/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.14.6.3
이것처럼 돈의 참가치를 멋지게 표현한 말을 나는 알지 못한다.

이것처럼	이것/NP+처럼/JKB
돈의	돈/NNG+의/JKG
참가치를	참가치/NNG+를/JKO
멋지게	멋지/VA+게/EC
표현한	표현/NNG+하/XSV+ㄴ/ETM
말을	말/NNG+을/JKO
나는	나/NP+는/JX
알지	알/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.14.6.4
돈을 잘 써서 아름다운 꽃으로 피어나게 하는 사람이 진짜 부자다.

돈을	돈/NNG+을/JKO
잘	잘/MAG
써서	쓰/VV+어서/EC
아름다운	아름답/VA+ㄴ/ETM
꽃으로	꽃/NNG+으로/JKB
피어나게	피어나/VV+게/EC
하는	하/VX+는/ETM
사람이	사람/NNG+이/JKS
진짜	진짜/MAG
부자다.	부자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.14.7.1
돈이 꽃이 되면 기적 같은 일을 일으킨다.

돈이	돈/NNG+이/JKS
꽃이	꽃/NNG+이/JKC
되면	되/VV+면/EC
기적	기적/NNG
같은	같/VA+은/ETM
일을	일/NNG+을/JKO
일으킨다.	일으키/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.14.7.2
어떤 사람의 돈은 소녀 가장을 살리고, 어떤 사람의 돈은 달동네 공부방을 만든다.

어떤	어떤/MMD
사람의	사람/NNG+의/JKG
돈은	돈/NNG+은/JX
소녀	소녀/NNG
가장을	가장/NNG+을/JKO
살리고,	살리/VV+고/EC+,/SP
달동네	달동네/NNG
공부방을	공부방/NNG+을/JKO
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.14.7.3
어떤 사람이 평생 모은 재산은 장학금이 되고, 학교 교실이 되기도 한다.

어떤	어떤/MMD
사람이	사람/NNG+이/JKS
평생	평생/NNG
모은	모으/VV+ㄴ/ETM
재산은	재산/NNG+은/JX
장학금이	장학금/NNG+이/JKC
되고,	되/VV+고/EC+,/SP
학교	학교/NNG
교실이	교실/NNG+이/JKC
되기도	되/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.14.7.4
철없는 '파파리치' 2세들은 한 달 용돈 2000만원을 쓰레기처럼 소모하지만 이 돈이면 결식아동 300명이 한 달 동안 점심을 굶지 않아도 된다.

철없는	철없/VA+는/ETM
'파파리치'	'/SS+파파/NNG+리치/NNG+'/SS
2세들은	2/SN+세/NNB+들/XSN+은/JX
한	한/MMN
달	달/NNB
용돈	용돈/NNG
2000만원을	2000/SN+만/NR+원/NNB+을/JKO
쓰레기처럼	쓰레기/NNG+처럼/JKB
소모하지만	소모/NNG+하/XSV+지만/EC
이	이/MMD
돈이면	돈/NNG+이/VCP+면/EC
결식아동	결식아동/NNG
300명이	300/SN+명/NNB+이/JKS
동안	동안/NNG
점심을	점심/NNG+을/JKO
굶지	굶/VV+지/EC
않아도	않/VX+아도/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.14.8.1
부자들만 돈의 꽃을 피우는 것은 아니다.

부자들만	부자/NNG+들/XSN+만/JX
돈의	돈/NNG+의/JKG
꽃을	꽃/NNG+을/JKO
피우는	피우/VV+는/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000026.14.8.2
사회복지공동모금회의 '희망나눔 캠페인'에서 한 달여 동안 모은 1800억원의 모금엔 지금까지 600여만명이 참여했다.

사회복지공동모금회의	사회/NNG+복지/NNG+공동/NNG+모금회/NNG+의/JKG
'희망나눔	'/SS+희망/NNG+나눔/NNG
캠페인'에서	캠페인/NNG+'/SS+에서/JKB
한	한/MMN
달여	달/NNB+여/XSN
동안	동안/NNG
모은	모으/VV+ㄴ/ETM
1800억원의	1800/SN+억/NR+원/NNB+의/JKG
모금엔	모금/NNG+에/JKB+ㄴ/JX
지금까지	지금/NNG+까지/JX
600여만명이	600/SN+여/XSN+만/NR+명/NNB+이/JKS
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.14.8.3
수백만명이 ARS 전화 기부로 2000원씩 내고, 유아원 아이들이 돼지저금통을 깼으며, 노숙자와 독거(獨居)노인, 장애인 부부까지 참여해 이런 거대한 꽃을 피웠다.

수백만명이	수백만/NR+명/NNB+이/JKS
ARS	ARS/SL
전화	전화/NNG
기부로	기부/NNG+로/JKB
2000원씩	2000/SN+원/NNB+씩/XSN
내고,	내/VV+고/EC+,/SP
유아원	유아원/NNG
아이들이	아이/NNG+들/XSN+이/JKS
돼지저금통을	돼지/NNG+저금통/NNG+을/JKO
깼으며,	깨/VV+었/EP+으며/EC+,/SP
노숙자와	노숙자/NNG+와/JC
독거(獨居)노인,	독거/NNG+(/SS+獨居/SH+)/SS+노인/NNG+,/SP
장애인	장애인/NNG
부부까지	부부/NNG+까지/JX
참여해	참여/NNG+하/XSV+아/EC
이런	이런/MMD
거대한	거대/NNG+하/XSA+ㄴ/ETM
꽃을	꽃/NNG+을/JKO
피웠다.	피우/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.14.9.1
지난 연말에도 우리는 가난하고 어려운 사람의 아름다운 소식을 참 많이 들었다.

지난	지나/VV+ㄴ/ETM
연말에도	연말/NNG+에/JKB+도/JX
우리는	우리/NP+는/JX
가난하고	가난/NNG+하/XSA+고/EC
어려운	어렵/VA+ㄴ/ETM
사람의	사람/NNG+의/JKG
아름다운	아름답/VA+ㄴ/ETM
소식을	소식/NNG+을/JKO
참	참/MAG
많이	많이/MAG
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.14.9.2
진주교도소의 재소자들이 우표를 모아 보내왔고, 인천의 쪽방촌 주민들은 굴과 마늘을 까서 번 돈을 기부했다.

진주교도소의	진주교도소/NNP+의/JKG
재소자들이	재소자/NNG+들/XSN+이/JKS
우표를	우표/NNG+를/JKO
모아	모으/VV+아/EC
보내왔고,	보내오/VV+았/EP+고/EC+,/SP
인천의	인천/NNP+의/JKG
쪽방촌	쪽방촌/NNG
주민들은	주민/NNG+들/XSN+은/JX
굴과	굴/NNG+과/JC
마늘을	마늘/NNG+을/JKO
까서	까/VV+아서/EC
번	벌/VV+ㄴ/ETM
돈을	돈/NNG+을/JKO
기부했다.	기부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.14.9.3
지난해 충남 강경읍에서 가장 많이 기부를 한 사람은 셋방살이하는 44세의 생선가게 주인이었다.

지난해	지난해/NNG
충남	충남/NNP
강경읍에서	강경읍/NNP+에서/JKB
가장	가장/MAG
많이	많이/MAG
기부를	기부/NNG+를/JKO
한	하/VV+ㄴ/ETM
사람은	사람/NNG+은/JX
셋방살이하는	셋방살이/NNG+하/XSV+는/ETM
44세의	44/SN+세/NNB+의/JKG
생선가게	생선/NNG+가게/NNG
주인이었다.	주인/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.14.10.1
김밥 할머니, 국밥 아줌마, 옥탑방 노인들의 기부 행렬은 세계에서 보기 드문 한국만의 현상이다.

김밥	김밥/NNG
할머니,	할머니/NNG+,/SP
국밥	국밥/NNG
아줌마,	아줌마/NNG+,/SP
옥탑방	옥탑방/NNG
노인들의	노인/NNG+들/XSN+의/JKG
기부	기부/NNG
행렬은	행렬/NNG+은/JX
세계에서	세계/NNG+에서/JKB
보기	보/VV+기/ETN
드문	드물/VA+ㄴ/ETM
한국만의	한국/NNP+만/JX+의/JKG
현상이다.	현상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.14.10.2
할머니들은 한 푼 두 푼 모은 재산을 훌훌 다 털어 기부한 뒤 오늘도 시장 바닥에서 김밥과 국밥을 말고 있다.

할머니들은	할머니/NNG+들/XSN+은/JX
한	한/MMN
푼	푼/NNB
두	두/MMN
모은	모으/VV+ㄴ/ETM
재산을	재산/NNG+을/JKO
훌훌	훌훌/MAG
다	다/MAG
털어	털/VV+어/EC
기부한	기부/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
오늘도	오늘/NNG+도/JX
시장	시장/NNG
바닥에서	바닥/NNG+에서/JKB
김밥과	김밥/NNG+과/JC
국밥을	국밥/NNG+을/JKO
말고	말/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.14.10.3
'파파리치'를 둔 철없는 2세들은 이런 세상이 있는지 알기나 알까.

'파파리치'를	'/SS+파파/NNG+리치/NNG+'/SS+를/JKO
둔	두/VV+ㄴ/ETM
철없는	철없/VA+는/ETM
2세들은	2/SN+세/NNB+들/XSN+은/JX
이런	이런/MMD
세상이	세상/NNG+이/JKS
있는지	있/VA+는지/EC
알기나	알/VV+기/ETN+나/JX
알까.	알/VV+ㄹ까/EF+./SF


# id : NWRW1800000026.14.11.1
사실은 자식들에게 2000만원씩 용돈을 주고, 30년짜리 양주를 마시게 하는 부모가 더 밉게 느껴진다.

사실은	사실/NNG+은/JX
자식들에게	자식/NNG+들/XSN+에게/JKB
2000만원씩	2000/SN+만/NR+원/NNB+씩/XSN
용돈을	용돈/NNG+을/JKO
주고,	주/VV+고/EC+,/SP
30년짜리	30/SN+년/NNB+짜리/XSN
양주를	양주/NNG+를/JKO
마시게	마시/VV+게/EC
하는	하/VX+는/ETM
부모가	부모/NNG+가/JKS
더	더/MAG
밉게	밉/VA+게/EC
느껴진다.	느끼/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.14.11.2
이들이 세금은 제대로 냈을까.

이들이	이/NP+들/XSN+이/JKS
세금은	세금/NNG+은/JX
제대로	제대로/MAG
냈을까.	내/VV+었/EP+을까/EF+./SF


# id : NWRW1800000026.14.11.3
증여세 안 내고 10년 동안 3000만원 이상 자녀에게 돈을 주면 탈세다.

증여세	증여세/NNG
안	안/MAG
내고	내/VV+고/EC
10년	10/SN+년/NNB
동안	동안/NNG
3000만원	3000/SN+만/NR+원/NNB
이상	이상/NNG
자녀에게	자녀/NNG+에게/JKB
돈을	돈/NNG+을/JKO
주면	주/VV+면/EC
탈세다.	탈세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.14.12.1
가난한 사람들이 아름다운 돈의 꽃을 피우는 한쪽에선 졸부 2세들이 돈의 악취를 풍기고 있다.

가난한	가난/NNG+하/XSA+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
아름다운	아름답/VA+ㄴ/ETM
돈의	돈/NNG+의/JKG
꽃을	꽃/NNG+을/JKO
피우는	피우/VV+는/ETM
한쪽에선	한쪽/NNG+에서/JKB+ㄴ/JX
졸부	졸부/NNG
2세들이	2/SN+세/NNB+들/XSN+이/JKS
악취를	악취/NNG+를/JKO
풍기고	풍기/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.14.12.2
참으로 대조적인 풍경이다.

참으로	참으로/MAG
대조적인	대조/NNG+적/XSN+이/VCP+ㄴ/ETM
풍경이다.	풍경/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.14.13.1
학계서 펴낸 ''한국의 재벌''… 소유구조·혼맥등 분석

학계서	학계/NNG+서/JKB
펴낸	펴내/VV+ㄴ/ETM
''한국의	'/SS+'/SS+한국/NNP+의/JKG
재벌''…	재벌/NNG+'/SS+'/SS+…/SE
소유구조·혼맥등	소유/NNG+구조/NNG+·/SP+혼맥/NNG+등/NNB
분석	분석/NNG


