# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.220
metadata : {}


# id : NWRW1800000025.220.1.1
“세계적 골퍼 100여 명 입맛 한식만찬으로 사로잡을 것”

“세계적	“/SS+세계/NNG+적/XSN
외국인이	외국인/NNG+이/JKS
부담을	부담/NNG+을/JKO
느끼지	느끼/VV+지/EC
않으면서	않/VX+으면서/EC
한식에	한식/NNG+에/JKB
관심을	관심/NNG+을/JKO
갖게	갖/VV+게/EC
하는	하/VX+는/ETM
데	데/NNB
신경을	신경/NNG+을/JKO
쓰겠다”고	쓰/VV+겠/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.220.4.3
이 호텔은 6일 이 메뉴를 시연해 처음으로 동아일보에 공개했다.

이	이/MMD
호텔은	호텔/NNG+은/JX
6일	6/SN+일/NNB
메뉴를	메뉴/NNG+를/JKO
시연해	시연/NNG+하/XSV+아/EC
처음으로	처음/NNG+으로/JKB
동아일보에	동아일보/NNP+에/JKB
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.220.5.1
리셉션에서 제공되는 카나페(주로 칵테일과 곁들이는 작은 요리)는 대하 잣 무침, 쇠고기 꼬치, 밀쌈, 건구절 등 네 가지.

리셉션에서	리셉션/NNG+에서/JKB
제공되는	제공/NNG+되/XSV+는/ETM
카나페(주로	카나페/NNG+(/SS+주로/MAG
칵테일과	칵테일/NNG+과/JKB
곁들이는	곁들이/VV+는/ETM
작은	작/VA+은/ETM
요리)는	요리/NNG+)/SS+는/JX
대하	대하/NNG
잣	잣/NNG
무침,	무침/NNG+,/SP
쇠고기	쇠고기/NNG
꼬치,	꼬치/NNG+,/SP
밀쌈,	밀쌈/NNG+,/SP
건구절	건구절/NNG
등	등/NNB
네	네/MMN
가지.	가지/NNB+./SF


# id : NWRW1800000025.220.5.2
본격적인 한식 코스는 잡채→모둠전→불고기→흰 쌀밥과 시금치 조개 된장국→인삼캔디 등의 순이었다.

본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
한식	한식/NNG
코스는	코스/NNG+는/JX
잡채→모둠전→불고기→흰	잡채/NNG+→/SW+모둠/NNG+전/NNG+→/SW+불고기/NNG+→/SW+희/VA+ㄴ/ETM
쌀밥과	쌀밥/NNG+과/JC
시금치	시금치/NNG
조개	조개/NNG
된장국→인삼캔디	된장국/NNG+→/SW+인삼캔디/NNG
등의	등/NNB+의/JKG
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.220.5.3
잡채는 치자와 시금치 등으로 물들인 삼색 밀전병으로 한 입 크기로 말아낸 것이 눈에 띄었다.

잡채는	잡채/NNG+는/JX
치자와	치자/NNG+와/JC
시금치	시금치/NNG
등으로	등/NNB+으로/JKB
물들인	물들이/VV+ㄴ/ETM
삼색	삼색/NNG
밀전병으로	밀전병/NNG+으로/JKB
한	한/MMN
입	입/NNG
크기로	크기/NNG+로/JKB
말아낸	말/VV+아/EC+내/VX+ㄴ/ETM
것이	것/NNB+이/JKS
눈에	눈/NNG+에/JKB
띄었다.	띄/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.220.5.4
박 총주방장은 “외국인이 좋아하는 잡채는 수북하게 담으면 식사 중 자칫 지저분해 보일 수가 있어 떠올린 아이디어”라고 말했다.

박	박/NNP
총주방장은	총주방장/NNG+은/JX
“외국인이	“/SS+외국인/NNG+이/JKS
좋아하는	좋아하/VV+는/ETM
잡채는	잡채/NNG+는/JX
수북하게	수북하/VA+게/EC
담으면	담/VV+으면/EC
식사	식사/NNG
중	중/NNB
자칫	자칫/MAG
지저분해	지저분하/VA+아/EC
보일	보이/VV+ㄹ/ETM
수가	수/NNB+가/JKS
있어	있/VA+어/EC
떠올린	떠올리/VV+ㄴ/ETM
아이디어”라고	아이디어/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.220.6.1
대추와 인삼 등 ‘한국식’ 디저트의 테마는 골프와 제주.

대추와	대추/NNG+와/JC
인삼	인삼/NNG
등	등/NNB
‘한국식’	‘/SS+한국식/NNG+’/SS
디저트의	디저트/NNG+의/JKG
테마는	테마/NNG+는/JX
골프와	골프/NNG+와/JC
제주.	제주/NNP+./SF


# id : NWRW1800000025.220.6.2
수박, 멜론, 딸기를 원형으로 잘게 잘라 3단으로 얹고 그 위에 빨간색 장식물을 꽂아 그린 위 깃대를 형상화했다.

수박,	수박/NNG+,/SP
멜론,	멜론/NNG+,/SP
딸기를	딸기/NNG+를/JKO
원형으로	원형/NNG+으로/JKB
잘게	잘/VA+게/EC
잘라	자르/VV+아/EC
3단으로	3/SN+단/NNG+으로/JKB
얹고	얹/VV+고/EC
그	그/MMD
위에	위/NNG+에/JKB
빨간색	빨간색/NNG
장식물을	장식물/NNG+을/JKO
꽂아	꽂/VV+아/EC
그린	그리/VV+ㄴ/ETM
위	위/NNG
깃대를	깃대/NNG+를/JKO
형상화했다.	형상/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.220.6.3
양 선수의 고향인 제주산 감귤도 곁들였다.

양	양/NNP
선수의	선수/NNG+의/JKG
고향인	고향/NNG+이/VCP+ㄴ/ETM
제주산	제주/NNP+산/XSN
감귤도	감귤/NNG+도/JX
곁들였다.	곁들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.220.6.4
한편 10일 양 선수는 은수저와 젓가락 등을 이용해 한식을 먹는 방법을 외국인들에게 소개할 예정이다.

한편	한편/MAG
10일	10/SN+일/NNB
양	양/NNP
선수는	선수/NNG+는/JX
은수저와	은수저/NNG+와/JC
젓가락	젓가락/NNG
등을	등/NNB+을/JKO
이용해	이용/NNG+하/XSV+아/EC
한식을	한식/NNG+을/JKO
먹는	먹/VV+는/ETM
방법을	방법/NNG+을/JKO
외국인들에게	외국인/NNG+들/XSN+에게/JKB
소개할	소개/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


