# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.141
metadata : {}


# id : NWRW1800000029.141.1.1
“우리가 세계 최강” 해커들 ‘사이버 내전’

“우리가	“/SS+우리/NP+가/JKS
# id : NWRW1800000029.141.4.2
최근 소니, 닌텐도 등의 기업과 미국 연방수사국(FBI) 중앙정보국(CIA) 등을 잇달아 공격해 해커그룹의 대명사처럼 떠오른 룰즈섹에 공개적으로 선전포고를 한 것이다.

최근	최근/MAG
소니,	소니/NNP+,/SP
닌텐도	닌텐도/NNP
등의	등/NNB+의/JKG
기업과	기업/NNG+과/JC
미국	미국/NNP
연방수사국(FBI)	연방수사국/NNP+(/SS+FBI/SL+)/SS
중앙정보국(CIA)	중앙정보국/NNP+(/SS+CIA/SL+)/SS
등을	등/NNB+을/JKO
잇달아	잇달/VV+아/EC
공격해	공격/NNG+하/XSV+아/EC
해커그룹의	해커/NNG+그룹/NNG+의/JKG
대명사처럼	대명사/NNG+처럼/JKB
떠오른	떠오르/VV+ㄴ/ETM
룰즈섹에	룰즈섹/NNP+에/JKB
공개적으로	공개/NNG+적/XSN+으로/JKB
선전포고를	선전/NNG+포고/NNG+를/JKO
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.141.5.1
팀포이즌은 지난해 12월 페이스북을 해킹한 친팔레스타인 해커그룹 ‘팔레스타인 무자헤딘’과 연계돼 있는 것으로 알려졌다.

팀포이즌은	팀포이즌/NNP+은/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
페이스북을	페이스북/NNP+을/JKO
해킹한	해킹/NNG+하/XSV+ㄴ/ETM
친팔레스타인	친/XPN+팔레스타인/NNP
해커그룹	해커/NNG+그룹/NNG
‘팔레스타인	‘/SS+팔레스타인/NNP
무자헤딘’과	무자헤딘/NNP+’/SS+과/JKB
연계돼	연계/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.141.5.2
팀포이즌은 21일 네덜란드에 사는 스웨덴 웹디자이너 스벤 슬로트베그 씨를 룰즈섹의 일원으로 지목하면서 그의 웹사이트를 해킹했다.

팀포이즌은	팀포이즌/NNP+은/JX
21일	21/SN+일/NNB
네덜란드에	네덜란드/NNP+에/JKB
사는	살/VV+는/ETM
스웨덴	스웨덴/NNP
웹디자이너	웹/NNG+디자이너/NNG
스벤	스벤/NNP
슬로트베그	슬로트베그/NNP
씨를	씨/NNB+를/JKO
룰즈섹의	룰즈섹/NNP+의/JKG
일원으로	일원/NNG+으로/JKB
지목하면서	지목/NNG+하/XSV+면서/EC
그의	그/NP+의/JKG
웹사이트를	웹/NNG+사이트/NNG+를/JKO
해킹했다.	해킹/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.141.5.3
이에 앞서 또 다른 해커집단인 ‘웹닌자’도 “룰즈섹은 공공에 해악을 끼치는 범죄행위를 일삼는 집단이지 진정한 해커가 아니다”라면서 “관련자는 법의 처벌을 받아야 한다”며 룰즈섹에 대한 해킹을 공언했다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
또	또/MAG
다른	다른/MMD
해커집단인	해커/NNG+집단/NNG+이/VCP+ㄴ/ETM
‘웹닌자’도	‘/SS+웹닌자/NNP+’/SS+도/JX
“룰즈섹은	“/SS+룰즈섹/NNP+은/JX
공공에	공공/NNG+에/JKB
해악을	해악/NNG+을/JKO
끼치는	끼치/VV+는/ETM
범죄행위를	범죄/NNG+행위/NNG+를/JKO
일삼는	일삼/VV+는/ETM
집단이지	집단/NNG+이/VCP+지/EC
진정한	진정하/VA+ㄴ/ETM
해커가	해커/NNG+가/JKC
아니다”라면서	아니/VCN+다/EF+”/SS+이/VCP+라면서/EC
“관련자는	“/SS+관련자/NNG+는/JX
법의	법/NNG+의/JKG
처벌을	처벌/NNG+을/JKO
받아야	받/VV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
룰즈섹에	룰즈섹/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
해킹을	해킹/NNG+을/JKO
공언했다.	공언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.141.6.1
룰즈섹은 세계 각지의 해커들이 온라인 채팅을 통해 협업하는 방식으로 운영되는 조직이며, 정보공개를 통해 부당한 권력에 저항한다고 주장하는 위키리크스를 신봉하는 것으로 알려졌다.

룰즈섹은	룰즈섹/NNP+은/JX
세계	세계/NNG
각지의	각지/NNG+의/JKG
해커들이	해커/NNG+들/XSN+이/JKS
온라인	온라인/NNG
채팅을	채팅/NNG+을/JKO
통해	통하/VV+아/EC
협업하는	협업/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
운영되는	운영/NNG+되/XSV+는/ETM
조직이며,	조직/NNG+이/VCP+며/EC+,/SP
정보공개를	정보/NNG+공개/NNG+를/JKO
부당한	부당/NNG+하/XSA+ㄴ/ETM
권력에	권력/NNG+에/JKB
저항한다고	저항/NNG+하/XSV+ㄴ다고/EC
주장하는	주장/NNG+하/XSV+는/ETM
위키리크스를	위키리크스/NNP+를/JKO
신봉하는	신봉/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.141.6.2
룰즈섹은 23일 트위터에서 “외국인들을 탄압하는 이민법에 반대의 뜻을 천명하고자 애리조나 주 경찰의 웹사이트를 해킹해 미국-멕시코 국경경비 활동내용을 담은 경찰문서를 유출했다”고 주장했다.

룰즈섹은	룰즈섹/NNP+은/JX
23일	23/SN+일/NNB
트위터에서	트위터/NNP+에서/JKB
“외국인들을	“/SS+외국인/NNG+들/XSN+을/JKO
탄압하는	탄압/NNG+하/XSV+는/ETM
이민법에	이민법/NNG+에/JKB
반대의	반대/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
천명하고자	천명/NNG+하/XSV+고자/EC
애리조나	애리조나/NNP
주	주/NNG
경찰의	경찰/NNG+의/JKG
웹사이트를	웹/NNG+사이트/NNG+를/JKO
해킹해	해킹/NNG+하/XSV+아/EC
미국-멕시코	미국/NNP+-/SO+멕시코/NNP
국경경비	국경/NNG+경비/NNG
활동내용을	활동/NNG+내용/NNG+을/JKO
담은	담/VV+은/ETM
경찰문서를	경찰/NNG+문서/NNG+를/JKO
유출했다”고	유출/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.141.7.1
이와 관련해 24일 월스트리트저널은 ‘핵티비스트(해커와 액티비스트의 합성어) 공격자들의 내부’라는 제목의 기사에서 해커집단 가입자와 운영 방식을 해부했다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
24일	24/SN+일/NNB
월스트리트저널은	월스트리트저널/NNP+은/JX
‘핵티비스트(해커와	‘/SS+핵티비스트/NNG+(/SS+해커/NNG+와/JC
액티비스트의	액티비스트/NNG+의/JKG
합성어)	합성어/NNG+)/SS
공격자들의	공격자/NNG+들/XSN+의/JKG
내부’라는	내부/NNG+’/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
기사에서	기사/NNG+에서/JKB
해커집단	해커/NNG+집단/NNG
가입자와	가입자/NNG+와/JKB
운영	운영/NNG
방식을	방식/NNG+을/JKO
해부했다.	해부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.141.7.2
월스트리트저널은 “이들의 연령대는 주로 10대에서 30대 초반으로 의사결정 구조나 리더십이 없는 모호한 조직”이라며 “회원 가입이나 활동을 구속하지 않기 때문에 수사가 쉽지 않다”고 전했다.

월스트리트저널은	월스트리트저널/NNP+은/JX
“이들의	“/SS+이/NP+들/XSN+의/JKG
연령대는	연령대/NNG+는/JX
주로	주로/MAG
10대에서	10/SN+대/NNB+에서/JKB
30대	30/SN+대/NNB
초반으로	초반/NNG+으로/JKB
의사결정	의사/NNG+결정/NNG
구조나	구조/NNG+나/JC
리더십이	리더십/NNG+이/JKS
없는	없/VA+는/ETM
모호한	모호하/VA+ㄴ/ETM
조직”이라며	조직/NNG+”/SS+이/VCP+라며/EC
“회원	“/SS+회원/NNG
가입이나	가입/NNG+이나/JC
활동을	활동/NNG+을/JKO
구속하지	구속/NNG+하/XSV+지/EC
않기	않/VX+기/ETN
때문에	때문/NNB+에/JKB
수사가	수사/NNG+가/JKS
쉽지	쉽/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.141.7.3
또 해커들의 만남은 주로 온라인 채팅 사이트에서 이뤄지며 15명 안팎의 지도자 그룹이 채팅방을 운영하며 탈퇴나 가입 여부를 결정한다고 보도했다.

또	또/MAG
해커들의	해커/NNG+들/XSN+의/JKG
만남은	만남/NNG+은/JX
주로	주로/MAG
온라인	온라인/NNG
채팅	채팅/NNG
사이트에서	사이트/NNG+에서/JKB
이뤄지며	이뤄지/VV+며/EC
15명	15/SN+명/NNB
안팎의	안팎/NNG+의/JKG
지도자	지도자/NNG
그룹이	그룹/NNG+이/JKS
채팅방을	채팅방/NNG+을/JKO
운영하며	운영/NNG+하/XSV+며/EC
탈퇴나	탈퇴/NNG+나/JC
가입	가입/NNG
여부를	여부/NNG+를/JKO
결정한다고	결정/NNG+하/XSV+ㄴ다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


