# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.118
metadata : {}


# id : NWRW1800000026.118.1.1
印 공산반군(모택동주의 ‘낙살라이트’) 매복공격, 경찰 75명 몰살시켜;단일사건 최악 인명피해

印	印/SH
마을에서	마을/NNG+에서/JKB
농민	농민/NNG
반란으로	반란/NNG+으로/JKB
낙살라이트	낙살라이트/NNP
운동이	운동/NNG+이/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
이래	이래/NNB
단일	단일/NNG
사건으로는	사건/NNG+으로/JKB+는/JX
최악의	최악/NNG+의/JKG
인명	인명/NNG
피해를	피해/NNG+를/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.118.4.1
반군은 이날 공격에 2개 대대급인 1000여명을 동원했다.

반군은	반군/NNG+은/JX
이날	이날/NNG
공격에	공격/NNG+에/JKB
2개	2/SN+개/NNB
대대급인	대대급/NNG+이/VCP+ㄴ/ETM
1000여명을	1000/SN+여/XSN+명/NNB+을/JKO
동원했다.	동원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.118.4.2
'중앙예비경찰(CRPF)' 부대의 이동경로를 정확히 예측해 급조폭발물(IED)을 설치했고, 선두의 지뢰제거차량부터 폭파해 부대 전체를 '외통수'로 몰아넣었다.

'중앙예비경찰(CRPF)'	'/SS+중앙/NNG+예비/NNG+경찰/NNG+(/SS+CRPF/SL+)/SS+'/SS
부대의	부대/NNG+의/JKG
이동경로를	이동/NNG+경로/NNG+를/JKO
정확히	정확히/MAG
예측해	예측/NNG+하/XSV+아/EC
급조폭발물(IED)을	급조/NNG+폭발물/NNG+(/SS+IED/SL+)/SS+을/JKO
설치했고,	설치/NNG+하/XSV+았/EP+고/EC+,/SP
선두의	선두/NNG+의/JKG
지뢰제거차량부터	지뢰/NNG+제거/NNG+차량/NNG+부터/JX
폭파해	폭파/NNG+하/XSV+아/EC
부대	부대/NNG
전체를	전체/NNG+를/JKO
'외통수'로	'/SS+외통수/NNG+'/SS+로/JKB
몰아넣었다.	몰아넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.118.4.3
정글 한가운데 갇힌 경찰 위로 길 양편 언덕 위에서 총탄이 쏟아졌다.

정글	정글/NNG
한가운데	한/XPN+가운데/NNG
갇힌	갇히/VV+ㄴ/ETM
경찰	경찰/NNG
위로	위/NNG+로/JKB
길	길/NNG
양편	양편/NNG
언덕	언덕/NNG
위에서	위/NNG+에서/JKB
총탄이	총탄/NNG+이/JKS
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.118.4.4
경찰은 제대로 된 반격도 못해 보고 몰살당했다.

경찰은	경찰/NNG+은/JX
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
반격도	반격/NNG+도/JX
못해	못/MAG+하/VV+아/EC
보고	보/VX+고/EC
몰살당했다.	몰살/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.118.4.5
반군은 사상자 후송을 위해 도착한 지원부대까지 공격했고, 경찰 무기까지 챙겨 유유히 정글 속으로 사라졌다고 현지 일간지 '힌두'는 보도했다.

반군은	반군/NNG+은/JX
사상자	사상자/NNG
후송을	후송/NNG+을/JKO
위해	위하/VV+아/EC
도착한	도착/NNG+하/XSV+ㄴ/ETM
지원부대까지	지원/NNG+부대/NNG+까지/JX
공격했고,	공격/NNG+하/XSV+았/EP+고/EC+,/SP
경찰	경찰/NNG
무기까지	무기/NNG+까지/JX
챙겨	챙기/VV+어/EC
유유히	유유히/MAG
정글	정글/NNG
속으로	속/NNG+으로/JKB
사라졌다고	사라지/VV+었/EP+다고/EC
현지	현지/NNG
일간지	일간지/NNG
'힌두'는	'/SS+힌두/NNP+'/SS+는/JX
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.118.5.1
이날 공격으로 낙살 반군은 세(勢) 과시 효과를 톡톡히 누렸다.

이날	이날/NNG
공격으로	공격/NNG+으로/JKB
낙살	낙살/NNP
반군은	반군/NNG+은/JX
세(勢)	세/NNG+(/SS+勢/SH+)/SS
과시	과시/NNG
효과를	효과/NNG+를/JKO
톡톡히	톡톡히/MAG
누렸다.	누리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.118.5.2
낙살 반군은 인도 북동부에서 남부까지 속칭 '붉은 회랑(回廊)'의 농촌 지역을 장악했다.

낙살	낙살/NNP
반군은	반군/NNG+은/JX
인도	인도/NNP
북동부에서	북동부/NNG+에서/JKB
남부까지	남부/NNG+까지/JX
속칭	속칭/NNG
'붉은	'/SS+붉/VA+은/ETM
회랑(回廊)'의	회랑/NNG+(/SS+回廊/SH+)/SS+'/SS+의/JKG
농촌	농촌/NNG
지역을	지역/NNG+을/JKO
장악했다.	장악/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.118.5.3
정규군 2만명, 준군사 조직 10만~20만명을 운용 중이다.

정규군	정규군/NNG
2만명,	2/SN+만/NR+명/NNB+,/SP
준군사	준/XPN+군사/NNG
조직	조직/NNG
10만~20만명을	10/SN+만/NR+~/SO+20/SN+만/NR+명/NNB+을/JKO
운용	운용/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.118.5.4
광산을 공격하고 화물열차를 불태우며 인도 경제와 안보의 최대 불안 요소로 떠올랐다.

광산을	광산/NNG+을/JKO
공격하고	공격/NNG+하/XSV+고/EC
화물열차를	화물/NNG+열차/NNG+를/JKO
불태우며	불태우/VV+며/EC
인도	인도/NNP
경제와	경제/NNG+와/JC
안보의	안보/NNG+의/JKG
최대	최대/NNG
불안	불안/NNG
요소로	요소/NNG+로/JKB
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.118.5.5
이번 사건이 발생한 차티스가르도 인도 최대 철광 산지가 있어 정부가 특별히 공을 들였던 지역이다.

이번	이번/NNG
사건이	사건/NNG+이/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
차티스가르도	차티스가르/NNP+도/JX
인도	인도/NNP
최대	최대/NNG
철광	철광/NNG
산지가	산지/NNG+가/JKS
있어	있/VV+어/EC
정부가	정부/NNG+가/JKS
특별히	특별히/MAG
공을	공/NNG+을/JKO
들였던	들이/VV+었/EP+던/ETM
지역이다.	지역/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.118.5.6
반군은 이를 비웃기라도 하듯 정부에 가장 수치스러운 패배를 안겼다.

반군은	반군/NNG+은/JX
이를	이/NP+를/JKO
비웃기라도	비웃/VV+기/ETN+라도/JX
하듯	하/VV+듯/EC
정부에	정부/NNG+에/JKB
가장	가장/MAG
수치스러운	수치/NNG+스럽/XSA+ㄴ/ETM
패배를	패배/NNG+를/JKO
안겼다.	안기/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.118.6.1
낙살라이트 반군은 작년 한 해만 908명의 사망자를 내며 1971년 이후 가장 활발히 움직였다.

낙살라이트	낙살라이트/NNP
반군은	반군/NNG+은/JX
작년	작년/NNG
한	한/MMN
해만	해/NNB+만/JX
908명의	908/SN+명/NNB+의/JKG
사망자를	사망자/NNG+를/JKO
내며	내/VV+며/EC
1971년	1971/SN+년/NNB
이후	이후/NNG
가장	가장/MAG
활발히	활발히/MAG
움직였다.	움직이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.118.6.2
빠른 경제성장 과정에서 소외당한 인도 빈곤층 수억명 중 상당수는 잠재적 반군 동조세력이다.

빠른	빠르/VA+ㄴ/ETM
경제성장	경제/NNG+성장/NNG
과정에서	과정/NNG+에서/JKB
소외당한	소외/NNG+당하/XSV+ㄴ/ETM
인도	인도/NNP
빈곤층	빈곤/NNG+층/XSN
수억명	수억/NR+명/NNB
중	중/NNB
상당수는	상당수/NNG+는/JX
잠재적	잠재/NNG+적/XSN
반군	반군/NNG
동조세력이다.	동조/NNG+세력/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.118.6.3
필라이(Pillai) 내무차관은 "그들의 잔혹함에 걸맞은 대가를 치르게 할 것"이라고 했다.

필라이(Pillai)	필라이/NNP+(/SS+Pillai/SL+)/SS
내무차관은	내무/NNG+차관/NNG+은/JX
"그들의	"/SS+그/NP+들/XSN+의/JKG
잔혹함에	잔혹/NNG+하/XSA+ㅁ/ETN+에/JKB
걸맞은	걸맞/VA+은/ETM
대가를	대가/NNG+를/JKO
치르게	치르/VV+게/EC
할	하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


