# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.426
metadata : {}


# id : NWRW1800000038.426.1.1
김장수(청와대 국가안보실장) 파워… 美·中·러 安保실세와 모두 만나

김장수(청와대	김장수/NNP+(/SS+청와대/NNP
방문해	방문/NNG+하/XSV+아/EC
2차	2/SN+차/NNB
고위급	고위급/NNG
대화를	대화/NNG+를/JKO
하기로	하/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.426.5.1
◇"4강 안보 책임자와 대화 파트너"

◇"4강	◇/SW+"/SS+4/SN+강/NNB
안보	안보/NNG
책임자와	책임자/NNG+와/JKB
대화	대화/NNG
파트너"	파트너/NNG+"/SS


# id : NWRW1800000038.426.6.1
김 실장은 최근 북한뿐 아니라 미·중·일·러 등 주요국과의 외교·안보 현안과 전략을 다루는 일에 앞장서고 있다.

김	김/NNP
실장은	실장/NNG+은/JX
최근	최근/NNG
북한뿐	북한/NNP+뿐/JX
아니라	아니/VCN+라/EC
미·중·일·러	미/NNP+·/SP+중/NNP+·/SP+일/NNP+·/SP+러/NNP
등	등/NNB
주요국과의	주요국/NNG+과/JKB+의/JKG
외교·안보	외교/NNG+·/SP+안보/NNG
현안과	현안/NNG+과/JC
전략을	전략/NNG+을/JKO
다루는	다루/VV+는/ETM
일에	일/NNG+에/JKB
앞장서고	앞장서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.426.6.2
이는 주요 국가들이 국익을 공유하는 나라들과 '1+1' 또는 '2+2' 고위급 전략대화를 추구하는 흐름과 관련 있다.

이는	이/NP+는/JX
주요	주요/NNG
국가들이	국가/NNG+들/XSN+이/JKS
국익을	국익/NNG+을/JKO
공유하는	공유/NNG+하/XSV+는/ETM
나라들과	나라/NNG+들/XSN+과/JKB
'1+1'	'/SS+1/SN++/SW+1/SN+'/SS
또는	또는/MAG
'2+2'	'/SS+2/SN++/SW+2/SN+'/SS
고위급	고위급/NNG
전략대화를	전략/NNG+대화/NNG+를/JKO
추구하는	추구/NNG+하/XSV+는/ETM
흐름과	흐름/NNG+과/JKB
관련	관련/NNG
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.426.6.3
우리나라도 안보실장이 나서는 '1+1'과 외교·국방장관이 나서는 '2+2'를 동시 다발적으로 확대하고 있다.

우리나라도	우리나라/NNG+도/JX
안보실장이	안보실장/NNG+이/JKS
나서는	나서/VV+는/ETM
'1+1'과	'/SS+1/SN++/SW+1/SN+'/SS+과/JC
외교·국방장관이	외교/NNG+·/SP+국방/NNG+장관/NNG+이/JKS
'2+2'를	'/SS+2/SN++/SW+2/SN+'/SS+를/JKO
동시	동시/NNG
다발적으로	다발/NNG+적/XSN+으로/JKB
확대하고	확대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.426.6.4
'1+1'은 미·중·러와 '2+2'는 미국 및 호주와 각각 하고 있다.

'1+1'은	'/SS+1/SN++/SW+1/SN+'/SS+은/JX
미·중·러와	미/NNP+·/SP+중/NNP+·/SP+러/NNP+와/JC
'2+2'는	'/SS+2/SN++/SW+2/SN+'/SS+는/JX
미국	미국/NNP
및	및/MAG
호주와	호주/NNP+와/JKB
각각	각각/MAG
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.426.7.1
'1+1'과 '2+2'는 성격이 다소 다르다.

'1+1'과	'/SS+1/SN++/SW+1/SN+'/SS+과/JC
'2+2'는	'/SS+2/SN++/SW+2/SN+'/SS+는/JX
성격이	성격/NNG+이/JKS
다소	다소/MAG
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000038.426.7.2
'2+2'가 외교·국방 분야 현안과 관련된 전략대화라면 '1+1'은 각각 국가 정상의 입장에서 안보 전략 및 국익 전반을 다룬다.

'2+2'가	'/SS+2/SN++/SW+2/SN+'/SS+가/JKS
외교·국방	외교/NNG+·/SP+국방/NNG
분야	분야/NNG
현안과	현안/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
전략대화라면	전략/NNG+대화/NNG+이/VCP+라면/EC
'1+1'은	'/SS+1/SN++/SW+1/SN+'/SS+은/JX
각각	각각/MAG
국가	국가/NNG
정상의	정상/NNG+의/JKG
입장에서	입장/NNG+에서/JKB
안보	안보/NNG
전략	전략/NNG
및	및/MAG
국익	국익/NNG
전반을	전반/NNG+을/JKO
다룬다.	다루/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.426.8.1
김 실장은 지난달 미국 워싱턴에서 수전 라이스 백악관 국가안보보좌관과 안보 대화를 했다.

김	김/NNP
실장은	실장/NNG+은/JX
지난달	지난달/NNG
미국	미국/NNP
워싱턴에서	워싱턴/NNP+에서/JKB
수전	수전/NNP
라이스	라이스/NNP
백악관	백악관/NNP
국가안보보좌관과	국가/NNG+안보/NNG+보좌관/NNG+과/JKB
안보	안보/NNG
대화를	대화/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.426.8.2
두 사람은 상시적 핫라인 구축에 합의했다.

두	두/MMN
사람은	사람/NNG+은/JX
상시적	상시/NNG+적/XSN
핫라인	핫라인/NNG
구축에	구축/NNG+에/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.426.8.3
또 일본 집단 자위권 문제에 대해 우리 측 입장을 전달했고, 전시작전통제권 반환 연기에 대해서도 원칙적으로 의견접근을 이뤘다.

또	또/MAG
일본	일본/NNP
집단	집단/NNG
자위권	자위/NNG+권/XSN
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
우리	우리/NP
측	측/NNB
입장을	입장/NNG+을/JKO
전달했고,	전달/NNG+하/XSV+았/EP+고/EC+,/SP
전시작전통제권	전시/NNG+작전/NNG+통제/NNG+권/XSN
반환	반환/NNG
연기에	연기/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
원칙적으로	원칙/NNG+적/XSN+으로/JKB
의견접근을	의견/NNG+접근/NNG+을/JKO
이뤘다.	이루/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.426.9.1
18일 김 실장이 만난 양 위원은 중국의 외교정책을 총괄 조정하는 인물이다.

18일	18/SN+일/NNB
김	김/NNP
실장이	실장/NNG+이/JKS
만난	만나/VV+ㄴ/ETM
양	양/NNP
위원은	위원/NNG+은/JX
중국의	중국/NNP+의/JKG
외교정책을	외교/NNG+정책/NNG+을/JKO
총괄	총괄/NNG
조정하는	조정/NNG+하/XSV+는/ETM
인물이다.	인물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.426.9.2
중국 정부가 신설키로 한 국가안보위원회에선 위원으로 활동할 가능성이 높다.

중국	중국/NNP
정부가	정부/NNG+가/JKS
신설키로	신설/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
국가안보위원회에선	국가/NNG+안보/NNG+위원회/NNG+에서/JKB+ㄴ/JX
위원으로	위원/NNG+으로/JKB
활동할	활동/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000038.426.9.3
그는 한·중 관계와 북핵에 대한 막후 조율 창구가 될 수 있다.

그는	그/NP+는/JX
한·중	한·중/NNP
관계와	관계/NNG+와/JC
북핵에	북핵/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
막후	막후/NNG
조율	조율/NNG
창구가	창구/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.426.9.4
김 실장이 내달 러시아에서 만날 예정인 니콜라이 파트루셰프 국가안보회의 서기는 1999년부터 2008년까지 러시아 연방보안국 국장을 지냈고, 푸틴 정부의 핵심 인사 중 한 명이다.

김	김/NNP
실장이	실장/NNG+이/JKS
내달	내달/NNG
러시아에서	러시아/NNP+에서/JKB
만날	만나/VV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
니콜라이	니콜라이/NNP
파트루셰프	파트루셰프/NNP
국가안보회의	국가안보회의/NNP
서기는	서기/NNG+는/JX
1999년부터	1999/SN+년/NNB+부터/JX
2008년까지	2008/SN+년/NNB+까지/JX
러시아	러시아/NNP
연방보안국	연방보안국/NNP
국장을	국장/NNG+을/JKO
지냈고,	지내/VV+었/EP+고/EC+,/SP
푸틴	푸틴/NNP
정부의	정부/NNG+의/JKG
핵심	핵심/NNG
인사	인사/NNG
중	중/NNB
한	한/MMN
명이다.	명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.426.9.5
이런 상황 때문에 외교가에선 안보 현안들이 김 실장으로 통한다는 말이 나오고 있다.

이런	이런/MMD
상황	상황/NNG
때문에	때문/NNB+에/JKB
외교가에선	외교가/NNG+에서/JKB+ㄴ/JX
안보	안보/NNG
현안들이	현안/NNG+들/XSN+이/JKS
김	김/NNP
실장으로	실장/NNG+으로/JKB
통한다는	통하/VV+ㄴ다는/ETM
말이	말/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.426.9.6
그가 명실상부하게 원톱 컨트롤 타워 역할을 하고 있다는 것이다.

그가	그/NP+가/JKS
명실상부하게	명실상부/NNG+하/XSA+게/EC
원톱	원톱/NNG
컨트롤	컨트롤/NNG
타워	타워/NNG
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.426.10.1
◇"최종 책임은 내가 지겠다"

◇"최종	◇/SW+"/SS+최종/NNG
책임은	책임/NNG+은/JX
내가	내/NP+가/JKS
지겠다"	지/VV+겠/EP+다/EF+"/SS


# id : NWRW1800000038.426.11.1
최근 외교·안보 부처 관계자들은 김 실장의 관할 분야가 최근 안보 전략뿐 아니라 통일, 군사, 대외 정책까지 확대되고 있다고 말한다.

최근	최근/NNG
외교·안보	외교/NNG+·/SP+안보/NNG
부처	부처/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
김	김/NNP
실장의	실장/NNG+의/JKG
관할	관할/NNG
분야가	분야/NNG+가/JKS
안보	안보/NNG
전략뿐	전략/NNG+뿐/JX
아니라	아니/VCN+라/EC
통일,	통일/NNG+,/SP
군사,	군사/NNG+,/SP
대외	대외/NNG
정책까지	정책/NNG+까지/JX
확대되고	확대/NNG+되/XSV+고/EC
있다고	있/VX+다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.426.11.2
김 실장은 주요 안보 현안에 대해 "최종 책임은 내가 지겠다"며 적극적인 역할을 하는 것으로 알려졌다.

김	김/NNP
실장은	실장/NNG+은/JX
주요	주요/NNG
안보	안보/NNG
현안에	현안/NNG+에/JKB
대해	대하/VV+아/EC
"최종	"/SS+최종/NNG
책임은	책임/NNG+은/JX
내가	내/NP+가/JKS
지겠다"며	지/VV+겠/EP+다/EF+"/SS+며/EC
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
역할을	역할/NNG+을/JKO
하는	하/VV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.426.11.3
김 실장은 5·24 조치 해제나 금강산 관광 재개 문제에 대해 "아직 멀었다"며 종전 입장을 고수한 것으로 알려졌다.

김	김/NNP
실장은	실장/NNG+은/JX
5·24	5/SN+·/SP+24/SN
조치	조치/NNG
해제나	해제/NNG+나/JC
금강산	금강산/NNP
관광	관광/NNG
재개	재개/NNG
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
"아직	"/SS+아직/MAG
멀었다"며	멀/VA+었/EP+다/EF+"/SS+며/EC
종전	종전/NNG
입장을	입장/NNG+을/JKO
고수한	고수/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.426.12.1
박 대통령도 외교·안보 분야 현안 처리를 김 실장에게 일임하는 경우가 많다고 한다.

박	박/NNP
대통령도	대통령/NNG+도/JX
외교·안보	외교/NNG+·/SP+안보/NNG
분야	분야/NNG
현안	현안/NNG
처리를	처리/NNG+를/JKO
김	김/NNP
실장에게	실장/NNG+에게/JKB
일임하는	일임/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
많다고	많/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.426.12.2
김 실장 차원에서 이른바 '선(先) 처리, 후(後) 대통령 보고'를 하는 경우가 있다는 것이다.

김	김/NNP
실장	실장/NNG
차원에서	차원/NNG+에서/JKB
이른바	이른바/MAG
'선(先)	'/SS+선/NNG+(/SS+先/SH+)/SS
처리,	처리/NNG+,/SP
후(後)	후/NNG+(/SS+後/SH+)/SS
대통령	대통령/NNG
보고'를	보고/NNG+'/SS+를/JKO
하는	하/VV+는/ETM
경우가	경우/NNG+가/JKS
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.426.12.3
김 실장은 국가안보실뿐 아니라 외교안보수석 산하 3개 비서관실에서도 주요 현안과 상황을 보고받으며 각종 안보 관련 회의를 주재하고 있다.

김	김/NNP
실장은	실장/NNG+은/JX
국가안보실뿐	국가/NNG+안보실/NNG+뿐/JX
아니라	아니/VCN+라/EC
외교안보수석	외교/NNG+안보/NNG+수석/NNG
산하	산하/NNG
3개	3/SN+개/NNB
비서관실에서도	비서관실/NNG+에서/JKB+도/JX
주요	주요/NNG
현안과	현안/NNG+과/JC
상황을	상황/NNG+을/JKO
보고받으며	보고/NNG+받/XSV+으며/EC
각종	각종/NNG
안보	안보/NNG
관련	관련/NNG
회의를	회의/NNG+를/JKO
주재하고	주재/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.426.13.1
그러나 김 실장에게 힘이 과도하게 쏠리면서 대북 관계 및 대일 관계 등이 원칙론에 치우쳐 경색되고 있는 것 아니냐는 비판도 제기되고 있다.

그러나	그러나/MAJ
김	김/NNP
실장에게	실장/NNG+에게/JKB
힘이	힘/NNG+이/JKS
과도하게	과도/NNG+하/XSA+게/EC
쏠리면서	쏠리/VV+면서/EC
대북	대북/NNG
관계	관계/NNG
및	및/MAG
대일	대일/NNG
등이	등/NNB+이/JKS
원칙론에	원칙/NNG+론/XSN+에/JKB
치우쳐	치우치/VV+어/EC
경색되고	경색/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
비판도	비판/NNG+도/JX
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.426.13.2
또 외교·안보 부처 간 유기적 관계를 우려하는 목소리도 높아지고 있다.

또	또/MAG
외교·안보	외교/NNG+·/SP+안보/NNG
부처	부처/NNG
간	간/NNB
유기적	유기/NNG+적/XSN
관계를	관계/NNG+를/JKO
우려하는	우려/NNG+하/XSV+는/ETM
목소리도	목소리/NNG+도/JX
높아지고	높아지/VV+고/EC
있다.	있/VX+다/EF+./SF


