# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.97
metadata : {}


# id : NWRW1800000025.97.1.1
[DBR]“도요타 사태로 한국자동차 반사이익?

[DBR]“도요타	[/SS+DBR/SL+]/SS+“/SS+도요타/NNP
품질에	품질/NNG+에/JKB
이상이	이상/NNG+이/JKS
생겼다고	생기/VV+었/EP+다고/EC
해서	하/VV+아서/EC
‘우리	‘/SS+우리/NP
제품은	제품/NNG+은/JX
더	더/MAG
우수하다’라는	우수/NNG+하/XSA+다/EF+’/SS+이/VCP+라는/ETM
식으로	식/NNB+으로/JKB
접근하면	접근/NNG+하/XSV+면/EC
소비자에게	소비자/NNG+에게/JKB
확실한	확실하/VA+ㄴ/ETM
브랜드	브랜드/NNG
이미지를	이미지/NNG+를/JKO
심어주지도	심/VV+어/EC+주/VX+지/EC+도/JX
못한	못하/VX+ㄴ/ETM
채	채/NNB
영원한	영원/NNG+하/XSA+ㄴ/ETM
아류	아류/NNG
제품으로	제품/NNG+으로/JKB
남을	남/VV+을/ETM
뿐이라는	뿐/NNB+이/VCP+라는/ETM
의미다.	의미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.97.5.1
―도요타의 위기가 한국 업체에 호재가 되지 못하는 이유는 무엇입니까.

―도요타의	―/SS+도요타/NNP+의/JKG
위기가	위기/NNG+가/JKS
한국	한국/NNP
업체에	업체/NNG+에/JKB
호재가	호재/NNG+가/JKC
되지	되/VV+지/EC
못하는	못하/VX+는/ETM
이유는	이유/NNG+는/JX
무엇입니까.	무엇/NP+이/VCP+ㅂ니까/EF+./SF


# id : NWRW1800000025.97.6.1
“포장을 벗긴 같은 회사의 스타킹 5개를 정렬해 놓고 여성 실험자들에게 촉감이 가장 우수한 제품을 고르도록 한 실험이 있었습니다.

“포장을	“/SS+포장/NNG+을/JKO
벗긴	벗기/VV+ㄴ/ETM
같은	같/VA+은/ETM
회사의	회사/NNG+의/JKG
스타킹	스타킹/NNG
5개를	5/SN+개/NNB+를/JKO
정렬해	정렬/NNG+하/XSV+아/EC
놓고	놓/VX+고/EC
여성	여성/NNG
실험자들에게	실험자/NNG+들/XSN+에게/JKB
촉감이	촉감/NNG+이/JKS
가장	가장/MAG
우수한	우수/NNG+하/XSA+ㄴ/ETM
제품을	제품/NNG+을/JKO
고르도록	고르/VV+도록/EC
한	하/VX+ㄴ/ETM
실험이	실험/NNG+이/JKS
있었습니다.	있/VA+었/EP+습니다/EF+./SF


# id : NWRW1800000025.97.6.2
대부분의 응답자들은 가장 왼쪽에 있는 상품을 골랐습니다.

대부분의	대/XPN+부분/NNG+의/JKG
응답자들은	응답자/NNG+들/XSN+은/JX
가장	가장/MAG
왼쪽에	왼쪽/NNG+에/JKB
있는	있/VA+는/ETM
상품을	상품/NNG+을/JKO
골랐습니다.	고르/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000025.97.6.3
왜냐고 물어보면 아무도 ‘시선이 가장 먼저 가는 왼쪽에 있어서’라고 대답하지 않고 촉감이 좋아서 골랐다고 합니다.

왜냐고	왜/MAG+이/VCP+냐고/EC
물어보면	물어보/VV+면/EC
아무도	아무/NP+도/JX
‘시선이	‘/SS+시선/NNG+이/JKS
가장	가장/MAG
먼저	먼저/MAG
가는	가/VV+는/ETM
왼쪽에	왼쪽/NNG+에/JKB
있어서’라고	있/VA+어서/EC+’/SS+라고/JKQ
대답하지	대답/NNG+하/XSV+지/EC
않고	않/VX+고/EC
촉감이	촉감/NNG+이/JKS
좋아서	좋/VA+아서/EC
골랐다고	고르/VV+았/EP+다고/EC
합니다.	하/VV+ㅂ니다/EF+./SF


# id : NWRW1800000025.97.6.4
똑같은 상품인데도 말이죠.

똑같은	똑같/VA+은/ETM
상품인데도	상품/NNG+이/VCP+ㄴ데/EC+도/JX
말이죠.	말/NNG+이/VCP+죠/EF+./SF


# id : NWRW1800000025.97.6.5
이게 사람입니다.

이게	이거/NP+이/JKS
사람입니다.	사람/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000025.97.7.1
코카콜라와 펩시콜라의 사례도 마찬가지입니다.

코카콜라와	코카콜라/NNP+와/JC
펩시콜라의	펩시콜라/NNP+의/JKG
사례도	사례/NNG+도/JX
마찬가지입니다.	마찬가지/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000025.97.7.2
상표를 보여주지 않고 맛을 보게 하는 블라인드 테스트를 해 보면 펩시콜라를 고르면서 ‘맛이 더 달콤하고 좋다’는 소비자가 많습니다.

상표를	상표/NNG+를/JKO
보여주지	보이/VV+어/EC+주/VX+지/EC
않고	않/VX+고/EC
맛을	맛/NNG+을/JKO
보게	보/VV+게/EC
하는	하/VX+는/ETM
블라인드	블라인드/NNG
테스트를	테스트/NNG+를/JKO
해	하/VV+아/EC
보면	보/VX+면/EC
펩시콜라를	펩시콜라/NNP+를/JKO
고르면서	고르/VV+면서/EC
‘맛이	‘/SS+맛/NNG+이/JKS
더	더/MAG
달콤하고	달콤하/VA+고/EC
좋다’는	좋/VA+다/EF+’/SS+는/ETM
소비자가	소비자/NNG+가/JKS
많습니다.	많/VA+습니다/EF+./SF


# id : NWRW1800000025.97.7.3
하지만 로고를 보여주고 두 제품 중 하나를 고르게 하면 코카콜라를 선택하는 사람이 훨씬 많아요.

하지만	하지만/MAJ
로고를	로고/NNG+를/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
두	두/MMN
제품	제품/NNG
중	중/NNB
하나를	하나/NR+를/JKO
고르게	고르/VV+게/EC
하면	하/VX+면/EC
코카콜라를	코카콜라/NNP+를/JKO
선택하는	선택/NNG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
훨씬	훨씬/MAG
많아요.	많/VA+아요/EF+./SF


# id : NWRW1800000025.97.7.4
코카콜라가 펩시콜라보다 사람들의 뇌리 속에 더 깊이 각인되어 있기 때문이죠.

코카콜라가	코카콜라/NNP+가/JKS
펩시콜라보다	펩시콜라/NNP+보다/JKB
사람들의	사람/NNG+들/XSN+의/JKG
뇌리	뇌리/NNG
속에	속/NNG+에/JKB
더	더/MAG
깊이	깊이/MAG
각인되어	각인/NNG+되/XSV+어/EC
있기	있/VX+기/ETN
때문이죠.	때문/NNB+이/VCP+죠/EF+./SF


# id : NWRW1800000025.97.8.1
현재 도요타가 미국에서 지닌 위치도 코카콜라와 유사합니다.

현재	현재/MAG
도요타가	도요타/NNP+가/JKS
미국에서	미국/NNP+에서/JKB
지닌	지니/VV+ㄴ/ETM
위치도	위치/NNG+도/JX
코카콜라와	코카콜라/NNP+와/JKB
유사합니다.	유사/NNG+하/XSA+ㅂ니다/EF+./SF


# id : NWRW1800000025.97.8.2
물론 도요타가 독극물이 든 타이레놀 사건이 터졌을 때 미국 전역의 타이레놀을 즉각 전량 회수했던 존슨앤드존슨(J&J)처럼 뛰어난 위기관리 능력을 보여주진 못했습니다.

물론	물론/MAG
도요타가	도요타/NNP+가/JKS
독극물이	독극물/NNG+이/JKS
든	들/VV+ㄴ/ETM
타이레놀	타이레놀/NNP
사건이	사건/NNG+이/JKS
터졌을	터지/VV+었/EP+을/ETM
때	때/NNG
미국	미국/NNP
전역의	전역/NNG+의/JKG
타이레놀을	타이레놀/NNP+을/JKO
즉각	즉각/MAG
전량	전량/NNG
회수했던	회수/NNG+하/XSV+았/EP+던/ETM
존슨앤드존슨(J&J)처럼	존슨앤드존슨/NNP+(/SS+J/SL+&/SW+J/SL+)/SS+처럼/JKB
뛰어난	뛰어나/VA+ㄴ/ETM
위기관리	위기관리/NNG
능력을	능력/NNG+을/JKO
보여주진	보이/VV+어/EC+주/VX+지/EC+ㄴ/JX
못했습니다.	못하/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000025.97.9.1
그럼에도 불구하고 아직 도요타의 대체재가 등장하지 않았다는 게 중요합니다.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
아직	아직/MAG
도요타의	도요타/NNP+의/JKG
대체재가	대체재/NNG+가/JKS
등장하지	등장/NNG+하/XSV+지/EC
않았다는	않/VX+았/EP+다는/ETM
게	거/NNB+이/JKS
중요합니다.	중요/NNG+하/XSA+ㅂ니다/EF+./SF


# id : NWRW1800000025.97.9.2
소비자들은 ‘미국 차의 품질은 나쁘고, 유럽 차는 비싸니 안전 문제가 불거졌어도 그나마 선택할 건 도요타밖에 없다’는 인식을 가지고 있습니다.”

소비자들은	소비자/NNG+들/XSN+은/JX
‘미국	‘/SS+미국/NNP
차의	차/NNG+의/JKG
품질은	품질/NNG+은/JX
나쁘고,	나쁘/VA+고/EC+,/SP
유럽	유럽/NNP
차는	차/NNG+는/JX
비싸니	비싸/VA+니/EC
안전	안전/NNG
문제가	문제/NNG+가/JKS
불거졌어도	불거지/VV+었/EP+어도/EC
그나마	그나마/MAG
선택할	선택/NNG+하/XSV+ㄹ/ETM
건	거/NNB+ㄴ/JX
도요타밖에	도요타/NNP+밖에/JX
없다’는	없/VA+다/EF+’/SS+는/ETM
인식을	인식/NNG+을/JKO
가지고	가지/VV+고/EC
있습니다.”	있/VX+습니다/EF+./SF+”/SS


# id : NWRW1800000025.97.10.1
―도요타를 뛰어넘기 위해서는 어떻게 해야 합니까.

―도요타를	―/SS+도요타/NNP+를/JKO
뛰어넘기	뛰어넘/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
어떻게	어떻/VA+게/EC
해야	하/VV+아야/EC
합니까.	하/VX+ㅂ니까/EF+./SF


# id : NWRW1800000025.97.11.1
“도요타의 빈자리, 특히 고급차 시장에서 제대로 경쟁하고 싶다면 도요타보다 더 나은 품질의 차를 만들겠다는 식으로 접근하면 곤란합니다.

“도요타의	“/SS+도요타/NNP+의/JKG
빈자리,	빈자리/NNG+,/SP
특히	특히/MAG
고급차	고급차/NNG
시장에서	시장/NNG+에서/JKB
제대로	제대로/MAG
경쟁하고	경쟁/NNG+하/XSV+고/EC
싶다면	싶/VX+다면/EC
도요타보다	도요타/NNP+보다/JKB
더	더/MAG
나은	낫/VA+은/ETM
품질의	품질/NNG+의/JKG
차를	차/NNG+를/JKO
만들겠다는	만들/VV+겠/EP+다는/ETM
식으로	식/NNB+으로/JKB
접근하면	접근/NNG+하/XSV+면/EC
곤란합니다.	곤란/NNG+하/XSA+ㅂ니다/EF+./SF


# id : NWRW1800000025.97.11.2
품질 향상에 주력하기보다 마케팅 전략을 대대적으로 바꾸는 작업이 필요합니다.

품질	품질/NNG
향상에	향상/NNG+에/JKB
주력하기보다	주력/NNG+하/XSV+기/ETN+보다/JKB
마케팅	마케팅/NNG
전략을	전략/NNG+을/JKO
대대적으로	대대적/NNG+으로/JKB
바꾸는	바꾸/VV+는/ETM
작업이	작업/NNG+이/JKS
필요합니다.	필요/NNG+하/XSA+ㅂ니다/EF+./SF


# id : NWRW1800000025.97.12.1
우선 도요타와 렉서스, 혼다와 아큐라처럼 현대차와 완전히 다른 브랜드와 판매망을 사용하는 서브 브랜드(sub brand)를 출시해야 합니다.

우선	우선/MAG
도요타와	도요타/NNP+와/JC
렉서스,	렉서스/NNP+,/SP
혼다와	혼다/NNP+와/JC
아큐라처럼	아큐라/NNP+처럼/JKB
현대차와	현대차/NNP+와/JKB
완전히	완전히/MAG
다른	다른/MMD
브랜드와	브랜드/NNG+와/JC
판매망을	판매망/NNG+을/JKO
사용하는	사용/NNG+하/XSV+는/ETM
서브	서브/NNG
브랜드(sub	브랜드/NNG+(/SS+sub/SL
brand)를	brand/SL+)/SS+를/JKO
출시해야	출시/NNG+하/XSV+아야/EC
합니다.	하/VX+ㅂ니다/EF+./SF


# id : NWRW1800000025.97.12.2
이후 영국 여왕 엘리자베스 2세, 록펠러 가문 등 귀족들이 타는 차라는 인식을 심어주는 럭셔리 마케팅에 집중해야 합니다.

이후	이후/NNG
영국	영국/NNP
여왕	여왕/NNG
엘리자베스	엘리자베스/NNP
2세,	2/SN+세/NNB+,/SP
록펠러	록펠러/NNP
가문	가문/NNG
등	등/NNB
귀족들이	귀족/NNG+들/XSN+이/JKS
타는	타/VV+는/ETM
차라는	차/NNG+이/VCP+라는/ETM
인식을	인식/NNG+을/JKO
심어주는	심/VV+어/EC+주/VX+는/ETM
럭셔리	럭셔리/NNG
마케팅에	마케팅/NNG+에/JKB
집중해야	집중/NNG+하/XSV+아야/EC
합니다.	하/VX+ㅂ니다/EF+./SF


# id : NWRW1800000025.97.12.3
포뮬러 원(F1) 대회에 참가하는 일보다 왕족의 대관식에 쓰이는 차를 납품하는 일이 진정한 럭셔리 마케팅입니다.

포뮬러	포뮬러/NNG
원(F1)	원/NNG+(/SS+F/SL+1/SN+)/SS
대회에	대회/NNG+에/JKB
참가하는	참가/NNG+하/XSV+는/ETM
일보다	일/NNG+보다/JKB
왕족의	왕족/NNG+의/JKG
대관식에	대관식/NNG+에/JKB
쓰이는	쓰이/VV+는/ETM
차를	차/NNG+를/JKO
납품하는	납품/NNG+하/XSV+는/ETM
일이	일/NNG+이/JKS
진정한	진정하/VA+ㄴ/ETM
럭셔리	럭셔리/NNG
마케팅입니다.	마케팅/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000025.97.13.1
물론 이 과정이 쉽지는 않을 겁니다.

물론	물론/MAG
이	이/MMD
과정이	과정/NNG+이/JKS
쉽지는	쉽/VA+지/EC+는/JX
않을	않/VX+을/ETM
겁니다.	거/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000025.97.13.2
하지만 도요타조차 아직 이 정도의 고급 이미지를 갖추지는 못했기에 흥미로운 도전 과제가 될 수 있습니다.”

하지만	하지만/MAJ
도요타조차	도요타/NNP+조차/JX
아직	아직/MAG
이	이/MMD
정도의	정도/NNG+의/JKG
고급	고급/NNG
이미지를	이미지/NNG+를/JKO
갖추지는	갖추/VV+지/EC+는/JX
못했기에	못하/VX+았/EP+기에/EC
흥미로운	흥미/NNG+롭/XSA+ㄴ/ETM
도전	도전/NNG
과제가	과제/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있습니다.”	있/VA+습니다/EF+./SF+”/SS


# id : NWRW1800000025.97.14.1
―세계경제가 금융위기의 여파를 벗어나 회복기로 이행하는 과정에 있습니다.

―세계경제가	―/SS+세계/NNG+경제/NNG+가/JKS
금융위기의	금융/NNG+위기/NNG+의/JKG
여파를	여파/NNG+를/JKO
벗어나	벗어나/VV+아/EC
회복기로	회복기/NNG+로/JKB
이행하는	이행/NNG+하/XSV+는/ETM
과정에	과정/NNG+에/JKB
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000025.97.14.2
이런 반등 시점에 유효한 마케팅 전략은 무엇입니까.

이런	이런/MMD
반등	반등/NNG
시점에	시점/NNG+에/JKB
유효한	유효/NNG+하/XSA+ㄴ/ETM
마케팅	마케팅/NNG
전략은	전략/NNG+은/JX
무엇입니까.	무엇/NP+이/VCP+ㅂ니까/EF+./SF


# id : NWRW1800000025.97.15.1
“금융위기가 남긴 교훈은 불황 때 섣불리 저가 마케팅을 시도하면 장기적으로 악영향을 입을 수밖에 없다는 사실입니다.

“금융위기가	“/SS+금융/NNG+위기/NNG+가/JKS
남긴	남기/VV+ㄴ/ETM
교훈은	교훈/NNG+은/JX
불황	불황/NNG
때	때/NNG
섣불리	섣불리/MAG
저가	저가/NNG
마케팅을	마케팅/NNG+을/JKO
시도하면	시도/NNG+하/XSV+면/EC
장기적으로	장기/NNG+적/XSN+으로/JKB
악영향을	악영향/NNG+을/JKO
입을	입/VV+을/ETM
수밖에	수/NNB+밖에/JX
없다는	없/VA+다는/ETM
사실입니다.	사실/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000025.97.15.2
불황으로 소비 여력이 줄면 사람들은 품목을 줄이지 품질을 양보하지는 않습니다.

불황으로	불황/NNG+으로/JKB
소비	소비/NNG
여력이	여력/NNG+이/JKS
줄면	줄/VV+면/EC
사람들은	사람/NNG+들/XSN+은/JX
품목을	품목/NNG+을/JKO
줄이지	줄이/VV+지/EC
품질을	품질/NNG+을/JKO
양보하지는	양보/NNG+하/XSV+지/EC+는/JX
않습니다.	않/VX+습니다/EF+./SF


# id : NWRW1800000025.97.15.3
‘지금 내 상황도 최악인데 이 따위 싸구려 제품을 써 보니 기분만 더 나빠지는군.

‘지금	‘/SS+지금/MAG
내	나/NP+의/JKG
상황도	상황/NNG+도/JX
최악인데	최악/NNG+이/VCP+ㄴ데/EC
이	이/NP
따위	따위/NNB
싸구려	싸구려/NNG
제품을	제품/NNG+을/JKO
써	쓰/VV+어/EC
보니	보/VX+니/EC
기분만	기분/NNG+만/JX
더	더/MAG
나빠지는군.	나빠지/VV+는군/EF+./SF


# id : NWRW1800000025.97.15.4
다신 이 제품을 사지 않겠어’라고 생각하거든요.

다신	다시/MAG+ㄴ/JX
이	이/MMD
제품을	제품/NNG+을/JKO
사지	사/VV+지/EC
않겠어’라고	않/VX+겠/EP+어/EF+’/SS+라고/JKQ
생각하거든요.	생각/NNG+하/XSV+거든/EF+요/JX+./SF


# id : NWRW1800000025.97.15.5
절대 가격은 그다지 비싸지 않지만 우수한 품질의 와인이나 감자칩이 불황 때 잘 팔리는 이유가 여기에 있습니다.

절대	절대/NNG
가격은	가격/NNG+은/JX
그다지	그다지/MAG
비싸지	비싸/VA+지/EC
않지만	않/VX+지만/EC
우수한	우수/NNG+하/XSA+ㄴ/ETM
품질의	품질/NNG+의/JKG
와인이나	와인/NNG+이나/JC
감자칩이	감자칩/NNG+이/JKS
불황	불황/NNG
때	때/NNG
잘	잘/MAG
팔리는	팔리/VV+는/ETM
이유가	이유/NNG+가/JKS
여기에	여기/NP+에/JKB
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000025.97.16.1
회복기 때도 마찬가지입니다.

회복기	회복기/NNG
때도	때/NNG+도/JX
마찬가지입니다.	마찬가지/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000025.97.16.2
소비 회복 곡선은 항상 소득 회복 곡선보다 더 빨리 반등합니다.

소비	소비/NNG
회복	회복/NNG
곡선은	곡선/NNG+은/JX
항상	항상/MAG
소득	소득/NNG
곡선보다	곡선/NNG+보다/JKB
더	더/MAG
빨리	빨리/MAG
반등합니다.	반등/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000025.97.16.3
‘불황 때 내 상황은 최악이었고 그때 많은 희생을 했으니 난 지금보다 ?

‘불황	‘/SS+불황/NNG
때	때/NNG
내	나/NP+의/JKG
상황은	상황/NNG+은/JX
최악이었고	최악/NNG+이/VCP+었/EP+고/EC
그때	그때/NNG
많은	많/VA+은/ETM
희생을	희생/NNG+을/JKO
했으니	하/VV+았/EP+으니/EC
난	나/NP+ㄴ/JX
지금보다	지금/NNG+보다/JKB
?	?/NA


# id : NWRW1800000025.97.16.4
나은 대접을 받을 자격이 있어’라는 식으로 자기만족을 위한 소비가 점점 중요해지죠.

나은	낫/VA+은/ETM
대접을	대접/NNG+을/JKO
받을	받/VV+을/ETM
자격이	자격/NNG+이/JKS
있어’라는	있/VA+어/EF+’/SS+이/VCP+라는/ETM
식으로	식/NNB+으로/JKB
자기만족을	자기만족/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
소비가	소비/NNG+가/JKS
점점	점점/MAG
중요해지죠.	중요/NNG+하/XSA+아/EC+지/VX+죠/EF+./SF


# id : NWRW1800000025.97.17.1
저가 마케팅으로 성공하기 힘든 또 다른 이유는 이 전략으로 승리할 수 있는 업체가 업계 내에 단 한 곳밖에 없기 때문입니다.

저가	저가/NNG
마케팅으로	마케팅/NNG+으로/JKB
성공하기	성공/NNG+하/XSV+기/ETN
힘든	힘들/VA+ㄴ/ETM
또	또/MAG
다른	다른/MMD
이유는	이유/NNG+는/JX
이	이/MMD
전략으로	전략/NNG+으로/JKB
승리할	승리/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
업체가	업체/NNG+가/JKS
업계	업계/NNG
내에	내/NNB+에/JKB
단	단/MMA
한	한/MMN
곳밖에	곳/NNG+밖에/JX
없기	없/VA+기/ETN
때문입니다.	때문/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000025.97.17.2
월마트가 2개였다면 오늘날의 월마트는 없을 겁니다.

월마트가	월마트/NNP+가/JKS
2개였다면	2/SN+개/NNB+이/VCP+었/EP+다면/EC
오늘날의	오늘날/NNG+의/JKG
월마트는	월마트/NNP+는/JX
없을	없/VA+을/ETM
겁니다.	거/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000025.97.17.3
하지만 고급 제품 시장에서는 얼마든지 여러 명의 승자가 공존할 수 있습니다.”

하지만	하지만/MAJ
고급	고급/NNG
제품	제품/NNG
시장에서는	시장/NNG+에서/JKB+는/JX
얼마든지	얼마/NNG+든지/JX
여러	여러/MMN
명의	명/NNB+의/JKG
승자가	승자/NNG+가/JKS
공존할	공존/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있습니다.”	있/VA+습니다/EF+./SF+”/SS


# id : NWRW1800000025.97.18.1
네이선 노벰스키 교수는

네이선	네이선/NNP
노벰스키	노벰스키/NNP
교수는	교수/NNG+는/JX


# id : NWRW1800000025.97.19.1
미국 웨슬리안대에서 수학과 물리학을 전공했다.

미국	미국/NNP
웨슬리안대에서	웨슬리안대/NNP+에서/JKB
수학과	수학/NNG+과/JC
물리학을	물리학/NNG+을/JKO
전공했다.	전공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.97.19.2
프린스턴대에서 사회심리학으로 석·박사 학위를 받은 후 예일대 교수로 재직하고 있다.

프린스턴대에서	프린스턴대/NNP+에서/JKB
사회심리학으로	사회/NNG+심리학/NNG+으로/JKB
석·박사	석·박사/NNG
학위를	학위/NNG+를/JKO
받은	받/VV+은/ETM
후	후/NNG
예일대	예일대/NNP
교수로	교수/NNG+로/JKB
재직하고	재직/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.97.19.3
주 연구 분야는 소비자 행동, 소비자 조사, 행동경제학 의사결정 등이며 프린스턴대에서 행동경제학으로 노벨경제학상을 탄 이 분야의 거두 대니얼 카너먼 교수 밑에서 공부했다.

주	주/MMA
연구	연구/NNG
분야는	분야/NNG+는/JX
소비자	소비자/NNG
행동,	행동/NNG+,/SP
조사,	조사/NNG+,/SP
행동경제학	행동/NNG+경제학/NNG
의사결정	의사/NNG+결정/NNG
등이며	등/NNB+이/VCP+며/EC
프린스턴대에서	프린스턴대/NNP+에서/JKB
행동경제학으로	행동/NNG+경제학/NNG+으로/JKB
노벨경제학상을	노벨/NNP+경제학상/NNG+을/JKO
탄	타/VV+ㄴ/ETM
이	이/MMD
분야의	분야/NNG+의/JKG
거두	거두/NNG
대니얼	대니얼/NNP
카너먼	카너먼/NNP
교수	교수/NNG
밑에서	밑/NNG+에서/JKB
공부했다.	공부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.97.19.4
저널 오브 마케팅 리서치(Journal of Marketing Research), 저널 오브 컨슈머 리서치(Journal of Consumer Research) 등 유명 학술지에 다수의 논문을 실었다.

저널	저널/NNP
오브	오브/NNP
마케팅	마케팅/NNP
리서치(Journal	리서치/NNP+(/SS+Journal/SL
of	of/SL
Marketing	Marketing/SL
