# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.133
metadata : {}


# id : NWRW1800000052.133.1.1
환경부, 폴크스바겐 7만9000여대 ‘인증취소’ 절차 착수

환경부,	환경부/NNG+,/SP
A6	A/SL+6/SN
3.0	3/SN+./SP+0/SN
TFSI	TFSI/SL
콰트로	콰트로/NNP
등	등/NNB
모두	모두/MAG
79개다.	79/SN+개/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.133.5.3
환경부는 인증 취소 대상이 경유승용차 18개 인증 차종 6만1000여대, 휘발유 승용차 14개 인증 차종 1만8000여대 등 모두 7만9000여대에 이를 것으로 추정했다.

환경부는	환경부/NNG+는/JX
인증	인증/NNG
취소	취소/NNG
대상이	대상/NNG+이/JKS
경유승용차	경유/NNG+승용차/NNG
18개	18/SN+개/NNB
차종	차종/NNG
6만1000여대,	6/SN+만/NR+1000/SN+여/XSN+대/NNB+,/SP
휘발유	휘발유/NNG
승용차	승용차/NNG
14개	14/SN+개/NNB
1만8000여대	1/SN+만/NR+8000/SN+여/XSN+대/NNB
등	등/NNB
모두	모두/MAG
7만9000여대에	7/SN+만/NR+9000/SN+여/XSN+대/NNB+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추정했다.	추정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.133.5.4
이는 폴크스바겐 그룹이 2007년부터 지난달까지 국내에서 판 30여만대의 약 26%에 이르는 규모다.

이는	이/NP+는/JX
폴크스바겐	폴크스바겐/NNP
그룹이	그룹/NNG+이/JKS
2007년부터	2007/SN+년/NNB+부터/JX
지난달까지	지난달/NNG+까지/JX
국내에서	국내/NNG+에서/JKB
판	팔/VV+ㄴ/ETM
30여만대의	30/SN+여/XSN+만/NR+대/NNB+의/JKG
약	약/MMA
26%에	26/SN+%/SW+에/JKB
이르는	이르/VV+는/ETM
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.133.6.1
환경부는 이에 앞서 지난해 11월 폴크스바겐의 15개 차종 28개 모델, 12만5515대에 대해 배출가스 저감장치를 불법 조작했다며 인증 취소와 판매 정지, 과징금 부과 등의 행정처분을 내리고, 한국 법인과 법인 대표 등을 검찰에 고발한 바 있다.

환경부는	환경부/NNG+는/JX
이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
지난해	지난해/NNG
11월	11/SN+월/NNB
폴크스바겐의	폴크스바겐/NNP+의/JKG
15개	15/SN+개/NNB
차종	차종/NNG
28개	28/SN+개/NNB
모델,	모델/NNG+,/SP
12만5515대에	12/SN+만/NR+5515/SN+대/NNB+에/JKB
대해	대하/VV+아/EC
배출가스	배출/NNG+가스/NNG
저감장치를	저감/NNG+장치/NNG+를/JKO
불법	불법/NNG
조작했다며	조작/NNG+하/XSV+았/EP+다며/EC
인증	인증/NNG
취소와	취소/NNG+와/JC
판매	판매/NNG
정지,	정지/NNG+,/SP
과징금	과징금/NNG
부과	부과/NNG
등의	등/NNB+의/JKG
행정처분을	행정/NNG+처분/NNG+을/JKO
내리고,	내리/VV+고/EC+,/SP
한국	한국/NNP
법인과	법인/NNG+과/JC
법인	법인/NNG
대표	대표/NNG
등을	등/NNB+을/JKO
검찰에	검찰/NNG+에/JKB
고발한	고발/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.133.6.2
이에 따라 수사에 나선 검찰이 이번에 행정처분을 요청한 32개 차종은 앞서 행정처분이 내려진 15개 차종과는 다른 차종이다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
수사에	수사/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
검찰이	검찰/NNG+이/JKS
이번에	이번/NNG+에/JKB
행정처분을	행정/NNG+처분/NNG+을/JKO
요청한	요청/NNG+하/XSV+ㄴ/ETM
32개	32/SN+개/NNB
차종은	차종/NNG+은/JX
앞서	앞서/MAG
행정처분이	행정/NNG+처분/NNG+이/JKS
내려진	내려지/VV+ㄴ/ETM
15개	15/SN+개/NNB
차종과는	차종/NNG+과/JKB+는/JX
다른	다른/MMD
차종이다.	차종/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.133.7.1
환경부가 인증 취소 처분을 내리면 서류 조작으로 인증을 받은 것으로 드러난 32개 인증 차종 가운데 현재 시판되고 있는 27개 차종의 판매가 정지된다.

환경부가	환경부/NNG+가/JKS
인증	인증/NNG
취소	취소/NNG
처분을	처분/NNG+을/JKO
내리면	내리/VV+면/EC
서류	서류/NNG
조작으로	조작/NNG+으로/JKB
인증을	인증/NNG+을/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
드러난	드러나/VV+ㄴ/ETM
32개	32/SN+개/NNB
차종	차종/NNG
가운데	가운데/NNG
현재	현재/MAG
시판되고	시판/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
27개	27/SN+개/NNB
차종의	차종/NNG+의/JKG
판매가	판매/NNG+가/JKS
정지된다.	정지/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.133.8.1
폴크스바겐은 지난해 11월 배출가스 저감장치 불법 조작을 적발한 환경부의 리콜 명령에 따라 지난달까지 모두 3차례 리콜계획서를 제출했으나, 리콜계획서에 환경부가 핵심 사항으로 담도록 요구한 임의설정을 시인하는 표현을 넣지 않아 모두 승인이 거부된 상태다.

폴크스바겐은	폴크스바겐/NNP+은/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
배출가스	배출/NNG+가스/NNG
저감장치	저감/NNG+장치/NNG
불법	불법/NNG
조작을	조작/NNG+을/JKO
적발한	적발/NNG+하/XSV+ㄴ/ETM
환경부의	환경부/NNG+의/JKG
리콜	리콜/NNG
명령에	명령/NNG+에/JKB
따라	따르/VV+아/EC
지난달까지	지난달/NNG+까지/JX
모두	모두/MAG
3차례	3/SN+차례/NNG
리콜계획서를	리콜/NNG+계획서/NNG+를/JKO
제출했으나,	제출/NNG+하/XSV+았/EP+으나/EC+,/SP
리콜계획서에	리콜/NNG+계획서/NNG+에/JKB
환경부가	환경부/NNG+가/JKS
핵심	핵심/NNG
사항으로	사항/NNG+으로/JKB
담도록	담/VV+도록/EC
요구한	요구/NNG+하/XSV+ㄴ/ETM
임의설정을	임의/NNG+설정/NNG+을/JKO
시인하는	시인/NNG+하/XSV+는/ETM
표현을	표현/NNG+을/JKO
넣지	넣/VV+지/EC
않아	않/VX+아/EC
승인이	승인/NNG+이/JKS
거부된	거부/NNG+되/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


