# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.317
metadata : {}


# id : NWRW1800000030.317.1.1
'야권연대' 선택 손학규, 韓·EU FTA 반대로 돌아

'야권연대'	'/SS+야권/NNG+연대/NNG+'/SS
의도적으로	의도/NNG+적/XSN+으로/JKB
늦춰야	늦추/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
얘기였다.	얘기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.317.6.1
반대한 7명 중 정세균 최고위원은 노무현 정권에서 통상과 직결된 산업자원부 장관을 지냈고 그때 노 전 대통령이 추진했던 한·미 FTA에도 찬성했었다.

반대한	반대/NNG+하/XSV+ㄴ/ETM
7명	7/SN+명/NNB
중	중/NNB
정세균	정세균/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
노무현	노무현/NNP
정권에서	정권/NNG+에서/JKB
통상과	통상/NNG+과/JKB
직결된	직결/NNG+되/XSV+ㄴ/ETM
산업자원부	산업/NNG+자원부/NNG
장관을	장관/NNG+을/JKO
지냈고	지내/VV+었/EP+고/EC
그때	그때/NNG
노	노/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
추진했던	추진/NNG+하/XSV+았/EP+던/ETM
한·미	한·미/NNP
FTA에도	FTA/SL+에/JKB+도/JX
찬성했었다.	찬성/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000030.317.6.2
민노당과 보조를 맞추면서 FTA 반대론을 주도하는 정동영·천정배 최고위원도 노 정권에서 각각 통일부 장관과 법무부 장관을 지냈다.

민노당과	민노당/NNP+과/JKB
보조를	보조/NNG+를/JKO
맞추면서	맞추/VV+면서/EC
FTA	FTA/SL
반대론을	반대/NNG+론/XSN+을/JKO
주도하는	주도/NNG+하/XSV+는/ETM
정동영·천정배	정동영/NNP+·/SP+천정배/NNP
최고위원도	최고/NNG+위원/NNG+도/JX
노	노/NNP
정권에서	정권/NNG+에서/JKB
각각	각각/MAG
통일부	통일부/NNG
장관과	장관/NNG+과/JC
법무부	법무부/NNG
장관을	장관/NNG+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.317.6.3
정동영 최고위원은 "당의 명운이 걸린 문제"라며 가장 강력하게 반대했다.

정동영	정동영/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
"당의	"/SS+당/NNG+의/JKG
명운이	명운/NNG+이/JKS
걸린	걸리/VV+ㄴ/ETM
문제"라며	문제/NNG+"/SS+이/VCP+라며/EC
가장	가장/MAG
강력하게	강력/NNG+하/XSA+게/EC
반대했다.	반대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.317.6.4
나머지 이인영·박주선·조배숙·김영춘 최고위원도 계파를 떠나 반대론에 가세했다.

나머지	나머지/NNG
이인영·박주선·조배숙·김영춘	이인영/NNP+·/SP+박주선/NNP+·/SP+조배숙/NNP+·/SP+김영춘/NNP
최고위원도	최고/NNG+위원/NNG+도/JX
계파를	계파/NNG+를/JKO
떠나	떠나/VV+아/EC
반대론에	반대/NNG+론/XSN+에/JKB
가세했다.	가세/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.317.7.1
유일한 찬성론자였던 박지원 원내대표까지 물러섰다.

유일한	유일/NNG+하/XSA+ㄴ/ETM
찬성론자였던	찬성론자/NNG+이/VCP+었/EP+던/ETM
박지원	박지원/NNP
원내대표까지	원내/NNG+대표/NNG+까지/JX
물러섰다.	물러서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.317.7.2
그는 의총에서 "민주당이 발목 잡는 모습을 보일 수도 없고 정체성을 버릴 수도 없는 딜레마에 빠진 상황에서 한나라당이 몰아붙이면 우리는 어떻게 해야 하느냐"는 현실론을 펴다가 "의원들의 뜻에 따르겠다"고 했다.

그는	그/NP+는/JX
의총에서	의총/NNG+에서/JKB
"민주당이	"/SS+민주당/NNP+이/JKS
발목	발목/NNG
잡는	잡/VV+는/ETM
모습을	모습/NNG+을/JKO
보일	보이/VV+ㄹ/ETM
수도	수/NNB+도/JX
없고	없/VA+고/EC
정체성을	정체/NNG+성/XSN+을/JKO
버릴	버리/VV+ㄹ/ETM
없는	없/VA+는/ETM
딜레마에	딜레마/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
한나라당이	한나라당/NNP+이/JKS
몰아붙이면	몰아붙이/VV+면/EC
우리는	우리/NP+는/JX
어떻게	어떻/VA+게/EC
해야	하/VV+아야/EC
하느냐"는	하/VX+느냐/EF+"/SS+는/ETM
현실론을	현실/NNG+론/XSN+을/JKO
펴다가	펴/VV+다가/EC
"의원들의	"/SS+의원/NNG+들/XSN+의/JKG
뜻에	뜻/NNG+에/JKB
따르겠다"고	따르/VV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


