# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.53
metadata : {}


# id : NWRW1800000054.53.1.1
"때론 현악기, 때론 성악가 같은 아코디언으로 서울을 적셔 볼게요"

"때론	"/SS+때로/MAG+ㄴ/JX
현악기,	현악기/NNG+,/SP
아코디언을 시작한 지 11개월 만에 이탈리아 란차노 국제 콩쿠르에서 2위를 했고 2008 쿠레프레바 콩쿠르, 2010 클라바 콩쿠르, 2011 발티도네 콩쿠르를 석권했다.

아코디언을	아코디언/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
지	지/NNB
11개월	11/SN+개월/NNB
만에	만/NNB+에/JKB
이탈리아	이탈리아/NNP
란차노	란차노/NNP
국제	국제/NNG
콩쿠르에서	콩쿠르/NNG+에서/JKB
2위를	2/SN+위/NNB+를/JKO
했고	하/VV+았/EP+고/EC
2008	2008/SN
쿠레프레바	쿠레프레바/NNG
콩쿠르,	콩쿠르/NNG+,/SP
2010	2010/SN
클라바	클라바/NNG
2011	2011/SN
발티도네	발티도네/NNP
콩쿠르를	콩쿠르/NNG+를/JKO
석권했다.	석권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.53.4.5
국제 무대에서 유일한 한국인 아코디어니스트로 활동 중인 그녀가 23일 '금호아트홀 라이징스타 시리즈'에 올라 아코디언의 진수를 들려준다.

국제	국제/NNG
무대에서	무대/NNG+에서/JKB
유일한	유일/NNG+하/XSA+ㄴ/ETM
한국인	한국인/NNG
아코디어니스트로	아코디어니스트/NNG+로/JKB
활동	활동/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
그녀가	그녀/NP+가/JKS
23일	23/SN+일/NNB
'금호아트홀	'/SS+금호아트홀/NNP
라이징스타	라이징/NNG+스타/NNG
시리즈'에	시리즈/NNG+'/SS+에/JKB
올라	오르/VV+아/EC
아코디언의	아코디언/NNG+의/JKG
진수를	진수/NNG+를/JKO
들려준다.	들려주/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.53.4.6
러시아 작곡가 구바이둘리나의 아코디언 소나타 '죽은 자의 부활을 찾아'를 비롯해 주비트스키의 아코디언 협주곡 '아스토르 피아졸라를 위한 오마주' 등을 연주한다.

러시아	러시아/NNP
작곡가	작곡가/NNG
구바이둘리나의	구바이둘리나/NNP+의/JKG
아코디언	아코디언/NNG
소나타	소나타/NNG
'죽은	'/SS+죽/VV+은/ETM
자의	자/NNB+의/JKG
부활을	부활/NNG+을/JKO
찾아'를	찾/VV+아/EF+'/SS+를/JKO
비롯해	비롯하/VV+아/EC
주비트스키의	주비트스키/NNP+의/JKG
협주곡	협주곡/NNG
'아스토르	'/SS+아스토르/NNP
피아졸라를	피아졸라/NNP+를/JKO
위한	위하/VV+ㄴ/ETM
오마주'	오마주/NNG+'/SS
등을	등/NNB+을/JKO
연주한다.	연주/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.53.5.1
알프스 자락에서 요들을 부를 때나 담배 연기 자욱한 카바레에서 춤출 때 흥을 돋우던 아코디언이 클래식용으로 개량된 지는 70년.

알프스	알프스/NNP
자락에서	자락/NNG+에서/JKB
요들을	요들/NNG+을/JKO
부를	부르/VV+ㄹ/ETM
때나	때/NNG+나/JC
담배	담배/NNG
연기	연기/NNG
자욱한	자욱하/VA+ㄴ/ETM
카바레에서	카바레/NNG+에서/JKB
춤출	춤추/VV+ㄹ/ETM
때	때/NNG
흥을	흥/NNG+을/JKO
돋우던	돋우/VV+던/ETM
아코디언이	아코디언/NNG+이/JKS
클래식용으로	클래식/NNG+용/XSN+으로/JKB
개량된	개량/NNG+되/XSV+ㄴ/ETM
지는	지/NNB+는/JX
70년.	70/SN+년/NNB+./SF


# id : NWRW1800000054.53.5.2
해외엔 크세니아 시도로바처럼 인기와 실력을 겸비한 아코디어니스트가 많지만 국내엔 드물다.

해외엔	해외/NNG+에/JKB+ㄴ/JX
크세니아	크세니아/NNP
시도로바처럼	시도로바/NNP+처럼/JKB
인기와	인기/NNG+와/JC
실력을	실력/NNG+을/JKO
겸비한	겸비/NNG+하/XSV+ㄴ/ETM
아코디어니스트가	아코디어니스트/NNG+가/JKS
많지만	많/VA+지만/EC
국내엔	국내/NNG+에/JKB+ㄴ/JX
드물다.	드물/VA+다/EF+./SF


# id : NWRW1800000054.53.5.3
"어렵거든요.

"어렵거든요.	"/SS+어렵/VA+거든/EF+요/JX+./SF


# id : NWRW1800000054.53.5.4
일반 아코디언은 왼손으로 화음만 넣지만 클래식용은 왼손에도 피아노 건반처럼 반음이 다 있어서 골치가 아파요.

일반	일반/NNG
아코디언은	아코디언/NNG+은/JX
왼손으로	왼손/NNG+으로/JKB
화음만	화음/NNG+만/JX
넣지만	넣/VV+지만/EC
클래식용은	클래식/NNG+용/XSN+은/JX
왼손에도	왼손/NNG+에/JKB+도/JX
피아노	피아노/NNG
건반처럼	건반/NNG+처럼/JKB
반음이	반음/NNG+이/JKS
다	다/MAG
있어서	있/VA+어서/EC
골치가	골치/NNG+가/JKS
아파요.	아프/VA+아요/EF+./SF


# id : NWRW1800000054.53.5.5
건반이 연주자 눈에 보이질 않으니 실수도 많고." 그래서 아코디언이 인간 감성을 울릴 수 있다고도 했다.

건반이	건반/NNG+이/JKS
연주자	연주자/NNG
눈에	눈/NNG+에/JKB
보이질	보이/VV+지/EC+ㄹ/JX
않으니	않/VX+으니/EC
실수도	실수/NNG+도/JX
많고."	많/VA+고/EC+./SF+"/SS
그래서	그래서/MAJ
아코디언이	아코디언/NNG+이/JKS
인간	인간/NNG
감성을	감성/NNG+을/JKO
울릴	울리/VV+ㄹ/ETM
수	수/NNB
있다고도	있/VA+다고/EC+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.53.5.6
"연주자 품에 쏙 안기는 악기는 아코디언이 유일할걸요?

"연주자	"/SS+연주자/NNG
품에	품/NNG+에/JKB
쏙	쏙/MAG
안기는	안기/VV+는/ETM
악기는	악기/NNG+는/JX
아코디언이	아코디언/NNG+이/JKS
유일할걸요?	유일/NNG+하/XSA+ㄹ걸/EF+요/JX+?/SF


# id : NWRW1800000054.53.5.7
건반을 그냥 누르고만 있어도 제가 숨 쉬는 데 따라 음량과 음정이 확확 바뀌니 온몸으로 노래하는 맛이 나죠." 전유정은 "현악기답고, 건반악기답고, 성악가다운 면모를 다 지닌 아코디언으로 서울을 적시겠다"고 다짐했다.

건반을	건반/NNG+을/JKO
그냥	그냥/MAG
누르고만	누르/VV+고/EC+만/JX
있어도	있/VX+어도/EC
제가	제/NP+가/JKS
숨	숨/NNG
쉬는	쉬/VV+는/ETM
데	데/NNB
따라	따르/VV+아/EC
음량과	음량/NNG+과/JC
음정이	음정/NNG+이/JKS
확확	확확/MAG
바뀌니	바뀌/VV+니/EC
온몸으로	온몸/NNG+으로/JKB
노래하는	노래/NNG+하/XSV+는/ETM
맛이	맛/NNG+이/JKS
나죠."	나/VV+죠/EF+./SF+"/SS
전유정은	전유정/NNP+은/JX
"현악기답고,	"/SS+현악기/NNG+답/XSA+고/EC+,/SP
건반악기답고,	건반/NNG+악기/NNG+답/XSA+고/EC+,/SP
성악가다운	성악가/NNG+답/XSA+ㄴ/ETM
면모를	면모/NNG+를/JKO
다	다/MAG
지닌	지니/VV+ㄴ/ETM
아코디언으로	아코디언/NNG+으로/JKB
서울을	서울/NNP+을/JKO
적시겠다"고	적시/VV+겠/EP+다/EF+"/SS+고/JKQ
다짐했다.	다짐/NNG+하/XSV+았/EP+다/EF+./SF


