# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.252
metadata : {}


# id : NWRW1800000049.252.1.1
[횡설수설/권순활]임성기 약국과 한미약품

[횡설수설/권순활]임성기	[/SS+횡설수설/NNG+//SP+권순활/NNP+]/SS+임성기/NNP
▷작년 증시 불황 속에서도 한미사이언스 주가는 기술수출 호재에 힘입어 748% 급등했다.

▷작년	▷/SW+작년/NNG
증시	증시/NNG
불황	불황/NNG
속에서도	속/NNG+에서/JKB+도/JX
한미사이언스	한미사이언스/NNP
주가는	주가/NNG+는/JX
기술수출	기술/NNG+수출/NNG
호재에	호재/NNG+에/JKB
힘입어	힘입/VV+어/EC
748%	748/SN+%/SW
급등했다.	급등/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.252.5.2
임 회장은 국내 주식 부호 순위 8위로 뛰어올랐다.

임	임/NNP
회장은	회장/NNG+은/JX
국내	국내/NNG
주식	주식/NNG
부호	부호/NNG
순위	순위/NNG
8위로	8/SN+위/NNB+로/JKB
뛰어올랐다.	뛰어오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.252.5.3
그가 개인 주식을 떼 내 직원들에게 나눠주는 것은 회사의 수익으로 벌이는 보너스 잔치와는 차원이 다르다.

그가	그/NP+가/JKS
개인	개인/NNG
주식을	주식/NNG+을/JKO
떼	떼/VV+어/EC
내	나/NP+의/JKG
직원들에게	직원/NNG+들/XSN+에게/JKB
나눠주는	나누/VV+어/EC+주/VX+는/ETM
것은	것/NNB+은/JX
회사의	회사/NNG+의/JKG
수익으로	수익/NNG+으로/JKB
벌이는	벌이/VV+는/ETM
보너스	보너스/NNG
잔치와는	잔치/NNG+와/JKB+는/JX
차원이	차원/NNG+이/JKS
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000049.252.5.4
‘명물 약국’ 약사에서 출발해 한국 최초의 글로벌 제약사 경영자의 꿈을 향해 달려가는 임 회장의 결단은 기업 성장과 주가 상승의 과실을 직원들과 공유하는 새로운 모델을 제시했다.

‘명물	‘/SS+명물/NNG
약국’	약국/NNG+’/SS
약사에서	약사/NNG+에서/JKB
출발해	출발/NNG+하/XSV+아/EC
한국	한국/NNP
최초의	최초/NNG+의/JKG
글로벌	글로벌/NNG
제약사	제약사/NNG
경영자의	경영자/NNG+의/JKG
꿈을	꿈/NNG+을/JKO
향해	향하/VV+아/EC
달려가는	달려가/VV+는/ETM
임	임/NNP
회장의	회장/NNG+의/JKG
결단은	결단/NNG+은/JX
기업	기업/NNG
성장과	성장/NNG+과/JC
주가	주가/NNG
상승의	상승/NNG+의/JKG
과실을	과실/NNG+을/JKO
직원들과	직원/NNG+들/XSN+과/JKB
공유하는	공유/NNG+하/XSV+는/ETM
새로운	새롭/VA+ㄴ/ETM
모델을	모델/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


