# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.389
metadata : {}


# id : NWRW1800000032.389.1.1
검찰, 2년만에 공안회의…“강정마을 등 집단행동 엄단”

검찰,	검찰/NNG+,/SP
벌어질	벌어지/VV+ㄹ/ETM
경우	경우/NNG
엄정	엄정/NNG
대응하겠다고	대응/NNG+하/XSV+겠/EP+다고/EC
밝혀	밝히/VV+어/EC
집회	집회/NNG
참가자들과	참가자/NNG+들/XSN+과/JC
경찰의	경찰/NNG+의/JKG
물리적	물리/NNG+적/XSN
충돌이	충돌/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.389.5.1
대검찰청은 26일 오후 서울 서초동 대검청사에서 임정혁 공안부장 주재로 공안대책협의회를 열어 제주해군기지 건설을 둘러싸고 공사를 방해하거나 공권력 행사에 폭력을 사용하는 불법 집단행동을 엄단하기로 의견을 모았다.

대검찰청은	대/XPN+검찰청/NNG+은/JX
26일	26/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
서초동	서초동/NNP
대검청사에서	대검/NNG+청사/NNG+에서/JKB
임정혁	임정혁/NNP
공안부장	공안부장/NNG
주재로	주재/NNG+로/JKB
공안대책협의회를	공안/NNG+대책/NNG+협의회/NNG+를/JKO
열어	열/VV+어/EC
제주해군기지	제주해군기지/NNP
건설을	건설/NNG+을/JKO
둘러싸고	둘러싸/VV+고/EC
공사를	공사/NNG+를/JKO
방해하거나	방해/NNG+하/XSV+거나/EC
공권력	공권력/NNG
행사에	행사/NNG+에/JKB
폭력을	폭력/NNG+을/JKO
사용하는	사용/NNG+하/XSV+는/ETM
불법	불법/NNG
집단행동을	집단행동/NNG+을/JKO
엄단하기로	엄단/NNG+하/XSV+기/ETN+로/JKB
의견을	의견/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.389.5.2
2009년 7월 쌍용자동차 노조의 경기 평택공장 점거농성 사태 이후 2년 남짓 만에 열린 이날 회의에는 국방부·경찰청·고용노동부·국군기무사령부 등 관련 기관의 국장급 간부들이 참석했다.

2009년	2009/SN+년/NNB
7월	7/SN+월/NNB
쌍용자동차	쌍용자동차/NNP
노조의	노조/NNG+의/JKG
경기	경기/NNP
평택공장	평택/NNP+공장/NNG
점거농성	점거/NNG+농성/NNG
사태	사태/NNG
이후	이후/NNG
2년	2/SN+년/NNB
남짓	남짓/NNB
만에	만/NNB+에/JKB
열린	열리/VV+ㄴ/ETM
이날	이날/NNG
회의에는	회의/NNG+에/JKB+는/JX
국방부·경찰청·고용노동부·국군기무사령부	국방부/NNG+·/SP+경찰청/NNG+·/SP+고용/NNG+노동부/NNG+·/SP+국군/NNG+기무/NNG+사령부/NNG
등	등/NNB
관련	관련/NNG
기관의	기관/NNG+의/JKG
국장급	국장급/NNG
간부들이	간부/NNG+들/XSN+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.389.5.3
공안대책협의회는 주요 공안사건을 놓고 검찰 주재로 관련 기관들이 대응 방안을 협의·조정하는 기구다.

공안대책협의회는	공안/NNG+대책/NNG+협의회/NNG+는/JX
주요	주요/NNG
공안사건을	공안/NNG+사건/NNG+을/JKO
놓고	놓/VV+고/EC
검찰	검찰/NNG
주재로	주재/NNG+로/JKB
관련	관련/NNG
기관들이	기관/NNG+들/XSN+이/JKS
대응	대응/NNG
방안을	방안/NNG+을/JKO
협의·조정하는	협의/NNG+·/SP+조정/NNG+하/XSV+는/ETM
기구다.	기구/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.389.6.1
검찰은 이와 함께 향후 불법시위 및 공무집행 방해 행위에 대해서는 엄단하겠다는 방침도 밝혔다.

검찰은	검찰/NNG+은/JX
이와	이/NP+와/JKB
함께	함께/MAG
향후	향후/NNG
불법시위	불법/NNG+시위/NNG
및	및/MAG
공무집행	공무/NNG+집행/NNG
방해	방해/NNG
행위에	행위/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
엄단하겠다는	엄단/NNG+하/XSV+겠/EP+다는/ETM
방침도	방침/NNG+도/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.389.6.2
구체적으로는 △불법행위자에 대한 현장체포 원칙 △경찰을 폭행하거나 호송을 방해하는 등의 공무집행 방해, 과격 폭력행위, 상습적 업무방해 행위는 구속수사 △철저한 채증을 통한 불법가담자 전원 색출 △주동자·배후조종자에 대해선 끝까지 추적해 엄단 등이 제시됐다.

구체적으로는	구체/NNG+적/XSN+으로/JKB+는/JX
△불법행위자에	△/SW+불법/NNG+행위자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
현장체포	현장/NNG+체포/NNG
원칙	원칙/NNG
△경찰을	△/SW+경찰/NNG+을/JKO
폭행하거나	폭행/NNG+하/XSV+거나/EC
호송을	호송/NNG+을/JKO
방해하는	방해/NNG+하/XSV+는/ETM
등의	등/NNB+의/JKG
공무집행	공무/NNG+집행/NNG
방해,	방해/NNG+,/SP
과격	과격/NNG
폭력행위,	폭력/NNG+행위/NNG+,/SP
상습적	상습/NNG+적/XSN
업무방해	업무/NNG+방해/NNG
행위는	행위/NNG+는/JX
구속수사	구속/NNG+수사/NNG
△철저한	△/SW+철저/NNG+하/XSA+ㄴ/ETM
채증을	채증/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
불법가담자	불법/NNG+가담자/NNG
전원	전원/NNG
색출	색출/NNG
△주동자·배후조종자에	△/SW+주동자/NNG+·/SP+배후/NNG+조종자/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
끝까지	끝/NNG+까지/JX
추적해	추적/NNG+하/XSV+아/EC
엄단	엄단/NNG
등이	등/NNB+이/JKS
제시됐다.	제시/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.389.6.3
검찰은 불법행위자들에 대해선 형사처벌뿐 아니라 민사상 손해배상 책임을 묻기로 했다.

검찰은	검찰/NNG+은/JX
불법행위자들에	불법/NNG+행위자/NNG+들/XSN+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
형사처벌뿐	형사/NNG+처벌/NNG+뿐/JX
아니라	아니/VCN+라/EC
민사상	민사/NNG+상/XSN
손해배상	손해/NNG+배상/NNG
책임을	책임/NNG+을/JKO
묻기로	묻/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.389.7.1
제주 서귀포경찰서는 이날 제주 해군기지 건설 공사를 방해했다는 이유로 강동균(54) 서귀포시 강정마을회장과 주민 김아무개(54)씨, 시민단체 회원 김아무개(25)씨 등 3명을 특수공무집행 방해 혐의로 구속했다.

제주	제주/NNP
서귀포경찰서는	서귀포경찰서/NNP+는/JX
이날	이날/NNG
해군기지	해군/NNG+기지/NNG
건설	건설/NNG
공사를	공사/NNG+를/JKO
방해했다는	방해/NNG+하/XSV+았/EP+다는/ETM
이유로	이유/NNG+로/JKB
강동균(54)	강동균/NNP+(/SS+54/SN+)/SS
서귀포시	서귀포시/NNP
강정마을회장과	강정마을/NNP+회장/NNG+과/JC
주민	주민/NNG
김아무개(54)씨,	김/NNP+아무개/NP+(/SS+54/SN+)/SS+씨/NNB+,/SP
시민단체	시민/NNG+단체/NNG
회원	회원/NNG
김아무개(25)씨	김/NNP+아무개/NP+(/SS+25/SN+)/SS+씨/NNB
등	등/NNB
3명을	3/SN+명/NNB+을/JKO
특수공무집행	특수/NNG+공무/NNG+집행/NNG
방해	방해/NNG
혐의로	혐의/NNG+로/JKB
구속했다.	구속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.389.7.2
이로써 제주 해군기지 건설과 관련해 업무방해 등의 혐의로 구속된 사람은 7명으로 늘었다.

이로써	이/NP+로써/JKB
제주	제주/NNP
해군기지	해군/NNG+기지/NNG
건설과	건설/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
업무방해	업무/NNG+방해/NNG
등의	등/NNB+의/JKG
혐의로	혐의/NNG+로/JKB
구속된	구속/NNG+되/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
7명으로	7/SN+명/NNB+으로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.389.7.3
지난 25일 강 회장을 호송하는 경찰 차량에 올라가 항의하다 제주동부경찰서 유치장에 수감된 문정현(71) 신부는 이날 밤 10시께 석방됐다.

지난	지나/VV+ㄴ/ETM
25일	25/SN+일/NNB
강	강/NNP
회장을	회장/NNG+을/JKO
호송하는	호송/NNG+하/XSV+는/ETM
경찰	경찰/NNG
차량에	차량/NNG+에/JKB
올라가	올라가/VV+아/EC
항의하다	항의/NNG+하/XSV+다/EC
제주동부경찰서	제주동부경찰서/NNP
유치장에	유치장/NNG+에/JKB
수감된	수감/NNG+되/XSV+ㄴ/ETM
문정현(71)	문정현/NNP+(/SS+71/SN+)/SS
신부는	신부/NNG+는/JX
이날	이날/NNG
밤	밤/NNG
10시께	10/SN+시/NNB+께/XSN
석방됐다.	석방/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.389.8.1
법원은 지난달 중순 해군이 낸 ‘공사방해 금지 가처분 신청’에 대한 결정을 다음주 내릴 것으로 보인다.

법원은	법원/NNG+은/JX
지난달	지난달/NNG
중순	중순/NNG
해군이	해군/NNG+이/JKS
낸	내/VV+ㄴ/ETM
‘공사방해	‘/SS+공사/NNG+방해/NNG
금지	금지/NNG
가처분	가/XPN+처분/NNG
신청’에	신청/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
결정을	결정/NNG+을/JKO
다음주	다음/NNG+주/NNG
내릴	내리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.389.8.2
해군은 법원 결정이 내려진 뒤 주민들이 시설물을 자진 철거하도록 일주일 동안 기다리기로 한 상황이어서, 공권력 투입 시기는 다음달 초순이 될 것으로 전망된다.

해군은	해군/NNG+은/JX
법원	법원/NNG
결정이	결정/NNG+이/JKS
내려진	내려지/VV+ㄴ/ETM
뒤	뒤/NNG
주민들이	주민/NNG+들/XSN+이/JKS
시설물을	시설물/NNG+을/JKO
자진	자진/NNG
철거하도록	철거/NNG+하/XSV+도록/EC
일주일	일주일/NNG
동안	동안/NNG
기다리기로	기다리/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
상황이어서,	상황/NNG+이/VCP+어서/EC+,/SP
공권력	공권력/NNG
투입	투입/NNG
시기는	시기/NNG+는/JX
다음달	다음/NNG+달/NNG
초순이	초순/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.389.8.3
그러나 검찰 등 공안 당국이 발 빠르게 움직이고 있어 시기가 앞당겨질 것이라는 분석도 나온다.

그러나	그러나/MAJ
검찰	검찰/NNG
등	등/NNB
공안	공안/NNG
당국이	당국/NNG+이/JKS
발	발/NNG
빠르게	빠르/VA+게/EC
움직이고	움직이/VV+고/EC
있어	있/VX+어/EC
시기가	시기/NNG+가/JKS
앞당겨질	앞당기/VV+어/EC+지/VX+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
분석도	분석/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


