# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.298
metadata : {}


# id : NWRW1800000030.298.1.1
[남북 군사실무회담 결렬 이후] 남북 실무회담서 무슨 일이

[남북	[/SS+남북/NNP
입장이었다.	입장/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.298.10.2
이에 대해 북측은 김정일 위원장의 생일인 2월 16일을 의식한 듯, 실무회담으로부터 3~4일 안에 본회담을 개최하자고 주장했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
북측은	북측/NNG+은/JX
김정일	김정일/NNP
위원장의	위원장/NNG+의/JKG
생일인	생일/NNG+이/VCP+ㄴ/ETM
2월	2/SN+월/NNB
16일을	16/SN+일/NNB+을/JKO
의식한	의식/NNG+하/XSV+ㄴ/ETM
듯,	듯/NNB+,/SP
실무회담으로부터	실무/NNG+회담/NNG+으로부터/JKB
3~4일	3/SN+~/SO+4/SN+일/NNB
안에	안/NNG+에/JKB
본회담을	본회담/NNG+을/JKO
개최하자고	개최/NNG+하/XSV+자고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


